Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index
"Agriculture,
Livestock and
Cooperative",,,,,,105,0
"Agriculture Ser-
vice",Agriculture Extension and Exhibition,"1,200,000","400,000","800,000",33.3,105,0
Livestock Service,Livestock,"96,224,397","61,314,260","34,910,137",63.7,105,0
,Livestock Production,"5,550,000","350,000","5,200,000",6.3,105,0
"Veterinary Ser-
vice",Veterinary,"33,350,000","500,000","32,850,000",1.5,105,0
Fisheries Services,Fisheries,"200,000",-,"200,000",-,105,0
"General Admin-
istration and Sup-
port Services","General Administration and Support
Services","537,257,309","244,420,056","292,837,253",45.5,105,0
"Cooperative Ser-
vices",Cooperative,"600,000","600,000",-,100.0,105,0
,Sub Total,"674,381,706","307,584,316","366,797,390",45.6,105,0
"Energy, Environ-
ment and Natu-
ral Resources",,,,,-,105,0
Energy Service,Energy,"1,205,000","505,000","700,000",41.9,105,0
Environment,Environment,"81,100,000","55,295,992","25,804,008",68.2,105,0
Natural Resource,Natural Resource,"1,600,000","1,500,000","100,000",93.8,105,0
"General Admin-
istration and Sup-
port Services","General Administration and Support
Services","59,243,025","57,947,750","1,295,275",97.8,105,0
,Sub Total,"143,148,025","115,248,742","27,899,283",80.5,105,0
"Road and Trans-
port",,,,,-,105,0
Road Service,Road,"216,417,200","41,760,520","174,656,680",19.3,105,0
"General Admin-
istration and Sup-
port Services","General Administration and Support
Services","35,906,400","36,582,000","- 675,600",101.9,105,0
,Sub Total,"252,323,600","78,342,520","173,981,080",31.0,105,0
"Trade, Tourism
and Enterprise",,,,,-,105,0
Trade Service,Trade,"2,400,000","600,000","1,800,000",25.0,105,0
"Weight and Mea-
sure",Weight and Measure,"1,350,000","1,300,000","50,000",96.3,105,0
"General Admin-
istration and Sup-
port Services","General Administration and Support
Services","64,447,996","64,587,055","- 139,059",100.2,105,0
Tourism Service,Tourism,"802,259",-,"802,259",-,105,0
,Sub Total,"69,000,255","66,487,055","2,513,200",96.4,105,0
"Health and Sani-
tation",,,,,-,105,0
"Preventive and
Promotive",Preventive,"497,297,872","201,034,710","296,263,162",40.4,105,0
Curative,Curative,"207,997,156","154,067,000","53,930,156",74.1,105,0
"General Admin-
istration and Sup-
port Services","General Administration and Support
Services","2,266,587,436","2,243,150,914","23,436,522",99.0,105,0
"Education and
Labour",,,,,-,106,0
"General Admin-
istration and Sup-
port Services","General Administration and Support
Services","529,889,663","514,568,910","15,320,753",97.1,106,0
"Vocational Ser-
vices",Vocational Training Centres,"12,601,200","1,886,200","10,715,000",15.0,106,0
ECD,ECD,"34,412,400","13,361,000","21,051,400",38.8,106,0
Human Resource,Human Resource,"244,219,292","165,103,641","79,115,651",67.6,106,0
"Information and
ICT",Information and ICT,"14,282,733","22,182,000","- 7,899,267",155.3,106,0
,Sub Total,"835,405,288","717,101,751","118,303,537",85.8,106,0
"County Assem-
bly",,,,,-,106,0
"General Admin-
istration and Sup-
port Services","General Administration and Support
Services","1,004,003,881","944,992,534","59,011,347",94.1,106,0
,Sub Total,"1,004,003,881","944,992,534","59,011,347",94.1,106,0
"Office of the
Governor",,,,,-,106,0
Governor's Office,Governor,"61,900,000","92,400,000","- 30,500,000",149.3,106,0
Deputy Governor,Deputy Governor,"35,120,000","31,300,000","3,820,000",89.1,106,0
"General Admin-
istration and Sup-
port Services","General Administration and Support
Services","120,810,000","118,610,000","2,200,000",98.2,106,0
Street Lighting,Street Lighting,"47,656,215","47,256,000","400,215",99.2,106,0
"Intergovernmen-
tal and Institu-
tional",Intergovernmental,"17,812,430","17,622,000","190,430",98.9,106,0
County Attorney,County Attorney,"15,500,000","19,310,000","- 3,810,000",124.6,106,0
,Sub Total,"298,798,645","326,498,000","- 27,699,355",109.3,106,0
"Finance, Reve-
nue, Economic
Planning and
County Affairs",,,,,-,106,0
"Accounting Ser-
vice",Accounting,"3,713,739","1,610,000","2,103,739",43.4,106,0
Budget Service,Budget,"6,780,000","4,100,000","2,680,000",60.5,106,0
Revenue Service,Revenue,"199,927,781","206,627,781","- 6,700,000",103.4,106,0
"Economic and
Statistic",Economic Planning,"31,086,000","33,385,700","- 2,299,700",107.4,106,0
"Supply Chain Ser-
vice",Procurement,"5,630,000","2,350,000","3,280,000",41.7,106,0
Internal Audit,Internal Audit,"3,862,600","2,100,000","1,762,600",54.4,106,0
Special Program,Special Program,"135,940,000","68,999,090","66,940,910",50.8,106,0
"General Admin-
istration and Sup-
port Services","General Administration and Support
Services","1,990,914,215","1,269,440,798","721,473,417",63.8,106,0
"Donor Coordina-
tion",Donor Coordination,"16,780,548","15,050,000","1,730,548",89.7,106,0
,Sub Total,"2,394,634,883","1,603,663,369","790,971,514",67.0,106,0
"Gender, So-
cial Service and
Sport",,,,,-,106,0
"General Admin-
istration and Sup-
port Services","General Administration and Support
Services","91,411,832","112,867,785","- 21,455,953",123.5,106,0
