Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
"Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,114,1
"Policy Planning, General
Administration and Support
Services","General Adminis-
tration and Support
Services","179,356,753","164,857,274","14,499,479",91.9,115,0
,Sub total,"179,356,753","164,857,274","14,499,479",91.9,115,0
"Crop, Land and Agribusiness
Development Services","Agribusiness Devel-
opment Services","12,880,300","12,500,000","380,300",97.0,115,0
,"National Agricul-
ture Rural Inclusive
Growth","398,751,450","113,413,211","285,338,239",28.4,115,0
,"Agriculture Sector
Development Sup-
port Programme","44,537,832",-,"44,537,832",-,115,0
,Sub total,"456,169,582","125,913,211","330,256,371",27.6,115,0
"Food Security Enhancement
Services","Sub Sector Infra-
structure Develop-
ment Services","71,364,875",-,"71,364,875",-,115,0
,Sub total,"71,364,875",-,"71,364,875",-,115,0
"Department of Tourism, Sports, Youth Gender, Culture and Social Services",,,,,,115,0
"Policy, Planning and General
Administration services","General Adminis-
tration and Support
Services","50,000,645","47,900,000","2,100,645",95.8,115,0
,"Policy and Planning
Services","4,629,410",-,"4,629,410",-,115,0
,Sub total,"54,630,055","47,900,000","6,730,055",87.7,115,0
"Tourism and Culture Devel-
opment Promotion Services","Tourism Develop-
ment and Promo-
tion Services","2,057,549",-,"2,057,549",-,115,0
,Sub total,"2,057,549",-,"2,057,549",-,115,0
,"Gender and Wom-
en Empowerment","3,045,503",-,"3,045,503",-,115,0
,"Youth Empower-
ment","2,000,000",-,"2,000,000",-,115,0
,Sub total,"5,045,503",-,"5,045,503",-,115,0
"Management and Develop-
ment of Sports and Sports
Facilities","Sports Infrastruc-
ture Development
Services","350,323,926","329,178,148","21,145,778",94.0,115,0
,"Sports Management
and Talent Devel-
opment","19,284,339",-,"19,284,339",-,115,0
,Sub total,"369,608,265","329,178,148","40,430,117",89.1,115,0
"Department of Roads, Transport and Public Works",,,,,,115,0
"General Administration,
Planning and Support
Services","Human Resource
and Support Ser-
vices","42,773,393","31,100,000","11,673,393",72.7,115,0
,"Roads and
Transport Services
Operations","15,189,712","4,000,000","11,189,712",26.3,115,0
,Sub total,"57,963,105","35,100,000","22,863,105",60.6,115,0
"Public works and mainte-
nance services","Quality control
and Enforcement","693,470",-,"693,470",-,115,0
,"Plant and Machin-
ery maintenance","5,524,443",-,"5,524,443",-,115,0
,Sub total,"6,217,913",-,"6,217,913",-,115,0
"Road Development and
Maintenance Services","Road Development
and Rehabilitation
services","771,143,002","522,451,573","248,691,429",67.8,116,0
,Road maintenance,"248,727,763","121,087,870","127,639,893",48.7,116,0
,Sub total,"1,019,870,765","643,539,443","376,331,322",63.1,116,0
Department of Energy and Mining,,,,,,116,0
Energy Services,"Electrical Power
Services","31,464,324",-,"31,464,324",-,116,0
,"Solar Power Ser-
vices","35,768,644","34,261,525","1,507,119",95.8,116,0
,Sub total,"67,232,968","34,261,525","32,971,443",51.0,116,0
"General Administration,
Planning and Support
Services","Administrative
Support Services","25,445,800","25,000,000","445,800",98.2,116,0
,Sub total,"25,445,800","25,000,000","445,800",98.2,116,0
Department of Education and ICT,,,,,,116,0
"General Administration and
Quality Assurance Service","General adminis-
tration Services","16,979,561",-,"16,979,561",-,116,0
,"Quality Assurance
Services","497,418,325","455,066,202","42,352,123",91.5,116,0
,Sub total,"514,397,886","455,066,202","59,331,684",88.5,116,0
"ECDE and Vocational Train-
ing Services",EYE Services,"68,907,176","49,953,077","18,954,099",72.5,116,0
,"Vocational Training
Services","26,232,809","20,000,000","6,232,809",76.2,116,0
,Sub total,"95,139,985","69,953,077","25,186,908",73.5,116,0
,"ICT Infrastructure
Development","9,050,000","9,000,000","50,000",99.4,116,0
,Sub total,"9,050,000","9,000,000","50,000",99.4,116,0
Department of Health Services,,,,,,116,0
"Policy planning and admin-
istrative support service","Policy, Planning
and Monitoring
Services","303,171,046","292,457,677","10,713,369",96.5,116,0
,"Administrative
Support Services","2,179,542,448","2,178,462,303","1,080,145",100.0,116,0
,Sub total,"2,482,713,494","2,470,919,980","11,793,514",99.5,116,0
"Preventive and promotive
health services","Community health
services","18,000,000","6,434,379","11,565,621",35.7,116,0
,"Disease control
services","67,750,000","35,579,159","32,170,841",52.5,116,0
,"Facility infrastruc-
ture improvement
services","103,276,310","78,435,899","24,840,411",75.9,116,0
,Sub total,"189,026,310","120,449,437","68,576,873",63.7,116,0
"Curative and rehabilitative
health services","Routine medical
health services","228,089,518","91,000,000","137,089,518",39.9,116,0
,"Medical emergency
response services","20,000,000",-,"20,000,000",-,116,0
,"Facility infrastruc-
ture improvement
services","247,347,872","237,598,750","9,749,122",96.1,116,0
,Sub total,"495,437,390","328,598,750","166,838,640",66.3,116,0
"Research and development
service","Research and sur-
veillance services","2,000,000",-,"2,000,000",-,116,0
