Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
Legislation and Oversight,Legislation and Oversight,"1,006,961,558","912,285,254","94,676,304",90.6,185,1
Sub Total,,"1,006,961,558","912,285,254","94,676,304",90.6,185,1
"Office of the Governor and
Deputy Governor","070601 County Executive
Services","303,048,284","302,166,764.70","881,519",99.7,185,1
"County Executive Admin-
istration","070701County Executive
Services","143,630,336","73,119,321.95","70,511,014",50.9,185,1
"Management of County
Affairs","070801 Coordination of
County Functions","121,452,000","118,261,867.50","3,190,133",97.4,185,1
"County Executive Commit-
tee Affairs","070901 Organization of
County Business","6,200,000","5,205,043.05","994,957",84.0,185,1
"County Public Service
Board","071001 Human Resource
Management","12,906,040","11,755,906.00","1,150,134",91.1,185,1
"Administrative Support
Services",020202 ICT Governance,"3,480,000","3,055,600.00","424,400",87.8,185,1
,"020701 Government Build-
ings Services","2,567,000","1,888,285.00","678,715",73.6,185,1
,070411 Audit Committee,"1,919,000","1,654,700.00","264,300",86.2,185,1
,"070412 County Enforcement
Activities","4,185,000","3,310,600.00","874,400",79.1,185,1
,"070413 ICT Infrastructure
Development Management","2,458,800","2,418,000.00","40,800",98.3,185,1
,"070414 ICT Systems Devel-
opment Management","1,522,000","1,096,200.00","425,800",72.0,185,1
Sub Total,,"603,368,460","523,932,288","79,436,172",86.8,185,1
Public Finance Management,070401 Finance Services,"560,294,675","445,555,794.50","114,738,881",79.5,185,1
,070402 Revenue Services,"16,800,000","16,325,065.15","474,935",97.2,185,1
,"070404 Procurement and
Supply Services","6,446,500","6,441,500.00","5,000",99.9,185,1
,"070405 Internal Audit Ser-
vices","1,318,200","1,129,000.00","189,200",85.6,185,1
,"070408 Budget Formulation,
Coordination and Manage-
ment","7,914,520","7,762,320.00","152,200",98.1,185,1
,070409 Accounting Services,"5,477,500","5,278,260.00","199,240",96.4,185,1
"County Planning and Eco-
nomic Policy Management","070501 Economic Planning
Services","3,599,000","3,233,800.00","365,200",89.9,185,1
Sub Total,,"601,850,395.00","485,725,739.65","116,124,655",80.7,185,1
"Curative and Rehabilitative
Services","040301 Curative and Rehabil-
itative Services","2,921,022,278","2,451,512,581.23","469,509,697",83.9,186,0
Sub Total,,"2,921,022,278","2,451,512,581","469,509,697",83.9,186,0
Basic Education,"050101 General Adminis-
tration","264,796,229","263,934,529.00","861,700",99.7,186,0
,"050102 Free Pre-Primary
Education","19,840,000","13,968,188.80","5,871,811",70.4,186,0
"State Education Function
Support",050203 Tertiary Education,0,-,0,0.0,186,0
"Technical and Vocational
Training",050301 Village Polytechnique,"37,186,304","28,037,834.00","9,148,470",75.4,186,0
Sub Total,,"321,822,533","305,940,552","15,881,981",95.1,186,0
"Livestock Resource Manage-
ment and Development","010102 Livestock Exten-
sion and Capacity Building
Services","305,000","304,910.00",90,100.0,186,0
,"010105 Livestock Production
Management","2,480,000","2,094,528.00","385,472",84.5,186,0
,"010106 Livestock Disease
Management & Control","1,200,000","1,024,802.50","175,198",85.4,186,0
"Crop Development and
Management","010202 Agricultural Exten-
sion Services","1,500,000","1,335,328.00","164,672",89.0,186,0
,"010203 Agribusiness and
Market Development","320,000","85,000.00","235,000",26.6,186,0
,"010206 Land and Crop De-
velopment","1,331,000","775,888.50","555,112",58.3,186,0
,"010207 Food Security Ini-
tiatives","400,000","399,300.00",700,99.8,186,0
"Kamweti Agricultural Train-
ing Centre",Extension and Training,-,-,-,0.0,186,0
Fisheries Development,"010402 Aquaculture Devel-
opment","200,000","7,265.00","192,735",3.6,186,0
"Policy Strategy and Manage-
ment of Agriculture","010801 Development of Agri-
cultural Policy","2,543,000",-,"2,543,000",0.0,186,0
,"011001 General Administra-
tion and Planning","1,037,317,762","505,098,576.91","532,219,185",48.7,186,0
Sub Total,,"1,047,596,762","511,125,599","536,471,163",48.8,186,0
Culture,"090702 Social Welfare Ser-
vices","10,687,000","2,427,800.00","8,259,200",22.7,186,0
,"091201 Gender Administra-
tion Services","30,821,210","30,696,169.75","125,040",99.6,186,0
,"091301 Gender and Social
Development","8,990,000","5,308,465.00","3,681,535",59.0,186,0
Youth,"090901 Youth Development
and Empowerment Services","670,000","498,395.00","171,605",74.4,186,0
Sub Total,,"51,168,210","38,930,830","12,237,380",76.1,186,0
Sports,"090701 General Adminis-
tration","12,221,217","11,999,197.25","222,020",98.2,186,0
,"090801 Development of
Sports and Sports Facilities","19,937,353","3,723,843.52","16,213,509",18.7,186,0
,"091401 Management &
Development of Sports and
Sports Facilities","2,925,000","2,823,435.00","101,565",96.5,186,0
,"091601 Control &
Campaign Against Drug
& Substance Abuse","1,549,000","1,549,000.00",-,100.0,187,0
,"091701 Preservation &
Promotion of Heritage and
Culture","248,800","209,400.00","39,400",84.2,187,0
Children Services,"091101 Child Community
Support Services","5,764,000","5,014,259.00","749,741",87.0,187,0
Sub Total,,"42,645,370","25,319,135","17,326,235",59.4,187,0
"Trade Development and
Investment","030401 General Administra-
tion and Planning","37,773,441","37,689,435.90","84,005",99.8,187,0
,"030103 Capacity Building for
Traders and SMEs","1,527,000","96,803.00","1,430,197",6.3,187,0
,"030104 promotion, Develop-
ment & Growth of Trade","354,000","315,800.00","38,200",89.2,187,0
,"030105 Fair Trade Practises
and Consumer Protection","205,000","150,000.00","55,000",73.2,187,0
"Tourism Development and
Marketing","030302 Tourism Promotion
and Marketing","195,500","150,000.00","45,500",76.7,187,0
,"030304 International Tourism
Promotion and Marketing","310,000","214,100.00","95,900",69.1,187,0
,"030305 Promotion of Indus-
trial Development","1,268,500","763,000.00","505,500",60.1,187,0
,"030306 Provision of Industri-
al Training","140,000",-,"140,000",0.0,187,0
"Cooperative Development
and Marketing","030101 General Administra-
tion & Planning","19,471,788","5,020,957.50","14,450,831",25.8,187,0
,"030405 Cooperative Advisory
and Extension Services","295,000","284,200.00","10,800",96.3,187,0
,"030406 Cooperative Educa-
tion and Training","542,000","351,300.00","190,700",64.8,187,0
,"030407 Cooperative Gover-
nance and Accountability","159,000","134,700.00","24,300",84.7,187,0
Cooperative Audit Services,"030603 Inspections
and Investigations
for Cooperatives","70,000","70,000.00",-,100.0,187,0
Sub Total,,"62,311,229","45,240,296","17,070,933",72.6,187,0
Water Supply Services,090101 Water and Irrigation,"126,675,566","18,025,591.00","108,649,975",14.2,187,0
Energy Programme,090301 Energy Services,"405,000","378,900.00","26,100",93.6,187,0
"Cleaning and Waste Man-
agement","090502 Environment Man-
agement and Protection","675,800","616,550.00","59,250",91.2,187,0
Nema,"090401 Waste Management
Services","101,508,439","100,850,755.90","657,683",99.4,187,0
Sub Total,,"229,264,805","119,871,797","109,393,008",52.3,187,0
Land and Physical Planning,"010601 General Administra-
tion and Planning","26,533,028","26,062,285.45","470,742",98.2,187,0
,"010604 County Spatial
Planning","1,510,000","1,378,340.00","131,660",91.3,187,0
,"010605 Town Zoning and
Mapping","99,192,631","4,500,000.00","94,692,631",4.5,187,0
,010607 Survey and Mapping,"505,000","336,113.00","168,887",66.6,187,0
,,"420,000",,,,187,0
