Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index,"Actual Payment
(Kshs)","s Variance
(Kshs.)"
Education,,,,,,235,1,,
"General Administration &
Planning services",Personnel services,"71,265,456","56,321,856","14,943,600",79.0,235,1,,
,Administration Services,"12,269,490","10,311,836","1,957,654",84.0,235,1,,
Vocational Training Institutes.,"Vocational Training Insti-
tutes.","44,782,318","31,158,263","13,624,055",69.6,235,1,,
"Collaboration with Stakehold-
ers","Collaboration with Stake-
holders.","4,000,000","3,746,894","253,106",93.7,235,1,,
"Gender Culture and Social Ser-
vices.","Gender Culture and Social
Services.","26,390,485","20,631,949","5,758,536",78.2,235,1,,
Youth and Sports.,Youth & Sports,"16,704,700","12,722,360","3,982,340",76.2,235,1,,
Education & Library Services,"Education and Library
Services.","65,684,875","59,354,449","6,330,426",90.4,235,1,,
Talent Development Services,Talent Development,"5,484,112","3,976,349","1,507,763",72.5,235,1,,
Sub-total,,"246,581,436","198,223,957","48,357,480",80.4,235,1,,
County Assembly,,,,,,236,0,,
"General Administration &
Planning Services",Administration services,"296,753,531","296,684,920","296,753,531",100.0,236,0,,
Legislative & Oversight,"Legislation & Oversight
Services","197,835,688","197,789,947","197,835,688",100.0,236,0,,
"Infrastructure improvement
services","County Assembly Infra-
structure improvement","43,268,047","43,265,974","43,268,047",100.0,236,0,,
Sub-total,,"537,857,266","537,740,841","537,857,266",100.0,236,0,,
County Health Services,,,,,,236,0,,
"Curative & Rehabilitative
Health","Health Infrastructure De-
velopment","46,179,859","23,176,668","23,003,190.80",50.19,236,0,,
,"Health Products & Tech-
nologies Support","274,436,312","182,667,726","91,768,586.00",66.56,236,0,,
,"Emergency Referral & Re-
habilitative Service","99,548,177","61,478,640","38,069,537.25",61.76,236,0,,
"General Administration &
Planning Services","Essential Health Institu-
tions & Services","126,629,882","90,952,514","35,677,368.00",71.83,236,0,,
,"Administrative, Project
Planning & Implementa-
tion Services","137,877,133","102,999,920","34,877,212.85",74.70,236,0,,
,"Human Resource Devel-
opment","1,578,203","1,555,803","22,400.00",98.58,236,0,,
,"Health Policy, Gover-
nance, Planning & Fi-
nancing","21,424,203","19,756,410","1,667,793.00",92.22,236,0,,
,"Health Information Stan-
dards & Quality Assur-
ance","1,500,000","359,990","1,140,010.00",24.00,236,0,,
,"Community Health Strat-
egy, Advocacy & Surveil-
lance","43,441,900","8,846,000","34,595,900.00",20.36,236,0,,
Preventive Health Services,"Family Planning, Mater-
nal & Child Health Ser-
vices","3,598,100","1,731,700","1,866,400.00",48.13,236,0,,
,"Non-Communicable Dis-
eases Control & Preven-
tion","2,800,000","1,400,000","1,400,000.00",50.00,236,0,,
,"Public Health Promotion
& Nutrition Services","7,935,123","9,316,273","- 1,381,150.00",117.41,236,0,,
,"Social Health Insurance
scheme","32,178,971","51,296,942","- 19,117,970.70",159.41,236,0,,
Sub-total,,"799,127,863","555,538,586","243,589,277.20",69.52,236,0,,
"Infrastructure, Physical Planning & Lands",,,,,,236,0,,
"General Administration and
Planning Services",Administration Services,"15,071,584","4,425,083","10,646,501",29.4,236,0,,
,"Planning and Financial
Management","2,843,600","2,288,500","555,100",80.5,236,0,,
Financial Services,"County Treasury adminis-
trative services","272,090,282","255,426,864","16,663,418",93.9,236,0,,
"Land and Housing Manage-
ment","Housing Policy Develop-
ment","2,742,666","2,486,116","256,550",90.6,236,0,,
"Public Works Service Delivery
Improvement","County Building Con-
struction Standard","2,342,150","1,658,550","683,600",70.8,236,0,,
"Renewable /Green Energy Ser-
vices","County renewable/green
energy services","11,604,211","4,072,930","7,531,281",35.1,237,0,,
"Roads Network Improvement
Housing and Urban Develop-
ment","Road Network improve-
ment","151,500,000","150,000,000","1,500,000",99.0,237,0,,
,"Road network mainte-
nance","55,007,257","55,007,257",0,100.0,237,0,,
,"Heavy equipment Mainte-
nance","1,470,490","1,470,490",0,100.0,237,0,,
,Urban Development,"3,500,000","601,116","2,898,884",17.2,237,0,,
"Critical Infrastructure rehabili-
tation and Construction","Inter ward bridge con-
struction program","13,529,510","1,133,139","12,396,371",8.4,237,0,,
"Administration and Support
Services","Managed Specialised
equipment and Vehicles","220,000,000","220,000,000",0,100.0,237,0,,
Physical Planning and Survey,"Survey and Planning ser-
vices","19,760,000","1,304,900","18,455,100",6.6,237,0,,
,"Land Management ser-
vices","10,000,000","267,300","9,732,700",2.7,237,0,,
Sub-total,,"781,461,750","700,142,245","81,319,505",89.6,237,0,,
"Trade, Tourism & Cooperatives",,,,,,237,0,,
"General Administration &
Planning services",Administration Services,"6,000,000","5,713,590","286,410",95.2,237,0,,
,Personnel Services,"1,215,450","444,500","770,950",36.6,237,0,,
,Policy Development,"1,000,000","645,030","354,970",64.5,237,0,,
"Co-operative Development and
promotion","Co-operative Develop-
ment and promotion","2,000,000","1,806,051","193,949",90.3,237,0,,
,Research & Development,"500,000","136,000","364,000",27.2,237,0,,
,Revolving Fund,"11,000,000","1,000,000","10,000,000",9.1,237,0,,
Trade & Investments,"Market Infrastructure De-
velopment/Trade Promo-
tion Services","500,000","162,179","337,821",32.4,237,0,,
,"Market Infrastructure De-
velopment","37,763,180","29,915,452","7,847,728",79.2,237,0,,
,"Metrological Lab-weights
and measures","1,000,000","1,000,000",-,100.0,237,0,,
"Tourism Development & Pro-
motion","Tourism Promotion and
Marketing","3,000,000","1,375,860","1,624,140",45.9,237,0,,
,"Tourism Infrastructural
Development","10,036,820","5,007,516.00","5,029,304",49.9,237,0,,
Sub-total,,"74,015,450","47,206,178","26,809,272",63.8,237,0,,
County Administration Services,,,,,,237,0,,
"Human Capital Management &
Development","Compensation to employ-
ees","3,092,925,632","2,737,556,366","355,369,266",88.5,237,0,,
,"County Public Service
Board","18,500,000","16,981,371","1,518,629",91.8,237,0,,
"County Administration Ser-
vices","Headquarter Administra-
tion Services","36,096,931","28,151,564","7,945,367",78.0,238,0,,
,"ICT Infrastructure &
Connectivity","10,000,000","8,255,100","1,744,900",82.6,238,0,,
,"County Administration
Services","16,800,000","14,951,981","1,848,019",89.0,238,0,,
,"County services delivery
and result reporting","5,500,000","4,982,241","517,759",90.6,238,0,,
,Car & Mortgage,-,-,0,0.0,238,0,,
,Decentralised Services,"51,342,860","40,937,065","10,405,795",79.7,238,0,,
,Executive Support Service,"75,000,000","71,237,460","3,762,540",95.0,238,0,,
,Grants & Transfers,"251,028,342","225,747,584","25,280,758",89.9,238,0,,
,"Urban Facilities Manage-
ment","25,000,000","24,398,906","601,094",97.6,238,0,,
,Legal Services,"46,900,000","42,192,469","4,707,531",90.0,238,0,,
Security & Policing Services,"Disaster Reduction Man-
agement","8,100,000","8,100,000",0,100.0,238,0,,
,"Enforcement And Disas-
ter Management","12,850,000","9,656,137","3,193,863",75.1,238,0,,
,"Alcohol Control Commit-
tee","7,500,000","7,321,450","178,550",97.6,238,0,,
,"Intergovernmental & Do-
nor Relations","27,000,000","22,873,131","4,126,869",84.7,238,0,,
,Fire Services,"7,050,000","5,767,508","1,282,492",81.8,238,0,,
"Public Participation & Civic
Education",Public participation,"36,000,000","35,763,297","236,703",99.3,238,0,,
Sub-total,,"3,727,593,765","3,304,873,630","422,720,136",88.7,238,0,,
"Water, Environment & Natural Resources",,,,,,238,0,,
Water Development,"Rural water supply and
sanitation","102,892,936","98,893,970","3,998,966",96.1,238,0,,
"General Administration & Sup-
port Services","Administrative and Plan-
ning Services","12,019,589","11,746,633","272,956",97.7,238,0,,
,"Motor vehicle mainte-
nance and fuel provision","14,000,000","10,961,208","3,038,792",78.3,238,0,,
,"Development of water
management policies","8,999,999","1,245,600","7,754,399",13.8,238,0,,
"Environment & Natural Re-
sources",Solid Waste Management,"12,000,000","7,135,295","4,864,705",59.5,238,0,,
,"Human-Wildlife Conflict
Prevention","1,500,000",,"1,500,000",-,238,0,,
,"Natural Resources Man-
agement","3,000,000",0,"3,000,000",-,238,0,,
,"Climate Change Adapta-
tion & Mitigation","3,000,000","1,617,000","1,383,000",53.9,238,0,,
,"Integrated land rehabili-
tation","2,631,320","1,496,244","1,135,076",56.9,238,0,,
Sub-total,,"160,043,844","133,095,950","26,947,894",83.2,238,0,,
"Agriculture, Livestock & Veterinary",,,,,,238,0,,
Headquarter Services,"Headquarter Administra-
tion Services","81,418,816","39,952,574","41,466,242",49.1,238,0,,
,"Agriculture Sector Exten-
sion Management","34,065,351","13,646,909","20,418,442",40.1,238,0,,
Livestock Production,"Livestock Resource Devel-
opment and Management","3,000,000",,,49.4,239,0,"1,481,200.00","1,518,800"
,"Livestock Marketing and
Value Addition","200,000",,,100.0,239,0,"199,995.00",5
"Crop Production & Horticul-
ture","Land and Crop Produc-
tivity Enhancement and
Management","7,000,000",,,46.8,239,0,"3,275,050","3,724,950"
,"Strategic Food Security
Service","99,053,704",,,37.4,239,0,"36,996,858","62,056,846"
,"Agribusiness and Infor-
mation Management","55,000",,,-,239,0,0,"55,000"
,"Standards and Quality As-
surance","600,000",,,83.3,239,0,"500,000","100,000"
,"Climate Change Adapta-
tion & Mitigation","571,396,177",,,40.0,239,0,"228,340,830.00","343,055,347"
Veterinary Services,"Animal Health and Dis-
ease Management","4,200,000",,,74.7,239,0,"3,135,660.00","1,064,340"
Fisheries Services,"Fisheries Development
and Management","2,900,000",,,26.8,239,0,"778,287.80","2,121,712"
Sub-total,,"803,889,048",,,40.8,239,0,"328,307,364","475,581,684"
Finance & Economic Planning,,,,,,239,0,,
"General Administration &
Planning Services","Headquarter administra-
tion services","11,400,000",,,100.0,239,0,"11,400,000",0
"Administration, Planning &
Support Services",Personnel Services,"1,941,131",,,74.2,239,0,"1,441,131","500,000"
,"General Administration
Services","158,588,334",,,84.7,239,0,"134,353,709","24,234,625"
,Infrastructural Services,"1,247,627,355",,,0.0,239,0,0,"1,247,627,355"
"Public Finance Management
Services",Internal Audit Services,"7,939,000",,,100.0,239,0,"7,939,000",0
,"County Treasury Admin-
istrative Services","78,357,625",,,71.0,239,0,"55,634,896","22,722,729"
,"Revenue collection ser-
vices","41,998,000",,,100.0,239,0,"41,998,000",0
,"Laikipia County Develop-
ment Authority","25,500,000",,,100.0,239,0,"25,500,000",0
,"Supply chain management
services","13,500,000",,,95.4,239,0,"12,883,435","616,565"
Development Planning Services,"Monitoring and Evalua-
tion Services","5,860,000",,,100.0,239,0,"5,860,000",0
,"Strategic Partnership &
Collaboration","26,800,000",,,98.6,239,0,"26,423,732","376,268"
,"Research, Statistics &
Documentation","68,523,132",,,50.1,239,0,"34,323,378","34,199,754"
,Participatory Budgeting,"5,500,000",,,100.0,239,0,"5,500,000",0
Sub-total,,"1,693,534,577",,,21.4,239,0,"363,257,281","1,330,277,296"
Rumuruti Municipality,,,,,,239,0,,
"General Administration and
Planning Services",Administration Services,"10,500,000",,,47.6,239,0,"5,000,000","5,500,000"
"Roads Network Improvement
Housing and Urban Develop-
ment","Road Network improve-
ment","43,955,676",,,100.0,239,0,"43,955,676",-
Sub-Total,,"54,455,676",,,89.9,239,0,"48,955,676","5,500,000"
GRAND TOTAL,,"8,878,560,675",,,70.0,239,0,"6,217,341,707","2,661,218,969"
