Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,281,0
A.. COUNTY ASSEMBLY,,,,,,281,0
"1: General Admin-
istration Support
Services","SP 1.1 salaries and allowances
for employees and M.C.As","204,454,199","204,454,199.0",-,-,281,0
,"SP 1.2 Hospitality, Catering
services, donations and gifts,
boards, committees, confer-
ences and seminars","47,674,469","47,674,469.00",-,-,281,0
"Total Expenditure
for Programme 1",,"252,128,668","252,128,668",-,,281,0
"Programme 2:
Legislature and
Oversight","SP 2.1 Domestic and foreign
accommodation, air travel and
daily subsistence allowance","113,257,457","113,257,457.00",-,-,281,0
,"SP 2.2 ICT, Hansard and Com-
munication equipment","11,500,000","11,500,000.00",-,-,281,0
,"SP 2.3 Mortgage & Car Loans
and tax","86,987,786","46,987,786.00","40,000,000.00",46.0,281,0
,"SP 2.4 Staff Trainings and
Development and Tuitions","37,907,263","37,907,263.00",-,-,281,0
,SP 2.5 Public Participation,-,-,-,-,281,0
,,A,B,C=A-B,D=B/A*100,282,0
"Total Expenditure
for Programme 2
Programme 3:
County Assembly
infrastructure
improvement",,"249,652,506","209,652,506.0","40,000,000.00",,282,0
,SP 3.11 Equipping of library,-,-,-,-,282,0
,"SP 3.12 Maintenance of motor
vehicle","12,750,000","12,750,000.00",-,-,282,0
,"SP 3.13 Purchase of furniture
and general equipment","7,366,678","7,366,678.00",-,-,282,0
,"SP 3.14 Construction of Coun-
ty Assembly Headquarters and
modern chambers, purchase of
land for the speaker's residence,
construction and equipping of
ward offices","273,772,871","19,371,467.09","254,401,403.91",92.9,282,0
,"SP 3.15 Improvement of ICT
services",-,-,-,-,282,0
,"SP 3.16 Maintenance of plants,
machinery & other assets","10,016,760","10,016,760.00",-,-,282,0
,"SP 3.17 Electricity, water and
sewerage and other utility
charges","17,428,878","17,428,878.00",-,-,282,0
,"SP 3.18 Printing, advertisement
and information supplies and
services","46,321,371","46,321,371.00",-,-,282,0
,"SP 3.19 Rental of approved as-
sets and hire of motor vehicles","12,200,000","12,200,000.00",-,-,282,0
,"SP 3.20 Insurance cost for
group personal, building, mo-
tor vehicle and medical cover","27,980,382","27,980,382.00",-,-,282,0
,,A,B,C=A-B,D=B/A*100,283,0
,"SP 3.21 Purchase of computers,
printers and general office sup-
plies and accessories and sani-
tary cleaning materials","45,020,000","45,020,000.00",-,-,283,0
,"SP 3.22 Fuel, oil, lubricants and
tyres","10,000,000","10,000,000.00",-,-,283,0
,"SP 3.23 Bank service commis-
sion and charges, legal fees,
management fees and contract-
ed professional charges and
other operating expenses","25,730,000","25,730,000.00",-,-,283,0
,SP 3.24 Ward office,"28,400,000","28,400,000.00",-,-,283,0
,"SP 3.25 Uniform, Specialized
materials and supplies","13,000,000","13,000,000.00",-,-,283,0
,"-SP 3.26 Membership fees and
dues and subscription to inter-
national organisations","750,000","750,000.00",-,-,283,0
,"SP 3.28 Refurbishment of
buildings","8,000,000","8,000,000.00",-,-,283,0
,SP 3.29 Gratuity/pension,"32,417,163","32,417,163.00",-,-,283,0
,"SP 3.30 Purchase of motor ve-
hicle",0,-,-,#DIV/0!,283,0
,"SP 3.31Research, Feasibility
Studies, Project and Prepara-
tion and Design, Projects",-,-,,-,283,0
,"Total expenditure for Pro-
gramme 3","571,154,103.0","316,752,699.1","254,401,403.9",,283,0
,,"1,072,935,277.0","778,533,873.09","294,401,403.9",,283,0
"COUNTY EXECU-
TIVE SERVICES
PHYSICAL
PLANNING AND
DEVELOPMENT",,,,,,283,0
,Urban Development Services,"71,912,795.00","51,558,906.00","20,353,889.00",71.7,283,0
,"Lands and Physical Planning
Services","76,500,000.00","49,462,426.00","27,037,574.00",64.7,283,0
,"General administration plan-
ning and Support Services","122,637,768.00","119,984,367.00","2,653,401.00",97.8,283,0
,Sub total,"271,050,563.00","221,005,699.00","50,044,864.00",81.5,283,0
EDUCATION,"General Administration, Plan-
ning and Support Services","373,713,480.00","351,132,290.00","22,581,190.00",94.0,283,0
,Pre – Primary Education,"48,449,946.00","12,309,700.00","36,140,246.00",25.4,283,0
,Youth Development,"61,200,000.00","54,829,400.00","6,370,600.00",89.6,283,0
,"Vocational Education and
Training","7,000,000.00","1,891,800.00","5,108,200.00",27.0,283,0
,Sports,"17,000,000.00","8,071,900.00","8,928,100.00",47.5,283,0
,Sub total,"507,363,426.00","428,235,090.00","79,128,336.00",84.4,283,0
"EXECUTIVE SER-
VICES","General Administration, Plan-
ning and Support Services","1,385,000,000.00","1,363,631,737.00","21,368,263.00",98.5,283,0
,Management of County Affairs,-,-,-,-,283,0
,Public Sector Advisory Services,-,-,-,-,283,0
,Inter/Intra Governmental,-,-,-,-,283,0
,County Legal Services,-,-,-,-,283,0
,Sub total,"1,385,000,000.00","1,363,631,737.00","21,368,263.00",98.5,283,0
,,A,B,C=A-B,D=B/A*100,284,0
"ADMINISTRA-
TION AND ICT","General administration plan-
ning and Support Services","307,900,000.00","257,450,330.00","50,449,670.00",83.6,284,0
,ICT Infrastructure,-,-,-,-,284,0
,"Coordination of functions of
devolved Units",-,-,-,-,284,0
,"Public Participation and Civic
Education",-,-,-,-,284,0
,Sub total,"307,900,000.00","257,450,330.00","50,449,670.00",83.6,284,0
"AGRICULTURE
AND LIVESTOCK
DEVELOPMENT","General Administration, Plan-
ning and Support Services","101,831,802.00","110,107,586.00","(8,275,784.00)",108.1,284,0
,"Livestock Resources Manage-
ment and Development","97,197,918.00","77,662,842.00","19,535,076.00",79.9,284,0
,"Fisheries Development and
Management","46,713,971.00","19,479,766.00","27,234,205.00",41.7,284,0
,"Crop Development and Man-
agement","99,357,722.00","77,630,558.00","21,727,164.00",78.1,284,0
,Sub total,"345,101,413.00","284,880,752.00","60,220,661.00",82.5,284,0
"HEALTH SER-
VICES",Curative Health Services,"180,815,000.00","135,929,945.00","44,885,055.00",75.2,284,0
,"General Administration, Plan-
ning and Support Services","1,660,983,678.00","1,510,685,552.00","150,298,126.00",91.0,284,0
,Maternal and child health,"10,000,000.00","10,000,000.00",-,100.0,284,0
,Sub total,"1,851,798,678.00","1,656,615,497.00","195,183,181.00",89.5,284,0
"COUNTY PUBLIC
SERVICE BOARD","General administration plan-
ning and Support Services","95,868,568.00","90,064,739.00","5,803,829.00",93.9,284,0
,"Human Resource Management
and Development","7,000,000.00",-,"7,000,000.00",-,284,0
,Sub total,"102,868,568.00","90,064,739.00","12,803,829.00",87.6,284,0
"CULTURE AND
SOCIAL SERVICES",Youth Development,-,-,-,-,284,0
,Culture Services,"18,500,000.00","18,121,100.00","378,900.00",98.0,284,0
,Social Services,"3,500,000.00","3,083,200.00","416,800.00",88.1,284,0
,"General administration, plan-
ning and support services","62,770,872.00","53,468,984.00","9,301,888.00",85.2,284,0
,Sub total,"84,770,872.00","74,673,284.00","10,097,588.00",88.1,284,0
"FINANCE AND
ECONOMIC
PLANNING","General administration plan-
ning and Support Services","2,265,008,750.00","2,009,448,732.00","255,560,018.00",88.7,284,0
,Public Finance Management,"19,300,000.00","13,857,200.00","5,442,800.00",71.8,284,0
,"Economic and financial policy
Formulation","14,000,000.00","13,965,500.00","34,500.00",99.8,284,0
,Sub total,"2,298,308,750.00","2,037,271,432.00","261,037,318.00",88.6,284,0
"ROADS, HOUS-
ING AND PUBLIC
WORKS","Road Transport Infrastructure
Development","480,786,567.00","161,652,433.00","319,134,134.00",33.6,284,0
,Housing Development,"42,900,760.00","37,990,106.00","4,910,654.00",88.6,284,0
,"General administration plan-
ning and Support Services","46,489,581.00","33,119,724.00","13,369,857.00",71.2,284,0
,Sub total,"570,176,908.00","232,762,263.00","337,414,645.00",40.8,284,0
"TRADE, INDUS-
TRY & ENTER-
PRISE DEVELOP-
MENT","General administration plan-
ning and Support Services","89,850,000.00","67,528,613.00","22,321,387.00",75.2,284,0
,"Trade and Industrial Develop-
ment",-,-,-,-,284,0
,Enterprise Development,"2,000,000.00","1,700,000.00","300,000.00",85.0,284,0
