Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
Department of Finance and Economic Planning,,,,,,342,0
"Programme 1:
Administration,
Planning and Support
Services","SP 1.1: Administration Ser-
vices","401,194,096","386,797,200","14,396,896",96.4,342,0
,Sp 1.2: Personnel Services,"552,772,189","511,654,148","41,118,041",92.6,342,0
Sub Total,,"953,966,285","898,451,348","55,514,937",94.2,342,0
"Programme 2: Public
Finance Management","SP 2.1: Budget Formulation
Coordination and Manage-
ment","68,407,062","67,437,481","969,581",98.6,342,0
,SP 2.2: Resource Mobilisation,"83,630,120","79,009,672","4,620,448",94.5,342,0
,SP 2.3: Internal Audit,"34,644,521","32,546,554","2,097,967",93.9,342,0
,SP 2.4: Procurement,"18,120,293","17,175,127","945,166",94.8,342,0
,"SP 2.5: Public Finance and
Accounting","26,536,381","24,562,317","1,974,064",92.6,342,0
,SP 2.6: Debt Management,"246,236,208","216,550,694","29,685,514",87.9,342,0
,"SP 2.7: External Resource
Mobilization","11,923,988","11,732,692","191,296",98.,342,0
Sub Total,,"489,498,573","449,014,537","40,484,036",91.7%,342,0
"Programme 3: Eco-
nomic and Financial
Policy Formulation
and Management",SP 3.1: Fiscal Planning,"29,960,301","27,310,033","2,650,268",91.2,342,0
,"SP 3.2: Monitoring & Evalua-
tion / Statistical Data Manage-
ment","9,626,747","8,571,196","1,055,551",89.0,342,0
,SP 3.3: KDSP Programme,"232,715,207","111,558,895","121,156,312",47.9,342,0
Sub Total,,"272,302,255","147,440,124","124,862,131",54.1,342,0
Department of Public Service Training and Devolution,,,,,,342,0
"Programme 1
Administration,
Planning and Support
service","Sub-programme 1.1(Adminis-
tration service)","202,357,877","200,880,920","1,476,957",99.3,343,0
,"Sub-programme 1.2(Personal
Service)","543,295,896","543,038,210","257,686",100.0,343,0
,"Sub-programme 1.3(Financial
Service)","500,000",-,"500,000",0.0,343,0
,"Sub-programme 1.4(Co-ordi-
nation of Public and Special
Community Programme)","3,550,000","2,777,550","772,450",78.2,343,0
,"Sub-programme 1.5(Main-
stream Workplace HIV/
AIDS, Alcohol & Drug Abuse
Control)","2,000,000","579,600","1,420,400",29.0,343,0
,"Sub-programme 1.6(Rehabil-
itation/Construction of Sub
County Offices)","85,119,295","19,413,295","65,706,000",22.8,343,0
Sub Total,,"836,823,068","766,689,575","70,133,493",91.6,343,0
"Programme 2:Legal
Services","Sub-programme 2.1(Legal Ser-
vices to County Government
and Public)","10,575,000","8,097,425","2,477,575",76.6,343,0
,"Sub-programme 2.2 (Co-ordi-
nation of County Compliance
and enforcement services)","5,625,000","4,417,730","1,207,270",78.5,343,0
Sub Total,,"16,200,000","12,515,155","3,684,845",77.3,343,0
"Programme 3:
Human Resource
Management and
Development","Sub-programme 3.1 Perfor-
mance Contracting","5,000,000","3,850,000","1,150,000",77.0,343,0
,"Sub-programme 3.2 Perfor-
mance Appraisal System","5,000,000","4,227,625","772,375",84.6,343,0
,"Sub-programme 3.3 Staff de-
velopment Through Capacity
Building and Training","70,603,631","61,953,296","8,650,335",87.7,343,0
Sub Total,,"80,603,631","70,030,921","10,572,710",86.9,343,0
"Programme 4: Di-
saster Management
and Humanitarian
Assistance","Sub-programme 4.1 Disaster
Management and Humanitari-
an Assistance","5,500,000","3,314,038","2,185,962",60.3,343,0
Sub Total,,"5,500,000","3,314,038","2,185,962",60.3,343,0
"Department of Agriculture, Livestock and Fisheries",,,,,,343,0
"Programme 1:
Administration,
Planning and Support
Services","SP 1.1: Human Resources
Services","336,085,782","326,018,973","10,066,809",97.0,343,0
,"SP 1.2: Administration, Plan-
ning and Support Services","378,075,953","260,514,185","117,561,768",68.9,343,0
Sub Total,,"714,161,735","586,533,158","127,628,577",82.1,343,0
"Programme 2:
Livestock Resource
Management and
Development","SP 2.1: Livestock Production
and Management","151,346,882","74,047,465","77,299,417",48.9,343,0
,"SP 2.2: Promotion of Value
Addition of Livestock and
Livestock Products","29,203,118","21,509,375","7,693,743",73.7,344,0
,"SP 2.3: Livestock Extension
Service Delivery","29,230,295","21,059,150","8,171,145",72.0,344,0
,"SP 2.4: Food Safety and Live-
stock Products Development","9,050,000","6,041,000","3,009,000",66.8,344,0
,"SP 2.5: Livestock Disease Man-
agement and Control","50,383,413","31,873,198","18,510,215",63.3,344,0
Sub Total,,"269,213,708","154,530,188","114,683,520",57.4,344,0
"Programme 3: Fisher-
ies Development","SP 3.1: Aquaculture develop-
ment","10,500,000","5,799,199","4,700,801",55.2,344,0
,"SP 3.2: Development of capture
fisheries resources","3,871,070","2,320,550","1,550,520",59.9,344,0
,"SP 3.3: Fish quality assurance,
value addition and marketing","2,562,140","1,645,290","916,850",64.2,344,0
Sub Total,,"16,933,210","9,765,039","7,168,171",57.7,344,0
"Programme 4: Crop
Development and
Management","SP 4.1: Extension, Research
and Training","6,308,006","3,247,875","3,060,131",51.5,344,0
,"SP 4.2: Crop Production and
Food Security","297,601,617","225,015,863","72,585,754",75.6,344,0
,"SP 4.3: Farmland utilisation,
Conservation and Mechani-
sation","5,775,287","4,021,750","75,645,885",69.6,344,0
,"SP 4.4: Agribusiness Develop-
ment and Marketing","4,020,230","3,175,260","844,970",79.0,344,0
,SP 4.5: Agri-nutrition,"755,057","563,750","191,307",74.7,344,0
Sub Total,,"314,460,197","236,024,498","152,328,047",75.1,344,0
"Department of Lands, Physical Planning and Housing",,,,,,344,0
"Programme 1:
Administration, Plan-
ning, Management
and Support Services","SP 1.1 Administration and
financial service","138,172,848","113,533,369","24,639,480",82.2,344,0
Sub Total,,"138,172,848","113,533,369","24,639,480",82.2,344,0
"Programme 2: Land
Use Planning and
Survey","SP 2.1 Nakuru County Land
use plan","1,083,412,309","358,887,695","724,524,614",33.1,344,0
,"SP 2.2 Land Information Man-
agement System (LIM)","3,400,000","2,235,000","1,165,000",65.7,344,0
,"SP 2.3 Surveying and Mapping
of county","9,357,748","2,068,946","7,288,802",22.1,344,0
,"SP 2.4 Urban Plan and Devel-
opment","1,925,000","1,500,000","425,000",77.9,344,0
,"SP 2.5 Surveying of Urban
Centres","1,348,045","1,200,000","148,045",89.0,344,0
,"SP 2.6 Surveying of County
Estate and facilitation of Lease
processing","1,500,000","1,425,000","75,000",95.0,344,0
,"SP 2.7 Establishment of a
Survey Centre and Mapping
Centre","1,000,000","900,000","100,000",90.0,344,0
Sub Total,,"1,101,943,102","368,216,641","733,726,461",33.4,344,0
"Programme 3: Hous-
ing Development and
Management","SP 3.1 Maintenance of County
Houses","6,310,000","2,771,389","3,538,611",43.9,345,0
,"SP 3.2 Housing Technology
Establishment of five Constit-
uency Building Technology
Centres","12,500,000","8,499,313","4,000,687",68.0,345,0
,"SP 3.3 Development of Hous-
ing Infrastructure",-,-,-,,345,0
Sub Total,,"18,810,000","11,270,702","7,539,298",59.9,345,0
Office of the Governor and Deputy Governor -,,,,,,345,0
"Administration, Plan-
ning and Support",Administration and Planning,"259,804,704","60,194,391","199,610,313",23.2,345,0
,Personnel Services,"94,514,968","7,232,773","87,282,195",7.7,345,0
Sub Total,,"354,319,672","67,427,164","286,892,508",19.0,345,0
"Management of
County Affairs",County Executive Services,"14,352,112","1,644,820","12,707,292",11.5,345,0
,"Policy Direction and Co-ordi-
nation","82,176,056","53,664,930","28,511,126",65.3,345,0
,County Policing Services,"4,305,633","2,123,000","2,182,633",49.3,345,0
,Leadership and Governance,"2,870,422","1,200,300","1,670,122",41.8,345,0
Sub Total,,"103,704,223","58,633,050","45,071,173",56.5,345,0
"Co-ordination and
Supervisory Services","The organisation of County
Business","21,528,167","10,820,000","10,708,167",50.3,345,0
,Special Programmes,"7,176,056","5,400,200","1,775,856",75.3,345,0
Sub Total,,"28,704,223","16,220,200","12,484,023",56.5,345,0
"Department of Education, ICT and E-Government",,,,,,345,0
"Programme 1:
Administration,
Planning and Support
Services",S.P. 1:1 Personnel services,"374,561,593","242,649,217","131,912,376",64.8,345,0
,"S.P. 1:2 Administration and
Support Services","599,242,852","196,768,858","402,473,994",32.8,345,0
,S.P. 1.3: Financial services,,,,-,345,0
-Sub Total,,"973,804,445","439,418,075","534,386,370",45.1,345,0
"Programme 2:
Promotion of Early
Childhood Education
and Development","S.P. 2.1: Promotion of early
childhood","36,639,846","10,146,840","26,493,006",27.7,345,0
,S.P. 2.2: Bursaries,"254,763,210","254,763,209",1,100.0,345,0
,"S.P. 2.3: Education develop-
ment","19,311,176",-,"19,311,176",0.0,345,0
Sub Total,,"310,714,232","264,910,049","45,804,183",85.3,345,0
"Programme 3: Voca-
tional Training",S.P. 3.1: Vocational training,"81,437,259","69,674,046","11,763,213",85.6,345,0
,"S.P. 3.2: Revitalisation of the
youth programme","77,049,914",-,"77,049,914",0.0,345,0
Sub Total,,"158,487,173","69,674,046","88,813,127",44.0,345,0
"Programme 4: Infor-
mation and Commu-
nication Service","S.P. 4.1: Public Communica-
tion and Media Services","18,491,437","10,185,856","8,305,581",55.1,345,0
Sub Total,,"18,491,437","10,185,856","8,305,581",55.1,345,0
"Programme 5: ICT
Infrastructure Devel-
opment and e-Gov-
ernment Services","S.P. 5.1: Network Infrastruc-
ture","6,800,000",-,"6,800,000",0.0,346,0
,"S.P. 5.2: Hardware and Soft-
ware platforms","5,000,000","4,989,000","11,000",99.8,346,0
,"S.P. 5.3: e-Government Ser-
vices","18,352,000","7,119,516","11,232,484",38.8,346,0
Sub Total,,"30,152,000","12,108,516","18,043,484",40.2,346,0
"Department of Trade, Industry Marketing and Tourism",,,,,,346,0
"Programme 1:
Administration,
Planning and Support
Services","SP 1.1: Administration, Plan-
ning and Support Services","49,252,574","44,146,195","5,106,379",89.6,346,0
,SP 1.2: Personnel Services,"77,252,979","48,717,329","28,535,650",63.1,346,0
,SP 1.3: Financial Services,,,,-,346,0
Sub Total,,"126,505,553","92,863,523","33,642,030",73.4,346,0
"Programme 2: Coop-
erative Development
and Management","SP 2.1: Enhance Marketing
Cooperatives","24,700,000","2,949,950","21,750,050",11.9,346,0
,"SP 2.2: Sacco Member Empow-
erment","5,646,036","4,471,114","1,174,922",79.2,346,0
,"SP 2.3: Enforcement of Com-
pliance in Cooperatives","1,863,964","1,451,000","412,964",77.8,346,0
,SP 2.4: Extension Services,"2,600,000","1,933,060","666,940",74.3,346,0
Sub Total,,"34,810,000","10,805,124","24,004,876",31.0,346,0
"Programme 3: Com-
merce and Enterprise","SP.3:1 Business Development
Services for SMEs","10,500,000",-,"10,500,000",0.0,346,0
,"SP 3.2: Facilitating Producer
Business Groups (PBGs)","3,840,000","3,233,723","606,277",84.2,346,0
,SP 3.3: SME Funding,"52,000,000",-,"52,000,000",0.0,346,0
,SP 3.4: Trade Licensing,"2,800,000","2,125,275","674,725",75.9,346,0
,SP 3.5: Consumer Protection,"4,455,000","3,272,900","1,182,100",73.5,346,0
Sub Total,,"73,595,000","8,631,898","64,963,102",11.7,346,0
"Programme 4: Market
Rehabilitation and
Development","SP 4.1: Rehabilitation and Ren-
ovation of Existing Markets","265,354,558","137,320,753","128,033,805",51.7,346,0
