"County De-
partment","Name of the Pro-
gramme",Sub-Programme,"Approved Budget
(Kshs.)","Actual Pay-
ments (Kshs.)","V a r i a n c e
(Kshs.) t","Absorp-
ion (%)",page_number,table_index,"V a r i a n c e
(Kshs.)","Absorp-
tion (%)"
"Agriculture,
Livestock and
Fisheries","Agricultural Manage-
ment","Administration and planning
services","670,020,743","420,403,864","249,616,879",62.74,390,1,,
,Crop Management,"County Agriculture Extension
Program","7,673,500","3,754,111","3,919,389",,390,1,,
,Wambugu ATC,Farm Development,"6,851,500","6,851,500",0,100.00,390,1,,
,AMS Naromoru,"Development Of Agricultural
Land For Crop Production","7,710,500","4,901,152","2,809,348",63.56,390,1,,
,"Livestock Production
Management","Provision of Extension Ser-
vices to Livestock farmers","17,521,100","13,929,514","3,591,586",79.50,390,1,,
,Fisheries development,"Administrative Support
Services","7,209,500","3,974,963","3,234,537",55.14,390,1,,
,Veterinary services,"Administrative Support
Services","21,246,340","14,158,092","7,088,248",66.64,390,1,,
Subtotal,,,"738,233,183","467,973,197","270,259,986",63.39,390,1,,
"Lands, Physi-
cal Planning,
Housing and
Urbanization","Physical planning
services","Administration and personnel
services","390,760,150","256,381,236",,,391,0,"134,378,914",65.61
,"Land Policy and
Planning",Land Policy Formulation,"15,057,481","12,799,952",,,391,0,"2,257,529",85.01
,"Housing Develop-
ment and Human
Settlement",Government Building,"1,440,000","1,012,043",,,391,0,"427,957",70.28
Subtotal,,,"407,257,631","270,193,232",,,391,0,"137,064,399",66.34
"Transport,
Public Works
Infrastructure
and Energy","General adminis-
tration and policy
Development and
implementation","Administration, planning and
support services","73,962,887","70,651,991",,,391,0,"3,310,896",95.52
,"Roads development,
maintenance and
management","County access and feeder
roads improvement","505,025,159","399,757,670",,,391,0,"105,267,489",79.16
,"Energy Sector Devel-
opment",Street lighting programme,"41,193,000","41,151,539",,,391,0,"41,461",99.90
,,Street Lighting,"197,700,000","97,779,534",,,391,0,"99,920,466",49.46
Subtotal,,,"817,881,046","609,340,734",,,391,0,"208,540,312",74.50
"Trade,
Culture,
Tourism and
Co-Operative
Development","Tourism Develop-
ment",Promotion of Tourism,"6,324,585","1,890,005",,,391,0,"4,434,580",29.88
,"Trade and Coopera-
tive Development",Trade Promotion,"118,547,395","67,327,555",,,391,0,"51,219,840",56.79
,Co-operatives,"Cooperative Development
And Management","10,350,000","4,671,691",,,391,0,"5,678,309",45.14
Subtotal,,,"135,221,980","73,889,252",,,391,0,"61,332,728",54.64
"Health Ser-
vices","Administration,
Planning and General
Support Services","Administration, Planning and
General Support Services","2,837,559,894","2,600,654,538",,,391,0,"236,905,356",91.65
,,Health Services,"116,706,488","97,398,952",,,391,0,"19,307,536",83.46
Subtotal,,,"2,954,266,382","2,698,053,490",,,391,0,"256,212,892",91.33
"Education and
Sports","General adminis-
tration and policy
Development and
implementation","Administrative Support
Services","468,847,431","417,920,486",,,391,0,"50,926,945",89.14
,"County Sports Devel-
opment",Search and nurture talents,"42,631,000","36,888,781",,,391,0,"5,742,219",86.53
,ECDE Management,ECDE Management,"6,417,496","4,194,445",,,391,0,"2,223,051",65.36
,"Youth Training and
Development","Youth Training and Develop-
ment","13,000,000","6,883,142",,,391,0,"6,116,858",52.95
Subtotal,,,"530,895,927","465,886,854",,,391,0,"65,009,073",87.75
,"Management and
Co-ordination of
county affairs",Management of county affairs,"5,426,126","5,355,271",,,391,0,"70,855",98.69
,,"Administration, planning and
support services","151,657,836","135,882,945",,,391,0,"15,774,891",89.60
Subtotal,,,"157,083,962","141,238,216",,,391,0,"15,845,746",89.91
"Office of the
County Sec-
retary","Coordination of
County Functions
and Public Service
Management","Administration, planning and
support services","338,421,828","319,921,549",,,391,0,"18,500,279",94.53
,,County publicity campaign,"1,170,000","685,583",,,391,0,"484,417",58.60
,,"ICT Infrastructure Develop-
ment","8,100,000","5,425,815",,,391,0,"2,674,185",66.99
Subtotal,,,"347,691,828","326,032,947",,,391,0,"21,658,881",93.77
"Finance and
Economic
Planning",Executive services,"Administration and personnel
services","1,198,999,989","930,940,198",,,392,0,"268,059,791",77.64
,"Economic Planning
and Policy Formu-
lation","Economic Planning and Policy
Formulation","13,747,266","11,182,503",,,392,0,"2,564,763",81.34
,"Public Finance Man-
agement",Financial Accounting,"11,901,000","11,149,277",,,392,0,"751,723",93.68
,,"Procurement Compliance and
Reporting","11,100,000","9,069,461",,,392,0,"2,030,539",81.71
,,Internal Audit,"7,859,800","7,008,882",,,392,0,"850,918",89.17
,Revenue Mobilisation,Revenue Mobilisation,"25,270,000","22,134,427",,,392,0,"3,135,573",87.59
,"Economic Planning
and Policy Formu-
lation",Monitoring and Evaluation,"6,126,372","4,089,300",,,392,0,"2,037,072",66.75
Subtotal,,,"1,275,004,427","995,574,048",,,392,0,"279,430,379",78.08
