Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
County Executive,,,,,,399,0
,"0701014210 SP1
General Admin-
istration and
Support Services
(Governor, Deputy
Governor)","238,115,344","214,724,008","23,391,336",90.2,399,0
,"0704014210 SP2
Administration of
Human Resources
in County Public
Service","68,987,568","65,153,671","3,833,897",94.4,399,0
,"0701034210 SP3
Sub County Ad-
ministration","174,947,707","166,034,558","8,913,149",94.9,399,0
,"0701044210 SP4
Coordination,
Supervision and
Human Resource
services (C S)","39,202,837","36,978,248","2,224,589",94.3,400,0
,Subtotal,"521,253,456","482,890,485","38,362,971",92.6,400,0
"Finance, Economic Planning and ICT",,,,,,400,0
"0705004210 P1 General
Administration Planning
and Support Services","0705014210 SP1
Administration
Services","493,620,715","432,139,622","61,481,093",87.5,400,0
,"0705024210 SP2
ICT Services","58,615,474","42,867,825","15,747,649",73.1,400,0
,Sub total,"552,236,189","475,007,447","77,228,742",86.0,400,0
"0706004210 P2 Public
Finance Management","0706054210 SP5
Accounting Ser-
vices","43,011,010","40,604,738","2,406,272",94.4,400,0
,"0706024210 SP2
Resource Mobili-
sation","68,034,838","58,414,204","9,620,634",85.9,400,0
,"0706034210 SP3
Internal Audit","19,713,870","18,339,946","1,373,924",93.0,400,0
,"0706044210 SP4
Supply Chain
Management","21,618,886","18,554,124","3,064,762",85.8,400,0
,"0706014210 SP1
Budget Formula-
tion Coordination
and Management","13,542,800","12,397,357","1,145,443",91.5,400,0
,"0706064210 SP6
Fiscal Planning","80,488,850","68,266,241","12,222,609",84.8,400,0
,Sub total,"246,410,254","216,576,610","29,833,644",87.9,400,0
"0713004210 P3 General
Administration Planning
and Support Services","0713014210 SP1
General Admin-
istration Planning
and Support
Services","7,551,953","6,237,101","1,314,852",82.6,400,0
,Sub total,"7,551,953","6,237,101","1,314,852",82.6,400,0
"0712004210 P4 Special
Programs","0712014210 SP 1
Special Programs","24,842,922","19,364,525","5,478,397",77.9,400,0
,Subtotal,"24,842,922","19,364,525","5,478,397",77.9,400,0
