Program/Sub Program,"Approved Budget FY
2021/22","Actual Payments FY
2021/22",Variance,Absorption,page_number,table_index
,Kshs.,Kshs.,Kshs.,Percentage,474,0
Governor's Office,"170,099,629","150,713,680","19,385,949",88.6,474,0
Administration,"120,215,739","103,223,771","16,991,968",85.9,474,0
Administration and Support Services,"120,215,739","103,223,771","16,991,968",85.9,474,0
Inter-Governmental Committee,"10,000,000","9,735,394","264,606",97.4,474,0
Administration and Support Services,"10,000,000","9,735,394","264,606",97.4,474,0
,"35,383,890","33,647,065","1,736,825",95.1,474,0
Administration and Support Services,"35,383,890","33,647,065","1,736,825",95.1,474,0
,"4,500,000","4,107,450","392,550",91.3,474,0
Administration and Support Services,"4,500,000","4,107,450","392,550",91.3,474,0
,,,,,474,0
Finance and Economic Planning,"469,899,364","361,072,268","108,827,096",76.8,474,0
Administration,"363,349,364","256,356,303","106,993,061",70.6,474,0
Public Finance Management,"363,349,364","256,356,303","106,993,061",70.6,474,0
Revenue Section,"58,400,000","57,436,222","963,778",98.3,474,0
Public Finance Management,"58,400,000","57,436,222","963,778",98.3,474,0
Accounts Section,"29,350,000","29,350,000",-,100.0,474,0
Public Finance Management,"29,350,000","29,350,000",-,100.0,474,0
Procurement and Supplies Section,"3,800,000","3,388,350","411,650",89.2,474,0
Public Finance Management,"3,800,000","3,388,350","411,650",89.2,474,0
Internal Audit Section,"15,000,000","14,541,393","458,607",96.9,474,0
Public Finance Management,"15,000,000","14,541,393","458,607",96.9,474,0
,,,,,474,0
Public Service Management,"979,579,744","832,679,089","146,900,655",85.0,474,0
Administration,"874,248,773","734,425,558","139,823,215",84.0,474,0
Administration and Support Services,"860,392,466","723,411,122","136,981,344",84.1,474,0
Human Resource Management and Development,"2,000,000","1,996,150","3,850",99.8,474,0
County Governance Support Services,"11,856,307","9,018,286","2,838,021",76.1,474,0
Communication Section,"22,962,800","21,375,108","1,587,692",93.1,474,0
Administration and Support Services,"22,962,800","21,375,108","1,587,692",93.1,474,0
Legal Section,"69,246,731","69,246,731",-,100.0,474,0
Administration and Support Services,"69,246,731","69,246,731",-,100.0,474,0
Registry Section,"405,000","128,900","276,100",31.8,474,0
Administration and Support Services,"405,000","128,900","276,100",31.8,474,0
Human Resource Section,"12,716,440","7,502,792","5,213,648",59.0,474,0
Administration and Support Services,"12,716,440","7,502,792","5,213,648",59.0,474,0
,,,,,474,0
ICT and E-Government,"116,418,194","74,868,126","41,550,068",64.3,474,0
Administration- ICT and E-Government,"116,418,194","74,868,126","41,550,068",64.3,474,0
ICT Infrastructure Development,"47,669,254","20,796,484","26,872,770",43.6,474,0
Administrative Support Services,"68,748,940","54,071,642","14,677,298",78.7,474,0
,,,,,474,0
"Roads, Transport and Infrastructure","1,662,714,760","1,252,910,697","409,804,063",75.4,474,0
Administration,"212,267,230","155,610,581","56,656,649",73.3,474,0
,Kshs.,Kshs.,Kshs.,Percentage,475,0
Roads Department,"1,301,971,663","975,714,484","326,257,179",74.9,475,0
Roads Infrastructure Development,"1,301,971,663","975,714,484","326,257,179",74.9,475,0
Public Works Department,"12,964,000","1,003,441","11,960,559",7.7,475,0
Roads Infrastructure Development,"2,964,000","1,003,441","1,960,559",33.9,475,0
Administration Support Services,"10,000,000",-,"10,000,000",0.0,475,0
Transport Department,"22,750,000","10,224,025","12,525,975",44.9,475,0
Disaster Management,"22,750,000","10,224,025","12,525,975",44.9,475,0
,"112,761,867","110,358,166","2,403,701",97.9,475,0
Street Lighting Services,"112,761,867","110,358,166","2,403,701",97.9,475,0
,,,,,475,0
"Lands, Housing and Physical Planning","418,849,742","180,735,717","238,114,025",43.2,475,0
Administration,"211,316,547","109,890,547","101,426,000",52.0,475,0
Land Policy and Management,"211,316,547","109,890,547","101,426,000",52.0,475,0
Physical Planning Section,"172,487,579","67,233,276","105,254,303",39.0,475,0
Crop Development and Management,"125,365,285","61,110,982","64,254,303",48.7,475,0
Land Policy and Management,"47,122,294","6,122,294","41,000,000",13.0,475,0
Survey Section,"11,183,664","3,611,894","7,571,770",32.3,475,0
Land Policy and Management,"11,183,664","3,611,894","7,571,770",32.3,475,0
Housing Section,"23,861,952",-,"23,861,952",0.0,475,0
Land Policy and Management,"23,861,952",-,"23,861,952",0.0,475,0
,,,,,475,0
"Water, Environment, Energy and Natural Resources","929,538,657","665,993,018","263,545,639",71.6,475,0
Administration,"222,886,256","165,295,280","57,590,976",74.2,475,0
Water Supply Services,"222,886,256","165,295,280","57,590,976",74.2,475,0
Environment Section,"66,578,500","35,446,113","31,132,387",53.2,475,0
Rural Electrification,"7,128,500","1,965,000","5,163,500",27.6,475,0
Environmental Management and Protection,"59,450,000","33,481,113","25,968,887",56.3,475,0
Water Section,"624,073,901","458,442,325","165,631,576",73.5,475,0
Water Supply Services,"624,073,901","458,442,325","165,631,576",73.5,475,0
Energy Section,"16,000,000","6,809,300","9,190,700",42.6,475,0
Tourism Development and Marketing,"16,000,000","6,809,300","9,190,700",42.6,475,0
,,,,,475,0
Health Services,"2,798,020,115","2,550,579,711","247,440,404",91.2,475,0
Administration,"2,559,041,110","2,329,907,163","229,133,947",91.0,475,0
Curative Health Services,"438,836,534","405,104,291","33,732,243",92.3,475,0
Health Infrastructure,"48,013,947","21,891,797","26,122,150",45.6,475,0
Clinical Services,"96,307,773","57,414,725","38,893,048",59.6,475,0
Administration and Support Services,"1,975,882,856","1,845,496,350","130,386,506",93.4,475,0
Clinical Services,"233,979,005","215,672,548","18,306,457",92.2,475,0
Clinical Services,"233,979,005","215,672,548","18,306,457",92.2,475,0
Prevention and Health Promotion,"5,000,000","5,000,000",-,100.0,475,0
Public Health Services,"5,000,000","5,000,000",-,100.0,475,0
,,,,,475,0
"Agriculture, Livestock and Fisheries","816,556,892","517,385,297","299,171,595",63.4,475,0
Administration-,"254,969,699","240,515,383","14,454,316",94.3,475,0
Crop Development and Management,"9,600,000","7,095,000","2,505,000",73.9,475,0
Administration Support Services,"245,369,699","233,420,383","11,949,316",95.1,475,0
Livestock,"5,000,000","1,118,976","3,881,024",22.4,475,0
Crop Development and Management,"5,000,000","1,118,976","3,881,024",22.4,475,0
Agriculture,"511,684,490","256,279,558","255,404,932",50.1,475,0
Livestock Resource Management and Development,"2,500,000","1,864,600","635,400",74.6,475,0
Crop Development and Management,"509,184,490","254,414,958","254,769,532",50.0,475,0
Chebororwa Training Center,"10,940,423","2,292,944","8,647,479",21.0,475,0
Agricultural Training Services - Chebororwa,"10,940,423","2,292,944","8,647,479",21.0,475,0
,Kshs.,Kshs.,Kshs.,Percentage,476,0
Agricultural Machinery Service,"33,962,280","17,178,435","16,783,845",50.6,476,0
Agricultural Mechanization Services,"33,962,280","17,178,435","16,783,845",50.6,476,0
,,,,,476,0
"Trade, Cooperatives, Tourism and Wildlife","319,694,974","225,128,977","94,565,997",70.4,476,0
Administration-,"103,575,353","95,896,801","7,678,552",92.6,476,0
Administration and Support Services,"103,575,353","95,896,801","7,678,552",92.6,476,0
Trade Department,"216,119,621","129,232,176","86,887,445",59.8,476,0
Trade Development and Investment,"144,721,138","93,346,373","51,374,765",64.5,476,0
