Program,Sub-Program,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
%",page_number,table_index,"Approved Budget A
(Kshs.) (","ctual Payments
Kshs.)","ctual Payments
Kshs.) (","Variance
Kshs.)"
County Executive,,,,,,493,1,,,,
"County Executive
Services",County Executive Services,"522,488,510.00","522,195,709.10","292,800.90",100,493,1,,,,
"County Executive
Services",County Executive Services,"32,307,199.10","32,600,000.00","(292,800.90)",101,493,1,,,,
TOTAL,,"554,795,709.10","554,795,709.10",-,100,493,1,,,,
County Assembly,,,,,,493,1,,,,
Headquarters,Headquarters,,,,,493,1,,,,
,County Legislative Services,"893,341,593.00","824,192,681.60","69,148,911.40",92,493,1,,,,
,"General Administration and
Support Services",-,-,-,,493,1,,,,
,"Preventive and promotive
services",-,-,-,,493,1,,,,
,Curative Services,-,-,-,,493,1,,,,
,TOTAL,"893,341,593.00","824,192,681.60","69,148,911.40",92,493,1,,,,
Finance and Economic Planning,,,,,,493,1,,,,
"General administra-
tion and support","General administration and
support services","579,409,612.00","571,491,496.20","7,918,115.80",99,493,1,,,,
,,,,-,,493,1,,,,
Economic Planning,Economic Planning,,-,-,,493,1,,,,
,"County Economic Planning
Services","28,744,800.00","33,489,784.80","(4,744,984.80)",117,493,1,,,,
,"County Statistical Information
Services",,,-,,493,1,,,,
,"Monitoring & Evaluation
Services",,,-,,493,1,,,,
Treasury Services,Treasury Services,,"3,338,132.00","(3,338,132.00)",,493,1,,,,
,,,,,,493,1,,,,
"County Executive
Services",County Executive Services,,,-,,493,1,,,,
,"Kenya Devolution Support
Programme (KDSP)","3,707,400.00","5,692,720.00","(1,985,320.00)",154,493,1,,,,
County Accounting,County Accounting Services,,,-,,494,0,,,,
,Finance Services,"63,781,000.00","63,697,110.00","83,890.00",100,494,0,,,,
Revenue,Revenue,,-,-,,494,0,,,,
,Finance Services,"29,813,792.00","34,898,469.00","(5,084,677.00)",117,494,0,,,,
"County Budget Man-
agement",Budget,,-,-,,494,0,,,,
,Finance Services,"14,796,700.00","13,278,680.00","1,518,020.00",90,494,0,,,,
Internal Audit,Internal Audit,,-,-,,494,0,,,,
,Internal Audit Services,"9,520,725.00","10,661,280.00","(1,140,555.00)",112,494,0,,,,
Procurement,Procurement,,-,-,,494,0,,,,
,Finance Services,"20,276,000.00","22,651,170.00","(2,375,170.00)",112,494,0,,,,
,Total,"750,050,029.00","759,198,842.00","(9,148,813.00)",101,494,0,,,,
Roads and Transport,,,-,-,,494,0,,,,
,Improvement of roads network,"516,481,086.00","507,449,086.00","9,032,000.00",98,494,0,,,,
,"General Administration and
Support Services","102,364,574.00","97,301,515.20","5,063,058.80",95,494,0,,,,
,"General Administration and
Support Services",-,-,-,,494,0,,,,
Transport,Transport,,-,-,,494,0,,,,
,"Enhancement of public roads
transport system","8,280,000.00","7,252,937.65","1,027,062.35",88,494,0,,,,
Public Works,Public Works,-,-,-,,494,0,,,,
,Monitoring and evaluation,-,-,-,,494,0,,,,
,"Enhancement of public roads
transport system",-,-,-,,494,0,,,,
,Construction of Offices,-,-,-,,494,0,,,,
,Improvement of roads network,-,-,-,,494,0,,,,
,TOTAL,"627,125,660.00","612,003,538.85","15,122,121.15",98,494,0,,,,
Water,,,,,,494,0,,,,
"General Adminis-
tration and Support
Services","General Administration and
Support Services","112,625,124.00","84,549,117.35","28,076,006.65",75,494,0,,,,
"Maintenance Ser-
vices",Maintenance Services,"569,936,000.00","390,000,000.00","179,936,000.00",68,494,0,,,,
"Infrastructure Devel-
opment","Infrastructure Development
Services","317,000,000.00","317,000,000.00",-,100,494,0,,,,
,TOTAL,"999,561,124.00","791,549,117.35","208,012,006.65",79,494,0,,,,
WAJWASCO,,,,,,494,0,,,,
,"General Administration and
Support Services","846,109,130.00","614,162,540.10","231,946,589.90",73,494,0,,,,
,TOTAL,"846,109,130.00","614,162,540.10","231,946,589.90",73,494,0,,,,
"Energy, Environment and Nat. Resources",,,,,,494,0,,,,
Energy Services,Energy Services,"35,215,724.00","31,577,500.00","3,638,224.00",90,494,0,,,,
"Environment & Nat-
ural Resources","Environment & Natural Re-
sources","184,521,600.00","180,300,113.70","4,221,486.30",98,494,0,,,,
"General Adminis-
tration and Support
Services","General Administration and
Support Services","65,131,704.00","47,112,669.20","18,019,034.80",72,494,0,,,,
Natural Resources,Wildlife and Tourism,"954,800.00","891,000.00","63,800.00",93,494,0,,,,
,TOTAL,"285,823,828.00","259,881,282.90","25,942,545.10",91,494,0,,,,
Public Health,,,-,-,,494,0,,,,
"Preventive and pro-
motive services","Preventive and promotive
services","101,787,000.00","119,532,965.00","(17,745,965.00)",117,494,0,,,,
,"General Administration and
Support Services",-,"924,727.32","(924,727.32)",,495,0,,,,
,Reproductive Health Services,-,-,-,,495,0,,,,
,Curative Services,"884,312,000.00","984,168,588.50","(99,856,588.50)",111,495,0,,,,
,RMNCH,-,-,-,,495,0,,,,
"Kenya Medical
Training College",Kenya Medical Training College,-,-,-,,495,0,,,,
,"Kenya Medical Training College
(KMTC)",,,,,495,0,,,,
RMNCH,RMNCH,,-,-,,495,0,,,,
,RMNCH,"108,119,183.00","79,185,023.60","28,934,159.40",73,495,0,,,,
TB & HIV - AIDS,TB & HIV - AIDS,,-,-,,495,0,,,,
,TB & HIV-AIDS,"17,600,000.00","20,271,555.00","(2,671,555.00)",115,495,0,,,,
Health Research,Health Research,,-,-,,495,0,,,,
,Health Research Services,"13,256,000.00","13,241,671.45","14,328.55",100,495,0,,,,
"Health Shared
Services",Health Shared Services,,-,-,,495,0,,,,
,"General Administration and
Support Services","2,005,754,734.00","1,400,567,898.00","605,186,836.00",70,495,0,,,,
,TOTAL,"3,130,828,917.00","2,617,892,428.87","512,936,488.13",84,495,0,,,,
"Education, Youth, Gender and Social Services",,,,,,495,0,,,,
"Vocational Training
Services",Vocational Training Services,-,"2,957,200.00","(2,957,200.00)",,495,0,,,,
"Gender, Culture and
Social Services","Gender, Culture and Social
Services",-,-,-,,495,0,,,,
Youth polytechnics,Youth polytechnics,"17,653,000.00","17,486,620.00","166,380.00",99,495,0,,,,
"General Adminis-
tration and Support
Services","General Administration and
Support Services",-,-,-,,495,0,,,,
"SP2 youth polytech-
nic support services","SP2 Youth Polytechnic Support
Services",-,"2,957,200.00","(2,957,200.00)",,495,0,,,,
ECD,ECD Support Services,"674,919,328.00","648,001,265.40","26,918,062.60",96,495,0,,,,
"Sports promotion
and development","Sports promotion and develop-
ment",-,-,-,,495,0,,,,
Social Services,Social Services,,-,-,,495,0,,,,
,"Sports promotion and develop-
ment","40,044,400.00","37,426,980.00","2,617,420.00",93,495,0,,,,
,"Cultural promotion and pres-
ervation","26,227,800.00","26,491,808.00","(264,008.00)",101,495,0,,,,
Gender,Gender,,-,-,,495,0,,,,
,"Gender, Culture and Social
Services","27,924,100.00","23,671,612.00","4,252,488.00",85,495,0,,,,
"Heritage and Library
Services",Heritage and Library Services,,-,-,,495,0,,,,
,"County Economic Planning
Services","5,000,000.00","5,000,000.00",-,100,495,0,,,,
,TOTAL,"791,768,628.00","763,992,685.40","27,775,942.60",,495,0,,,,
"Agriculture, Livestock and Fisheries",,,,,,495,0,,,,
"Agricultural infra-
structure develop-
ment program","Agricultural infrastructure
development program","41,400,900.00","46,030,883.00","(4,629,983.00)",111,495,0,,,,
"Kenya Climate Smart
Agriculture","Kenya Climate Smart Agricul-
ture","357,281,090.00","245,377,383.80","111,903,706.20",69,495,0,,,,
"Administrative and
support services","Administrative and support
services",,,"28,560,540.75",84,496,0,"177,072,580.00","148,512,039.25",,
"Livestock & Veter-
inary",Livestock & Veterinary,,,-,,496,0,,-,,
