Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Pay-
ments (Kshs.)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
"Default Value (Non- De-
partmental)","Default Value (Non- Depart-
mental)",-,"3,484,568","(3,484,568)",0.0,38,0
,,-,"3,484,568","(3,484,568)",0.0,38,0
County Assembly,,"586,057,246","19,563,348","566,493,898",3.3,38,0
,P1 OFFICE OF THE CLERK,-,"(2,519,766)","2,519,766",0.0,38,0
,General administration,-,-,-,0.0,38,0
,"General Administration,
Planning and Support Ser-
vices","577,857,246","22,083,114","555,774,132",3.8,38,0
,,"8,200,000",-,"8,200,000",0.0,38,0
Office of the Speaker,,"7,504,000",-,"7,504,000",0.0,38,0
,"General Administration,
Planning and Support Ser-
vices",-,-,-,0.0,38,0
,,"7,504,000",-,"7,504,000",0.0,38,0
"County Assembly Adminis-
tration",,"351,836,762","2,642,403","349,194,359",0.8,38,0
,,"351,836,762","2,642,403","349,194,359",0.8,38,0
"Office of the Governor &
Deputy Governor",,"80,389,541","6,008,717","74,380,824",7.5,38,0
,,"40,429,600","6,008,717","34,420,883",14.9,38,0
,"Tiaty Sub-county (Adminis-
tration)","7,529,434",-,"7,529,434",0.0,39,0
,P3 GOVERNORS OFFICE,-,-,-,0.0,39,0
,,"31,430,507",-,"31,430,507",0.0,39,0
,P4 DEPUTY GOVERNOR,-,-,-,0.0,39,0
,Baringo North sub-county,"1,000,000",-,"1,000,000",0.0,39,0
"County Executive Adminis-
tration",,"3,132,940,514","759,874,957","2,373,065,557",24.3,39,0
,,-,-,-,0.0,39,0
,"Inter and Intra -governmen-
tal Relations services","4,200,000","907,000","3,293,000",21.6,39,0
,"Civic Education Develop-
ment Services","100,000",-,"100,000",0.0,39,0
,,"3,128,640,514","758,967,957","2,369,672,557",24.3,39,0
,General Administration,-,-,-,0.0,39,0
County Secretary,,"154,849,999","16,045,866","138,804,133",10.4,39,0
,,"154,849,999","16,045,866","138,804,133",10.4,39,0
,County Secretary,-,-,-,0.0,39,0
"County Public Service
Board",,-,-,-,0.0,39,0
,County Public Service Board,-,-,-,0.0,39,0
,,"4,778,158",-,"4,778,158",0.0,39,0
,,"4,778,158",-,"4,778,158",0.0,39,0
,"Tiaty sub-county (Adminis-
tration)",-,-,-,0.0,39,0
,,"4,586,222","943,386","3,642,836",20.6,39,0
,Baringo North sub-county,-,-,-,0.0,39,0
,,"4,586,222","943,386","3,642,836",20.6,39,0
,,"4,258,027","717,413","3,540,614",16.8,39,0
,,"4,258,027","717,413","3,540,614",16.8,39,0
,Baringo central sub-county,-,-,-,0.0,39,0
,,"4,644,000","873,826","3,770,174",18.8,39,0
,,"4,644,000","873,826","3,770,174",18.8,39,0
,Baringo South sub-county,-,-,-,0.0,39,0
,,"3,862,377","855,100","3,007,277",22.1,39,0
,Mogotio sub-county,-,-,-,0.0,39,0
