Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expend-
iture Q1 FY
2022/23 (Kshs.)","Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,71,1
"Department of Agriculture, Livestock and Fisheries",,,,,,71,1
"CP 1: General Admin-
istration and support
services","CSP 1.1: Administrative sup-
port service","258,214,274","58,689,033","199,525,241",22.7,71,1
"CP 2: Land use and
Management","CSP 2.1: Agricultural mecha-
nization","10,100,000",0,"10,100,000",-,71,1
"CP 3: Crop production
and Management",CSP 3.1 Input support services,"5,400,000",0,"5,400,000",-,71,1
,CSP 3.2: Crop development,"5,400,000",0,"5,400,000",-,71,1
,CSP 3.3: Crop protection,"5,200,000",0,"5,200,000",-,71,1
,,A,B,C=A-B,D=B/A*100,72,0
"CP 4: Agricultural
Training and Extension
Services","CSP 4.1: Agriculture extension
services","5,000,000",0,"5,000,000",-,72,0
,"CSP 4.2: Agricultural Training
services","36,009,940",0,"36,009,940",-,72,0
"CP 5: Kenya Climate
SMART Agriculture
program","CSP 5.1: Kenya Climate
SMART","145,000,000",0,"145,000,000",-,72,0
"CP 6: Agribusiness
and Agricultural Value
Chain Development",CSP 6.1: Value addition,"8,200,000",0,"8,200,000",-,72,0
"CP 7: Agricultural Fi-
nancial and Investment
services","CSP 7.1: Agriculture develop-
ment fund","3,000,000",0,"3,000,000",-,72,0
"CP 8: Fisheries and Aq-
uaculture Resource De-
velopment","CSP 8.1: Aquaculture develop-
ment","21,745,506",0,"21,745,506",-,72,0
,"CSP 8.2: Fisheries training in-
frastructure development","10,000,000",0,"10,000,000",-,72,0
"CP 9: Livestock Produc-
tion Development","CSP 9.1: Livestock production
improvement","60,123,685",0,"60,123,685",-,72,0
,CSP 9.2: Livestock Extension,"6,000,000",0,"6,000,000",-,72,0
"CP 10: Veterinary health
services","CSP 10.1: Veterinary Disease
Control","14,751,914",0,"14,751,914",-,72,0
,CSP 10.2: AI services,"4,100,000",0,"4,100,000",-,72,0
,"CSP 10.3: Meat inspection ser-
vices","16,799,886",0,"16,799,886",-,72,0
,"CSP 10.4: Veterinary Exten-
sion","5,000,000",0,"5,000,000",-,72,0
CP 11: Other projects,"CSP 11.1: Other Development
projects","19,500,000",0,"19,500,000",-,72,0
Sub Total,,"639,545,205","58,689,033","580,856,172",9.2,72,0
"Department of Trade, Investment, Industry and Cooperatives",,,,,,72,0
"CP 12: General Admin-
istration and support
services","CSP 12.1: Administrative sup-
port service","70,730,924","18,400,059","52,330,865",26.0,72,0
"CP 13: Trade Develop-
ment","CSP 13.1: Busia county trade
development fund","8,000,000",-,"8,000,000",-,72,0
,"CSP 13.2: Market moderniza-
tion and development","46,412,000",-,"46,412,000",-,72,0
"CP 14: Fair Trade prac-
tices","CSP 14.1: Weights and meas-
ures.","3,000,000",-,"3,000,000",-,72,0
"CP 15: Cooperative de-
velopment","CSP 15.1: Busia county coop-
erative enterprise development
fund","10,000,000",-,"10,000,000",-,72,0
CP 16: Other projects,"CSP 16.1: Other Development
projects","27,900,000",-,"27,900,000",-,72,0
Sub Total,,"166,042,924","18,400,059","147,642,865",11.1,72,0
Department of Education and Vocational Training,,,,,,72,0
"CP 17: General Admin-
istration and support
services","CSP 17.1: Administrative sup-
port service","484,255,653","139,176,719","345,078,934",28.7,72,0
,,A,B,C=A-B,D=B/A*100,73,0
"CP 18: Early Childhood
Development Education
(Basic Education)","CSP 18.1: Improvement of the
infrastructure in E.C.D.E Cen-
tres","20,000,000",-,"20,000,000",-,73,0
,CSP 18.2: E.C.D.E Capitation,"5,000,000",-,"5,000,000",-,73,0
"CP 19: Technical/ voca-
tional training develop-
ment","CSP 19.1: Infrastructure devel-
opment","30,663,644",-,"30,663,644",-,73,0
"CP 20: Education sup-
port","CSP 20.1: Education support
scheme","51,218,895",-,"51,218,895",-,73,0
CP 21: Other projects,"CSP 21.1: Other Development
projects","31,900,000",-,"31,900,000",-,73,0
Sub Total,,"623,038,192","139,176,719","483,861,473",22.3,73,0
Department of Finance and Economic Planning,,,,,,73,0
"CP 22: General Admin-
istration and support
services","CSP 22.1: Administrative sup-
port service","802,673,214","82,079,293","720,593,921",10.2,73,0
"CP 23: Financial man-
agement control and de-
velopment","CSP 23.1: Revenue generation
services","11,397,425",-,"11,397,425",-,73,0
"CP 24: Infrastructure
Development","CSP 24.1: Construction and
Renovation","12,700,000",-,"12,700,000",-,73,0
CP 25: Other projects,"CSP 25.1: Other Development
projects","9,500,000",-,"9,500,000",-,73,0
Sub Total,,"836,270,639","82,079,293","754,191,346",9.8,73,0
"Department of Sports, Culture and Social Services",,,,,,73,0
"CP 26: General Admin-
istration and support
services","CSP 26.1: Administrative sup-
port service","90,909,964","3,468,619","87,441,345",3.8,73,0
CP 27: Social services,"CSP 27.1: infrastructural de-
velopment","3,700,000",-,"3,700,000",-,73,0
"CP 28: Youth Empower-
ment and development","CSP 28.1 Equipping and Op-
erationalization of youth em-
powerment","4,700,000",-,"4,700,000",-,73,0
"CP 29: Promotion and
development of sports","CSP 29.1: Infrastructural de-
velopment","4,400,000",-,"4,400,000",-,73,0
,CSP 29.2: sports promotion,"8,140,000",-,"8,140,000",-,73,0
"CP 30: Child care and
protection","CSP 30.1: Rehabilitation and
custody","8,000,000",-,"8,000,000",-,73,0
"CP 31: Promotion and
development of local
tourism in the County","CSP 31.1: Tourism develop-
ment","3,000,000",-,"3,000,000",-,73,0
"CP 32: Alcoholic drinks
and drugs control","CSP 32.1: Infrastructure devel-
opment","8,660,000",-,"8,660,000",-,73,0
CP 33: Other projects,"CSP 33.1: Other Development
projects","34,300,000",-,"34,300,000",-,73,0
Sub Total,,"165,809,964","3,468,619","162,341,345",2.1,73,0
Department of Infrastructure and Energy,,,,,,73,0
"CP 34: General Admin-
istration and support
services","CSP 34.1: Administrative sup-
port service","152,259,636","34,986,966","117,272,670",23.0,73,0
,,A,B,C=A-B,D=B/A*100,74,0
"CP 35: Development and
maintenance of roads","CSP 35.1: Routine mainte-
nance of roads","122,484,000",-,"122,484,000",-,74,0
,"CSP 35.2: Development of
Roads","434,637,184",-,"434,637,184",-,74,0
"CP 36: Building Infra-
structure Development","CSP 36.1: Infrastructure De-
velopment","9,900,000",-,"9,900,000",-,74,0
"CP 37: Energy Develop-
ment",CSP 37.1 Energy Services,-,-,-,-,74,0
,"CSP 37.1: Solar Energy Explo-
ration","18,700,000",-,"18,700,000",-,74,0
"CP 38: Alternative
Transport Infrastructure
Development","CSP 38.1: Road safety cam-
paign","5,637,345",-,"5,637,345",-,74,0
CP 39: Other projects,"CSP 39.1: Other Development
projects","107,300,000",-,"107,300,000",-,74,0
Sub Total,,"850,918,165","34,986,966","815,931,199",4.1,74,0
Department of Public Service and Administration,,,,,,74,0
"CP 40: General Admin-
istrative and support
services","CSP 40.1: Administrative sup-
port services","325,386,040","33,859,398","291,526,642",10.4,74,0
Sub Total,,"325,386,040","33,859,398","291,526,642",10.4,74,0
"Department of Lands, Housing and Urban Development",,,,,,74,0
"CP 41: General Admin-
istrative and support
services","CSP 41.1: Administrative sup-
port services","133,682,955","25,024,810","108,658,145",18.7,74,0
"CP 42: County Land Ad-
ministration and Plan-
ning",CSP 42.1: Land use planning,"5,500,000",-,"5,500,000",-,74,0
"CP 43: Housing Devel-
opment and Manage-
ment","CSP 43.1: Housing Develop-
ment","50,764,500",-,"50,764,500",-,74,0
"CP 44: Urban manage-
ment and development
control",CSP 44.1: Urban Management,"49,800,889",-,"49,800,889",-,74,0
,CSP 44.2: Urban Development,"72,088,327",-,"72,088,327",-,74,0
CP 45: Other projects,"CSP 45.1: Other Development
projects","9,050,000",-,"9,050,000",-,74,0
Sub Total,,"320,886,671","25,024,810","295,861,861",7.8,74,0
"Department of Water, Irrigation Environment and Natural Resources",,,,,,74,0
"CP 46: General Admin-
istrative and support
services","CSP 46.1: Administrative sup-
port services","126,541,968","26,616,665","99,925,303",21.0,74,0
"CP 47: Water supply ser-
vices","CSP 47.1: Urban water supply
and sewerage","61,800,000",-,"61,800,000",-,74,0
,CSP 47.2: Rural water supply,"18,052,103",-,"18,052,103",-,74,0
"CP 48: Environmental
management and pro-
tection","CSP 48.1 Environmental man-
agement","12,250,000",-,"12,250,000",-,74,0
"CP 49: Smallholder irri-
gation and drainage","CSP 49.1: Irrigation infrastruc-
ture development","11,000,000",-,"11,000,000",-,74,0
"CP 50: Forest develop-
ment and management","CSP 50.1: Rehabilitation and
restoration of degraded land-
scape","5,187,603",-,"5,187,603",-,74,0
,,A,B,C=A-B,D=B/A*100,75,0
"CP 51: Climate Change
Fund","CSP 51.1: Financing Local-
ly-Led Climate Action Pro-
gram (FLLOCA)","55,000,000",-,"55,000,000",-,75,0
CP 52: Other projects,"CSP 52.1: Other Development
projects","70,200,000",-,"70,200,000",-,75,0
Sub Total,,"360,031,674","26,616,665","333,415,009",7.4,75,0
Department of Health and Sanitation,,,,,,75,0
"CP 53: General Admin-
istration and support
services","CSP 53.1: Administrative sup-
port service","1,863,943,627","395,963,351","1,467,980,276",21.2,75,0
"CP 54: Curative Health
Services","CSP 54.1: Infrastructure devel-
opment","129,488,069",-,"129,488,069",-,75,0
,CSP 54.2: Hospital equipment,"101,500,000",-,"101,500,000",-,75,0
,"CSP 54.3: Blood transfusion
Services","5,000,000",-,"5,000,000",-,75,0
"CP 55: Preventive and
Promotive Health Ser-
vices","CSP 55.1: Infrastructure devel-
opment","62,500,000",-,"62,500,000",-,75,0
,"CSP 55.2: Lower-level hospital
equipment","10,000,000",-,"10,000,000",-,75,0
,CSP 55.3: Preventive Services,"8,000,000",-,"8,000,000",-,75,0
,"CSP 55.4: Health promotion
unit","69,500,000",-,"69,500,000",-,75,0
CP 56: Other projects,"CSP 56.1: Other Development
projects","27,900,000",-,"27,900,000",-,75,0
Sub Total,,"2,277,831,696","395,963,351","1,881,868,345",17.4,75,0
County Public Service Board,,,,,,75,0
"CP 57: General Admin-
istration and support
services","CSP 57.1: Administrative sup-
port service","103,276,178","10,323,965","92,952,213",10.0,75,0
Sub Total,,"103,276,178","10,323,965","92,952,213",10.0,75,0
Governorship,,,,,,75,0
"CP 58: General Admin-
istration and support
services","CSP 58.1: Administrative sup-
port service","420,774,965","66,677,133","354,097,832",15.8,75,0
"CP 59: Disaster Risk
Management","CSP 59.1: Disaster prepared-
ness","82,000,000",-,"82,000,000",-,75,0
"CP 60: Information Dis-
semination and Knowl-
edge Management","CSP 60.1: Communication
Services","13,350,000",-,"13,350,000",-,75,0
"CP 61: ICT Support Ser-
vices",CSP 61.1: ICT Services,"9,650,000",-,"9,650,000",-,75,0
CP 62: Other projects,"CSP 62.1: Other Development
projects","12,450,000",-,"12,450,000",-,75,0
Sub Total,,"538,224,965","66,677,133","471,547,832",12.4,75,0
County Assembly,,,,,,75,0
"CP 63: General Admin-
istration and support
services","CSP 63.1: Administrative support
service","851,195,833","55,934,438","795,261,395",6.6,75,0
"CP 64: Infrastructure
Development",CSP 64.1: Infrastructure,"60,000,000",-,"60,000,000",-,75,0
Sub Total,,"911,195,833","55,934,438","855,261,395",6.1,75,0
