Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Expendi-
ture (Kshs.)",Variance (Kshs.),"Absorp-
tion
(Kshs.)",page_number,table_index
OFFICE OF GOVERNOR,,,,,,90,1
"P1: General Administration Plan-
ning and Support Services","SP1.1: Management of County
Affairs (Office of Governor)","94,510,072","8,006,176","86,503,895",8.5,90,1
"P2: County Leadership and Coor-
dination","SP2.1: Sub-County Adminis-
tration and Field Services","31,503,357","2,668,725","28,834,632",8.5,90,1
,"SP2.2: Management of County
Executive Services (Office of
County Secretary)","18,902,014","1,601,235","17,300,779",8.5,90,1
"P3: County Leadership and Co-
ordination","SP3.1: Public Sector Advisory
Services (Legal, Political, and
Economic Advisors)","12,601,343","1,067,490","11,533,853",8.5,90,1
Sub Total,,"157,516,786","13,343,627","144,173,159",8.5,90,1
COUNTY PUBLIC SERVICE BOARD,,,,,,90,1
"P1: Administration of Human
Resources in Public Service","SP1.1: Performance Manage-
ment & Discipline","5,214,729","750,015","4,464,714",14.4,90,1
,"SP1.2: Administration of
board programmes","7,668,720","1,102,964","6,565,756",14.4,90,1
,"SP1.3: Recruitment and Selec-
tion, Career Management, HR
Policy & Audit","10,736,208","1,544,150","9,192,058",14.4,91,0
,"SP1.4 Quality service delivery
in the County Public Service
that is effective and efficient","7,055,222","1,014,727","6,040,495",14.4,91,0
Sub Total,,"30,674,879","4,411,856","26,263,023",14.4,91,0
PUBLIC SERVICE AND ADMINISTRATION,,,,,,91,0
"P1: General Administration
Planning and Support Services","SP1.1: Service Delivery and
Management of County Af-
fairs","273,489,958","47,633,263","225,856,695",17.4,91,0
P2: Public Service,"SP2.1: Human Resource
Development and Culture
Change Management","217,387,411","37,861,982","179,525,429",17.4,91,0
"P3: ICT Infrastructure Expan-
sion","SP3: ICT Infrastructure Ex-
pansion","142,660,156","24,846,868","117,813,288",17.4,91,0
Sub Total,,"633,537,525","110,342,113","523,195,412",17.4,91,0
"GENDER, CHILDREN, CULTURE & SOCIAL SERVICES",,,,,,91,0
"P1: Policy and General Adminis-
trative Services","SP1.1: General Administrative
Unit","11,227,934","540,923","10,687,010",4.8,91,0
"P2: Gender and Social Develop-
ment","SP2.1: Communication Mobi-
lization and Development","14,970,578","721,231","14,249,347",4.8,91,0
,SP2.2: Social Welfare Services,"11,227,934","540,923","10,687,010",4.8,91,0
,"SP2.3 : Vocational Rehabilita-
tion and Training","7,485,289","360,616","7,124,674",4.8,91,0
,"SP2.4 : Gender Mainstreaming
and Development","11,227,934","540,923","10,687,010",4.8,91,0
P3: Children Services,"SP3.1: Child Rehabilitation
and Custody","11,227,934","540,923","10,687,010",4.8,91,0
"P4: Culture and Cultural Preser-
vation",SP 4.1 Cultural Preservation,"7,485,289","360,616","7,124,674",4.8,91,0
Sub Total,,"74,852,892","3,606,156","71,246,736",4.8,91,0
,,,,,,91,0
FINANCE AND ECONOMIC PLANNING,,,,,,91,0
"P1: General Administration
Planning and Support Services","SP1.1: Administration, Plan-
ning and Support Services","22,326,885","4,174,246","18,152,640",18.7,91,0
"P2:Economic Policy and County
Planning","SP 2.1: Economic Develop-
ment Planning and Coordi-
nation","31,257,639","5,843,944","25,413,696",18.7,91,0
"P3:Financial Management Ser-
vices","SP3.1: Revenue Management
Services","35,720,059","6,678,240","29,041,819",18.7,91,0
P4: Monitoring and Evaluation,"SP3.2: Control and Manage-
ment of Public Finances","11,163,443","2,087,123","9,076,320",18.7,91,0
,"SP 4.1:Monitoring and Evalua-
tion of projects","13,396,131","2,504,547","10,891,584",18.7,91,0
P5: Research and Statistics,"SP5.1: County database and
profile","11,163,443","2,087,123","9,076,320",18.7,91,0
