Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,109,1
"Policy Planning,
General Adminis-
tration and Support
Services",Policy and Planning Services,"4,000,000",,"4,000,000",-,109,1
,"General Administration and Support
Services","141,621,312","16,000,000","125,621,312",11.3,109,1
,Subtotal,"145,621,312","16,000,000","129,621,312",11.0,109,1
"Crop, Land and
Agribusiness Devel-
opment Services",Crop Development Services,"9,896,000",0,"9,896,000",-,109,1
,Agribusiness Development Services,"22,300,000",0,"22,300,000",-,109,1
,Land Development Services,"19,876,827",0,"19,876,827",-,109,1
,"National Agriculture Rural Inclusive
Growth","66,957,640",-,"66,957,640",-,109,1
,"Agriculture Sector Development Sup-
port Programme","25,282,264","16,500,000","8,782,264",65.3,109,1
,Sub total,"144,312,731","16,500,000","127,812,731",65,109,1
"Food Security En-
hancement Services",Farm Input Access Services,"24,700,000",-,"24,700,000",-,110,0
,"Sub Sector Infrastructure Development
Services","54,230,000",,"54,230,000",-,110,0
,Sub total,"78,930,000",0,"78,930,000",-,110,0
"Fisheries Resources
Development
Services",Capture Fisheries,"51,467,625",0,"51,467,625",-,110,0
,Farmed Fish Production,"37,250,000",0,"37,250,000",-,110,0
,Sub total,"88,717,625",0,"88,717,625",-,110,0
"Livestock
Development
Programme","Livestock Improvement and Develop-
ment","31,050,000",0,"31,050,000",-,110,0
,"Livestock Products Value Addition and
Marketing","19,495,000",0,"19,495,000",-,110,0
,"Livestock Health and Disease Manage-
ment","25,072,625",0,"25,072,625",-,110,0
,Subtotal,"75,617,625",0,"75,617,625",-,110,0
,Cooperative Management services,"8,649,964",0,"8,649,964",,110,0
,Cooperative Development services,"18,095,268",0,"18,095,268",,110,0
,Sub total,"26,745,232",0,"26,745,232",,110,0
"Department of Tourism, Sports, Youth Gender, Culture and Social Services",,,,,,110,0
"Policy, Planning
and General
Administration
services","General Administration and Support
Services","23,385,494","3,000,000","20,385,494",12.8,110,0
,Policy and Planning Services,"18,024,848",0,"18,024,848",-,110,0
,Sub total,"41,410,342","3,000,000","38,410,342",7.2,110,0
"Tourism and Cul-
ture Development
Promotion Services","Tourism Development and Promotion
Services","18,820,000",,"18,820,000",-,110,0
,Sub total,"18,820,000",0,"18,820,000",-,110,0
"Social Development
and Empowerment
Services",Gender and Women Empowerment,"4,820,000",,"4,820,000",-,110,0
,Youth Empowerment,"18,600,000",,"18,600,000",-,110,0
,Sub total,"23,420,000",0,"23,420,000",-,110,0
"Management and
Development of
Sports and Sports
Facilities","Sports Infrastructure Development Ser-
vices","111,121,334",,"111,121,334",-,110,0
,"Sports Management and Talent Devel-
opment","18,450,000",,"18,450,000",-,110,0
,Sub total,"129,571,334",0,"129,571,334",0,110,0
"Department of Roads, Transport and Public Works",,,,,,110,0
"General Admin-
istration, Plan-
ning and Support
Services",Human Resource and Support Services,"43,541,571.00","5,000,000","38,541,571",11.5,110,0
,"Roads and Transport Services Opera-
tions","4,905,791.00",,"4,905,791",-,110,0
,Sub total,"48,447,362","5,000,000","43,447,362",10.3,110,0
"Public works
and maintenance
services",Quality control and Enforcement,"194,885",,"194,885",-,110,0
,Plant and Machinery maintenance,"760,000",,"760,000",-,110,0
,Sub total,"954,885",0,"954,885",-,110,0
"Road Development
and Maintenance
Services",Grading and Gravelling,"264,039,717",,"264,039,717",-,110,0
,Road maintenance,"445,465,496",,"445,465,496",-,110,0
,Plant and Machinery,,,,,110,0
,Sub total,"709,505,213",0,"709,505,213",-,110,0
Transport Services,construction of Bus park,"100,000,000",,"100,000,000",-,110,0
,Sub total,"100,000,000",0,"100,000,000",-,110,0
Department of Energy and Mining,,,,,,110,0
Energy Services,Electrical Power Services,"50,000,000",,"50,000,000",-,111,0
,Solar Power Services,"25,200,000",,"25,200,000",-,111,0
,"Low Cost Energy Technologies Promo-
tion Services","5,576,312",,"5,576,312",-,111,0
,Sub total,"80,776,312",0,"80,776,312",-,111,0
,"Mineral Exploration and Mining Im-
provement Services","3,800,000",-,-,-,111,0
,Sub total,"3,800,000",0,"3,800,000",-,111,0
"General Admin-
istration, Plan-
ning and Support
Services",Administrative Support Services,"35,807,354","2,500,000","33,307,354",7.0,111,0
,"Development of Policies, Plans, Regula-
tions and Legislation","2,193,860",,"2,193,860",-,111,0
,Sub total,"38,001,214","2,500,000","35,501,214",6.6,111,0
Department of Education and ICT,,,,,,111,0
"General Adminis-
tration and Quality
Assurance Service",General administration Services,"48,360,000","1,000,000","47,360,000",2.1,111,0
,Quality Assurance Services,"673,965,321","50,000,000","623,965,321",7.4,111,0
,Sub total,"722,325,321","51,000,000","671,325,321",7.1,111,0
"EYE and Vocational
Training Services",EYE Services,"54,987,712",,"54,987,712",-,111,0
,Vocational Training Services,"65,360,000",,"65,360,000",-,111,0
,Subtotal,"120,347,712",0,"120,347,712",-,111,0
ICT Services,Information Services,"2,160,000",,"2,160,000",-,111,0
,ICT Infrastructure Development,"9,100,000",,"9,100,000",-,111,0
,Sub total,"11,260,000",0,"11,260,000",-,111,0
Department of Health Services,,,,,,111,0
"Policy planning
and administrative
support service","Policy, Planning and Monitoring Ser-
vices","3,621,000",,"3,621,000",-,111,0
,Administrative Support Services,"1,795,379,585","309,274,669","1,486,104,916",17.2,111,0
,Sub total,"1,799,000,585","309,274,669","1,489,725,916",17.2,111,0
"Preventive and
Promotive Health
Services",Community health services,"77,650,000","58,782,771","18,867,229",75.7,111,0
,Disease control services,"26,750,000",,"26,750,000",-,111,0
,"Facility Infrastructure Improvement
Services","140,000,000","7,468,313","140,000,000",,111,0
,Sub total,"244,400,000","66,251,084","244,400,000",27.1,111,0
"Curative and
Rehabilitative
Health Services",Routine medical health services,"185,975,632",,"185,975,632",-,111,0
,Medical Emergency Response Services,"8,000,000",,"8,000,000",-,111,0
,"Facility Infrastructure Improvement
Services","235,020,521","37,692,656","197,327,865",16.0,111,0
,Sub total,"428,996,153","37,692,656","391,303,497",16,111,0
"Research and De-
velopment Service",Research and Surveillance Services,"2,000,000",,"2,000,000",-,111,0
,Capacity Development Services,"3,000,000",,"3,000,000",-,111,0
,Sub total,"5,000,000",0,"5,000,000",-,111,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,111,0
"General Adminis-
tration Services","General Administrative Support Ser-
vices","23,853,948","4,000,000","19,853,948",16.8,111,0
,Operation and Maintenance Services,"28,046,305",,"28,046,305",-,111,0
,Sub total,"51,900,253","4,000,000","47,900,253",7.7,111,0
"Lands and Physical
planning",County Spatial Planning,"21,801,512",,"21,801,512",-,111,0
,Symbio City Change Project,"4,960,400",,"4,960,400",-,111,0
,Survey and Demarcation of Markets,"4,007,200",,"4,007,200",,111,0
,Land Banking,"10,003,500",,"10,003,500",,111,0
,Inventorization of public,0,,0,,111,0
,Preparation of Valuation Roll,"10,291,388",,"10,291,388",,111,0
,Sub total,"51,064,000",0,"51,064,000",0,111,0
"Housing and Urban
Development",Housing Improvement Services,"4,237,500",,"4,237,500",-,112,0
,"Smart Settlement Service AMBTC Pro-
motion Services","7,943,187",,"7,943,187",,112,0
,"Delineation and Establishment of Urban
Areas (Urban Institutional Grants)","5,866,000",,"5,866,000",-,112,0
,Slum Upgrading Programme KISIP,"50,000,000",,"50,000,000",-,112,0
,Affordable Housing Programme,"5,000,000",,"5,000,000",-,112,0
,"Urban Lakefront Planning and Devel-
opment","1,396,500",,"1,396,500",-,112,0
,Sub total,"74,443,187",0,"74,443,187",-,112,0
"Department of Trade, Industrialization, Cooperatives and Enterprise Development",,,,,,112,0
"Planning and
Administrative
services",Administrative and Support Services,"121,689,123","10,000,000","111,689,123",8.2,112,0
,"Policy Development and Implementa-
tion Services","11,300,000",,"11,300,000",-,112,0
,Sub total,"132,989,123","10,000,000","122,989,123",7.5,112,0
"Trade, Cooperative
and Entrepreneur-
ship Development
Service",Cooperative Development Services,0,,0,-,112,0
,"Enterprise Development and Promotion
Services","100,000,000",,"100,000,000",-,112,0
,"Trade Infrastructure Development Ser-
vices","48,000,000","19,402,700","28,597,300",40.4,112,0
,Sub total,"148,000,000","19,402,700","128,597,300",40,112,0
"Industrial Develop-
ment and Invest-
ment Services",Value Chain Development Services,"21,109,021",,"21,109,021",-,112,0
,Financial and Investment Services,"2,000,000",,"2,000,000",-,112,0
,Sub total,"23,109,021",0,"23,109,021",-,112,0
"Department of Water, Environment and Natural Resources",,,,,,112,0
"General Adminis-
trative Services",Administrative Support Services,"58,819,692","6,501,600","52,318,092",11.1,112,0
,Policy and Planning Services,"61,643,518",,"61,643,518",-,112,0
,Sub total,"120,463,210","6,501,600","113,961,610",5.4,112,0
"Water Supply
and Management
Services",Urban Water Supply Services,"58,080,000","6,000,000","52,080,000",10.3,112,0
,Rural Water Supply Services,"223,000,000",,"223,000,000",-,112,0
,Industrial Water Supply Services,0,,,,112,0
,Sub total,"281,080,000","6,000,000","275,080,000",10,112,0
"Environmental Pro-
tection and Man-
agement Services","Pollution and Waste Management Ser-
vices","16,500,000",,"16,500,000",-,112,0
,Forestry Development Services,"17,120,000",,"17,120,000",-,112,0
,Climate Change Services,"7,423,415",,"7,423,415",-,112,0
,Sub total,"41,043,415",0,"41,043,415",-,112,0
"Department of Finance, Economic Planning and Service Delivery",,,,,,112,0
"General Adminis-
tration and Support
services","Staff Remuneration and Welfare Support
Services","259,772,580","47,565,036","212,207,544",18.3,112,0
,"General Logistics, Coordination and As-
set Management Services","26,061,300",,"26,061,300",-,112,0
,"Devolution and Service Delivery Sup-
port Services","11,710,000",,"11,710,000",-,112,0
,Sub total,"297,543,880","47,565,036","249,978,844",16.0,112,0
"Planning, budgeting
and development
coordination
services","Economic planning and development
services","8,443,600",,"8,443,600",-,112,0
,Resource allocation services,"13,143,000",,"13,143,000",-,112,0
,Public Participation facilitation services,"15,584,000",,"15,584,000",-,112,0
,Sub total,"37,170,600",0,"37,170,600",-,112,0
"Strategy and service
delivery manage-
ment services",Monitoring and evaluation services,"3,042,000",,"3,042,000",-,113,0
,"Strategy and service delivery improve-
ment services","11,158,000",,"11,158,000",-,113,0
,Sub total,"14,200,000",0,"14,200,000",-,113,0
"Resource mobilisa-
tion services","External Resources Mobilisation Ser-
vices","11,779,805",,"11,779,805",-,113,0
,Internal Revenue Generation Services,"22,559,480",,"22,559,480",-,113,0
,Sub total,"34,339,285",0,"34,339,285",-,113,0
,"Accounting and Financial Reporting
Services","12,554,530",,"12,554,530",-,113,0
,Audit and Advisory Services,"6,004,285",,"6,004,285",-,113,0
"Financial manage-
ment services",Emergency Management Services,"72,000,000",-,"72,000,000",-,113,0
,Sub total,"90,558,815",0,"90,558,815",-,113,0
Executive Services (Office of the Governor),,,,,,113,0
"Public service
administration
support services","Human resource management and de-
velopment services","445,237,648","100,409,625","344,828,023",22.6,113,0
,Performance management services,"3,000,000",,,,113,0
,Legal Services,"5,019,010",,"5,019,010",-,113,0
,Subtotal,"453,256,658","100,409,625","352,847,033",22.2,113,0
"Governance and co-
ordination services","Executive management and liaison ser-
vices","158,161,914","44,722,138","113,439,776",28.3,113,0
,"Field coordination and administration
services","72,619,615",,"72,619,615",-,113,0
,Sub total,"230,781,529","44,722,138","186,059,391",19.4,113,0
"Strategy and service
delivery improve-
ment services",Strategy and advisory services,"10,000,000",,"10,000,000",-,113,0
,Efficiency monitoring services,"10,000,000",,"10,000,000",-,113,0
,"Information and communication ser-
vices","4,662,331",,"4,662,331",-,113,0
,Disaster management services,"11,422,600",,"11,422,600",-,113,0
,Compliance and management services,"10,014,400",,"10,014,400",-,113,0
,Sub total,"46,099,331",0,"46,099,331",-,113,0
County Public Service Board,,,,,,113,0
"Policy, Planning
and Administration
Services",Policy and Planning Services,"2,508,400",,"2,508,400",-,113,0
,Administrative Support Services,"44,810,247","3,500,000","41,310,247",7.8,113,0
,"Facility Improvement & Capacity
Strengthening Services","5,003,763",,"5,003,763",-,113,0
,Sub total,"52,322,410","3,500,000","48,822,410",6.7,113,0
"Personnel Sourcing
and Management
Services","Recruitment, Selection and Deployment
Services","10,320,076",,"10,320,076",-,113,0
,Human Resource Advisory Services,"7,665,000",,"7,665,000",-,113,0
,Capacity Development Services,"2,847,500",,"2,847,500",-,113,0
,Sub total,"20,832,576",0,"20,832,576",-,113,0
"Performance Man-
agement Services","Performance Contracting and Appraisal
Services","785,000",,"785,000",-,113,0
,Sub total,"785,000",0,"785,000",-,113,0
County Assembly Service Board,,,,,,113,0
Legislative Services,Members welfare Support services,"292,743,189","27,285,684","265,457,505",9.3,113,0
,"Legislative development and approval
services","236,045,286","19,982,291","216,062,995",8.5,113,0
,Sub total,"528,788,475","47,267,975","481,520,500",8.9,113,0
"Oversight and Con-
trol Services",Capacity building services,"7,000,000",0,"7,000,000",-,114,0
,Report writing services,"22,000,000",9120000,"12,880,000",41.5,114,0
,"Public participation and education ser-
vices","11,000,000",3181315,"7,818,685",28.9,114,0
,Subtotal,"40,000,000","12,301,315","27,698,685",30.8,114,0
"Ward Representa-
tion Services",Staff welfare support services,"66,628,836",-,"66,628,836",-,114,0
,Ward operations and maintenance,"19,661,760",-,"19,661,760",-,114,0
,Sub total,"86,290,596",-,"86,290,596",-,114,0
"Policy, Planning
and Administrative",Administrative support services,"284,664,489","22,124,938","262,539,551",7.8,114,0
Support Services,Financial management Services,"163,354,000",22648723.03,"140,705,277",13.9,114,0
,"Assembly infrastructure development
Services","78,454,927",3800000,"74,654,927",4.8,114,0
,Sub total,"526,473,416","48,573,661","477,899,755",9.2,114,0
Homa Bay Municipal Board,,,,,,114,0
"Policy, Planning,
General Adminis-
tration and Support
Services",Policy and Planning Services,"5,000,000",,"5,000,000",-,114,0
,Administration and Support Services,"27,234,298","2,000,000","25,234,298",7.3,114,0
,Sub total,"32,234,298","2,000,000","30,234,298",6.2,114,0
"Urban development
services",Land Use Planning and Management,"10,268,369",,"10,268,369",-,114,0
,Infrastructure Development Services,"71,238,691",,"71,238,691",,114,0
,Environmental Management Services,"20,938,249",,"20,938,249",,114,0
,Sub total,"102,445,309",0,"102,445,309",-,114,0
Grand Total,,"8,604,195,345","859,462,459","7,810,983,970",10,114,0
