Programme,"Sub-Pro-
gramme
code",Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,,A,B,,D=B/A*100,140,0
101004810,,Livestock development,"215,585,405","1,050,730","214,534,675",0.49,140,0
,101014810,Dairy Development,"130,861,465","122,320","130,739,145",0.09,140,0
,101024810,Poultry development,"10,000,000",-,"10,000,000",-,140,0
,101034810,"Livestock disease and pest pre-
vention","32,667,998","928,410","31,739,588",2.84,140,0
,101044810,"Livestock Market Infrastruc-
ture Improvement","42,055,942",-,"42,055,942",-,140,0
102004810,,"Fish Farming Productivity
Programme","70,000,000","10,090,000","59,910,000",14.41,140,0
,102024810,Promotion of Fish Farming,"70,000,000","10,090,000","59,910,000",14.41,140,0
103004810,,"Crop Production and Man-
agement Services","889,534,761",-,"889,534,761",-,140,0
,103014810,Cash crop development,"3,000,000",-,"3,000,000",-,140,0
,103024810,Food crop production,"478,160,904",-,"478,160,904",-,140,0
,103034810,"Crop pest and disease man-
agement","5,000,000",-,"5,000,000",-,140,0
,103044810,"Agricultural Extension and
Research","403,373,857",-,"403,373,857",-,140,0
105004810,,"Agricultural Extension and
Research","13,755,438",-,"13,755,438",-,140,0
,105014810,Training and demonstration,"13,755,438",-,"13,755,438",-,140,0
106004810,,Cooperative Development,"24,794,566","629,540","24,165,026",2.54,140,0
,106014810,Marketing and value addition,"24,794,566","629,540","24,165,026",2.54,140,0
107004810,,Land Management Services,"181,170,327","28,151,443","153,018,884",15.54,140,0
,107014810,Land use policy and planning,"100,339,713","19,490,734","80,848,979",19.42,140,0
,107024810,"Land Administration and
Planning","74,628,615","7,991,366","66,637,249",10.71,140,0
,107034810,Survey Services,"6,201,999","669,343","5,532,656",10.79,140,0
108004810,,"Housing Management Ser-
vices","60,200,349","12,179,269","48,021,080",20.23,140,0
,108014810,"Housing Infrastructure devel-
opment","5,200,349","243,425","4,956,924",4.68,140,0
,108024810,Slum Upgrading,"55,000,000","11,935,844","43,064,156",21.70,140,0
110004810,,Urban Development Service,"248,513,848","36,749,705","211,764,143",14.79,140,0
,110024810,"Social Amenities and Sanitary
Services","248,513,848","36,749,705","211,764,143",14.79,140,0
120004810,,"Irrigation and Drainage De-
velopment","3,091,091",-,"3,091,091",-,140,0
,120014810,"Small Holder Irrigation and
Drainage","3,091,091",-,"3,091,091",-,140,0
201004810,,"Road Infrastructure Devel-
opment","1,026,390,504","57,130,631","969,259,873",5.57,140,0
