Programme,"Sub- Pro-
gramme",Approved Estimates (Kshs),col_3,Actual Payments (Kshs),col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Esti-
mates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",179,1
"Legislation and
Oversight","Legislation and
Oversight","580,207,279","146,845,583","60,866,127",-,10.5,0.0,179,1
Sub Total,,"580,207,279","146,845,583","60,866,127",-,10.5,0.0,179,1
"Office of the
Governor and
Deputy Gov-
ernor","County Execu-
tive Services","335,418,284",-,"54,791,733",-,16.3,0.0,179,1
,,"Recurrent Esti-
mates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",180,0
"County
Executive
Administration","County Execu-
tive Services",-,"205,393,333",,"28,200,745",0.0,13.7,180,0
"Management of
County Affairs","Coordination
of County
Functions","136,652,000",-,"6,496,172",-,4.8,0.0,180,0
"County
Executive
Committee
Affairs","Organisation
of County Busi-
ness","6,200,000",-,"112,000",-,1.8,0.0,180,0
"County Public
Service Board","Human Re-
source Manage-
ment","14,906,040",-,"159,000",-,1.1,0.0,180,0
"Administrative
Support
Services","ICT Gover-
nance","3,480,000",-,"44,800",-,1.3,0.0,180,0
,"Government
Buildings
Services","2,567,000",-,-,-,0.0,0.0,180,0
,"Audit Com-
mittee","1,919,000",-,-,-,0.0,0.0,180,0
,"County
Enforcement
Activities","4,185,000",-,-,-,0.0,0.0,180,0
,"ICT Infrastruc-
ture Develop-
ment Manage-
ment","10,958,800",-,"195,500",-,1.8,0.0,180,0
,"ICT Systems
Development
Management","1,522,000",-,-,-,0.0,0.0,180,0
Sub Total,,"517,808,124","205,393,333","61,799,205","28,200,745",11.9,13.7,180,0
"Public Finance
Management","Finance Ser-
vices","504,692,121","15,000,000","44,279,213",-,8.8,0.0,180,0
,"Revenue Ser-
vices","17,300,000",-,"2,845,500",-,16.4,0.0,180,0
,"Procurement
and Supply
Services","8,570,000",-,"391,000",-,4.6,0.0,180,0
,"Internal Audit
Services","1,718,200",-,-,-,0.0,0.0,180,0
,"Budget Formu-
lation, Coor-
dination and
Management","8,420,920",-,"214,000",-,2.5,0.0,180,0
,"Accounting
Services","7,945,000",-,"1,523,700",-,19.2,0.0,180,0
"County
Planning and
Economic
Policy
Management","Economic
Planning Ser-
vices","13,099,000",-,"380,000",-,2.9,0.0,180,0
Sub Total,,"561,745,241","15,000,000","49,633,413",-,8.8,0.0,180,0
,,"Recurrent Esti-
mates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",181,0
"Curative and
Rehabilitative
Services","Curative and
Rehabilitative
Services","2,064,199,802","344,339,473","416,247,199","46,661,945",20.2,13.6,181,0
Sub Total,,"2,064,199,802","344,339,473","416,247,199","46,661,945",20.2,13.6,181,0
Basic Education,"General Ad-
ministration","366,914,905",-,"35,519,541",,9.7,0.0,181,0
,"Free Pre- Pri-
mary Educa-
tion","7,440,000",-,-,,0.0,0.0,181,0
"State Education
Function
Support","Tertiary Edu-
cation",-,"4,000,000.00",-,,0.0,0.0,181,0
"Technical and
Vocational
Training","Village Poly-
technique","678,500",-,-,,0.0,0.0,181,0
Sub Total,,"375,033,405","4,000,000","35,519,541",-,9.5,0.0,181,0
"Livestock Re-
source Man-
agement and
Development","Livestock
Extension and
Capacity Build-
ing Services","305,000",-,-,,0.0,0.0,181,0
,"Livestock
Production
Management","2,480,000",-,"683,380",,27.6,0.0,181,0
,"Livestock Dis-
ease Manage-
ment & Control","1,200,000",-,-,,0.0,0.0,181,0
"Crop
Development
and
Management","Agricultural
Extension
Services","1,500,000",-,-,,0.0,0.0,181,0
,"Agribusiness
and Market
Development","320,000.00",-,-,,0.0,0.0,181,0
