Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Education,,,,,,232,1
"General Administration &
Planning services",Personnel services,"2,000,000","500,000","1,500,000",25.0,232,1
,Administration Services,"6,000,000","500,000","5,500,000",8.3,232,1
"Vocational Training Insti-
tutes.","Vocational Training Insti-
tutes.","34,000,000",0,"34,000,000",-,232,1
"Collaboration with Stake-
holders","Collaboration with Stake-
holders.","3,500,000",0,"3,500,000",-,232,1
"Gender Culture and Social
Services.","Gender Culture and Social
Services.","7,878,948","500,000","7,378,948",6.3,233,0
Youth and Sports.,Youth & Sports,"13,000,000",0,"13,000,000",-,233,0
Education & Library Services,"Education and Library Ser-
vices.","84,200,000",0,"84,200,000",-,233,0
Talent Development Services,Child care & rehabilitation,"8,603,136",0,"8,603,136",-,233,0
,Talent Development,"500,000",0,"500,000",-,233,0
Sub-total,,"159,682,084","1,500,000","158,182,084",0.9,233,0
County Assembly,,,,,,233,0
"General Administration &
Planning Services",Administration services,"397,721,447","37,794,746","359,926,700",9.5,233,0
Legislative & Oversight,"Legislation & Oversight
Services","265,147,631","25,196,498","239,951,134",9.5,233,0
"Infrastructure improvement
services","County Assembly Infra-
structure improvement","103,000,000",-,"103,000,000",0.0,233,0
Sub-total,,"765,869,078","62,991,244","702,877,834",8.2,233,0
,,,,,,233,0
Financial Services,"County Treasury adminis-
trative services","66,062,522",-,"66,062,522",0.0,234,0
Land and Housing Management,"Housing Policy Develop-
ment","7,400,000",-,"7,400,000",0.0,234,0
"Public Works Service Delivery
Improvement","County Building Construc-
tion Standard","3,000,000",0,"3,000,000",0.0,234,0
"Renewable /Green Energy
Services","County renewable/green
energy services","22,500,000",0,"22,500,000",0.0,234,0
"Roads Network Improvement
Housing and Urban
Development","Road Network improve-
ment","381,772,935","1,300,000","380,472,935",0.3,234,0
,"Road network maintain-
ance",0,-,0,0.0,234,0
,"Heavy equipment Mainte-
nance","5,000,000",0,"5,000,000",0.0,234,0
,Urban Development,0,0,0,0.0,234,0
"Critical Infrastructure
rehabilitation and Construction","Inter ward bridge costruc-
tion program",0,0,0,0.0,234,0
"Administration and Support
Services","Managed Specialised
equipment and Vehicles","270,000,000",0,"270,000,000",0.0,234,0
Physical Planning and Survey,"Survey and Planning ser-
vices",0,0,0,0.0,234,0
,Land Management services,0,0,0,0.0,234,0
Sub-total,,"760,735,457","1,300,000","759,435,457",0.2,234,0
"Trade, Tourism & Cooperatives",,,,,,234,0
"General Administration &
Planning services",Administration Services,"4,000,000",-,"4,000,000",0.0,234,0
,Personnel Services,"1,000,000",-,"1,000,000",0.0,234,0
,Pending bills,"3,000,000",-,"3,000,000",0.0,234,0
"Co-operative Development
and promotion","Co-operative Development
and promotion","1,715,450",-,"1,715,450",0.0,234,0
,Research & Development,-,-,-,0.0,234,0
,Revolving Fund,"500,000",-,"500,000",0.0,234,0
Trade & Investments,"Market Infrastructure De-
velopment/Trade Promo-
tion Services","93,000,000",-,"93,000,000",0.0,234,0
,"Market Infrastructure De-
velopment",-,-,-,0.0,234,0
,"Meteological Lab-weignts
and measures","500,000",-,"500,000",0.0,234,0
"Toursim Development &
Promotion","Tourism Promotion and
Marketing","500,000",-,"500,000",0.0,234,0
,"Tourisim Infrastructural
Development",0,-,-,0.0,234,0
Sub-total,,"104,215,450",-,"104,215,450",0.0,234,0
"County Administration
Services","Headquarter Administra-
tion Services","1,994,698","522,349","1,472,349",26.2,235,0
,"ICT Infrastructure & Con-
nectivity","3,800,000","165,000","3,635,000",4.3,235,0
,"County Administration
Services","3,000,000","450,000","2,550,000",15.0,235,0
,"County services delivery
and result reporting","1,000,000","600,000","400,000",60.0,235,0
,Car & Mortgage,-,-,0,0.0,235,0
,Decentralised Services,"5,000,000",,"5,000,000",0.0,235,0
,Executive Support Service,"23,800,000","7,259,571","16,540,429",30.5,235,0
,Grants & Transfers,0,0,0,0.0,235,0
,"Urban Facilities Manage-
ment","49,900,000","2,500,000","47,400,000",5.0,235,0
,Legal Services,"2,300,000",-,"2,300,000",0.0,235,0
Security & Policing Services,"Disaster Reduction Man-
agement","1,642,860",-,"1,642,860",0.0,235,0
,"Enforcement and Disaster
Management","1,000,000","200,000","800,000",20.0,235,0
,"Alcohol Control Commit-
tee","1,000,000","250,000","750,000",25.0,235,0
,"Intergovernmental & Do-
nor Relations","3,500,000","975,000","2,525,000",27.9,235,0
,Fire Services,"7,500,000","375,000","7,125,000",5.0,235,0
"Public Participation & Civic
Education",Public participation,"1,500,000","450,000","1,050,000",30.0,235,0
Sub-total,,"3,351,136,799","717,832,589","2,633,304,210",21.4,235,0
"Water, Environment & Natural Resources",,,,,,235,0
Water Development,"Rural water supply and san-
itation","94,524,255",-,"94,524,255",-,235,0
"General Administration &
Support Services","Administrative and Plan-
ning Services","5,231,689",0,"5,231,689",-,235,0
,"Motor vehicle maintenance
and fuel provision","4,787,900","800,000","3,987,900",16.7,235,0
"Environment & Natural
Resources",Solid Waste Management,"13,500,000","1,000,000","12,500,000",7.4,235,0
,"Human-Wildlife Conflict
Prevention","2,000,000",0,"2,000,000",-,235,0
,"Natural Resources Manage-
ment","2,000,000",0,"2,000,000",-,235,0
,"Climate Change Adapta-
tion & Mitigation","126,000,000",0,"126,000,000",-,235,0
,"Intergrated land rehabilita-
tion","1,000,000",0,"1,000,000",-,235,0
Sub-total,,"249,043,844","1,800,000","247,243,844",0.7,235,0
"Agriculture, Livestock & Veterinary",,,,,,235,0
Headquarter Services,"Headquarter Administra-
tion Services","52,006,320",0,"52,006,320",-,235,0
