Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2022
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,243,1
1 County Assembly,Sub Total,"444,000,000","144,000,000","25,400,787",,5.7,0.0,243,1
"P1. Administrative
Services",,"232,959,120","40,000,000","14,810,494",,6.4,0.0,243,1
"P2. Legislation
and Oversight",,"211,040,880","104,000,000","10,590,293",,5.0,0.0,243,1
2 Executive,Sub Total,,"72,500,000","47,138,560",,16.0,,243,1
"P3 Administration
services",,"294,562,437","72,500,000","47,138,560",,16.0,,243,1
,Headquarters,"252,292,737","72,500,000","46,077,660",,18.3,,243,1
,"Office of the Gover-
nor & Deputy Gov-
ernor","42,269,700",,"1,060,900.",,2.5,,243,1
3 Finance,Sub Total,"101,256,122",,"21,281,692",,21.0,,243,1
"P11 Administration
services",Headquarters,"92,028,002",,"21,031,991",,22.9,,243,1
,,Rec,Dev,Rec,Dev,Rec,Dev,244,0
"P12 Control & man-
agement of Public
Finance",,"9,228,120",,"249,701",,2.7,,244,0
,"B. Accounting ser-
vices","6,787,501",,"183,661",,2.7,,244,0
,C. Procurement,"1,243,223",,"33,640",,2.7,,244,0
,"D. Resource Mobili-
zation","517,394",,"14,000",,2.7,,244,0
,E. Internal Audit,"680,003",,"18,400",,2.7,,244,0
"4 Agriculture Live-
stock, Veterinary &
Cooperative Devel-
opment",Sub Total,"134,274,235","173,000,000","18,478,950","5,992,514",13.8,3.5,244,0
"P1. Administrative
Services","Directorate of Agri-
culture & Extension
Services","95,842,847",,"18,454,900",,19.3,,244,0
"P11: Livestock Exten-
sion Services","Livestock Improve-
ment Programme","797,441","10,000,000","24,050",,3.0,,244,0
"P12 Veterinary Ser-
vice Management",Veterinary Services,"1,205,691",-,-,,0.0,,244,0
"P14: Cooperative
Management","SP4.2: Cooperative
Development","474,956","20,000,000",-,"5,992,514",0.0,30,244,0
"P16 Crop
Development &
Management","Plant disease con-
trol","35,953,300",,-,,0.0,,244,0
5 Land,Sub Total,"27,546,088","63,500,000","4,803,975.30",,17.4,,244,0
"P1 Administration
services",Headquarters,"27,546,088",,"4,803,975",,17.4,,244,0
"P2 Land Manage-
ment",Physical planning,,"63,500,000",,,,,244,0
6 Education,Sub Total,"264,378,316","101,700,000","63,729,431",,24.1,,244,0
"Administration
Services",Headquarters,"144,378,316",,"33,729,431",,23.4,,244,0
"Promotion of Early
Childhood Education","Early Childhood
Development","120,000,000","35,200,000","30,000,000",,25.0,,244,0
