Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Department of Finance and Economic Planning,,,,,,332,0
"Programme 1: Ad-
ministration, Plan-
ning and Support
Services",SP 1.1: Administration Services,"431,816,674","1,887,000","429,929,674",0.4,332,0
,Sp 1.2: Personnel Services,"549,241,520","140,496,244","408,745,276",25.6,332,0
Sub Total,,"981,058,194","142,383,244","838,674,950",14.5,332,0
"Programme 2: Public
Finance Management","SP 2.1: Budget Formulation
Coordination and Management","56,543,946","2,085,300","54,458,646",3.7,332,0
,SP 2.2: Resource Mobilization,"80,425,320","1,562,885","78,862,435",1.9,332,0
,SP 2.3: Internal Audit,"43,104,007","3,416,940","39,687,067",7.9,332,0
,SP 2.4: Procurement,"18,817,383","44,800","18,772,583",0.2,332,0
,"SP 2.5: Public Finance
and Accounting","30,324,827","747,725","29,577,102",2.5,332,0
,SP 2.6: Debt Management,"82,952,108","131,600","82,820,508",0.2,332,0
,"SP 2.7: External Resource
Mobilization","12,023,988","280,100","11,743,888",2.3,332,0
Sub Total,,"324,191,579","8,269,350","315,922,229",2.6,332,0
"Programme 3: Eco-
nomic and Financial
Policy Formulation
and Management",SP 3.1: Fiscal Planning,"39,215,712","779,700","38,436,012",2.0,332,0
,"SP 3.2: Monitoring & Evaluation
/ Statistical Data Management","9,876,747","133,500","9,743,247",1.4,332,0
,SP 3.3: KDSP Programme,-,-,-,-,332,0
Sub Total,,"49,092,459","913,200","48,179,259",1.9,332,0
Department of Public Service Training and Devolution,,,,,,332,0
"Programme 1 Ad-
ministration, Plan-
ning and Support
service","Sub-programme
1.1(Administration service)","150,080,964",-,"150,080,964",-,332,0
,"Sub-programme
1.2(Personal Service)","654,880,126","150,326,830","504,553,296",23.0,332,0
,"Sub-programme
1.3(Financial Service)","50,000",-,"50,000",-,332,0
,"Sub-programme 1.4(Co-
ordination of Public and Special
Community Programme)","3,500,000",-,"3,500,000",-,333,0
,"Sub-programme 1.5(Mainstream
Workplace HIV/AIDS,Alcohol
& Drug Abuse Control)","2,000,000",-,"2,000,000",-,333,0
,"Sub-programme
1.6(Rehabilitation/Construction
of Sub County Offices)","49,880,408",-,"49,880,408",-,333,0
Sub Total,,"860,391,498","150,326,830","710,064,668",17.5,333,0
"Programme 3:
Human Resource
Management and
Development","Sub-programme 3.1 Performance
Contracting","4,000,000",-,"4,000,000",-,333,0
,"Sub-programme 3.2 Performance
Appraisal System","4,500,000",-,"4,500,000",-,333,0
,"Sub-programme 3.3 Staff develop-
ment Through Capacity Building
and Training","30,399,580",-,"30,399,580",-,333,0
Sub Total,,"38,899,580",-,"38,899,580",-,333,0
"Programme 4: Di-
saster Management
and Humanitarian
Assistance","Sub-programme 4.1
Disaster Management and
Humanitarian Assistance","5,000,000",-,"5,000,000",-,333,0
Sub Total,,"5,000,000",,"5,000,000",-,333,0
"Department of Agriculture, Livestock and Fisheries",,,,,,333,0
"Programme 1: Ad-
ministration, Plan-
ning and Support
Services",SP 1.1: Human Resources Services,"400,214,290","84,944,554","315,269,737",21.2,333,0
,"SP 1.2: Administration, Planning
and Support Services","141,906,444","272,100","141,634,344",0.2,333,0
Sub Total,,"542,120,734","85,216,654","456,904,081",15.7,333,0
"Programme 2:
Livestock Resource
Management and
Development","SP 2.1: Livestock Production
and Management","10,146,025","312,400","9,833,625",3.1,333,0
,"SP 2.2: Promotion of Value
Addition of Livestock and
Livestock Products","152,121,845",,"152,121,845",-,333,0
,"SP 2.3: Livestock Extension
Service Delivery","3,121,854",,"3,121,854",-,333,0
,"SP 2.4: Food Safety and Livestock
Products Development","13,902,317",,"13,902,317",-,333,0
,"SP 2.5: Livestock Disease
Management and Control","16,084,029",,"16,084,029",-,333,0
Sub Total,,"195,376,070","312,400","195,063,670",0.2,333,0
"Programme 3: Fish-
eries Development",SP 3.1: Aquaculture development,"11,815,282","69,600","11,745,682",0.6,333,0
,"SP 3.2: Development of
capture fisheries resources","9,829,790",-,"9,829,790",-,333,0
,"SP 3.3: Fish quality assurance,
value addition and marketing","1,286,269",-,"1,286,269",-,334,0
Sub Total,,"22,931,341","69,600","22,861,741",0.3,334,0
"Programme 4: Crop
Development and
Management","SP 4.1: Extension, Research
and Training","20,453,147","183,500","20,269,647",0.9,334,0
,"SP 4.2: Crop Production
and Food Security","348,612,006",-,"348,612,006",-,334,0
,"SP 4.3: Farmland utilization,
Conservation and Mechanization","5,257,429",-,"368,881,653",-,334,0
,"SP 4.4: Agribusiness
Development and Marketing","2,196,040",-,"2,196,040",-,334,0
,SP 4.5: Agri-nutrition,"611,345",-,-,-,334,0
Sub Total,,"377,129,967","183,500","739,959,346",-,334,0
"Department of Lands, Physical Planning and Housing",,,,,,334,0
"Programme 1:
Administration,
Planning, Manage-
ment and Support
Services","SP 1.1 Administration
and financial service","108,117,870","21,668,960","86,448,910",20.0,334,0
Sub Total,,"108,117,870","21,668,960","86,448,910",20,334,0
"Programme 2: Land
Use Planning and
Survey","SP 2.1 Nakuru County
Land use plan","357,298,626",-,"357,298,626",-,334,0
,"SP 2.2 Land Information
Management System (LIM)","3,400,000",-,"3,400,000",-,334,0
,"SP 2.3 Surveying and
Mapping of county","1,925,000",-,"1,925,000",-,334,0
,"SP 2.4 Urban Plan and
Development","52,978,159",-,"52,978,159",-,334,0
,"SP 2.5 Surveying of
Urban Centres","1,348,045",-,"1,348,045",-,334,0
,"SP 2.6 Surveying of County
Estate and facilitation
of Lease processing","1,500,000",-,"1,500,000",-,334,0
,"SP 2.7 Establishment of a survey
Centre and Mapping Centre’s","1,000,000",-,"1,000,000",-,334,0
Sub Total,,"419,449,830",-,"419,449,830",-,334,0
"Programme 3: Hous-
ing Development and
Management","SP 3.1 Maintenance of
County Houses","6,356,997",-,"6,356,997",-,334,0
,"SP 3.2 Housing Technology
Establishment of five
Constituency Building
Technology Centres","15,000,000",-,"15,000,000",-,334,0
,"SP 3.3 Development of
Housing Infrastructure","8,479,073",-,"8,479,073",-,334,0
Sub Total,,"29,836,070",-,"29,836,070",-,334,0
Department of Office of the Governor and Deputy Governor,,,,,,334,0
"Administration,
Planning and Sup-
port",Administration and Planning,"170,195,148","88,762,722","81,432,426",52.2,335,0
,Personnel Services,"100,523,424","32,851,104","67,672,320",32.7,335,0
Sub Total,,"270,718,572","121,613,826","149,104,746",44.9,335,0
"Management of
County Affairs",County Executive Services,"13,200,736",-,"13,200,736",-,335,0
,"Policy Direction and
Coordination","76,600,368","4,572,250","72,028,118",6.0,335,0
,County Policing Services,"3,960,221",-,"3,960,221",-,335,0
,Leadership and Governance,"2,640,147",-,"2,640,147",-,335,0
Sub Total,,"96,401,472","4,572,250","91,829,222",4.7,335,0
"Coordination and
Supervisory Services",Organisation of County Business,"19,801,104","5,465,202","14,335,902",27.6,335,0
,Special Programmes,"6,600,368",-,"6,600,368",-,335,0
Sub Total,,"26,401,472","5,465,202","20,936,270",20.7,335,0
"Department of Education, ICT and E-Government",,,,,,335,0
"Programme 1: Ad-
ministration, Plan-
ning and Support
Services",S.P. 1:1 Personnel services,"469,305,788","73,747,340","395,558,448",15.7,335,0
,"S.P. 1:2 Administration
and Support Services","325,746,159",-,"325,746,159",-,335,0
,S.P. 1.3: Financial services,-,-,-,-,335,0
Sub Total,,"795,051,947","73,747,340","721,304,607",9.3,335,0
"Programme 2:
Promotion of Early
Childhood Education
and Development","S.P. 2.1: Promotion of
early childhood","42,776,132",-,"42,776,132",-,335,0
,S.P. 2.2: Bursaries,"120,000,000",-,"120,000,000",-,335,0
,S.P. 2.3: Education development,"31,457,589",-,"31,457,589",-,335,0
Sub Total,,"194,233,721",-,"194,233,721",-,335,0
"Programme 3: Voca-
tional Training",S.P. 3.1: Vocational training,"74,877,706",-,"74,877,706",-,335,0
,"S.P. 3.2: Revitalization of
youth programme","105,088,631",-,"105,088,631",-,335,0
Sub Total,,"179,966,337",-,"179,966,337",-,335,0
"Programme 4: Infor-
mation and Commu-
nication Service","S.P. 4.1: Public Communication
and Media Services","10,674,500",-,"10,674,500",-,335,0
Sub Total,,"10,674,500",-,"10,674,500",-,335,0
"Programme 5: ICT
Infrastructure Devel-
opment and e-Gov-
ernment Services",S.P. 5.1: Network Infrastructure,"12,457,281",-,"12,457,281",-,335,0
,"S.P. 5.2: Hardware and
Software platforms","5,000,000",-,"5,000,000",-,335,0
,S.P. 5.3: e-Government Services,"11,675,137",-,"11,675,137",-,335,0
Sub Total,,"29,132,418",-,"29,132,418",-,335,0
"Department of Trade, Industry Marketing and Tourism",,,,,,336,0
"Programme 1: Ad-
ministration, Plan-
ning and Support
Services","SP 1.1: Administration, Planning
and Support Services","36,693,822",-,"36,693,822",-,336,0
,SP 1.2: Personnel Services,"61,958,068","12,082,281","49,875,787",19.5,336,0
,SP 1.3: Financial Services,,-,-,-,336,0
Sub Total,,"98,651,890","12,082,281","86,569,609",12.2,336,0
"Programme 2: Coop-
erative Development
and Management","SP 2.1: Enhance Marketing
Cooperatives","20,579,942",-,"20,579,942",-,336,0
,"SP 2.2: Sacco Member
Empowerment","2,662,791",-,"2,662,791",-,336,0
,"SP 2.3: Enforcement of
Compliance in Cooperatives","2,653,022",-,"2,653,022",-,336,0
,SP 2.4: Extension Services,"1,165,698",,,,336,0
Sub Total,,"1,248,547",-,"1,248,547",-,336,0
"Programme 3: Com-
merce and Enterprise","SP.3:1 Business Development
Services for SME's","2,365,108",-,"2,365,108",-,336,0
,"SP 3.2: Facilitating Producer
Business Groups (PBGs)","2,000,000",-,"2,000,000",-,336,0
,SP 3.3: SME Funding,"1,974,892",-,"1,974,892",-,336,0
,SP 3.4: Trade Licensing,"25,000,000",-,"25,000,000",-,336,0
,SP 3.5: Consumer Protection,"17,000,000",-,"17,000,000",-,336,0
Sub Total,,"8,450,000",,"8,450,000",,336,0
