Head,Program,Description,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
0,,"Default Value ( Non-
Departmental)",0,"2,596,600.00","-2,596,600.00",0.0%,359,1
,1002004610,"Environment Manage-
ment and Protection",0,0,0,0.0%,359,1
,703004610,"Economic Policy and
County Planning",0,0,0,0.0%,360,0
,701004610,"General Administra-
tion, Planning and
Support Services",0,"2,096,600.00","-2,096,600.00",0.0%,360,0
,4610,"Default - Non-Pro-
grammatic",0,"500,000.00","-500,000.00",0.0%,360,0
4611000100,,"county Assembly
Headquarters","311,129,231.00","3,431,357.90","307,697,873.10",1.1%,360,0
,725004610,,0,0,0,0.0%,360,0
,704004610,"Legislation and Repre-
sentation","311,129,231.00","3,431,357.90","307,697,873.10",1.1%,360,0
,722004610,,0,0,0,0.0%,360,0
,701004610,"General Administra-
tion, Planning and
Support Services",0,0,0,0.0%,360,0
4611000200,,Office of the Speaker,"13,460,000.00","2,579,700.00","10,880,300.00",19.2%,360,0
,722004610,,0,0,0,0.0%,360,0
,704004610,"Legislation and Repre-
sentation","13,460,000.00","2,579,700.00","10,880,300.00",19.2%,360,0
4611000300,,"County Assembly Ad-
ministration","403,394,425.00","1,935,730.00","401,458,695.00",0.5%,360,0
,722004610,,0,0,0,0.0%,360,0
,701004610,"General Administra-
tion, Planning and
Support Services","403,394,425.00","1,935,730.00","401,458,695.00",0.5%,360,0
4611000400,,County Legislature,"8,700,000.00",0,"8,700,000.00",0.0%,360,0
,704004610,"Legislation and Repre-
sentation","8,700,000.00",0,"8,700,000.00",0.0%,360,0
4611000500,,"Finance Management
Services","12,610,000.00","1,556,400.00","11,053,600.00",12.3%,360,0
,722004610,,0,0,0,0.0%,360,0
,702004610,"Public Finance Man-
agement",0,0,0,0.0%,360,0
,701004610,"General Administra-
tion, Planning and
Support Services","12,610,000.00","1,556,400.00","11,053,600.00",12.3%,360,0
4611000600,,Policy And Research,"6,600,544.00",0,"6,600,544.00",0.0%,360,0
,704004610,"Legislation and Repre-
sentation","6,600,544.00",0,"6,600,544.00",0.0%,360,0
,724004610,,0,0,0,0.0%,360,0
4611000700,,"Administrative Ser-
vices","63,916,800.00","14,416,650.00","49,500,150.00",22.6%,360,0
,701004610,"General Administra-
tion, Planning and
Support Services","63,916,800.00","14,416,650.00","49,500,150.00",22.6%,360,0
4611000800,,"County Assembly Ser-
vice Board","6,000,000.00","157,000.00","5,843,000.00",2.6%,360,0
,704004610,"Legislation and Repre-
sentation","6,000,000.00","157,000.00","5,843,000.00",2.6%,360,0
,722004610,,0,0,0,0.0%,360,0
4611000900,,"Procedure And Com-
mittee Services","31,079,000.00","6,956,280.00","24,122,720.00",22.4%,360,0
,701004610,"General Administra-
tion, Planning and
Support Services","31,079,000.00","6,956,280.00","24,122,720.00",22.4%,361,0
,722004610,,0,0,0,0.0%,361,0
4612000100,,County Executive,"140,870,000.00","8,040,750.00","132,829,250.00",5.7%,361,0
,725004610,,0,0,0,0.0%,361,0
,701004610,"General Administra-
tion, Planning and
Support Services","140,870,000.00","8,040,750.00","132,829,250.00",5.7%,361,0
4612000200,,"County Executive Ad-
ministration",0,0,0,0.0%,361,0
