col_0,Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Department of the County Assembly,,,,,,371,1
Sub total,,"833, 070, 587","28, 076, 603","804, 993, 984",3.4,371,1
010100,"Policy planning, general administration","333, 926, 193","13, 065, 832","320, 860, 361",3.9,371,1
070800,Committee management services,"23, 959, 000","4, 241, 800","19, 717, 200",18.4,371,1
070900,Legislation and representation services,"475, 185, 394","10, 768, 971","464, 416, 423",2.3,371,1
Department of County executive,,,,,,371,1
070100,General administration and support services,"401, 490, 445","43, 784, 609","357, 705, 836",10.9,371,1
subtotal,,"401, 490, 445","43, 784, 609","357, 705, 836",10.9,371,1
070100,General administration and support services,"20, 000, 000",0.00,"20, 000, 000",0.0,371,1
070600,Governance and coordination services,"47, 671, 880","4, 117, 700","43, 554, 180",8.6,371,1
subtotal,,"67, 671,880","4, 117,700","63, 554,180",6.1,371,1
Department of Finance and economic planning,,,,,,371,1
050400,ICT Services,"13, 100, 000","160, 500","12, 939, 500",1.2,371,1
070100,General administration and support services,"343, 600, 913","112, 391, 012","231, 209, 901",32.7,372,0
070200,Budget formulation and management,"360, 000, 000","116, 970, 681","243, 029, 319",32.5,372,0
070500,Resource mobilization,"25, 285, 542","1, 108, 000","24, 177, 542",4.4,372,0
Sub total,,"741, 986, 455","230, 630, 193","511, 356, 262",31.1,372,0
070200,Budget formulation and management,"114, 521, 474","4, 810, 400","109, 711, 074",4.2,372,0
Sub total,,"114, 521, 474","4, 810, 400","109, 711, 074",4.2,372,0
070400,County financial management & control,"3, 323, 155","350, 000","2, 973, 155",1.1,372,0
Sub total,,"3, 323, 155","350, 000","2, 973, 155",1.1,372,0
010100,General administration and support services,"3, 049, 570","50, 000","2, 999, 570",1.6,372,0
Sub total,,"3, 049, 570","50, 000","2, 999, 570",1.6,372,0
070400,County financial management & control,"3, 335, 487","495, 600","2, 839, 887",1.4,372,0
Sub total,,"3, 335,487","495,600","2, 839,887",1.4,372,0
"Department of Agriculture, livestock and fisheries development",,,,,,372,0
010100,"Policy planning, general administration
and support services","150, 211, 350","34, 792, 230","115, 419, 120",23.1,372,0
Sub total,,"150, 211, 350","34, 792, 230","115, 419, 120",23.1,372,0
010400,Livestock promotion and development,"16, 297, 004",0.00,"16, 297, 004",0.0,372,0
Sub total,,"16, 297, 004",0.00,"16, 297, 004",0.0,372,0
