Programme,"Sub-Pro-
gramme","Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23 (Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,391,1
"Agriculture, Livestock & Fisheries",,,,,,391,1
Agricultural Management,"Administration
and planning ser-
vices","626,625,241","59,302,144","567,323,097",9.5,391,1
Livestock Production Management,"Provision of Ex-
tension Services
to Livestock
farmers","13,689,500","52,375","13,637,125",0.4,391,1
Crop Management,"Administrative
Support Services","2,759,500","12,845","2,746,655",0.5,391,1
Fisheries development,"Administrative
Support Services","3,809,500","11,200","3,798,300",0.3,391,1
Veterinary services,"Administrative
Support Services","12,409,663","133,114","12,276,549",1.1,391,1
,,A,B,C=A-B,D=B/A*100,392,0
Wambugu ATC,"Farm Develop-
ment","8,521,282",-,"8,521,282",-,392,0
AMS Naromoru,"Development
Of Agricultural
Land For Crop
Production","3,010,500",-,"3,010,500",-,392,0
,,"670,825,186","59,511,678","611,313,508",8.9,392,0
"Lands, Physical Planning, Housing & Urban Development",,,,,,392,0
Physical planning services,"Administration
and personnel
services","255,578,787","6,132,972","249,445,815",2.4,392,0
Land Policy and Planning,"Land Policy For-
mulation","4,445,000",-,"4,445,000",-,392,0
"Housing Development and Human
Settlement","Government
Building","1,495,000",-,"1,495,000",-,392,0
,,"261,518,787","6,132,972","255,385,815",2.4,392,0
"Transport, Public Works, Infrastructure & Energy",,,,,,392,0
"General administration and policy De-
velopment and implementation","Administration,
planning and
support services","75,875,451","14,396,046","61,479,405",19.0,392,0
"Roads development, maintenance and
management","County access
and feeder roads
improvement","502,525,159",-,"502,525,159",-,392,0
Energy Sector development,"Street lighting
programme","208,905,511","5,131,000","203,774,511",2.5,392,0
,,"787,306,121","19,527,046","767,779,075",2.5,392,0
"Trade, Culture, Tourism & Cooperative Development",,,,,,392,0
Trade and Cooperative Development,Trade Promotion,"103,025,025","8,763,094","94,261,931",8.5,392,0
Tourism Development,"Promotion of
Tourism","15,060,000",-,"15,060,000",-,392,0
Co-operatives,"Co-operative
Development","13,160,000","- 87,000","13,247,000",- 0.7,392,0
,,"131,245,025","8,676,094","122,568,931",6.6,392,0
Health Services,,,,,,392,0
"Administration, Planning and General
Support Services","Administration,
Planning and
General Support
Services","2,549,432,473","537,138,223","2,012,294,250",21.1,392,0
Rural Health,"Administration,
Planning and
General Support
Services","24,091,379",-,"24,091,379",-,392,0
,,"2,573,523,852","537,138,223","2,036,385,629",20.9,392,0
Education & Sports,,,,,,392,0
"General administration and policy De-
velopment and implementation","Administrative
Support Services","249,281,287","57,607,089","191,674,198",23.1,392,0
ECDE Management,"ECDE Manage-
ment","36,032,496",-,"36,032,496",-,392,0
Youth Training and Development,"Youth Polytech-
nics","23,870,000",-,"23,870,000",-,392,0
,,A,B,C=A-B,D=B/A*100,393,0
County Sports Development,"Search and nur-
ture talents","12,711,000",-,"12,711,000",-,393,0
,,"321,894,783","57,607,089","264,287,694",17.9,393,0
Office of the Governor & Deputy Governor,,,,,,393,0
"Management and Co-ordination of
county affairs","Administration,
planning and
support services","132,083,962","22,121,128","109,962,834",16.8,393,0
,,"132,083,962","22,121,128","109,962,834",16.8,393,0
Office of the County Secretary,,,,,,393,0
"Coordination of County Functions and
Public Service Management","Coordination
of County Func-
tions and Public
Service Manage-
ment","294,074,168","17,371,283","276,702,885",5.9,393,0
,"Community sen-
sitization, educa-
tion and public
participation","1,170,000",-,"1,170,000",-,393,0
,"ICT Develop-
ment","2,200,000",-,"2,200,000",-,393,0
,,"297,444,168","17,371,283","280,072,885",5.8,393,0
Finance & Economic Planning,,,,,,393,0
Executive services,"Administration
and personnel
services","829,344,147","107,069,040","722,275,107",12.9,393,0
Economic Planning and Policy Formulation,"Economic Plan-
ning and Policy
Formulation","9,790,400","968,760","8,821,640",9.9,393,0
Public Finance Management,"Financial Ac-
counting","8,901,000","802,658","8,098,342",9.0,393,0
,"Procurement
Compliance and
Reporting","8,102,000","820,700","7,281,300",10.1,393,0
,Internal Audit,"5,859,800","694,100","5,165,700",11.9,393,0
Revenue Mobilization,"Revenue Mobili-
zation","16,200,000","882,306","15,317,694",5.5,393,0
Economic Planning and Policy Formulation,"Monitoring and
Evaluation","3,200,500","425,000","2,775,500",13.3,393,0
,,"881,397,847","111,662,564","769,735,283",12.7,393,0
County Assembly,,,,,,393,0
"General administration, Policy Devel-
opment and implementation","Administration
and planning ser-
vices","701,693,761","80,812,774","620,880,987",11.5,393,0
Mortgage Services,"Administration
and planning ser-
vices","111,000,000",-,"111,000,000",-,393,0
,,"812,693,761","80,812,774","731,880,987",9.9,393,0
County Public Service & Solid Waste Management,,,,,,393,0
