Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",col_6,page_number,table_index
,,A,B,C=A-B,D=B/A*100,,459,0
"Office of the
Governor",,,,,,,459,0
"General Adminis-
tration, Planning
and Support
Service
Governor's
Residence","General Admin-
istration and Sup-
port services","146,208,793","6,921,561","139,287,232",4.7,,459,0
,"Construction of
Governor's resi-
dence","1,616,437",-,"1,616,437",-,,459,0
,"Documentation,
communication
policy and strategy","2,156,584",-,"2,156,584",-,,459,0
,"Civic Educa-
tion and Public
Sensitization","3,324,708","100,000","3,224,708",3.0,,459,0
,"Production of
County Newspa-
per and Newsletter","1,301,396",-,"1,301,396",-,,459,0
"Donor /Investor
Engagement
Security and Peace
Building
Social and Finan-
cial Security
Public Participa-
tion and Access to
Information
Service Delivery-
ISO Certification
Governors Press
Service
Office of the Dep-
uty Governor
General Planning
and Support
Government
Programming
Finance and Eco-
nomic Planning
General Adminis-
tration, Planning
and Support
Service","Public-Private
Partnership Initia-
tives (PPPs)","1,011,042",-,"1,011,042",-,,459,0
,,A,B,C=A-B,D=B/A*100,,460,0
"Government
Communication
and Media rela-
tions
Revenue Collec-
tion Systems
Accountability
and Transparency
Planning
and Policy
formulation",,,,,,,460,0
,,,,,,,460,0
,,,,,,,460,0
,"Political and In-
tergovernmental
Advisory Services","2,054,117",-,"2,054,117",-,,460,0
,"Legal Advisory
Services","1,411,043",-,"1,411,043",-,,460,0
,"Security and cross
border Advisory
Services","1,971,248",-,"1,971,248",-,,460,0
,"Oil and Gas Advi-
sory Service","1,411,042",-,"1,411,042",-,,460,0
,"Gender and Part-
nership Advisory
Services","1,411,042",-,"1,411,042",-,,460,0
,"Special Interest
groups","1,011,042",-,"1,011,042",-,,460,0
,"Climate Change
advisory services","1,011,042",-,"1,011,042",-,,460,0
,"Education and
youth Advisory
services","1,011,042",-,"1,011,042",-,,460,0
,"Culture, Arts and
Heritage advisory
services","1,411,042",-,"1,411,042",-,,460,0
,"Community Co-
hesion and Reset-
tlement","16,211,207","786,000","15,425,207",4.8,,460,0
,"Operational-
ization of peace
building struc-
tures and institu-
tions","50,400,269","3,200,000","47,200,269",6.3,,460,0
,"Resettlement In-
frastructural Pro-
gramme","107,549,142",-,"107,549,142",-,,460,0
,,A,B,C=A-B,D=B/A*100,,461,0
,"Cross Border
peace dividends
programme","30,688,298","250,000","30,438,298",0.8,,461,0
,"Assurance and In-
surance of Govt.
Assets","3,917,904",-,"3,917,904",-,,461,0
,"Liability and Debt
Management","2,868,904",-,"2,868,904",-,,461,0
,"Turkana SACCO
Seed Capital","5,350,061",-,"5,350,061",-,,461,0
,"Construction of
Citizen Resource
Centre","4,038,679",-,"4,038,679",-,,461,0
,"Web site Develop-
ment","6,780,245","250,000","6,530,245",3.7,,461,0
,"Social Budgeting
and Generation of
SIR Reports","2,018,886","1,000,000","1,018,886",49.5,,461,0
,"Intergovernmen-
tal Relation","9,606,600",-,"9,606,600",-,,461,0
,"Strategy Devel-
opment, Review,
Support and Op-
erationalization","1,577,044",-,"1,577,044",-,,461,0
,Service Charter,"4,021,349",-,"4,021,349",-,,461,0
,"Development of
County Filing Sys-
tems","4,339,073",-,"4,339,073",-,,461,0
,"Procedure Manual
and Training","1,979,699",-,"1,979,699",-,,461,0
,"Governors Press
Support","5,988,296","125,000","5,863,296",2.1,,461,0
,Sub total,"425,657,276","12,632,561","413,024,715",3.0,,461,0
,,,,,,,461,0
,"General Planning
and Support ser-
vices","20,151,000",-,"20,151,000",-,,461,0
,"Govt Program-
ming","6,800,000",-,"6,800,000",-,,461,0
,"Community En-
gagement","7,600,568",-,"7,600,568",-,,461,0
,"Govt Stakeholder
Engagement","6,100,000",-,"6,100,000",-,,461,0
,"Govt Transforma-
tion","4,900,090",-,"4,900,090",-,,461,0
,Sub total,"45,551,658",-,"45,551,658",-,,461,0
,,,,,,,461,0
,"General Adminis-
tration Services","65,631,021","182,232","65,448,789",0.3,,461,0
,,A,B,C=A-B,D=B/A*100,,462,0
,"General Adminis-
tration - Econom-
ic planning","26,733,408",-,"26,733,408",-,,462,0
,"Acquiring & de-
velopment of
communication
systems/equip-
ment","5,500,000",-,"5,500,000",-,,462,0
,Policies,"14,000,000",-,"14,000,000",-,,462,0
,"Development and
Implementation
of ICT Policy and
Regulations","2,533,806",-,"2,533,806",-,,462,0
,"Feasibility Study
on Revenue Base","2,100,775",-,"2,100,775",-,,462,0
,"Awareness and
Campaigns on
Revenue.","4,974,000",-,"4,974,000",-,,462,0
,"Motorbikes for
Revenue Officers
30 No.","1,377,569",-,"1,377,569",-,,462,0
,"Strengthening
Revenue Systems","11,794,822",-,"11,794,822",-,,462,0
,"Revenue Forecast
and Revenue Bud-
get Preparation","2,683,726",-,"2,683,726",-,,462,0
,"Completion of
Lokiriama Reve-
nue Centre","30,000,000",-,"30,000,000",-,,462,0
,Internal Audit,"9,000,000",-,"9,000,000",-,,462,0
,"Procurement sys-
tems","4,500,000",-,"4,500,000",-,,462,0
,IFMIS training,"5,058,150",-,"5,058,150",-,,462,0
,"Modern Fencing,
Gate and Parking
Yards for County
Treasury Office","100,000,000","1,221,400","98,778,600",1.2,,462,0
,"Financial Report-
ing/Research and
Development","7,000,000",-,"7,000,000",-,,462,0
,"Economic Policy
formulation and
Dissemination","8,095,355",-,"8,095,355",-,,462,0
,"CIDP review and
Dissemination","1,546,736","1,689,330","(142,594)",109.2,,462,0
,"County Budget
and Economic Fo-
rums","30,000,000",-,"30,000,000",-,,462,0
,"Public Participa-
tion and Access to
Information","3,017,266",-,"3,017,266",-,,462,0
,,A,B,C=A-B,D=B/A*100,,463,0
,"Waste Manage-
ment","1,640,695",-,"1,640,695",-,,463,0
"Monitoring and
Evaluation","S o f t w a r e
(E-ProMIS, GIS
e.t.c)","4,395,198",-,"4,395,198",-,,463,0
,"Field visits, data
collection and Re-
porting","2,084,583",-,"2,084,583",-,,463,0
,"Training and
Knowledge man-
agement","2,108,968",-,"2,108,968",-,,463,0
,"Devolved Moni-
toring and Evalu-
ation Committees","1,549,014",-,"1,549,014",-,,463,0
"County
Statistical Unit","Soft wares, data-
bases and tools","6,600,000",-,"6,600,000",-,,463,0
,"Capacity Develop-
ment","3,026,422","59,800","2,966,622",2.0,,463,0
,"Project Manage-
ment Information
System","1,000,000",-,"1,000,000",-,,463,0
Budgetary Supply,"Budget Formula-
tion, Co-ordina-
tion and Manage-
ment","24,015,534","2,927,900","21,087,634",12.2,,463,0
,"Public Participa-
tion in Budgeting","11,070,000",-,"11,070,000",-,,463,0
,"County Budget
and Economic Fo-
rum","9,806,053","266,000","9,540,053",2.7,,463,0
,"Accountability in
Resource Alloca-
tion","9,600,000",-,"9,600,000",-,,463,0
"Resource
Mobilisation","Resource Mobili-
sation","5,017,378",-,"5,017,378",-,,463,0
,Sub total,"417,460,479","6,346,662","411,113,817",1.5,,463,0
"Water Services,
Environment and
Mineral Resourc-
es",,,,,,,463,0
,,A,B,C=A-B,D=B/A*100,,464,0
