Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expenditure
Q2 FY 2022/23
(Kshs.)","Absorption Rate
(%)",page_number,table_index
,,A,B,D=B/A*100,63,1
"Agriculture, Livestock & Co-operative",,,,,63,1
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",SP 1.1 Administrative and Support Services,"121,713,782","37,343,300",30.7,63,1
,"SP 1.2 Human Resource Management and De-
velopment.","324,105,980","153,388,228",47.3,63,1
,"SP 1.3: Policy, Legal and Regulatory Framework","7,600,000",,-,63,1
,SP 1.4: Planning and Financial management,"11,615,043",,-,63,1
,SP 1.5 Sector Coordination,"4,000,000",,-,63,1
,SP 1.6: Leadership and Governance,"2,000,000",,-,63,1
,SP 1.7 Sub-county Administrative Costs,"21,600,000",,-,63,1
"Programme 2: Land and
Crop Development and
Management","SP 2.1: Agricultural extension and training ser-
vices",-,,-,63,1
,SP 2.2: Crop production and productivity,"389,286,877",,-,63,1
,"SP 2.4 Soil rehabilitation, protection and con-
servation",-,,-,63,1
,SP 2. 5 Value addition and Agro-processing,"8,000,000",,-,63,1
,SP 2.6 Agri nutrition and food utilisation,-,,-,63,1
,SP 2.7 Irrigation Extension and training,"1,080,000",,-,63,1
,"SP 2.8 Irrigation infrastructure development
and agricultural water storage",-,,-,63,1
,,A,B,D=B/A*100,64,0
"Programme 3: Livestock
Development and Man-
agement","SP 3.1 Livestock production extension, Train-
ing and Information Services","13,890,000",,-,64,0
,SP 3.2 Value addition and processing,"96,300,000",,-,64,0
,"SP 3.3 Livestock production value chain devel-
opment (Dairy, Poultry, Honey & Rabbit value
chains)",-,,-,64,0
,SP 3.4 Disease and Vector Control,"7,000,000",,-,64,0
,SP 3.5 Food Safety And Quality Control,"5,500,000",,-,64,0
,SP 3.6 Leather development,-,,-,64,0
,SP 3.7 Veterinary Extension Services,"3,600,000",,-,64,0
,SP 3.8 Breeding and AI Subsidy programme,"3,000,000",,-,64,0
,Ward Based Projects,"5,820,000",,-,64,0
,SP 4.1 Fisheries extension service and training,"3,000,000",,-,64,0
"Programme 4: Fisheries
Development and Man-
agement","SP 4.2 Fisheries product value-chain develop-
ment","3,500,000",,-,64,0
,SP 4.3 Dam fishery development,-,,-,64,0
,SP 4.4 Fish inspection and quality assurance,-,,-,64,0
,SP 4.5 Information and Data management,-,,-,64,0
"Programme 5: Co-oper-
atives Development and
Management","SP 5.1 Co-operatives extension service and
training (Co-operative Governance (Training))",-,,-,64,0
,SP 5.2 Co-operatives Audit Services,-,,-,64,0
,"SP 5.3 Production, Agro-processing, value ad-
dition & Marketing (Input and Infrastructural
Support to Co-operatives)","49,300,000",,-,64,0
"Programme 6: Institu-
tional Development and
Management","SP 6.1 Mabanga ATC Administration manage-
ment services",-,,-,64,0
,"SP 6.2 Agricultural Enterprise Development
(ATC)","6,560,000",,-,64,0
,SP 6.3 Infrastructural development (ATC),"11,960,000",,-,64,0
,SP 6.4 Agricultural mechanisation extension,-,,-,64,0
,SP 6.5 Tractor hire services,"5,000,000",,-,64,0
,SP 6.6 General administrative services (CFF),-,,-,64,0
,SP 6.7 Technology transfer (CFF),-,,-,64,0
,SP 6.8 Operational development (CFF),"10,300,000",,-,64,0
,SP 6.9 Infrastructural development (CFF),-,,-,64,0
,NARIGP,"74,593,152","52,818,075",70.8,64,0
,ASDSP II,"30,756,000",,-,64,0
,Ward Based Projects,"11,058,000",,-,64,0
"Total Expenditure of
Vote",,"1,232,138,834","243,549,603",19.8,64,0
Health and Sanitation,,,,,64,0
"Programme1: General
Administration and
Planning, and Support
Services",,"3,021,438,195","1,192,131,920",39.5,64,0
,"SP 1: Health Administration Planning and sup-
port services","412,857,131","35,250,894",8.5,64,0
,Human resources,"2,416,604,147","1,156,881,026",47.9,64,0
,SP3.Health Infrastructure,"191,976,917",,-,64,0
,,A,B,D=B/A*100,65,0
"Programme 2: Pre-
ventive Promotive and
Rehabilitative",,"107,118,938",-,-,65,0
,SP 2: Health Promotion services,"6,000,000",,-,65,0
,SP 3: Disease surveillance,"2,746,938",,-,65,0
,SP 4: Community health services,"78,072,000",,-,65,0
,Capacity building of CHVs,"10,000,000",,-,65,0
,Retooling of CHV Kits,"10,000,000",,-,65,0
,HIV/AIDS awareness.,"300,000",,-,65,0
Programme 3: Curative,,"435,853,571",-,-,65,0
,SP 3: Routine Medical Services,"424,865,820",,-,65,0
,SP 3: Blood Bank Services,"10,000,000",,-,65,0
,Referral Strategy,"987,751",,-,65,0
"Programme 4: Health
Research",,,,-,65,0
,SP 4: Capacity Development,,,-,65,0
,SP 4: Research,,,-,65,0
"Programme 5: Maternal
and Child Health",,"54,469,787",-,-,65,0
,SP 5: Family planning,-,,-,65,0
,SP 5: Maternity Services,"52,969,787",,-,65,0
,SP 5: Immunization Services,"1,500,000",,-,65,0
,Procuring of mama packs,-,,-,65,0
Sanitation Management,,"8,000,916",,-,65,0
Total,,"3,626,881,407","1,192,131,920",32.9,65,0
Roads & Public works,,,,,65,0
"Transport infrastructure
Development and Man-
agement",,"1,039,258,548",,-,65,0
,Public safety and transport operations,"6,820,194",,-,65,0
,Building standards and other civil works,"2,423,736",,-,65,0
,"General administration, planning and support
services","88,856,376","48,721,062",54.8,65,0
Total,,"1,137,358,854","48,721,062",4.3,65,0
Water & Tourism,,,,,65,0
"Programme 1: Gen-
eral Administration
Planning and Support
Services",SP. Human Resources Management,"64,736,155","26,338,795",40.7,65,0
,SP. Policy and Legal Framework formulation,"800,000",,-,65,0
,SP. Marking of international/national events,"3,900,000",,-,65,0
,SP. Annual devolution conference,"3,000,000",,-,65,0
"Programme 2: Water
and Sewerage Services
Management",SP Water Services Provision,"342,748,647",,-,65,0
,"SP. Stakeholders engagement (water users asso-
ciation)","4,800,000",,-,65,0
,SP. Sub- County operations,"3,200,000",,-,65,0
,SP. Routine Maintenance of water supplies,"2,400,000",,-,65,0
,SP. Office operation and maintenance,"87,378,695","13,255,053",15.2,65,0
"Programme 3: Integrat-
ed Solid Waste Manage-
ment",SP. Dumpsite Management,"12,850,705",,-,65,0
,SP. Garbage collection and transportation,"225,877,107","90,385,238",40.0,65,0
Total,,"751,691,309","129,979,085",17.3,65,0
Education & Vocational,,,,,65,0
,,A,B,D=B/A*100,66,0
"Programme 1: Policy,
Planning and General
Administration",SP 1: Salaries and allowances,"1,021,542,129","478,347,843",46.8,66,0
,SP 2: Policy formulation,"3,000,000",,-,66,0
,SP3: Administration and support services,"10,821,126","16,705,750",154.4,66,0
,Sp4: Capacity building and stakeholders forum,"10,000,000",,-,66,0
,Sp5: Planning and financial management,"5,000,000",,-,66,0
,SP7: Pre-feasibility studies,"2,000,000",,-,66,0
,SP8: Good Governance,"2,000,000",,-,66,0
,SP9: Other expenses,"4,835,521",,-,66,0
"Programme 2: Early
Childhood Education
Development",Sp1: Quality Assurance and Standards,"2,000,000",,-,66,0
,Sp2: Curriculum,"2,000,000",,-,66,0
,Sp3: learning materials,"3,000,000",,-,66,0
,SP5: Monitoring and evaluation,"3,000,000",,-,66,0
,SP 5: capacity building for ECDE teachers,"4,000,000",,-,66,0
,SP6: Infrastructure development,"134,417,000",,-,66,0
,SP7: Pending bills,"69,644,139",,-,66,0
"Programme 3: Voca-
tional Education and
Training",Sp1: Tuition support grant,"30,000,000",,-,66,0
,Sp4: Quality assurance and standards,"2,000,000",,-,66,0
,SP5: Joint Vocational Training Graduation,"3,500,000",,-,66,0
,SP6: Capacity building for VTC instructors,"3,500,000",,-,66,0
,SP7: Monitoring and Evaluation,"3,000,000",,-,66,0
"Programme 4: Education
Support Programme",Sp1: Education support and bursary scheme,"524,000,000","200,000,000",38.2,66,0
Total,,"1,843,259,915","695,053,593",37.7,66,0
Trade & Industrialization,,,,,66,0
"Market Infrastructure
Development",Market Infrastructure Development,"7,000,000",,-,66,0
"Energy Development and
Management",Energy Development and Management,"168,746,000",,-,66,0
Salaries and Emoluments,Salaries and Emoluments,"23,722,331","12,476,417",52.6,66,0
"General Administration,
Planning and Support
Services","General Administration, Planning and Support
Services","41,039,855","10,183,498",24.8,66,0
CEF,CEF,"32,495,000",,-,66,0
Supplier’s Credit,Supplier’s Credit,"15,870,671",,-,66,0
Other grants and transfer,Other grants and transfer,,,-,66,0
Total,,"288,873,857","22,659,915",7.8,66,0
Lands & Urban Planning,,,,,66,0
"Programme 1: Gen-
eral Administration,
Planning and Support
services","SP 1: Institutional accountability, efficiency and
effectiveness in service delivery","66,696,902","17,555,635",26.3,66,0
,"SP 2: Human resource development and man-
agement","3,200,000",,-,66,0
"Total Expenditure of
Programme 1",,"69,896,902","17,555,635",25.1,66,0
"Programme 2: Land Re-
source Survey/Mapping
and Management",SP 1: Ward-Based Projects,"45,707,653",,-,66,0
,,A,B,D=B/A*100,67,0
"Total Expenditure of
Programme 2",,"45,707,653",-,-,67,0
"Programme 3: County
Physical Planning and
Infrastructure","SP 1: Physical Planning and Urban Develop-
ment","10,027,709","2,551,324",25.4,67,0
"Total Expenditure of
Programme 3",,"10,027,709","2,551,324",25.4,67,0
"Total Expenditure of
Vote 4918-01",,"125,632,264","20,106,959",16.0,67,0
Housing,,,,,67,0
"Programme 1 Gen-
eral Administration,
Planning and Support
services",SP 1: salaries and emoluments,"9,165,048","4,695,284",51.2,67,0
,SP 2: Administrative Services,"19,947,071","5,492,244",27.5,67,0
,SP 3: Research and Development,"7,927,456",,-,67,0
,"SP 4: Human resource development and man-
agement","1,000,000",,-,67,0
"Total Expenditure of
Programme 1",,"38,039,575","10,187,528",26.8,67,0
"Programme 2 Housing
development and Hu-
man Settlement",SP 1: Estate Management,"9,705,281",,-,67,0
,SP 2: Housing Development,"163,349,791",,-,67,0
"Total Expenditure of
Programme 2",,"173,055,072",-,-,67,0
"Total Expenditure for
Vote -",,"211,094,647","10,187,528",4.8,67,0
Bungoma Municipality,,,,,67,0
"Programme I: Urban
Economy, General Ad-
ministration, Planning
and Support services","SP 1.1: Human Resource Capacity Develop-
ment and Management","4,911,441","3,770,260",76.8,67,0
,"SP 1.2: General Administration and Support
Services (Inclusive of personnel emoluments)","23,181,794","3,807,074",16.4,67,0
,SP 1.3: Planning and Financial Management,"3,250,000",,-,67,0
,"SP 1.4: Institutional Accountability, Leadership,
Efficiency and Effectiveness","4,500,000",,-,67,0
Programme I Total,,"35,843,235","7,577,334",21.1,67,0
"Programme III: Urban
Infrastructure Develop-
ment and Management",SP 3.1: Urban Transport and Infrastructure,"315,642,530",,-,67,0
Programme III Total,,"315,642,530",-,-,67,0
"Total Expenditure for
Vote",,"351,485,765","7,577,334",2.2,67,0
Kimilili Municipality,,,,,67,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services","SP1: General Administration planning and
support services (Inclusive of salary)","27,079,833","5,458,548",20.2,67,0
,SP2: Administration and HR Services,"11,136,000",-,-,67,0
"Total Expenditure of
Programme 1",,"38,215,833","5,458,548",14.3,67,0
"Programme 2: Urban
Infrastructure Develop-
ment and Management",Infrastructure. Housing and public works,"567,006,389",,-,67,0
"Total Expenditure of
Vote 4918-05",,"605,222,222","5,458,548",0.9,67,0
Finance & Planning,,,,,67,0
,,A,B,D=B/A*100,68,0
"Economic development
Planning and Coordina-
tion Services","Economic development planning and coordi-
nation services","131,466,381","62,181,249",47.3,68,0
"Monitoring and Evalua-
tion Services",Monitoring and evaluation services,"57,370,773","40,845,981",71.2,68,0
"Public Finance Manage-
ment",Public finance management,-,,-,68,0
"General Administration,
Planning, Policy Coor-
dination and Support
Services","General administration, planning, policy coor-
dination and support services","1,288,879,290","527,577,957",40.9,68,0
Ward Based Projects,Ward based projects,"155,867,884",,-,68,0
Total,,"1,633,584,328","630,605,187",38.6,68,0
Public Administration,,,,,68,0
"Public service Manage-
ment and Administra-
tion","General administration, planning and support
services","525,392,013","158,072,511",30.1,68,0
,"Public Participation, Civic Education and out-
reach services","14,000,000",,-,68,0
,"Service Delivery and Organisational Transfor-
mation",-,,-,68,0
"Total Expenditure for
Vote",,"539,392,013","158,072,511",29.3,68,0
"Office of the County Sec-
retary, ICT and County
Attorney",,,,,68,0
"General Administration,
Planning and Support
Services","General administration, planning and support
services","134,451,013","72,108,273",53.6,68,0
"Kenya Devolution
Support Programme",Kenya Devolution Support Programme,"46,805,780",,-,68,0
"ICT and Information
Management Services",ICT and information management services,"38,270,522","5,573,800",14.6,68,0
"Total Expenditure for
Vote",,"219,527,315","77,682,073",35.4,68,0
Total .,,"758,919,328","235,754,584",31.1,68,0
"Gender, Youth & Sports",,,,,68,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",Sp 10.2 payment of utilities,"1,020,000",,-,68,0
,SP 1. 2. Compensation to employees,"46,089,943","20,257,906",44.0,68,0
,1.3 Staff training,"4,800,000",,-,68,0
,1.7 Planning and Budgeting,"7,200,000",,-,68,0
,1.8 general administration,"43,672,714","25,162,800",57.6,68,0
"Programme 2: Cultural
Development and Man-
agement","SP 2. 1Development Historical and cultural
sites","20,000,000",,-,68,0
,SP 2. 2. Promotion of communities’ culture,"8,600,000",,-,68,0
,SP 2.3 Sports and cultural association,"7,500,000",,-,68,0
,SP2.4 Liquor and Licensing,"2,000,000",,-,68,0
"Total Expenditure of
Programme 2",,"38,100,000","25,162,800",66.0,68,0
,,A,B,D=B/A*100,69,0
"Programme:3.0 Gender
Equality And Empow-
erment Of Vulnerable
Groups",Sp3.1 Gender equality framework,"1,000,000",,-,69,0
,Sp3.2 Gender empowerment,"4,200,000",,-,69,0
,Sp3.3Gender mainstreaming,"1,000,000",,-,69,0
"Programme4.0 Sports
Facility Development
and Management",Sp4.1Development of sports facility,"178,268,504","58,654,300",32.9,69,0
"Programme5.0 Sports
Talent Development and
Management",5.1Sports and talent development established,"6,000,000",,-,69,0
"Programme6.0 Youth
Development and Man-
agement",sp.6.1 Youth development services,"11,000,000",,-,69,0
"Total Expenditure of
Vote -------",,"342,351,161","104,075,006",30.4,69,0
Public Service Board,,,,,69,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",SP 1. 1 Administrative service,"35,375,761","9,705,510",27.4,69,0
"Total Expenditure of
Programme 1",,"35,375,761","9,705,510",27.4,69,0
"Programme 2: (Human
Resource Management
and Development)",SP 2. 1 Human Resource Management,"8,390,850","3,388,106",40.4,69,0
"Total Expenditure of
Programme 2",,"8,390,850","3,388,106",40.4,69,0
"Programme 3:(Gover-
nors and National Values",SP 3. 1Quality Assurance,"4,760,856",,-,69,0
,SP 3. 2 ethics governors and national,"5,518,738",,-,69,0
"Total Expenditure of
programme 3",,"10,279,594",-,-,69,0
"Programme 4: Service
Delivery and Organisa-
tional Transformation",Construction of office block,"10,000,000","3,346,658",33.5,69,0
"Total Expenditure of
programme 4",,"10,000,000","3,346,658",33.5,69,0
"Total Expenditure of
Vote -------",,"64,046,205","16,440,273",25.7,69,0
Governors & Deputy Governors,,,,,69,0
Office of H.E. the Governor,,,,,69,0
"General Administration,
Planning and Support
Services","General administration, planning and support
services","464,718,284","269,533,564",58.0,69,0
"County Executive
Committee Affairs",County Executive Committee Affairs,"25,021,324",,-,69,0
"County Strategic
and Service Delivery
Coordination","County Strategic and Service Delivery Coordi-
nation","52,679,538",,-,69,0
