Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Expendi-
ture (Kshs.)",Variance (Kshs.),"Absorp-
tion (%)",page_number,table_index
"OFFICE OF GOVER-
NOR",,,,,,103,0
"P1: General Adminis-
tration Planning and
Support Services","SP1.1: Management of County
Affairs (Office of Governor)","94,510,072","39,016,775","55,493,296",41.3,103,0
"P2: County Leadership
and Coordination","SP2.1: Sub-County Adminis-
tration and Field Services","31,503,357","13,005,592","18,497,765",41.3,103,0
,"SP2.2: Management of County
Executive Services (Office of
County Secretary)","18,902,014","7,803,355","11,098,659",41.3,103,0
"P3: County Leadership
and Coordination","SP3.1: Public Sector Advisory
Services (Legal, Political, and
Economic Advisors)","12,601,343","5,202,237","7,399,106",41.3,103,0
Sub Total,"157,516,786 65,027,959 92,488,827 41.3",,,,,103,0
COUNTY PUBLIC SERVICE BOARD,,,,,,103,0
"P1: Administration of Hu-
man Resources in Public
Service","SP1.1: Performance Manage-
ment & Discipline","5,214,729","1,619,420","3,595,309",31.1,103,0
,"SP1.2: Administration of
board programmes","7,668,720","2,381,500","5,287,220",31.1,103,0
,"SP1.3: Recruitment and Selec-
tion, Career Management, HR
Policy & Audit","10,736,208","3,334,100","7,402,108",31.1,103,0
,"SP1.4 Quality service delivery
in the County Public Service
that is effective and efficient","7,055,222","2,190,980","4,864,242",31.1,103,0
Sub Total,"30,674,879 9,526,001 21,148,878",,,,31.1,103,0
PUBLIC SERVICE AND ADMINISTRATION,,,,,,103,0
"P1: General Adminis-
tration Planning and
Support Services","SP1.1: Service Delivery and
Management of County
Affairs","273,489,958","113,887,850","159,602,108",41.6,103,0
P2: Public Service,"SP2.1: Human Resource
Development and Culture
Change Management","217,387,411","90,525,389","126,862,022",41.6,103,0
"P3: ICT Infrastructure
Expansion","SP3: ICT Infrastructure
Expansion","142,660,156","59,407,148","83,253,008",41.6,103,0
Sub Total,"633,537,525 263,820,386 369,717,139 41.6",,,,,103,0
"GENDER, CHILDREN, CULTURE & SOCIAL SERVICES",,,,,,103,0
"P1: Policy and General
Administrative Services","SP1.1: General Administrative
Unit","11,227,934","1,091,995","10,135,938",9.7,103,0
"P2: Gender and Social
Development","SP2.1: Communication Mo-
bilisation and Development","14,970,578","1,455,994","13,514,585",9.7,104,0
,SP2.2 : Social Welfare Services,"11,227,934","1,091,995","10,135,938",9.7,104,0
,"SP2.3 : Vocational Rehabilita-
tion and Training","7,485,289","727,997","6,757,292",9.7,104,0
,"SP2.4 : Gender Mainstream-
ing and Development","11,227,934","1,091,995","10,135,938",9.7,104,0
P3: Children Services,"SP3.1: Child Rehabilitation
and Custody","11,227,934","1,091,995","10,135,938",9.7,104,0
"P4: Culture and Cultural
Preservation",SP 4.1 Cultural Preservation,"7,485,289","727,997","6,757,292",9.7,104,0
Sub Total,,"74,852,892","7,279,969","67,572,923",9.7,104,0
FINANCE AND ECONOMIC PLANNING,,,,,,104,0
"P1: General Adminis-
tration Planning and
Support Services","SP1.1: Administration, Plan-
ning and Support Services","22,326,885","12,726,093","9,600,792",57.0,104,0
"P2:Economic Policy and
County Planning","SP 2.1: Economic Develop-
ment Planning and Coordi-
nation","31,257,639","17,816,531","13,441,108",57.0,104,0
"P3:Financial Management
Services","SP3.1: Revenue Management
Services","35,720,059","20,360,064","15,359,995",57.0,104,0
"P4: Monitoring and
Evaluation","SP3.2: Control and Manage-
ment of Public Finances","11,163,443","6,363,047","4,800,396",57.0,104,0
,"SP 4.1:Monitoring and Evalu-
ation of projects","13,396,131","7,635,656","5,760,475",57.0,104,0
P5: Research and Statistics,"SP5.1: County database and
profile","11,163,443","6,363,047","4,800,396",57.0,104,0
Sub Total,,"125,027,600","71,264,438","53,763,162",57.0,104,0
"TRADE, TOURISM, INVESTMENT AND INDUSTRIALISATION",,,,,,104,0
"P1: Administrative Sup-
port Services","P1.1: Administrative Support
Services","12,772,280","2,063,931","10,708,348",16.2,104,0
"P2: Trade Development
and Promotion","P2.1: Trade Development and
Promotion","51,722,229","8,358,032","43,364,197",16.2,104,0
"P3: Industrial Develop-
ment and Investment","P3.1: Industrial Development
and Investment","23,647,986","3,821,387","19,826,600",16.2,104,0
P4: Tourism Development,P4.1:Tourism Development,"19,348,352","3,126,589","16,221,763",16.2,104,0
Sub Total,,"107,490,847","17,369,939","90,120,908",16.2,104,0
"AGRICULTURE, LIVESTOCK, FISHERIES AND CO-OPERATIVE DEVELOPMENT",,,,,,104,0
"P1: Administrative Sup-
port Services","P1.1: Administrative Support
Services","86,709,934","10,667,133","76,042,801",12.3,104,0
"P2:Crop Development
and Management","P2.1:Crop Development and
Management","309,801,272","38,112,028","271,689,244",12.3,104,0
"P3:Agribusiness and In-
formation Management","P3.1: Agribusiness and Infor-
mation Management","86,365,710","10,624,786","75,740,924",12.3,104,0
"P4:Livestock Resources
Management and Devel-
opment","P4.1:Livestock Resources
Management and Develop-
ment","115,039,538","14,152,266","100,887,272",12.3,105,0
"P5: Aquaculture Develop-
ment and management",P5.1:Fisheries Development,"66,435,162","8,172,913","58,262,249",12.3,105,0
Sub Total,,"664,351,617","81,729,127","582,622,490",12.3,105,0
HEALTH,,,,,,105,0
"P1: Curative Health
Services",SP1.1: Primary Health Care,"1,207,216,901","561,627,587","645,589,314",46.5,105,0
"P2: Preventive and Pro-
motive Health Services","SP2.1: Health Promotion &
Disease Control","474,458,325","220,729,915","253,728,410",46.5,105,0
"P3: General Adminis-
tration Planning and
Support Services","SP3.1: General Administra-
tion services","371,785,298","172,963,847","198,821,451",46.5,105,0
Sub Total,,"2,053,460,524","955,321,349","1,098,139,175",46.5,105,0
"EMBU LEVEL 5 HOS-
PITAL",,,,,,105,0
"P1: Curative Health
Services",SP1.1: Primary Health Care,"173,522,994","74,968,825","98,554,169",43.2,105,0
"P2: Preventive and Pro-
motive Health Services","SP2.1: Health Promotion &
Disease Control","48,621,341","21,006,350","27,614,991",43.2,105,0
"P3: General Adminis-
tration Planning and
Support Services","SP3.1: General Administra-
tion services","35,727,737","15,435,802","20,291,936",43.2,105,0
Sub Total,,"257,872,072","111,410,977","146,461,095",43.2,105,0
"INFRASTRUCTURE, PUBLIC WORKS AND HOUSING",,,,,,105,0
"P1: General Adminis-
tration Planning and
Support Services","SP1.1: General Administra-
tion Services","70,679,332","5,510,785","65,168,547",7.8,105,0
P2: Roads Transport,"SP2.1: Rural Roads Improve-
ment and Maintenance","1,037,265,953","80,874,412","956,391,541",7.8,105,0
P3: Street lighting,SP3.1: Street lighting,"15,586,142","1,215,233","14,370,909",7.8,105,0
Sub Total,,"1,123,531,427","87,600,430","1,035,930,997",7.8,105,0
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,,105,0
"P1: General Adminis-
tration, Planning and
Support Services","SP1.1:General Administration
and Support Services","104,923,660","36,460,578","68,463,082",34.7,105,0
"P2:Quality Assurance and
Standards","SP2.1: Quality Assurance
Quality Assurance & Stan-
dards","83,938,928","29,168,462","54,770,466",34.7,105,0
"P3: ECDE and Tertiary
Education (Polytechnics)","SP3.1: ECDE and Tertiary
Education (Polytechnics)","230,832,053","80,213,271","150,618,782",34.7,105,0
Sub Total,,"419,694,641","145,842,311","273,852,330",34.7,105,0
"LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,105,0
"P1: Water Supply and
Sewerage Services",SP1.1: Domestic water supply,"90,203,900","19,422,619","70,781,281",21.5,106,0
"P2: Environment Conser-
vation and Management","SP2.1: Environmental conser-
vation and management","26,775,038","5,765,176","21,009,862",21.5,106,0
"P3: Land management,
Policy and Planning","SP3.1: Physical planning and
urban Planning","37,641,811","8,104,999","29,536,812",21.5,106,0
,SP3.2: Survey and mapping,"23,883,931","5,142,666","18,741,265",21.5,106,0
"P4: General Adminis-
tration, Planning and
Support Services","SP 4.1 General Administra-
tion and Support Services","20,528,079","4,420,087","16,107,992",21.5,106,0
Sub Total,,"199,032,759","42,855,547","156,177,212",21.5,106,0
YOUTH EMPOWERMENT AND SPORTS,,,,,,106,0
"P1: Youth Development
and Empowerment
Services","SP5.1:Youth Development and
Empowerment Services","30,330,680","2,759,243","27,571,436",9.1,106,0
"P2: Management and
Development of Sports
and Sports facilities","SP5.1: Community Sports
programme","24,264,544","2,207,394","22,057,149",9.1,106,0
"P3: General Adminis-
tration Planning and
Support Services","SP3.1: General Administra-
tion services","6,066,136","551,849","5,514,287",9.1,106,0
Sub Total,,"60,661,359","5,518,486","55,142,873",9.1,106,0
EMBU COUNTY REVENUE AUTHORITY (ECRA),,,,,,106,0
"P1: Financial Manage-
ment Services","SP1.1: Revenue Management
Services","2,736,028","105,037","2,630,992",3.8,106,0
,"SP1.2: Revenue Management
Services","12,263,972","470,816","11,793,155",3.8,106,0
Sub Total,,"15,000,000","575,853","14,424,147",3.8,106,0
EMBU - FINANCING LOCALLY LED CLIMATE ACTION PROGRAM,,,,,,106,0
"P: 1: General Admin-
istration Planning and
Support Services","SP: 1: General Administra-
tion Planning and Support
Services","63,096,313","1,343,166","61,753,147",2.1,106,0
"P2: Environment Conser-
vation and Management",SP1.2: Manage Climate Risks,"101,903,687","2,169,280","99,734,407",2.1,106,0
Sub Total,,"165,000,000","3,512,446","161,487,554",2.1,106,0
COUNTY ASSEMBLY,,,,,,106,0
"P: 1: General Admin-
istration Planning and
Support Services","SP: 1: General Administra-
tion Planning and Support
Services","750,469,650","269,917,753","480,551,896",36.0,106,0
P: 1: Legislation,SP: 1: Legislation,"336,979,766","44,735,243","292,244,524",13.3,106,0
Sub Total,,"1,087,449,416","314,652,996","772,796,420",28.9,106,0
Grand Total,,"7,175,154,344","2,183,308,213","4,991,846,131",30.4,106,0
