Programme,Sub- Programme,"Approved Budget
(Kshs)",Actual Payments (Kshs),Absorption (%),page_number,table_index
"Department of Agriculture, Livestock, Fisheries and Food Security",,,,,125,0
"Policy Planning, General
Administration and Sup-
port Services",Policy and Planning Services,"1,000,000",-,-,125,0
,"General Administration and Sup-
port Services","186,119,581","90,321,474",48.5,125,0
,Sub total,"187,119,581","90,321,474",48.3,125,0
,Agribusiness Development Services,"3,808,322",-,-,125,0
,Land Development Services,"2,370,000",-,-,125,0
,"National Agriculture Rural Inclusive
Growth","387,997,536","102,096,720",26.3,125,0
,"Agriculture Sector Development
Support Programme","54,014,863","16,500,000",30.5,125,0
,Sub total,"448,190,721","118,596,720",57,125,0
"Food Security Enhance-
ment Services",Farm Input Access Services,"42,380,686",-,-,125,0
,"Sub Sector Infrastructure Develop-
ment Services","21,858,686","2,670,300",12.2,125,0
,Sub total,"64,239,372","2,670,300",4.2,125,0
"Livestock Development
Programme","Livestock Improvement and Devel-
opment","7,390,000",-,-,125,0
,"Livestock Health and Disease Man-
agement","10,480,700",-,-,125,0
,Sub total,"17,870,700",-,-,125,0
"Department of Gender Equality and Inclusivity Youth, sports, Talent Development, Cultural Heritage and Social Services",,,,,125,0
"Policy, Planning and
General Administration
services","General Administration and Sup-
port Services","38,185,425","23,800,000",62.3,125,0
,Sub total,"41,185,425","23,800,000",57.8,125,0
"Cultural And Creative
Sector Development Ser-
vices","Creative Economy Development
Services","3,000,000",-,-,125,0
,"Cultural Development and Promo-
tion Services","8,000,000",-,-,125,0
,Sub total,"11,000,000",-,-,125,0
"Social Development and
Empowerment Services",Gender and Women Empowerment,"5,000,000",-,-,125,0
,Youth Empowerment,"9,000,000",-,-,125,0
,Disability Mainstreaming Services,"4,000,000",-,-,125,0
,Sub total,"18,000,000",-,-,125,0
"Management and De-
velopment of Sports and
Sports Facilities","Sports Infrastructure Development
Services","111,121,334","21,747,550",19.6,125,0
,"Sports Management and Talent De-
velopment","25,000,000",-,-,125,0
,Sub total,"136,121,334","21,747,550",20.0,125,0
"Department of Roads, Transport and Public Works and Infrastructure",,,,,125,0
"General Administration,
Planning and Support
Services","Human Resource and Support Ser-
vices","67,462,052","25,080,000",37.2,125,0
,"Roads and Transport Services Op-
erations","289,000",-,-,125,0
,Sub total,"67,751,052","25,080,000",37.0,125,0
"Public works and main-
tenance services",Quality control and Enforcement,"474,000",-,-,126,0
,Plant and Machinery maintenance,"204,931",-,-,126,0
,Sub total,"678,931",-,-,126,0
"Road Development and
Maintenance Services",Opening Grading and Gravelling,"400,000,000","23,640,375",5.9,126,0
,"CSP 3.2: Road Maintenance (In-
cluding Oriri-Kapete Rd-5M,
Ong'ayo-Manyala Rd-5M, Wikaw-
ere-Kanyang'wena-Kowili-Akwakra
Rd-5M, Alendo Box Culvert-10M,
Jnc Sare SDA-Bwanda Bridge-10M)","489,365,753",-,-,126,0
,Plant and Machinery,,,,126,0
,Sub total,"889,365,753","23,640,375",2.7,126,0
"Department of Blue Economy, Fisheries Mining and Digital Economy",,,,,126,0
"Blue Economy and Fish-
eries Resources and De-
velopment Services",Capture Fisheries and Development,"10,500,000",-,-,126,0
,Aquaculture Development,"4,500,000",-,-,126,0
,Sub total,"15,000,000",-,-,126,0
"ICT And Digital Econ-
omy Development Ser-
vices",ICT Infrastructure Development,"14,000,000","2,000,000",14.3,126,0
,E-Commerce Services,"30,000,000",-,-,126,0
,Sub total,"44,000,000","2,000,000",4.5,126,0
,"Personnel Remuneration and Wel-
fare Services","16,700,000","5,500,000",32.9,126,0
,Sub total,"16,700,000","5,500,000",32.9,126,0
"Department of Education, Human Capital Development and Vocational Training",,,,,126,0
"General Administration
and Quality Assurance
Service",General administration Services,"19,560,000","1,000,000",5.1,126,0
,Quality Assurance Services,"960,040,000","283,551,442",29.5,126,0
,Sub total,"979,600,000","284,551,442",29.0,126,0
"EYE and Vocational
Training Services",EYE Services,"87,271,146","2,328,882",2.7,126,0
,Vocational Training Services,"28,528,854",-,-,126,0
,Sub total,"115,800,000","2,328,882",3,126,0
Department of Public Health and Medical Services,,,,,126,0
"Policy planning and ad-
ministrative support ser-
vice","Policy, Planning and Monitoring
Services","6,121,000",-,-,126,0
,Administrative Support Services,"1,877,041,493","811,924,609",43.3,126,0
,Sub total,"1,883,162,493","811,924,609",43.1,126,0
"Preventive and promo-
tive health services",Community health services,"96,334,870","58,782,771",61.0,126,0
,Disease control services,"165,414,104","15,600,300",9.4,126,0
,"Facility infrastructure improvement
services","140,000,000","89,640,500",,126,0
,Sub total,"401,748,974","164,023,571",40.8,126,0
"Curative and rehabilita-
tive health services",Routine medical health services,"222,222,783","56,911,548",25.6,126,0
,"Medical emergency response ser-
vices","4,000,000",-,-,126,0
,"Facility infrastructure improvement
services","570,209,681","37,692,656",6.6,126,0
,Sub total,"796,432,464","94,604,204",32.0,126,0
"Research and develop-
ment service",Research and surveillance services,"2,000,000",-,-,127,0
,Capacity development services,"3,000,000",-,-,127,0
,Sub total,"5,000,000",--,-,127,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,127,0
"General Administration
Services","General administrative support ser-
vices","32,830,157","10,500,000",32.0,127,0
,"Operation and Maintenance Ser-
vices","9,000,000","4,500,000",50.0,127,0
,Sub total,"41,830,157","15,000,000",35.9,127,0
"Lands and Physical plan-
ning",County spatial planning,"24,843,038","1,905,517",7.7,127,0
,Symbio city change project,"4,998,500",-,-,127,0
,Inventorization of public,"3,000,000",-,-,127,0
,Preparation of Valuation roll,"25,000,000",-,-,127,0
,Sub total,"57,841,538","1,905,517",8.0,127,0
"Housing and Urban De-
velopment",Housing improvement services,"3,000,000",-,-,127,0
,"Smart Settlement service AMBTC
Promotion services","1,500,000",-,-,127,0
,Slum upgrading Programme KISIP,"150,000,000",-,-,127,0
,"Urban lakefront planning and devel-
opment","10,000,000",-,-,127,0
,Sub total,"164,500,000",-,-,127,0
"Department of Trade, Tourism, Industrialization, and Enterprise Development",,,,,127,0
"Planning and Adminis-
trative services",Administrative and Support Services,"165,434,653","23,678,526",14.3,127,0
,"Policy Development and Implemen-
tation Services","7,500,000",-,-,127,0
,Sub total,"172,934,653","23,678,526",13.7,127,0
,"Co-operative Development and Pro-
motion Services","3,000,000",-,-,127,0
,"Trade Infrastructure Development
Services","67,642,221","36,980,700",54.7,127,0
,Sub total,"70,642,221","36,980,700",55.0,127,0
"Tourism And Industrial
Development Services",Value Chain Development Services,"102,467,778",-,-,127,0
,Tourism Development,"8,657,778",-,-,127,0
,Sub total,"111,125,556",-,-,127,0
"Department of Water Sanitation, Irrigation, Environment, Energy and Climate Change",,,,,127,0
"General Administrative
services",Administrative Support Services,"64,325,962","31,922,375",49.6,127,0
,Policy and Planning Services,"43,710,970",-,-,127,0
,Sub total,"108,036,932","31,922,375",29.5,127,0
"Water Supply and Man-
agement Services",Urban Water Supply Services,"28,080,000","14,678,024",52.3,128,0
,Rural Water Supply Services,"161,525,086",-,-,128,0
,"Maintenance of Water Supply Ser-
vices","5,000,000",-,-,128,0
,Sub total,"194,605,086","14,678,024",52,128,0
