Program,Sub Program,Description,Budget (Kshs),Actual (Kshs),"Absorption
rate (%)",page_number,table_index
101004660,,"General Administration, Planning and
Support Services","196,684,404.00","81,880,731.35",41.63,149,1
,101014660,Headquarters Administrative Services,"196,684,404.00","81,880,731.35",41.63,149,1
102004660,,Crop and Plant Husbandry,"14,137,609.00","3,065,820.00",21.69,149,1
,102014660,Crop Development and Management.,"8,691,786.00","1,413,560.00",16.26,149,1
,102024660,Plant Diseases Management and Control,"2,722,912.00","1,470,260.00",54.00,149,1
,102034660,Agri-business and Market Development,"2,722,911.00","182,000.00",6.68,149,1
103004660,,"Livestock Resources Management and
Development","16,125,528.00","529,200.00",3.28,149,1
,103014660,Animal Husbandry Management,"9,533,741.00","529,200.00",5.55,149,1
,103034660,Veterinary Services,"5,168,839.00",0,0.00,149,1
,103044660,Livestock Market Development,"711,473.00",0,0.00,149,1
,103064660,Demonstration Farm - Kajiado,"711,475.00",0,0.00,149,1
104004660,,"Fisheries Development and Manage-
ment","2,250,690.00","168,000.00",7.46,150,0
,104024660,Fisheries,"2,250,690.00","168,000.00",7.46,150,0
106004660,,Land Policy and Planning,"21,143,418.00","7,895,580.00",37.34,150,0
,106034660,Physical Planning,"7,607,000.00","2,809,500.00",36.93,150,0
,106044660,Land Survey and Mapping,"4,570,000.00","1,473,000.00",32.23,150,0
,106054660,Housing,"4,276,480.00","1,134,080.00",26.52,150,0
,106064660,,"4,689,938.00","2,479,000.00",52.86,150,0
107004660,,"Animal Husbandry Livestock Resource
Management and Development","55,803,124.00","12,533,140.00",22.46,150,0
,107034660,Animal Disease Control,"55,803,124.00","12,533,140.00",22.46,150,0
108004660,,Agricultural Development,"18,057,557.00","744,000.00",4.12,150,0
,108034660,Agricultural Mechanization Services,"5,668,839.00",0,0.00,150,0
,108054660,Agricultural Training Centre,"1,896,063.00",0,0.00,150,0
,108064660,Irrigation,"10,492,655.00","744,000.00",7.09,150,0
110004660,,,"11,730,000.00","3,402,673.00",29.01,150,0
,110014660,Urban Development,"11,730,000.00","3,402,673.00",29.01,150,0
113004660,,,"67,292,217.00","37,663,792.05",55.97,150,0
,113014660,"General Administration Planning and
Support Services-Lands","67,292,217.00","37,663,792.05",55.97,150,0
204004660,,"Information Communication and
Technology","119,554,724.00","55,547,664.00",46.46,150,0
,204014660,"General Administration, Planning and
Support Services","119,554,724.00","55,547,664.00",46.46,150,0
207004660,,,"52,408,970.00","17,536,085.00",33.46,150,0
,207014660,Roads,"10,943,159.00","1,933,800.00",17.67,150,0
,207024660,Public Works,"8,865,811.00","4,447,218.00",50.16,150,0
,207034660,Energy,"14,500,000.00","7,933,667.00",54.71,150,0
,207044660,Fire Fighting,"5,950,000.00","144,000.00",2.42,150,0
,207054660,Transport,"12,150,000.00","3,077,400.00",25.33,150,0
301004660,,"General Administration, Planning and
Support Services","124,884,968.00","74,100,571.25",59.34,150,0
,301014660,"General Administration, Planning and
Support Services","124,884,968.00","74,100,571.25",59.34,150,0
303004660,,"Cooperative Development and Man-
agement","10,680,131.00","1,423,600.00",13.33,150,0
,303014660,Cooperative Services,"10,680,131.00","1,423,600.00",13.33,150,0
304004660,,Trade Development,"28,257,927.00","2,665,800.00",9.43,150,0
,304024660,Trade Development,"26,508,025.00","2,665,800.00",10.06,150,0
,304044660,Enterprise Development,"1,749,902.00",0,0.00,150,0
306004660,,,"2,086,037.00","971,800.00",46.59,150,0
,306014660,"Local Tourism Promotion and Wildlife
Management","2,086,037.00","971,800.00",46.59,151,0
401004660,,"General Administration, Planning and
Support Services","1,965,599,769.00","928,779,410.70",47.25,151,0
,401024660,"General Administration and Support
Services","1,965,599,769.00","928,779,410.70",47.25,151,0
402004660,,"Preventive & Promotive Health Ser-
vices","41,045,048.00","5,764,548.00",14.04,151,0
,402044660,"Reproductive Maternal Neo-natal Child
&Adolescent Health-RMNC","4,615,200.00","1,203,000.00",26.07,151,0
,402054660,"Communicable and Non-Communica-
ble diseases","4,516,348.00","301,000.00",6.66,151,0
,402064660,Primary Health Care Services,"17,170,000.00",0,0.00,151,0
,402074660,Disease Surveillance and Response,"3,989,500.00","499,100.00",12.51,151,0
,402084660,"Environmental Health and Sanitation
Services","10,754,000.00","3,761,448.00",34.98,151,0
404004660,,Curative and Rehabilitative,"337,634,933.00","160,604,397.05",47.57,151,0
,404034660,Hospital Services,"18,858,000.00","3,999,960.00",21.21,151,0
,404044660,Health Products and Technologies,"307,914,133.00","153,034,687.05",49.70,151,0
,404054660,Emergency Response services,"10,862,800.00","3,569,750.00",32.86,151,0
501004660,,"General Administration, Planning and
Support Services","470,835,372.00","227,185,778.45",48.25,151,0
,501014660,Headquarters Administrative Services,"470,835,372.00","227,185,778.45",48.25,151,0
506004660,,,"39,338,071.00","1,961,100.00",4.99,151,0
,506014660,"Early Childhood Development and Ed-
ucation","39,338,071.00","1,961,100.00",4.99,151,0
507004660,,,"6,440,000.00","2,269,300.00",35.24,151,0
,507014660,Technical Vocational Training,"6,440,000.00","2,269,300.00",35.24,151,0
701004660,,"General Administration and Policy Co-
ordination","627,781,472.00","284,940,152.05",45.39,151,0
,701014660,Headquarters Administrative Services,"627,781,472.00","284,940,152.05",45.39,151,0
702004660,,Executive Committee Affairs,"23,541,121.00","6,507,348.00",27.64,151,0
,702024660,Information Communication Services,"23,541,121.00","6,507,348.00",27.64,151,0
705004660,,Public Financial Management,"125,482,454.00","54,620,069.00",43.53,151,0
,705014660,Resource Mobilisation,"24,612,454.00","17,268,863.00",70.16,151,0
,705044660,Accounting services,"14,562,000.00","8,649,300.00",59.40,151,0
,705054660,Supply Chain Management Services,"59,231,000.00","11,371,306.00",19.20,151,0
,705074660,Budget,"15,280,000.00","12,006,600.00",78.58,151,0
,705104660,Internal Audit,"11,797,000.00","5,324,000.00",45.13,151,0
712004660,,,"24,934,861.00","3,577,400.00",14.35,151,0
,712014660,County Administration,"19,150,000.00","2,128,400.00",11.11,151,0
,712024660,County Inspectorate,"5,784,861.00","1,449,000.00",25.05,152,0
713004660,,,"136,790,000.00","50,786,716.80",37.13,152,0
,713014660,"Human Resource Management and De-
velopment","136,790,000.00","50,786,716.80",37.13,152,0
714004660,,,"14,747,360.00","963,900.00",6.54,152,0
,714014660,Citizen Participation,"14,747,360.00","963,900.00",6.54,152,0
715004660,,,"151,570,287.00","71,217,535.05",46.99,152,0
,715014660,"General Administration Planning and
Support Services-Office","151,570,287.00","71,217,535.05",46.99,152,0
716004660,,,"66,866,803.00","13,027,380.00",19.48,152,0
,716014660,County Executive Committee Affairs,"33,946,000.00","5,721,495.00",16.85,152,0
,716024660,Intergovernmental Relations,"10,688,000.00","987,200.00",9.24,152,0
,716034660,County Advisory Services,"10,440,000.00","774,200.00",7.42,152,0
,716044660,Special Programmes,"11,792,803.00","5,544,485.00",47.02,152,0
717004660,,,"402,569,015.00","221,101,916.90",54.92,152,0
,717014660,"General Administration Planning and
Support Services-County Treasury","402,569,015.00","221,101,916.90",54.92,152,0
718004660,,,"29,681,892.00","18,267,340.10",61.54,152,0
,718014660,Economic Planning,"14,975,973.00","7,385,902.10",49.32,152,0
,718024660,Monitoring and Evaluation,"14,705,919.00","10,881,438.00",73.99,152,0
902004660,,,"61,786,388.00","21,368,453.70",34.58,152,0
