Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expenditure
Q1 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,197,0
"County As-
sembly",Legislation,"397,707,096","321,248,266","76,458,830",80.8,197,0
,Oversight,"27,050,000",,"27,050,000",-,197,0
,Administration,"475,242,904",,"475,242,904",-,197,0
,Development,"150,000,000",,"150,000,000",-,197,0
,Sub Totals,"1,050,000,000","321,248,266","728,751,734",30.6,197,0
"Office of the
Governor","Administration, planning
and support services","138,570,685","56,744,138","81,826,547",40.9,197,0
,Intergovernmental relations,"26,300,000",,"26,300,000",-,197,0
,Sub Totals,"164,870,685","56,744,138","108,126,547",34.4,197,0
"County
Attorney","Administration Planning
And Support Services","121,432,340","6,972,011","114,460,329",5.7,197,0
,Development,"35,000,000",-,"35,000,000",-,197,0
,Sub Totals,"156,432,340","6,972,011","149,460,329",4.5,197,0
Finance,"Administration, Planning
and Support Services","196,500,000","115,937,902","80,562,098",59.0,197,0
,Financial Management,"20,712,337","7,260,143","13,452,194",35.1,197,0
,Audit Services,"11,100,000","4,154,274","6,945,726",37.4,197,0
,Accounting Services,"19,847,401","7,345,650","12,501,751",37.0,197,0
,"Supply Chain Management
Services","17,100,000","5,507,853","11,592,147",32.2,197,0
,"Resource Mobilisation/Debt
Management","25,565,000","5,542,285","20,022,715",21.7,197,0
,Development,"25,781,690",-,"25,781,690",-,197,0
,Sub Totals,"316,606,428","145,748,107","170,858,321",46.0,197,0
"Economic
Planning",Administration,"10,500,000",-,"10,500,000",-,197,0
,Economic Planning,"48,250,000",-,"48,250,000",-,197,0
,Monitoring & Evaluation,"29,706,784","2,696,455","27,010,329",9.1,197,0
,Sub Totals,"88,456,784","2,696,455","85,760,329",3.0,197,0
Agriculture,"General Administration,
Planning and Support
Services","68,431,200","2,005,439","66,425,761",2.9,197,0
,"Food Production and Man-
agement","93,218,490","2,909,270","90,309,220",3.1,197,0
,"Agribusiness and Informa-
tion Management","348,987,004","5,602,015","343,384,989",1.6,197,0
,Sub Totals,"510,636,694","10,516,723","500,119,971",2.1,197,0
,,A,B,C=A-B,D=B/A*100,198,0
Livestock,"Administration, Planning
and Support services","27,290,735","911,403","26,379,332",3.3,198,0
,"Livestock Policy and Capaci-
ty Development","7,000,000",,"7,000,000",-,198,0
,"Livestock Value Addition
and Marketing","18,000,000",,"18,000,000",-,198,0
,"Food Safety and Animal
Products Development","11,284,184",,"11,284,184",-,198,0
,"Livestock Disease Manage-
ment and Control","4,000,000",,"4,000,000",-,198,0
,Sub Totals,"67,574,919","911,403","66,663,516",1.3,198,0
