"Coordina-
tion and
Programmes
Tracking Head-
quarters",707013710,"3,137,300",-,"1,443,450",-_1,46.0,-_2,page_number,table_index
"General Ad-
ministration
and Planning",701013710,"37,257,542",-,"35,372,650",-,94.9,-,249,0
"Sub-total Public Service Man-
agement and Administration",,"138,201,788",-,"130,812,578",-,94.7,-,249,0
"Agriculture, Water and Irrigation",,,,,,,,249,0
Agriculture,102013710,"301,950","108,043,843",-,"108,043,843",-,100.0,249,0
Agriculture,103013710,"6,641,003",-,"6,009,005",-,90.5,-,249,0
Agriculture,103023710,"6,197,464","5,500,000","3,229,627","5,500,000",52.1,100.0,249,0
Agriculture,104013710,"4,823,551","127,000,000","182,561","5,500,000",3.8,4.3,249,0
"General Ad-
ministration
and Planning",101013710,"76,135,516",-,"74,663,515",-,98.1,-,249,0
Water,101013710,"81,105,259",-,"75,432,188",-,93.0,-,249,0
Water,111013710,"8,933,927","147,052,719","1,293,760","15,296,025",14.5,10.4,249,0
Water,111023710,"11,552,978","74,182,169","594,584","24,279,278",5.1,32.7,249,0
"Sub-total Agriculture, Water
and Irrigation",,"195,691,648","461,778,731","161,405,240","158,619,146",82.5,34.3,249,0
"Basic Educa-
tion, ICT, and
Youth Devel-
opment",,,,,,,,249,0
Basic Education,502013710,"304,013,400","107,653,838","153,122,543",-,50.4,-,249,0
"General Ad-
ministration
and Planning",501013710,"234,896,461",-,"72,256,833",-,30.8,-,249,0
Internet,505013710,"1,388,290",-,"561,042",-,40.4,-,249,0
"Training and
Skills Develop-
ment",503013710,"16,319,500","12,362,908","789,624",-,4.8,-,249,0
"Training and
Skills Develop-
ment",506013710,"8,144,339",-,"8,038,339",-,98.7,-,249,0
"Sub-total Basic Education, ICT,
and Youth Development",,"564,761,990","120,016,746","234,768,381",-,41.6,-,249,0
"Infrastructure,
Housing and
Urban Devel-
opment",,,,,,,,249,0
"General Ad-
ministration
and Planning",101013710,"208,702,307",-,"74,345,484",-,35.6,-,249,0
Housing,107013710,"2,577,000",-,"1,659,950",-,64.4,-,249,0
Housing,109013710,"12,062,000","10,118,944","7,306,950",-,60.6,-,249,0
"Roads, Trans-
port And
Mechanical
Services",110013710,"17,012,500","630,179,981","11,001,097","30,479,243",64.7,4.8,249,0
