Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expenditure
Q2 FY 2022/23
(Kshs.)",Variance (Kshs.),page_number,table_index,"Absorption
Rate (%)"
,,A,B,C=A-B,283,1,
County Assembly,,"634,250,000","72,099,443","231,282,773",283,1,
,,A,B,C=A-B,284,0,D=B/A*100
"0701003210 P1 Administra-
tion, planning and support
services.","SP1 Administration,
Planning & Support","275,349,120","44,066,346.70","231,282,773.30",284,0,16.0
"0702003210 P2 Legislation
and Oversight","SP1 Legislative
Services, Representa-
tion &
Oversight","358,900,880","28,033,096.50","330,867,783.50",284,0,7.8
,,,,,284,0,
County Executive and PSM,,"479,453,329","179,313,070","300,140,259",284,0,37.4
"0703003210 P3 Administration, planning and sup-
port services.",,"432,197,092","179,313,070","252,884,022",284,0,41.5
,"3212000101 Head-
quarters","318,209,162","152,638,899.65","165,570,262.35",284,0,48.0
,"3212000201 P 2. Of-
fice of the Governor
& Deputy Governor","113,987,930","26,674,170.35","87,313,759.65",284,0,23.4
P3. Development,P3. Development,"47,256,237",-,"47,256,237.00",284,0,-
,,,,,284,0,
"Vote 3213000000 FINANCE, ECONOMY & STRA-
TEGIC PLANNING",,"158,420,118","85,758,368","112,659,750",284,0,54.1
"0711003210 P11 Administration, planning support
services",,"147,491,998","82,814,379","104,675,619",284,0,56.1
,"SP1 Administration
Services","102,189,492","42,644,379","59,545,113",284,0,41.7
,"0711013210 KDSP
Headquarters","45,302,506","40,170,000","5,132,506",284,0,88.7
"0712003210 P12 Control & management of Public
Finance",,"10,928,120","2,943,989","7,984,131",284,0,26.9
,"0712023210 SP2 Re-
source Mobilisation","1,982,705","627,241","1,355,464",284,0,31.6
,"0712033210 SP3
Internal Audit","1,780,202","498,511","1,281,691",284,0,28.0
,"0712043210 SP4
Procurement","1,861,955","740,782","1,121,173",284,0,39.8
,"0712053210 SP5
Public Finance &
Accounting","5,303,258","1,077,455","4,225,803",284,0,20.3
,,,,,284,0,
Vote 3214000000 AGRICULTURE & PLANNING,,"424,279,218","87,018,490","337,260,728",284,0,20.5
"0106003210 P6 Administra-
tion, Planning and Monitor-
ing & Evaluation(D)","SP1 Administration,
Planning and Moni-
toring & Evaluation-
KCSAP &ASDSP","15,000,000","15,000,000",-,284,0,100.0
"0108003210 P8 Co-manage-
ment",SP1 Co-management,"435,080","29,800","405,280",284,0,6.8
"0111003210 P11: Livestock
Extension Services","SP1 Livestock Exten-
sion Services","16,900,068","440,250","16,459,818",284,0,2.6
"0112003210 P12 Veterinary
Service Management","SP1 Veterinary Ser-
vice Management","2,977,390","33,800","2,943,590",284,0,1.1
,,A,B,C=A-B,285,0,D=B/A*100
"0115003210 P15 Promotion
of Co-operative Marketing
and Value Addition.(D)","SP1 Promotion
of Co-operative
Marketing and Value
Addition- ASDSPII
Grant","51,477,419","9,918,054","41,559,365",285,0,19.3
0116003210 P16 Crop Development & Management,,"233,096,417","25,577,542","207,518,875",285,0,11.0
,"0116013210 SP1 Ag-
ricultural Extension
Research & Training","1,500,000",-,"1,500,000",285,0,-
,"0116033210 SP3 Pro-
motion of Agro-Pro-
cessing & Value
addition Technolo-
gies (R+D)- KCSAP
&ASDSP","196,596,417","25,577,541.60","171,018,875",285,0,13.0
,"0116063210 SP6
Promotion of Cashew
nuts Programme","5,000,000",-,"5,000,000",285,0,-
,"0116083210 SP8 Pro-
vision of Relief seeds
to vulnerable farmers","30,000,000",-,"30,000,000",285,0,-
"0117003210 P17 Irrigation &
Drainage services","0117023210 SP2
Irrigated Farming","10,000,000",-,"10,000,000",285,0,-
"0201003210 P1 Adminis-
tration, planning & support
Services","0201013210 SP1
Administration,
Personnel & Policy
Formulation","94,392,844","36,019,044","58,373,800",285,0,38.2
"Vote 3215000000 LAND, PHYSICAL PLANNING,
INFRASTRUCTURE, URBAN DEV, WATER &
RESOURCES",,"126,830,999","8,532,423","118,298,576",285,0,6.7
"0101003210 P1 Adminis-
tration, planning & support
Services","SP1 Administration
Services","27,721,092","8,532,423","19,188,669",285,0,30.8
,,,,,285,0,
"0102003210 P2 Land Man-
agement",,"99,109,907",-,"99,109,907",285,0,-
,"0102023210 SP2
Physical planning","89,109,907",,89109907,285,0,-
,"0102033210 SP3
Land Adjudication &
Regularisation","10,000,000",,10000000,285,0,-
,,,,,285,0,
"Vote 3216000000 EDUCATION, GENDER, YOUTH
AFFAIRS, SPORTS & SOCIAL SERVICES",,"379,454,399","123,784,960","255,669,439",285,0,32.6
"0501003210 P1 General Ad-
ministration, Planning and
Support services","SP1 Administration
Services","143,478,320","67,846,102.85","75,632,217",285,0,47.3
"0502003210 P2 Education
and Training Programme","SP1 Promotion of
Early Childhood
Education","182,976,079","55,938,857","127,037,222",285,0,30.6
"0503003210 P3 Sports &
Youth Development","SP1 Village Polytech-
nics","53,000,000",,"53,000,000",285,0,-
,,A,B,C=A-B,286,0,D=B/A*100
