Programme,Sub-Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual Ex-
penditure Q2
FY 2022/23
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,343,1
"Agriculture, Livestock Development and Fisheries Development",,,,,,343,1
External Funding,Donor Fund,"175,591,511",-,"175,591,511",-,343,1
"Fisheries development
and management","Aquaculture Development and
Extension Services","2,950,000",-,"2,950,000",-,343,1
"Policy, planning, general
administration and
support services","Livestock Breeds Improvement &
Upgrading","4,062,500",-,"4,062,500",-,343,1
Crop Development,Crop Development,"10,000,000",-,"10,000,000",-,343,1
,,A,B,C=A-B,D=B/A*100,344,0
"Livestock Disease Control
and Management","Livestock Disease Control and
Management","4,050,000","1,615,000","2,435,000",40,344,0
General administration,General administration,"570,286,059","85,787,087","484,498,972",15,344,0
,capacity building and training,"465,500",-,"465,500",-,344,0
,"Field Extension Services and
Support Programme","20,284,984","1,300,000","18,984,984",6,344,0
,"Field Extension Services & Sup-
port Prog Livestock","6,890,881","1,650,500","5,240,381",24,344,0
,Fisheries Development,"537,878",-,"537,878",-,344,0
,"Fisheries Development and
Management","700,000",-,"700,000",-,344,0
,"Aquaculture Development and
Extension Services","550,000",-,"550,000",-,344,0
,Disease control,"565,000",-,"565,000",-,344,0
,"Veterinary Public Health Man-
agement","527,303",-,"527,303",-,344,0
,"Livestock Breeding and Livestock
Products","420,000",-,"420,000",-,344,0
Sub total,,"797,881,614","90,352,587","707,529,027",11,344,0
County Assembly,,,,,,344,0
"General administration and
support services",Administrative services,"18,240,462","5,103,321","13,137,141",28,344,0
"Oversight management
services",Committee management services,"130,200,000","88,171,788","42,028,212",68,344,0
Legislative services,Representation,"102,200,000","3,500,000","98,700,000",3,344,0
"General administration and
support services",Administrative services,"632,211,320","300,968,470","331,242,850",48,344,0
Pending bills,Pending bills,"12,620,427","7,705,275","4,915,152",61,344,0
infrastructures development,infrastructures development,"50,000,000",-,"50,000,000",-,344,0
sub total,,"945,472,209","405,448,854","540,023,355",43,344,0
County Attorney,,,,,,344,0
"Management and adminis-
tration",General administration,"53,000,000","3,862,100","49,137,900",7,344,0
,Finance,"50,000,000","49,159,771","840,229",98,344,0
,"Statistics, research, information
management and public relations","2,900,000","850,000","2,050,000",29,344,0
Law administration,Law reports and reviews,"17,000,000","5,743,400","11,256,600",34,344,0
,Promotion of the rule of law,"1,000,000",-,"1,000,000",-,344,0
,Legal aid,"1,000,000","931,000","69,000",93,344,0
Legal education,"Professional and career develop-
ment","2,600,000",-,"2,600,000",-,344,0
Pending bills,Pending bills,"35,000,000","11,826,300","23,173,700",34,344,0
Sub total,,"162,500,000","72,372,571","90,127,429",45,344,0
County Executive,,,,,,344,0
,,A,B,C=A-B,D=B/A*100,345,0
"Governance and Executive
Management(0ffice of gov)",Citizen Delivery Services,"145,792,000","52,075,557","93,716,443",36,345,0
,Lake Region Economic Block,"5,000,000",-,"5,000,000",-,345,0
,Council of Governors,"5,000,000","3,000,000","2,000,000",60,345,0
,Liaison office - Nairobi,"15,000,000","4,000,000","11,000,000",27,345,0
