"Name of the Pro-
gramme",Sub-Programme,col_2,col_3,Variance,"Implementa-
tion Status (%)",page_number,table_index
Approved Budget,,,Actual Payments,,,450,1
"Agriculture, Livestock & Fisheries",,,,,,450,1
"Agricultural Manage-
ment","Administration and plan-
ning services","560,112,819","152,498,838","407,613,981",27.23,450,1
"Livestock Production
Management","Provision of Extension
Services to Livestock
farmers","8,589,500","2,742,495","5,847,005",31.93,450,1
Crop Management,"Administrative Support
Services","2,139,500","515,502","1,623,998",24.09,450,1
Fisheries development,"Administrative Support
Services","1,609,500","287,780","1,321,720",17.88,450,1
Veterinary services,"Administrative Support
Services","12,009,663","861,380","11,148,283",7.17,450,1
Wambugu ATC,Farm Development,"7,521,282","4,424,998","3,096,284",58.83,450,1
AMS Naromoru,"Development Of Agri-
cultural Land For Crop
Production","3,633,869","755,250","2,878,619",20.78,450,1
,,"595,616,133","162,086,244","433,529,890",27.21,450,1
"Lands, Physical Planning, Housing & Urbanization",,,,,,450,1
"Physical planning
services","Administration and per-
sonnel services","279,238,258","61,889,496","217,348,762",22.16,450,1
"Land Policy and
Planning",Land Policy Formulation,"3,855,000","609,800","3,245,200",15.82,450,1
"Housing
Development and
Human Settlement",Government Building,"1,637,500","196,940","1,440,560",12.03,451,0
,,"284,730,758","62,696,236","222,034,522",22.02,451,0
"Transport, Public Works, Infrastructure and Energy",,,,,,451,0
"General adminis-
tration and policy
Development and
implementation","Administration, planning
and support services","73,169,951","28,293,680","44,876,271",38.67,451,0
"Roads development,
maintenance and
management","County access and feeder
roads improvement","203,245,592","64,994,878","138,250,714",31.98,451,0
"Energy Sector
Development","Street lighting pro-
gramme","312,236,495","125,326,322","186,910,173",40.14,451,0
,,"588,652,038","218,614,880","370,037,158",37.14,451,0
"Trade, Culture, Tourism & Cooperative Development",,,,,,451,0
"Trade and Coopera-
tive Development",Trade Promotion,"123,865,025","45,972,564","77,892,461",37.12,451,0
"Tourism
Development",Promotion of Tourism,"7,260,000","3,970,222","3,289,778",54.69,451,0
Cooperatives,"Cooperative Develop-
ment","19,603,199","5,563,384","14,039,815",28.38,451,0
,,"150,728,224","55,506,170","95,222,054",36.83,451,0
Health Services,,,,,,451,0
"Administration,
Planning and General
Support Services","Administration, Planning
and General Support
Services","2,531,483,323","1,140,454,252","1,391,029,071",45.05,451,0
Rural Health,"Administration, Planning
and General Support
Services","101,305,316","37,804,756","63,500,560",37.32,451,0
,,"2,632,788,639","1,178,259,008","1,454,529,631",44.75,451,0
Education & Sports,,,,,,451,0
"General adminis-
tration and policy
Development and
implementation","Administrative Support
Services","286,671,287","122,600,459","164,070,828",42.77,451,0
ECDE Management,ECDE Management,"31,432,496","6,899,720","24,532,776",21.95,451,0
"Youth Training
and Development",Youth Polytechnics,"10,300,000","298,292","10,001,708",2.90,451,0
"County Sports
Development","Search and nurture
talents","7,541,000","4,020,734","3,520,266",53.32,451,0
,,"335,944,783","133,819,205","202,125,578",39.83,451,0
Office of the Governor & Deputy Governor,,,,,,451,0
"Management and
Co-ordination of
county affairs","Administration, planning
and support services","143,863,962","52,483,924","91,380,038",36.48,452,0
,,"143,863,962","52,483,924","91,380,038",36.48,452,0
Office of the County Secretary,,,,,,452,0
"Co-ordination of
County Functions
and Public Service
Management","Co-ordination of County
Functions and Public
Service Management","356,097,330","76,959,877","279,137,453",21.61,452,0
,"Community sensitisation,
education and public
participation","1,017,000","151,850","865,150",14.93,452,0
,ICT Development,"1,370,000","314,700","1,055,300",22.97,452,0
,,"358,484,330","77,426,427","281,057,903",21.60,452,0
Finance & Economic Planning,,,,,,452,0
Executive services,"Administration and per-
sonnel services","947,138,401","217,339,787","729,798,614",22.95,452,0
"Economic Planning
and Policy
Formulation","Economic Planning and
Policy Formulation","9,440,400","3,116,609","6,323,791",33.01,452,0
"Public Finance
Management",Financial Accounting,"8,581,000","3,122,163","5,458,837",36.38,452,0
,"Procurement Compliance
and Reporting","7,202,000","2,992,950","4,209,050",41.56,452,0
,Internal Audit,"5,559,800","2,635,649","2,924,151",47.41,452,0
Revenue Mobilisation,Revenue Mobilisation,"24,700,000","5,095,235","19,604,765",20.63,452,0
"Economic Planning
and Policy
Formulation","Monitoring and Evalu-
ation","2,700,000","1,687,500","1,012,500",62.50,452,0
,,"1,005,321,601","235,989,893","769,331,708",23.47,452,0
County Assembly,,,,,,452,0
"General administra-
tion, Policy Develop-
ment and implemen-
tation","Administration and plan-
ning services","728,166,124","253,439,602","474,726,522",34.81,452,0
Mortgage Services,"Administration and plan-
ning services","159,500,000","9,375,000","150,125,000",5.88,452,0
,,"887,666,124","262,814,602","624,851,522",29.61,452,0
County Public Service & Solid Waste Management,,,,,,452,0
"Human resources
Management","Administration Planning
and Support Services","113,403,255","57,734,592","55,668,663",50.91,452,0
"Sanitation
management","Administrative Support
Services","56,000,000","15,020,229","40,979,771",26.82,452,0
,,"169,403,255","72,754,821","96,648,434",42.95,452,0
County Public Service Board,,,,,,452,0
