Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expen-
diture Q2 FY
2022/23 (Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,461,0
,,"367,781,926","222,210,934","145,570,992",60.4,461,0
"Management of County
Affairs","Administration and Coor-
dination of County Affairs","202,347,575","135,773,340","66,574,235",67.1,461,0
,Sub County Administration,"130,590,593","68,659,963","61,930,630",52.6,461,0
,"Coordination, Super-
vision and Human
Resource Services","34,843,758","17,777,631","17,066,127",51.0,461,0
,,"33,000,000","1,736,143","31,263,857",5.3,461,0
"Public Sector Advisory Ser-
vices","Economic, Social & Po-
litical Advisory Service","10,000,000","1,181,363","8,818,637",11.8,461,0
,County Policing,"23,000,000","554,780","22,445,220",2.4,461,0
,,"47,269,935","16,485,687","30,784,248",34.9,461,0
CPSB,"Administration of Hu-
man Resources in Coun-
ty Public Service","47,269,935","16,485,687","30,784,248",34.9,461,0
,,"436,540,015","141,719,138","294,820,877",32.5,461,0
"General Administration
Planning and Support Ser-
vices",Administration Services,"420,242,463","138,167,258","282,075,205",32.9,461,0
,System Security,"16,297,553","3,551,880","12,745,672",21.8,461,0
,,"211,538,717","116,774,412","94,764,305",55.2,461,0
"Public Finance Manage-
ment","Budget Formulation Coor-
dination and management","10,500,732","5,924,252","4,576,480",56.4,461,0
,Resource Mobilization,"73,762,921","46,078,665","27,684,255",62.5,461,0
,Internal Audit,"19,469,639","10,362,302","9,107,337",53.2,461,0
,Procurement,"18,636,770","13,109,726","5,527,043",70.3,462,0
,"Public finance and
Accounting","30,314,483","20,836,917","9,477,565",68.7,462,0
,Fiscal Planning,"58,854,174","20,462,550","38,391,624",34.8,462,0
,,"171,190,145","11,288,117","159,902,028",6.6,462,0
Accounting,Special Programs,"171,190,145","11,288,117","159,902,028",6.6,462,0
,,"6,925,410","2,419,659","4,505,751",34.9,462,0
"General Administra-
tion(Economic Planning
and ICT)","General Administra-
tion (Economic Plan-
ning and ICT)","6,925,410","2,419,659","4,505,751",34.9,462,0
,,"124,807,913","74,713,221","50,094,691",59.9,462,0
"General Administration
Planning and Support Ser-
vices","Administration, Planning
and Support Services","124,807,913","74,713,221","50,094,691",59.9,462,0
,,"92,654,773","12,780,590","79,874,183",13.8,462,0
"Livestock Resource Man-
agement and Development","Promotion of Dairy
Production, Breeding
and Disease control","14,985,576","4,805,456","10,180,120",32.1,462,0
,"Promotion of Value
Addition of Livestock
and Livestock Products","46,357,870","3,195,595","43,162,275",6.9,462,0
,"Livestock Diseases man-
agement and Control","23,291,139","2,188,759","21,102,380",9.4,462,0
,"Livestock marketing and
rangeland management","8,020,189","2,590,780","5,429,409",32.3,462,0
,,"6,204,062","194,617","6,009,445",3.1,462,0
Fisheries Development,"Development of capture
fisheries resources","6,204,062","194,617","6,009,445",3.1,462,0
,,"249,163,502","101,367,808","147,795,693",40.7,462,0
"Crop Production and Man-
agement","Agricultural Extension
Research and Training","240,923,731","96,498,979","144,424,752",40.1,462,0
,"Crop Production and
Food security","8,239,771","4,868,829","3,370,942",59.1,462,0
,,"379,715,381","110,347,126","269,368,255",29.1,462,0
"General Administration
Planning and Support Ser-
vices",Administration,"379,715,381","110,347,126","269,368,255",29.1,463,0
,,"146,385,143","4,700,581","141,684,562",3.2,463,0
"Environmental Manage-
ment","Pollution control&
monitoring","128,523,231","2,852,811","125,670,420",2.2,463,0
,"Forests Conservation
and Management","17,861,912","1,847,770","16,014,142",10.3,463,0
,,"9,340,511","1,755,277","7,585,234",18.8,463,0
"Conservation and Manage-
ment of Natural Ecosystem",Control of soil erosion,"3,884,636","511,000","3,373,636",13.2,463,0
,Mining Services,"1,700,777",-,"1,700,777",0.0,463,0
,"Water Catchment and
Protection Services","3,755,099","1,244,277","2,510,822",33.1,463,0
,,"77,763,504","34,703,936","43,059,568",44.6,463,0
Fisheries Development,Storm water management,"3,925,948","299,600","3,626,348",7.6,463,0
,Water and sanitation services,"73,837,557","34,404,336","39,433,220",46.6,463,0
,,"131,063,252","37,233,088","93,830,163",28.4,463,0
"General Administration
Planning and Support Ser-
vices","General Adminis-
tration Planning and
Support Services","131,063,252","37,233,088","93,830,163",28.4,463,0
,,"312,929,161","87,067,913","225,861,248",27.8,463,0
"Education & Training Ser-
vices","Promotion of Early
Childhood Education","312,929,161","87,067,913","225,861,248",27.8,463,0
,,"18,063,740","7,936,273","10,127,467",43.9,463,0
"Youth Training and Devel-
opment","SP1 Revitalization of
Youth Polytechnics","18,063,740","7,936,273","10,127,467",43.9,463,0
,,"230,137,923","161,047,468","69,090,455",70.0,463,0
"Preventive and Promotive
Health Services",Health Promotive Services,"99,874,639","59,596,999","40,277,640",59.7,463,0
,"Communicable Dis-
ease Control","63,881,391","50,341,224","13,540,167",78.8,464,0
,"Non-Communicable Disease
& prevention control","25,814,512","16,716,492","9,098,020",64.8,464,0
,Maternal Health Services,"40,567,382","34,392,753","6,174,628",84.8,464,0
,,"591,478,816","367,009,134","224,469,681",62.0,464,0
Health curative Services,"Provision Of Essen-
tial Health Services
In All The Levels","18,685,622","9,021,592","9,664,030",48.3,464,0
,County Referral Services,"447,931,057","347,002,414","100,928,642",77.5,464,0
,Free Primary Healthcare,"124,862,138","10,985,128","113,877,009",8.8,464,0
,,"400,169,335","178,914,979","221,254,356",44.7,464,0
"General Administration
Planning and Support Ser-
vices","Health Infrastruc-
ture development","6,591,378","3,636,821","2,954,558",55.2,464,0
,Human Resources for health,"53,991,707","45,870,287","8,121,420",85.0,464,0
,Research and Development,"6,389,252","3,637,587","2,751,665",56.9,464,0
,"Health Policy, Plan-
ning & Financing","272,401,845","74,301,675","198,100,170",27.3,464,0
,"Health Standards and
Quality Assurance Services","60,795,153","51,468,610","9,326,543",84.7,464,0
,,"72,209,072","18,748,889","53,460,183",26.0,464,0
"General Administration
Planning and Support Ser-
vices","Administration, Planning
and Support Services","72,209,072","18,748,889","53,460,183",26.0,464,0
,,"36,520,608","16,248,049","20,272,559",44.5,464,0
"Land use policy and Plan-
ning",Spatial planning,"5,571,200","980,182","4,591,018",17.6,464,0
,Survey And Mapping,"30,265,377","15,154,170","15,111,207",50.1,464,0
,"Housing manage-
ment services","684,032","113,698","570,334",16.6,464,0
,,"108,379,671","6,148,418","102,231,252",5.7,464,0
"Urban Centers Adminis-
tration",Urban center management,"108,379,671","6,148,418","102,231,252",5.7,465,0
,,"54,739,308","7,013,162","47,726,146",12.8,465,0
"General Administration
Planning and Support Ser-
vices",Administrative services,"44,517,951","7,003,289","37,514,662",15.7,465,0
,Firefighting services,"1,273,493","9,873","1,263,619",0.8,465,0
,"Design, implemeta-
tion and supervision
of public buildings","8,947,865",-,"8,947,865",0.0,465,0
,,"184,568,845","64,466,602","120,102,243",34.9,465,0
"Infrastructure, Roads &
Transport Services","Rehabilitation of Roads,
Drainage and Bridges","9,794,835","1,398,748","8,396,087",14.3,465,0
,"Design, supervision
and rehabilitation of
County Buildings","6,129,944","294,000","5,835,944",4.8,465,0
,Street lights management,"12,335,799","1,525,958","10,809,841",12.4,465,0
,"Public Road trans-
port and parking","156,308,268","61,247,896","95,060,372",39.2,465,0
,,"205,572,105","139,394,008","66,178,096",67.8,465,0
"General Administration
Planning and Support Ser-
vices",General administration,"205,572,105","139,394,008","66,178,096",67.8,465,0
,,"21,876,456","5,468,308","16,408,147",25.0,465,0
"Cooperatives Development
and Management","Enhance Market-
ing Co-operatives","21,876,456","5,468,308","16,408,147",25.0,465,0
,,"120,000",-,"120,000",0.0,465,0
"Conservation and Manage-
ment of Natural Ecosystem","Business Development
Services for MSE's","120,000",-,"120,000",0.0,465,0
,,"87,576,484","23,256,965","64,319,519",26.6,465,0
"Promotion of Tourism and
Marketing","Establish & Manage-
ment of County Tourism
Information Centre","87,576,484","23,256,965","64,319,519",26.6,465,0
,,"20,649,549","1,709,351","18,940,198",8.3,465,0
"Trade Development and
Promotion",Domestic trade development,"20,184,549","1,620,451","18,564,098",8.0,465,0
,"Market development
and promotion of
fair trade services","465,000","88,900","376,100",19.1,466,0
,,"20,031,642","2,387,834","17,643,808",11.9,466,0
"General Administration
Planning and Support Ser-
vices(Trade)","General Adminis-
tration Planning and
Support Services","20,031,642","2,387,834","17,643,808",11.9,466,0
,,"63,103,544","20,938,797","42,164,747",33.2,466,0
"Management and develop-
ment of Sports & Sports
facilities","Sports Development,
Training & Competition","63,103,544","20,938,797","42,164,747",33.2,466,0
,,"36,211,806","8,072,719","28,139,087",22.3,466,0
"General Administration
Planning and Support Ser-
vices","General Adminis-
tration Planning and
Support Services","36,211,806","8,072,719","28,139,087",22.3,466,0
,,"23,253,250","8,867,700","14,385,550",38.1,466,0
"General Administration
Planning and Support Ser-
vices",Conservation of Heritage,"727,500","167,500","560,000",23.0,466,0
,"Development and Pro-
motion of Culture","6,027,065","495,850","5,531,215",8.2,466,0
,Social Welfare and Gender,"11,802,500","8,204,350","3,598,150",69.5,466,0
,"Community Mobiliza-
tion and Development","4,696,185",-,"4,696,185",0.0,466,0
,,"3,405,000","499,300","2,905,700",14.7,466,0
"General Administration
Planning and Support Ser-
vices","Development and manage-
ment for sports facilities","3,405,000","499,300","2,905,700",14.7,466,0
,,"12,354,896","2,471,608","9,883,287",20.0,466,0
"General Administration
Planning and Support Ser-
vices","General Administra-
tion Planning and Sup-
port Services (Sports)","12,354,896","2,471,608","9,883,287",20.0,466,0
"Assembly Administration
Planning and Support Ser-
vices",Legislative and Oversight,"79,310,440","50,265,107","29,045,333",63.4,466,0
,"County Assembly
Administration","327,111,158","211,858,117","115,253,041",64.8,466,0
,Representation,"246,910,129","95,243,291","151,666,838",38.6,466,0
,Grand Total,"653,331,727","357,366,515","295,965,212",54.7,466,0
