Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expenditure
Q3 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index,col_6
,,A,B,C=A-B,D=B/A*100,43,0,
County Assembly,,,,,,43,0,
,P1 OFFICE OF THE CLERK,-,-,,-,43,0,
,General administration,"195,672,168","109,300,155","86,372,013",55.9,43,0,
,"General Administration / Leg-
islation Services","396,299,370","291,981,571","104,317,799",73.7,43,0,
Office of the Speaker,,,-,,,43,0,
,"General Administration, Plan-
ning and Support Services","419,003,370","272,985,563","146,017,807",65.2,43,0,
"Office of the Governor
and Deputy Governor",General Administration,,,-,,43,0,
,"P3 GOVERNORS OFFICE and
DEPUTY GOVERNOR","59,653,600","41,375,069","18,278,531",69.4,43,0,
,P4 Acquisition of Assets,"10,170,292","8,179,849","1,990,443",80.4,43,0,
"County Executive Ad-
ministration",Baringo North sub-county,"31,352,044","15,678,009","15,674,035",50.0,43,0,
,"Inter and intra -governmen-
tal Relations services","4,200,000","3,309,200","890,800",78.8,43,0,
,"Civic Education Development
Services","100,000","93,600","6,400",93.6,43,0,
County Secretary,General Administration,"192,247,999","145,817,399","46,430,600",75.8,43,0,
"Public Services, Ad-
ministration, Devolu-
tion, & ICT",General Administration,"3,110,787,496","2,048,535,109","1,062,252,387",65.9,43,0,
,"Tiaty West sub-county (Ad-
ministration)","4,176,158","3,705,529","470,629",88.7,43,0,
,"Tiaty sub-county East (Admin-
istration)","461,250","17,500","443,750",3.8,43,0,
,Baringo North sub-county,"4,886,222","3,883,624","1,002,598",79.5,43,0,
,Baringo Central sub-county,"4,258,027","2,597,385","1,660,642",61.0,43,0,
,Baringo South sub-county,"4,644,000","3,214,597","1,429,403",69.2,43,0,
,Mogotio sub-county,"4,462,377","3,413,139","1,049,238",76.5,43,0,
,Eldama Ravine sub-county,"5,352,412","2,839,482","2,512,930",53.1,43,0,
