Programme,Sub-programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expen-
diture Q3 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
"Department of Agriculture, Livestock and Fisheries",,,,,,74,1
"CP 1: General Admin-
istration and support
services","CSP 1.1: Administrative support
service","258,214,274","194,647,093","63,567,181",75.4,74,1
"CP 2: Land use and
management","CSP 2.1: Agricultural Mechani-
sation","10,100,000",-,"10,100,000",-,74,1
"CP 3: Crop Production
and Management",CSP 3.1 Input support services,"5,400,000",-,"5,400,000",-,74,1
,CSP 3.2: Crop development,"5,400,000","5,388,948","11,053",99.8,74,1
,CSP 3.3: Crop protection,"5,200,000",-,"5,200,000",-,74,1
"CP 4: Agricultural
Training and Extension
Services","CSP 4.1: Agriculture extension
services","5,000,000","4,499,340","500,660",90.0,74,1
,"CSP 4.2: Agricultural Training
Services","36,009,940","11,696,960","24,312,980",32.5,74,1
"CP 5: Kenya Climate
SMART Agriculture
program",CSP 5.1: Kenya Climate SMART,"145,000,000","123,303,535","21,696,465",85.0,74,1
"CP 6: Agribusiness
and Agricultural Value
Chain Development",CSP 6.1: Value addition,"8,200,000",-,"8,200,000",-,74,1
"CP 7: Agricultural
Financial and Investment
services","CSP 7.1: Agriculture develop-
ment fund","3,000,000","2,606,583","393,417",86.9,74,1
"CP 8: Fisheries and
Aquaculture Resource
Development","CSP 8.1: Aquaculture develop-
ment","21,745,506","4,999,970","16,745,536",23.0,74,1
,"CSP 8.2: Fisheries training infra-
structure development","10,000,000","4,996,890","5,003,110",50.0,74,1
"CP 9: Livestock
Production Development","CSP 9.1: Livestock production
improvement","60,123,685","34,662,323","25,461,362",57.7,74,1
,CSP 9.2: Livestock Extension,"6,000,000","5,843,250","156,750",97.4,74,1
"CP 10: Veterinary health
services","CSP 10.1: Veterinary Disease
Control","14,751,914",-,"14,751,914",-,75,0
,CSP 10.2: AI services,"4,100,000",-,"4,100,000",-,75,0
,"CSP 10.3: Meat inspection
services","16,799,886",-,"16,799,886",-,75,0
,CSP 10.4: Veterinary Extension,"5,000,000","5,000,000",-,100.0,75,0
CP 11: Other projects,"CSP 11.1: Other Development
projects","19,500,000","18,607,450","892,550",95.4,75,0
Sub Total,,"639,545,205","416,252,341","223,292,864",65.1,75,0
"Department of Trade, Investment, Cooperatives and Industry",,,,,,75,0
"CP 12: General Admin-
istration and support
services","CSP 12.1: Administrative sup-
port service","70,730,924","34,506,194","36,224,730",48.8,75,0
"CP 13: Trade
Development","CSP 13.1: Busia county trade
development fund","8,000,000",-,"8,000,000",-,75,0
,"CSP 13.2: Market modernisation
and development","46,412,000","3,807,656","42,604,344",8.2,75,0
"CP 14: Fair Trade
practices","CSP 14.1: Weights and mea-
sures.","3,000,000",-,"3,000,000",-,75,0
"CP 15: Cooperative devel-
opment","CSP 15.1: Busia county coop-
erative enterprise development
fund","10,000,000",-,"10,000,000",-,75,0
CP 16: Other projects,"CSP 16.1: Other Development
projects","27,900,000","4,508,437","23,391,563",16.2,75,0
Sub Total,,"166,042,924","42,822,287","123,220,637",25.8,75,0
Department of Education and Vocational Training,,,,,,75,0
"CP 17: General Admin-
istration and support
services","CSP 17.1: Administrative sup-
port service","484,255,653","392,425,706","91,829,948",81.0,75,0
"CP 18: Early Childhood
Development Education
(Basic Education)","CSP 18.1: Improvement of
the infrastructure in E.C.D.E
Centres","20,000,000",-,"20,000,000",-,75,0
,CSP 18.2: E.C.D.E Capitation,"5,000,000",-,"5,000,000",-,75,0
"CP 19: Technical/ voca-
tional training develop-
ment","CSP 19.1: Infrastructure devel-
opment","30,663,644",-,"30,663,644",-,75,0
CP 20: Education support,"CSP 20.1: Education support
scheme","51,218,895",-,"51,218,895",-,75,0
CP 21: Other projects,"CSP 21.1: Other Development
projects","31,900,000","13,554,917","18,345,083",42.5,75,0
Sub Total,,"623,038,192","405,980,623","217,057,570",65.2,75,0
Department of Finance and Economic Planning,,,,,,75,0
"CP 22: General Admin-
istration and support
services","CSP 22.1: Administrative sup-
port service","802,673,214","558,044,875","244,628,339",69.5,75,0
"CP 23: Financial
management control
and development","CSP 23.1: Revenue generation
services","11,397,425",-,"11,397,425",-,75,0
"CP 24: Infrastructure
Development","CSP 24.1: Construction and
Renovation","12,700,000",-,"12,700,000",-,75,0
CP 25: Other projects,"CSP 25.1: Other Development
projects","9,500,000",-,"9,500,000",-,75,0
Sub Total,,"836,270,639","558,044,875","278,225,764",66.7,75,0
"Department of Sports, Culture and Social Services",,,,,,76,0
"CP 26: General Admin-
istration and support
services","CSP 26.1: Administrative sup-
port service","90,909,964","58,583,062","32,326,902",64.4,76,0
CP 27: Social services,"CSP 27.1: infrastructural devel-
opment","3,700,000",-,"3,700,000",-,76,0
"CP 28: Youth Empower-
ment and Development","CSP 28.1 Equipping and Oper-
ationalization of youth empow-
erment","4,700,000",-,"4,700,000",-,76,0
"CP 29: Promotion and
development of sports","CSP 29.1: Infrastructural devel-
opment","4,400,000",-,"4,400,000",-,76,0
,CSP 29.2: sports promotion,"8,140,000","5,185,858","2,954,142",63.7,76,0
"CP 30: Child care
and protection","CSP 30.1: Rehabilitation and
custody","8,000,000","4,345,362","3,654,638",54.3,76,0
"CP 31: Promotion and
development of local
tourism in the county",CSP 31.1: Tourism development,"3,000,000","1,572,414","1,427,586",52.4,76,0
"CP 32: Alcoholic drinks
and drugs control","CSP 32.1: Infrastructure devel-
opment","8,660,000",-,"8,660,000",-,76,0
CP 33: Other projects,"CSP 33.1: Other Development
projects","34,300,000","21,465,958","12,834,042",62.6,76,0
Sub Total,,"165,809,964","91,152,654","74,657,310",55.0,76,0
Department of Infrastructure and Energy,,,,,,76,0
"CP 34: General Admin-
istration and support
services","CSP 34.1: Administrative sup-
port service","152,259,636","76,150,809","76,108,827",50.0,76,0
"CP 35: Development and
maintenance of roads","CSP 35.1: Routine maintenance
of roads","122,484,000","3,941,969","118,542,031",3.2,76,0
,CSP 35.2: Development of Roads,"434,637,184","67,532,292","367,104,892",15.5,76,0
"CP 36: Building
Infrastructure
Development","CSP 36.1: Infrastructure Devel-
opment","9,900,000",-,"9,900,000",-,76,0
,"CSP 37.1: Solar Energy Explo-
ration","18,700,000",-,"18,700,000",-,76,0
"CP 38: Alternative
Transport Infrastructure
Development",CSP 38.1: Road safety campaign,"5,637,345",-,"5,637,345",-,76,0
CP 39: Other projects,"CSP 39.1: Other Development
projects","107,300,000","40,983,086","66,316,914",38.2,76,0
Sub Total,,"850,918,165","188,608,157","662,310,009",22.2,76,0
Department of Public Service and Administration,,,,,,76,0
"CP 40: General Admin-
istrative and support
services","CSP 40.1: Administrative sup-
port services","325,386,040","154,645,513","170,740,527",47.5,76,0
"Department of Lands, Housing and Urban Development",,,,,,76,0
"CP 41: General Admin-
istrative and support
services","CSP 41.1: Administrative sup-
port services","133,682,955","65,984,241","67,698,714",49.4,76,0
"CP 42: County Land
Administration
and Planning",CSP 42.1: Land use planning,"5,500,000",-,"5,500,000",-,76,0
"CP 43: Housing Develop-
ment and Management",CSP 43.1: Housing Development,"50,764,500",-,"50,764,500",-,77,0
"CP 44: Urban manage-
ment and development
control",CSP 44.1: Urban management,"49,800,889","3,114,290","46,686,599",6.3,77,0
,CSP 44.2: Urban Development,"72,088,327","1,765,942","70,322,385",2.4,77,0
CP 45: Other projects,"CSP 45.1: Other Development
projects","9,050,000","3,593,040","5,456,960",39.7,77,0
Sub Total,,"320,886,671","74,457,513","246,429,158",23.2,77,0
"Department of Water, Irrigation Environment and Natural Resources",,,,,,77,0
"CP 46: General Admin-
istrative and support
services","CSP 46.1: Administrative sup-
port services","126,541,968","79,983,829","46,558,139",63.2,77,0
"CP 47: Water
supply services","CSP 47.1: Urban water supply
and Sewerage","61,800,000","14,154,844","47,645,157",22.9,77,0
,CSP 47.2: Rural water supply,"18,052,103",-,"18,052,103",-,77,0
"CP 48: Environmental
management and pro-
tection","CSP 48.1 Environmental man-
agement","12,250,000",-,"12,250,000",-,77,0
