Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,"Actual Expenditure as of 31st
March 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",96,1
OFFICE OF GOVERNOR,,,,,,,,96,1
"P1: General Adminis-
tration Planning and
Support Services","SP1.1: Manage-
ment of County
Affairs (Office of
Governor)","156,525,723",-,"77,477,106",-,49.5,-,96,1
"P2: County Leader-
ship and Coordination","SP2.1: Sub-County
Administration
and Field Services","52,175,241",-,"25,825,702",-,49.5,-,96,1
,"SP2.2: Manage-
ment of County
Executive Services
(Office of County
Secretary)","31,305,145",-,"15,495,421",-,49.5,-,96,1
"P3: County
Leadership and
Coordination","SP3.1: Public
Sector Advisory
Services (Legal,
Political, and Eco-
nomic Advisors)","20,870,096",-,"10,330,281",-,49.5,-,96,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",97,0
Sub Total,,"260,876,205",-,"129,128,509",-,49.5,-,97,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,97,0
"P1: Administration of
Human Resources in
Public Service","SP1.1: Perfor-
mance Manage-
ment & Discipline","5,214,729",-,"1,962,554",-,37.6,-,97,0
,"SP1.2: Adminis-
tration of board
programmes","7,668,720",-,"2,886,110",-,37.6,-,97,0
,"SP1.3: Re-
cruitment and
Selection, Career
Management, HR
Policy & Audit","10,736,208",-,"4,040,553",-,37.6,-,97,0
,"SP1.4 Quality
service delivery
in the County
Public Service that
is effective and
efficient","7,055,222",-,"2,655,221",-,37.6,-,97,0
Sub Total,,"30,674,879",-,"11,544,438",-,37.6,-,97,0
PUBLIC SERVICE AND ADMINISTRATION,,,,,,,,97,0
"P1: General Adminis-
tration Planning and
Support Services","SP1.1: Service
Delivery and
Management of
County Affairs","300,389,479","16,290,622","154,795,745","9,641,966",51.5,59.2,97,0
P2: Public Service,"SP2.1: Human
Resource Develop-
ment and Culture
Change Manage-
ment","238,768,880","12,948,834","123,041,616","7,664,055",51.5,59.2,97,0
"P3: ICT
Infrastructure
Expansion","SP3: ICT Infra-
structure Expan-
sion","156,691,713","8,497,653","80,745,872","5,029,524",51.5,59.2,97,0
Sub Total,,"695,850,072","37,737,109","358,583,233","22,335,546",51.5,59.2,97,0
"GENDER, CHILDREN, CULTURE & SOCIAL SERVICES",,,,,,,,97,0
"P1: Policy and Gen-
eral Administrative
Services","SP1.1: General
Administrative
Unit","3,386,958","6,745,976","1,529,411",-,45.2,-,97,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",98,0
"P2: Gender and Social
Development","SP2.1: Communi-
cation Mobilisa-
tion and Develop-
ment","4,515,944","8,994,634","2,039,215",-,45.2,-,98,0
,"SP2.2: Social Wel-
fare Services","3,386,958","6,745,976","1,529,411",-,45.2,-,98,0
,"SP2.3: Vocational
Rehabilitation and
Training","2,257,972","4,497,317","1,019,608",-,45.2,-,98,0
,"SP2.4: Gender
Mainstreaming
and Development","3,386,958","6,745,976","1,529,411",-,45.2,-,98,0
P3: Children Services,"SP3.1: Child
Rehabilitation and
Custody","3,386,958","6,745,976","1,529,411",-,45.2,-,98,0
"P4: Culture and
Cultural Preservation","SP 4.1 Cultural
Preservation","2,257,972","4,497,317","1,019,608",-,45.2,-,98,0
Sub Total,,"22,579,720","44,973,172","10,196,076",-,45.2,-,98,0
FINANCE AND ECONOMIC PLANNING,,,,,,,,98,0
"P1: General Adminis-
tration Planning and
Support Services","SP1.1: Administra-
tion, Planning and
Support Services","30,979,612",-,"22,211,171",-,71.7,-,98,0
"P2: Economic Policy
and County Planning","SP 2.1: Economic
Development
Planning and
Coordination","43,371,457",-,"31,095,639",-,71.7,-,98,0
"P3: Financial
Management Services","SP3.1: Revenue
Management
Services","49,563,277",-,"35,534,931",-,71.7,-,98,0
"P4: Monitoring and
Evaluation","SP3.2: Control and
Management of
Public Finances","15,489,806",-,"11,105,585",-,71.7,-,98,0
,"SP 4.1: Monitoring
and Evaluation of
projects","18,587,767",-,"13,326,702",-,71.7,-,98,0
"P5: Research
and Statistics","SP5.1: County da-
tabase and profile","15,489,806",-,"11,105,585",-,71.7,-,98,0
Sub Total,,"173,481,726",-,"124,379,614",-,71.7,-,98,0
"TRADE, TOURISM, INVESTMENT AND INDUSTRIALISATION",,,,,,,,98,0
"P1: Administrative
Support Services","P1.1: Adminis-
trative Support
Services","5,355,372","10,723,289","2,405,304",-,44.9,-,98,0
"P2: Trade
development and
Promotion","P2.1: Trade
development and
Promotion","21,686,948","43,424,699","9,740,445",-,44.9,-,98,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",99,0
"P3: Industrial
Development and
Investment","P3.1: Industrial
Development and
Investment","9,915,517","19,854,262","4,453,441",-,44.9,-,99,0
"P4: Tourism
Development","P4.1: Tourism
Development","8,112,696","16,244,396","3,643,725",-,44.9,-,99,0
Sub Total,,"45,070,533","90,246,645","20,242,915",-,44.9,-,99,0
"AGRICULTURE, LIVESTOCK, FISHERIES AND CO-OPERATIVE DEVELOPMENT",,,,,,,,99,0
"P1: Administrative
Support Services","P1.1: Adminis-
trative Support
Services","33,743,239","76,124,137","12,583,733","384,245",37.3,0.5,99,0
