Programme,Sub-Programme,"Approved
Estimates",Actual Expenditure as of 31st March 2023,col_4,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",109,1
"Department of Agriculture, Live-
stock and Cooperative",,,,,,,,109,1
Agriculture,"Administration and
Support Service","104,551,581","134,506,739","46,328,890.00",-,44.30,-,109,1
,"Extension Service
and Exhibition","1,200,000","10,000,000",-,-,-,-,109,1
"Livestock
Production","Livestock Adminis-
tration","56,545,802","80,912,850","28,274,814.00",-,50.00,-,109,1
,"Livestock Produc-
tion","5,550,000",-,"2,500,000.00",-,45.05,-,109,1
,Veterinary Service,"3,350,000","20,000,000",-,-,-,-,109,1
Fish Production,Fisheries Service,"200,000",-,-,-,-,-,109,1
Cooperative,"Cooperative Devel-
opment","600,000",-,"250,000.00",-,41.70,-,109,1
,Sub Total,"171,997,383","245,419,589","77,353,704",-,45.00,-,109,1
"Department of Environment, Energy, Natural Resource and Wildlife
Management",,,,,,,,109,1
"Environment
Service","Administration and
Support Service","70,243,025","95,000,000","23,179,750.00",-,33.00,-,109,1
,"Environment Man-
agement","1,100,000",-,-,-,-,-,109,1
,Natural Resource,"1,600,000",-,-,-,-,-,109,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",110,0
"Energy
Development
Program","Energy Develop-
ment","1,205,000",-,-,-,-,-,110,0
,Sub-Total,"74,148,025","95,000,000","23,179,750.00",-,31.30,-,110,0
Department of Road and Transport,,,,,,,,110,0
Road,"Administration and
Support Service","37,906,400",-,"10,400,000.00",-,27.40,-,110,0
,Road,"2,417,200","125,000,000","1,000,000.00",-,41.30,-,110,0
,Sub-Total,"40,323,600","125,000,000","11,400,000.00",-,28.27,-,110,0
"Department of Trade, Tourism and Enterprise",,,,,,,-,110,0
"Administration
and Support
Service","Administration
Support Service","75,447,996",-,"36,700,000.00",-,48.60,-,110,0
Trade,Trade,"2,400,000","50,000,000",-,-,-,-,110,0
"Weight and
Measure",Weight and Measure,"1,350,000",-,-,-,-,-,110,0
Tourism,Tourism,"802,259",-,-,-,-,-,110,0
,Sub- Total,"80,000,255","50,000,000","36,700,000.00",-,45.90,-,110,0
Department of Health and Sanitation,,,,,,,-,110,0
"Administration
and Support
Service","Administration and
Support Service","2,243,700,868","110,638,298","1,705,391,829.00",-,76.30,-,110,0
"Curative
Service",Curative,"133,507,400","260,000,000","79,554,738.00",-,59.60,-,110,0
"Preventive
Service","Health Promotion
and Campaign","274,000,000",-,"187,000,000.00",-,68.20,-,110,0
,Sub Total,"2,651,208,268","370,638,298","1,971,946,567",-,74.30,-,110,0
Education and Labour,,,,,,,,110,0
"Education
Service","Administration and
Support Service","489,889,663",-,"306,085,688.00",-,62.50,-,110,0
,ECD,"20,412,400","40,000,000","12,102,430.00",-,59.30,-,110,0
,Vocational Training,"2,601,200","10,000,000","400,000.00",-,15.40,-,110,0
"Public Service
and Human
Resource",Human Resource,"98,991,478","10,000,000","64,941,908.00",-,65.60,-,110,0
,ICT and Libraries,"22,282,733",-,"3,500,000.00",-,15.70,-,110,0
,Sub Total,"634,177,474","60,000,000","387,030,026.00",-,61.00,-,110,0
County Assembly,,,,,,,,110,0
"Administration
and Support
Service","Administration and
Support Service","853,384,051","133,300,704","479,806,926.00","28,305,512.00",56.20,21.24,110,0
,Sub Total,"853,384,051","133,300,704","479,806,926.00","28,305,512.00",56.20,21.24,110,0
