Programme,Sub-Programme,"Approved Supplementary 1
Estimates FY 2022/23 (Kshs.)",col_3,"Actual Expenditure 22nd
July - 23rd March (Kshs.)",col_5,Absorption Rate %,col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recur-
rent
Expendi-
ture","Develop-
ment Ex-
penditure",170,0
"County Coordination
Services","County Coordi-
nation Services","157,379,145",-,"91,116,893",-,58,-,170,0
"Public sector
advisory services","Economic and
Social Advisory
Service",,,,-,,,170,0
,,"157,379,145",-,"91,116,893",-,58,-,170,0
"DEPARTMENT: FI-
NANCE AND ECO-
NOMIC PLANNING",,,,,,,,170,0
"Administration,
Planning and
Support Services.","Administration
Services.","379,471,809","537,107,953","152,394,526","80,879,921",40,15,170,0
"Administration,
Planning and
Support Services.","Monitoring
Budget Imple-
mentation and
Reporting","33,897,235",-,"23,862,141",-,70,-,170,0
"Public Finance
Management","Budget Formula-
tion coordination
and management","15,550,000","63,361,632","10,195,264",-,66,-,170,0
Audit Services,County Audit,"9,625,639",-,"7,520,272",-,78,-,170,0
,,"438,544,683","600,469,585","193,972,203","80,879,921",4,13,170,0
"DEPARTMENT: AG-
RICULTURE, LIVE-
STOCK AND FISH-
ERIES",,,,,,,,170,0
"Policy, Strategy
and Management
of Agriculture","Development
of Agricultural
Policy, Legal &
Regulatory frame-
work.","45,762,230",-,"27,696,267",-,6,-,170,0
"Crop Development
and Management","Agriculture Ex-
tension Services","63,352,681","347,552,947","29,063,903","25,521,567",46,7,170,0
"Livestock Resource
Management and
Development","Livestock Disease
Management and
Control.","3,779,508","52,534,483","2,985,264",-,79,-,170,0
"Livestock Resource
Management and
Development","Livestock Produc-
tion and Exten-
sion Services","55,412,363",-,"24,918,981",-,4,-,170,0
Fisheries development,"Management and
Development of
Capture Fisheries","7,386,760","1,000,000","846,640",-,11,-,170,0
,,"175,693,542","401,087,430","85,511,055","25,521,567",49,-,170,0
"DEPARTMENT: WA-
TER, ENERGY, NATU-
RAL RESOURCES AND
ENVIRONMENT",,,,,,,,170,0
