Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
March 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",181,0
County Assembly,,,,,,,,181,0
"Legislation and Oversight
services","Legislation and
Oversight services","780,400,000",-,"287,064,625",-,36.8,-,181,0
Representation services,"Representation ser-
vices","53,500,000","100,000,000","74,106,915",-,138.5,-,181,0
"General Administration
and support services","General Adminis-
tration and support
services","567,798,533",-,"277,728,333",-,48.9,-,181,0
,Sub-Total,"1,401,698,533","100,000,000","638,899,873",-,45.6,-,181,0
Executive Services,,,,,,,,181,0
"General Administration and
support services",,,,,,,-,181,0
,"General Administra-
tion Planning and
Support Services","282,967,488",-,"147,240,980",-,52.0,-,181,0
Representation services,,,,,,,,181,0
,"Representation ser-
vices","58,613,503",-,"9,137,368",-,15.6,-,181,0
,Sub-Total,"341,580,991",-,"156,378,348",-,45.8,-,181,0
"County Public Service
Board",,,,,,,,181,0
"Human Resource devel-
opment and management
services",,"78,096,211",-,"24,046,587",-,30.8,-,181,0
,"Human Resource de-
velopment and man-
agement services","78,096,211",-,"24,046,587",-,30.8,-,181,0
,Sub-Total,"78,096,211",-,"24,046,587",-,30.8,-,181,0
"Finance, Economic Plan-
ning and ICT",,,,,,,,181,0
"Public Finance Manage-
ment, Economic Policy &
Strategy","General Adminis-
tration and support
services","1,098,622,359","132,494,192","546,128,821",-,49.7,-,181,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",182,0
,"Economic planning
services","16,500,000",-,"12,455,982",-,75.5,-,182,0
,"financial manage-
ment services","225,764,623",-,"172,891,334",-,76.6,-,182,0
,ICT Services,"71,367,586","71,367,586",-,-,-,-,182,0
,Sub-Total,"1,412,254,568","203,861,778","731,476,137",-,51.8,-,182,0
"Administration and Public
Service",,,,,,,,182,0
"Human Resource Develop-
ment and Management","Human Resource
Development and
Management","19,121,529",-,"4,307,200",-,22.5,-,182,0
"General Administration
Planning and
Support Services","General Administra-
tion Planning and
Support Services","816,866,812","31,000,000","398,784,851",-,48.8,-,182,0
,Sub-Total,"835,988,341","31,000,000","403,092,051",-,48.2,-,182,0
"Agriculture, Crop Produc-
tion & Irrigation",,,,,,,,182,0
Fisheries Development,"Fisheries Develop-
ment",-,"11,250,000",-,-,-,-,182,0
"Livestock resource
management and
development","Livestock resource
management and de-
velopment",-,"58,750,000",-,"30,108,150",-,51.2,182,0
"Crop production
and management","Crop production
and management",-,"817,778,887",-,"255,635,171",-,31.3,182,0
"Administration, Planning
and Support Services","General adminis-
tration and support
services","463,162,497",-,"202,006,135",-,43.6,-,182,0
,Sub-Total,"463,162,497","887,778,887","202,006,135","285,743,321",43.6,32.2,182,0
"Water, Environment and
Natural Resources",,,,,,,,182,0
"Water Resource Manage-
ment and Sanitation","Water provision and
management",-,"191,000,000",-,"9,293,284",-,4.9,182,0
"Environment and Solid
Waste Management","Environmental man-
agement",-,"94,580,000",-,-,-,-,182,0
