Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
March 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",215,1
County Assembly,Office of the speaker,"5,936,560",-,"1,677,201",-,28.,3 -,215,1
,"Representation,
legislative and over-
sight services","190,296,116",-,"98,428,453",-,51.,7 -,215,1
,"County Assembly
Service Board","1,194,397,306","119,350,465","428,525,530","22,127,103",35.,9 18.5,215,1
,Sub Total,"1,390,629,982","119,350,465","528,631,184","22,127,103",38.,0 18.5,215,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",216,0
"Executive Office
of the Governor,
Deputy Gov-
ernor, County
Secretary and the
Public Service
Board","Administration,
Planning and Sup-
port Services","362,131,282","23,000,000","209,663,799",-,57.9,-,216,0
,"Office of the County
Secretary","5,620,000",-,"3,065,792",-,54.6,-,216,0
,Legal Services,"11,120,000",-,"5,831,230",-,52.4,-,216,0
,"Communication
Services","6,120,000",-,"1,388,220",-,22.7,-,216,0
,"Public Private Part-
nership","10,508,800",-,"1,646,000",-,15.7,-,216,0
,"County Public Ser-
vice Board","16,625,000",-,"9,234,345",-,55.5,-,216,0
,Sub-Total,"412,125,082","23,000,000","230,829,386",-,56.0,-,216,0
"Administra-
tion, Corporate
Services and
Stakeholder
Management","Administration,
Planning and Sup-
port Services","399,689,227",-,"278,764,969",-,69.7,-,216,0
,"Devolved Units
Services","4,100,000","43,633,140",-,-,-,-,216,0
,"Human Resource
Development","13,150,000",-,-,-,-,-,216,0
,"Enforcement Ser-
vices","6,500,000",-,-,-,-,-,216,0
,"Stakeholder Man-
agement","37,624,764",-,"24,621,549",-,65.4,-,216,0
,"Public Participation
and Civic Education","1,250,000",-,-,-,-,-,216,0
,"Disaster Manage-
ment","8,200,000","450,000",-,-,-,-,216,0
,Fleet Management,"3,000,000",-,"1,166,674",-,38.9,-,216,0
,Sub-Total,"473,513,991","44,083,140","304,553,192",-,64.3,-,216,0
"Finance and Eco-
nomic Planning","Administration,
Coordination and
Support Services","806,100,387",-,"564,425,712",-,70.0,-,216,0
,"Public Financial
Management Ser-
vices","47,972,500",-,"27,161,097",-,56.6,-,216,0
,"County Planning
Services","77,357,788","77,482,391","29,814,955","2,322,320",38.5,3.0,216,0
,Sub-Total,"931,430,675","77,482,391","621,401,764","2,322,320",66.7,3.0,216,0
"Agriculture,
Livestock, Fisher-
ies and Coopera-
tive Development","Administrative and
Support Services","18,145,908","171,890,010","277,500",-,1.5,-,216,0
,"Crop Development
and Value Addition","263,931,493","43,968,389","167,653,146",-,63.5,-,216,0
,"Livestock Develop-
ment","4,950,000","5,000,000","125,000",-,2.5,-,216,0
,Veterinary Services,"17,880,000","137,058,835","15,880,000","35,560,000",88.8,25.9,216,0
,"Co-Operative
Development and
Management","1,600,000","70,000,000",-,-,-,-,216,0
,"Fisheries Develop-
ment","850,000","17,500,000",-,-,-,-,216,0
,"Kisii Agricultural
Training Centre","3,500,000","41,169,000",-,-,-,-,216,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",217,0
,Sub-Total,"310,857,401","486,586,234","183,935,646","35,560,000",59.2,7.3,217,0
