Program,Sub Program,Revised Estimates,col_3,Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,"Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",225,0
Vote,"Department of
Trade, Energy and
Industry",,,,,,,225,0
205005080,,"23,750,648.00","43,000,000.00","3,492,953.00","36,992,820.00",14.7,86.0,225,0
,,"2,875,324.00","43,000,000.00","304,468.00",,10.6,-,225,0
,"Petroleum and
Electricity","20,875,324.00",-,"3,188,485.00",-,15.3,,225,0
206005080,,"2,175,324.00",-,"363,200.00",-,16.7,,225,0
,Green Energy,"2,175,324.00",-,"363,200.00",-,16.7,,225,0
301005080,,"1,800,000.00",-,"662,670.00",-,36.8,,225,0
,"Trade Support
Services","1,800,000.00",-,"662,670.00",-,36.8,,225,0
302005080,,"1,500,000.00",-,"93,800.00",-,6.3,,225,0
,"Verification and
Calibration of
Weighing Equip-
ment","1,500,000.00",-,"93,800.00",-,6.3,,225,0
306005080,,"5,700,000.00","50,000,000.00","635,966.00",-,11.2,-,225,0
,"Business Develop-
ment Services","5,700,000.00","50,000,000.00","635,966.00",-,11.2,-,225,0
504005080,,"500,000.00",-,-,-,-,,225,0
,"Betting Control
Services","500,000.00",-,-,-,-,,225,0
508005080,,"300,000.00",-,-,-,-,,225,0
,Alcoholic Drinks,"300,000.00",-,-,-,-,,225,0
704005080,,"84,855,345.00","45,404,061.00","58,751,411.00",,69.2,,225,0
,"General Admin-
istration and
Support services","84,855,345.00","45,404,061.00","58,751,411.00",,69.2,,225,0
,SUB Total,"120,581,317.00","138,404,061.00","64,000,000.00",,53.1,,225,0
Vote,"Department of
Public Administra-
tion and Devolu-
tion",,,,,,,225,0
515005079,,"16,200,000.00",-,"9,917,000.00",-,61.2,,225,0
,"Primary Policy and
Legislation","16,200,000.00",-,"9,917,000.00",-,61.2,,225,0
701005079,,"238,341,737.00",-,"111,227,759.50",-,46.7,,225,0
,"Development and
Management of
County Adminis-
trative systems","238,341,737.00",-,"111,227,759.50",-,46.7,,225,0
704005079,,"155,200,000.00",-,"140,558,228.50",-,90.6,,225,0
,"Human Resource
Recruitment and
Development","155,200,000.00",-,"140,558,228.50",-,90.6,,225,0
709005079,,"11,750,000.00",-,"2,017,740.00",-,17.2,,225,0
,,Recurrent,Development,Recurrent,Development,"Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",226,0
,"Public participa-
tion services","11,750,000.00",-,"2,017,740.00",-,17.2,,226,0
711005079,,"9,000,000.00",-,"241,135.00",-,2.7,,226,0
,"County Planning
and Development
Coordination
Services","9,000,000.00",-,"241,135.00",-,2.7,,226,0
,SUB Total,"430,491,737.00",-,"263,961,863.00",-,61.3,,226,0
Vote,"Kisumu - Depart-
ment of Finance
and Economic
Planning",,,,,,,226,0
201005076,,"14,151,600.00",-,"4,364,750.00",-,30.8,,226,0
,"General adminis-
tration & planning","14,151,600.00",-,"4,364,750.00",-,30.8,,226,0
203005076,,"1,140,638,089.00","1,659,218,045.00","717,025,405.10","370,502,141.00",62.9,22.3,226,0
,"Administrative
services","1,140,638,089.00","1,659,218,045.00","717,025,405.10","370,502,141.00",62.9,22.3,226,0
305005076,,"11,000,000.00",-,"3,191,350.00",-,29.0,,226,0
,Extension services,"11,000,000.00",-,"3,191,350.00",-,29.0,,226,0
703005076,,"10,750,000.00",-,"3,580,660.90",-,33.3,,226,0
,"Internal Auditing
Services","10,750,000.00",-,"3,580,660.90",-,33.3,,226,0
705005076,,"158,356,063.00",-,"82,152,494.00",-,51.9,,226,0
,assets management,"5,500,000.00",-,"2,161,750.00",-,39.3,,226,0
,"management of
public financial
resources","10,012,585.00",-,"880,750.00",-,8.8,,226,0
,"Budget Formula-
tion & Coordina-
tion Services","73,243,478.00",-,"40,187,214.00",-,54.9,,226,0
,"Revenue Mobili-
sation","69,600,000.00",-,"38,922,780.00",-,55.9,,226,0
706005076,,"41,584,000.00",-,"17,733,013.00",-,42.6,,226,0
,"Policy Formulation
& Planning","24,600,000.00",-,"9,020,211.00",-,36.7,,226,0
,"Monitoring &
Evaluation","16,984,000.00",-,"8,712,802.00",-,51.3,,226,0
,SUB Total,"1,376,479,752.00","1,659,218,045.00","828,047,673.00","370,502,141.00",60.2,22.3,226,0
Vote,"County Public
Service Board",,,,,,,226,0
704005075,,"88,833,775.00",-,"18,566,657.00",-,20.9,,226,0
,"General Admin-
istration and
Support services","86,159,975.00",-,"18,566,657.00",-,21.5,,226,0
,"Promotion of Val-
ues and Principles","2,173,800.00",-,-,-,-,,226,0
,"Human Resource
Recruitment and
Development","500,000.00",-,-,-,-,,226,0
