"Pro-
gramme","Programme and Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 31st
March 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",261,1
"Department of Finance and Economic
Planning",,,,,,,,261,1
3061,Personal Services (0704013060),"174,155,265",,"151,132,423",,87,-,261,1
,704023060,-,-,-,-,-,-,261,1
,"General Administration
(0704043060)","761,176,479","60,810,289","533,419,861",,70,-,261,1
,Sub-Total,"836,573,239","60,810,289","609,510,752",,73,-,261,1
,"Revenue Collection Management
(0710013060)","60,692,972","3,000,000","13,996,175",,23,-,261,1
,Sub-Total,"60,692,972","3,000,000","13,996,175",,23,-,261,1
,"Public Finance and Accounting
Services (0711013060)","20,407,012",,"10,155,179",,50,-,261,1
,Procument Services (0711023060),"11,566,000",,"3,707,870",,32,-,261,1
,"Risk Assurance Services
(0711033060)","21,421,325",,"5,278,008",,25,-,261,1
,Sub-Total,"53,394,337",-,"19,141,057",,36,-,261,1
Total,,"1,049,419,053","63,810,289","717,689,515",,68,-,261,1
"Kwale - Agriculture, Livestock and Fisheries",,,,,,,,261,1
3062,"General administration and sup-
port services {0102053060}","164,758,131","324,360,833","113,254,992","32,975,642",69,10.17,261,1
,"Crop production & food security
{0107013060}","2,631,000","42,101,018","1,446,943","8,382,400",1,19.91,261,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",262,0
,"Dairy and meat production
{0108013060}","3,604,483","22,200,000","1,291,700","13,182,000",-,59.38,262,0
,"Fish production management
{0109013060}","4,159,096","27,687,050","802,300","4,550,300",-,16.43,262,0
,"Livestock disease control
{0108033060}","9,065,000","60,020,000","933,314","1,599,904",-,2.67,262,0
,"Farmland utilization, mechaniza-
tion & crop storage {0107033060}","22,758,860","20,000,000","3,150,648","5,000,000",-,25.00,262,0
,"Agricultural extension, research &
training. {0107023060}","2,525,000","2,000,000","516,398",-,-,-,262,0
Total,,"209,501,570","498,368,901","121,396,295","65,690,246",70,134,262,0
"Kwale - Land, Environment, Mining and Natural Resources",,,,,,,,262,0
3063,"0102053060 (General administra-
tion and Support services","32,004,454","101,338,944","14,240,436","11,579,280",44,11,262,0
,0102063060 (Personnel Services),"26,941,639",-,"24,633,158",-,91,-,262,0
,'0102073060 (),"11,426,233",-,"19,600",-,-,-,262,0
,"0104013060 (Physical develop-
ment plans)","4,600,000","37,000,000","644,025",-,14,-,262,0
,"0105013060 (Establishment of
squatter settlement schemes","3,800,000","23,800,000","1,616,900","2,047,500",43,9,262,0
,"0106023060 (County Environ-
mental Awareness Initiative)","3,100,000",-,-,-,-,-,262,0
,0901023060 (),"100,000",-,-,-,-,-,262,0
Total,,"81,972,326","162,138,944","41,154,119","13,626,780",50,8,262,0
Kwale - Health Services,,,,,,,,262,0
3064,Public Health(0401053060),"5,839,657",-,"1,835,662",-,31,,262,0
,401013060,-,-,-,-,,,262,0
,"Maternal New Born And Child
Health(0401023060)","22,171,888",-,-,-,-,,262,0
,401033060,-,-,-,-,,,262,0
,Sub Total,"28,011,545",-,"1,835,662",-,7,,262,0
,402083060,-,-,-,-,,,262,0
,402073060,-,-,-,-,,,262,0
