Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture as of 31st
March 2023","Variance
(Kshs.)","Absorption
Rate (% )",page_number,table_index
,,A,B,C=A-B,D=B/A*100,272,1
Education,,,,,,272,1
"General Administration & Plan-
ning services",Personnel services,,,,,273,0
,Administration Services,"4,736,405","3,723,727","1,012,678",78.6,273,0
Vocational Training Institutes.,"Vocational Training Insti-
tutes.","29,647,149","20,553,650","9,093,499",69.3,273,0
Collaboration with Stakeholders,"Collaboration with Stake-
holders.","3,500,000","84,000","3,416,000",2.4,273,0
"Gender Culture and
Social Services.","Gender Culture and Social
Services.","7,878,948","134,442","7,744,506",1.7,273,0
Youth and Sports.,Youth & Sports,"13,000,000","10,443,869","2,556,131",80.3,273,0
Education & Library Services,"Education and Library Ser-
vices.","91,660,000","52,850,650","38,809,350",57.7,273,0
Talent Development Services,Childcare & rehabilitation,"2,603,136","508,936","2,094,200",19.6,273,0
,Talent Development,"500,000","271,064","228,936",54.2,273,0
Sub-total,,"153,525,638","88,570,338","64,955,300",57.7,273,0
County Assembly,,,,,,273,0
"General Administration & Plan-
ning Services",Administration services,"397,721,447","273,855,191","123,866,255",68.9,273,0
Legislative & Oversight,"Legislation & Oversight Ser-
vices","265,147,631","182,570,128","82,577,504",68.9,273,0
"Infrastructure
improvement services","County Assembly Infra-
structure improvement","103,000,000","1,306,223","101,693,777",1.3,273,0
Sub-total,,"765,869,078","457,731,542","308,137,536",59.8,273,0
,,,,,,273,0
County Health Services,,,,,,273,0
Curative & Rehabilitative Health,"Health Infrastructure Devel-
opment","175,000,000",,"175,000,000",-,273,0
,"Health Products & Technolo-
gies Support","200,000,000","105,191,892","94,808,108",52.6,273,0
,"Emergency Referral & Reha-
bilitative Service","590,804,400","254,313,715","336,490,685",43.1,273,0
"General Administration
& Planning Services","Essential Health Institutions
& Services","30,000,000","14,322,629","15,677,371",47.7,273,0
,Strategic health Interventions,"36,205,271","34,378,707","1,826,564",95.0,273,0
,"Human Resource Develop-
ment","12,000,000","11,298,297","701,703",94.2,273,0
,"Health Policy, Governance,
Planning & Financing","8,000,000","5,613,744","2,386,256",70.2,273,0
,"Health Information Stan-
dards & Quality Assurance","6,000,000","3,375,000","2,625,000",56.3,273,0
,"Community Health Strategy,
Advocacy & Surveillance","12,040,400","12,237,200","- 196,800",101.6,273,0
Preventive Health Services,"Family Planning, Maternal &
Child Health Services","9,000,000","6,328,590","2,671,410",70.3,273,0
,"Non-Communicable Diseas-
es Control & Prevention","3,000,000","2,485,900","514,100",82.9,273,0
,"Public Health Promotion &
Nutrition Services","5,000,000","664,599","4,335,401",13.3,273,0
,"TB/HIV/AIDS Prevention &
Control","15,000,000","4,216,196","10,783,804",28.1,273,0
