Program,Sub -Program,"Approved Esti-
mates (Kshs.)","Actual Expen-
diture (Kshs.)","Variance
(Kshs.)","Absorption
Rate (%",page_number,table_index
"Agriculture, Livestock Development and Fisheries Development",,,,,,350,1
Agriculture,Crop development and management,"20,000,000",-,"20,000,000",-,350,1
,"General administration, planning & sup-
port service","700,475,709","280,169,256","420,306,453",40.0,350,1
Fisheries,Fisheries Development,"9,775,756","2,201,000","7,574,756",22.5,350,1
,"General administration, planning & sup-
port service","19,015,244","15,584,066","3,431,178",82.0,350,1
Livestock,"Livestock Resources Management and
Development","8,124,999",-,"8,124,999",-,350,1
,"General administration, planning & sup-
port service","16,884,660","2,035,000","14,849,660",12.1,350,1
Veterinary,"General administration, planning & sup-
port service","11,800,640","7,286,500","4,514,140",61.7,350,1
,"Livestock Resources Management and
Development","1,130,000",,"1,130,000",-,350,1
,Veterinary services,"9,894,605",,"9,894,605",-,350,1
"Macalder Sheep
& Goat Station",Cooperative development,"780,000",,"780,000",-,350,1
Sub- total,,"797,881,613","307,275,822","490,605,791",38.5,350,1
County Assembly,,,,,,350,1
"General adminis-
tration and support
services",Administrative services,"18,240,462","8,155,275","10,085,187",44.7,350,1
"Oversight
management
services",Committee management services,"130,200,000","46,968,557","83,231,443",36.1,350,1
Legislative services,Representation,"102,200,000","3,500,000","98,700,000",3.4,350,1
"General
administration
and support
services",Administrative services,"632,211,320","521,191,530","111,019,790",82.4,351,0
Pending bills,Pending bills,"12,620,427",-,"12,620,427",-,351,0
"Infrastructure
development",infrastructures development,"50,000,000",-,"50,000,000",-,351,0
Sub -total,,"945,472,209","579,815,362","365,656,847",61.3,351,0
County Attorney,,,,,,351,0
"Management and
administration",General administration,"53,000,000","19,733,000","33,267,000",37.2,351,0
,Finance,"50,000,000","49,659,771","340,229",99.3,351,0
,"Statistics, research, information manage-
ment and public relations","2,900,000","850,000","2,050,000",29.3,351,0
"Law
administration",Law report and reviews,"17,000,000","3,744,000","13,256,000",22.0,351,0
,Promotion of rule of law,"1,000,000","1,000,000",-,100.0,351,0
,Legal aid,"1,000,000","999,400",600,99.9,351,0
Legal education,Professional and career development,"2,600,000","931,000","1,669,000",35.8,351,0
Pending bills,Pending bills,"35,000,000","25,876,204","9,123,796",73.9,351,0
Sub- total,,"162,500,000","102,793,375","59,706,625",63.3,351,0
County Executive,,,,,,351,0
"Governance and
Executive Man-
agement (0ffice of
governor)",Citizen Delivery Services,"145,792,000","96,741,915","49,050,085",66.4,351,0
,General Administration,"129,477,014",,"129,477,014",-,351,0
,Lake Region Economic Block,"5,000,000","2,000,000","3,000,000",40.0,351,0
,Council of Governors,"5,000,000","7,755,200","- 2,755,200",155.1,351,0
,Liaison office - Nairobi,"15,000,000","13,173,420","1,826,580",87.8,351,0
,Chief of Staff,"5,000,000","4,226,700","773,300",84.5,351,0
,Protocol,"5,000,000","4,953,180","46,820",99.1,351,0
,Security Services,"8,500,000","8,128,786","371,214",95.6,351,0
,Communication and Press,"5,000,000","4,930,286","69,714",98.6,351,0
,Political Advisor,"5,000,000","4,750,150","249,850",95.0,351,0
,Economic Advisor,"5,000,000","5,000,000",-,100.0,351,0
,Pending bills,"12,761,834","840,000","11,921,834",6.6,351,0
,"Special Programs and External Partner-
ships","34,950,000","8,212,000","26,738,000",23.5,351,0
,"Monitoring, Evaluation","29,838,000","23,610,210","6,227,790",79.1,351,0
"Governance
and Executive
management
(Deputy governor)","General Administration and Support Ser-
vices (Executive)","47,993,000","29,627,820","18,365,180",61.7,351,0
,"Enhanced Management, Coordination &
Supervision.","15,315,000","8,987,439","6,327,561",58.7,351,0
"Governance
and Executive
management
(County secretary)","Governance and Executive management
(county sec))","42,274,494","28,624,098","13,650,396",67.7,351,0
Sub- total,,"516,901,342","251,561,204","265,340,138",48.7,351,0
"Education, Gender, Sports, Youth Development and Culture",,,,,,351,0
Education,External Funding,"36,463,544","36,463,544",-,100.0,352,0
,"General administration, planning & sup-
port service-All Sectors","296,938,098","162,408,018","134,530,080",54.7,352,0
,Education Support Services,"190,000,000","116,169,310","73,830,690",61.1,352,0
,"Youth development and empowerment
services","102,333,924","25,209,800","77,124,124",24.6,352,0
,ECDE Services,"95,972,187",-,"95,972,187",-,352,0
Sports,Gender and Equality Services,"564,974",-,"564,974",-,352,0
,Sports Development,"18,299,158","8,537,040","9,762,118",46.7,352,0
,"General administration, planning & sup-
port service-All Sectors","24,660,000","3,470,000","21,190,000",14.1,352,0
,Culture Development Promotion and Arts,"6,000,000","3,390,200","2,609,800",56.5,352,0
,National arts and cultural services,"9,000,000",,"9,000,000",-,352,0
Sub -total,,"780,231,885","355,647,912","424,583,973",45.6,352,0
"Environment, Natural Resource and Disaster Management",,,,,,352,0
"Solid Waste Man-
agement",Solid Waste Management,"26,300,000","6,788,602","19,511,398",25.8,352,0
External Funding,Donor Funds,"15,000,000","15,000,000",-,100.0,352,0
"Disaster
Management
Services",Disaster Management Services,"21,800,000","6,505,490","15,294,510",29.8,352,0
"General
Administration
Support Services",General Administration Support Services,"82,249,230","15,396,955","66,852,275",18.7,352,0
Sub -total,,"145,349,230","43,691,047","101,658,183",30.1,352,0
Finance and Economic Planning,,,,,,352,0
"General Adminis-
tration",General Administration,"369,907,868","160,828,061","209,079,807",43.5,352,0
"Financial
management
services",Resource mobilisation,"36,953,148","17,102,965","19,850,183",46.3,352,0
,Accounting Services,"178,796,306","74,222,843","104,573,463",41.5,352,0
,Procurement Services,"17,392,570","7,572,062","9,820,508",43.5,352,0
,Audit Services,"14,840,000","11,998,565","2,841,435",80.9,352,0
"Economic policy
and county
planning",Budget Coordination and Management,"53,275,000","50,909,348","2,365,652",95.6,352,0
,Policy and Plans Developments,"66,455,604","33,944,524","32,511,080",51.1,352,0
,"General administration planning and
support services","36,039,014","12,227,191","23,811,823",33.9,352,0
Sub- total,,"773,659,510","368,805,559","404,853,951",47.7,352,0
Health-Medical services,,,,,,352,0
"Curative, Rehabili-
tative and Referral
services",Hospital Services,"192,773,590","86,263,040","106,510,550",44.7,352,0
"Donor support
services",Donor support services,"153,297,872",,"153,297,872",-,352,0
"General
administration,
planning &
support service-
All Sectors",General administration,"1,464,317,823","1,224,390,213","239,927,610",83.6,352,0
"Maternal Child
Health Services",Maternal Health Services,"2,512,000",,"2,512,000",-,352,0
"Essential Health
Products and
Technologies",Essential Health Products and Technologies,"234,737,838",,"234,737,838",-,353,0
"Preventive,
promotive Health
services and
Disease Control","Preventive, promotive Health services and
Disease Control","40,560,000","14,990,400","25,569,600",37.0,353,0
Sub- total,,"2,088,199,123","1,325,643,653","762,555,470",63.5,353,0
Health - Public health & Nutrition Services,,,,,,353,0
"Essential Health
Products and Tech-
nologies",Essential Health Products and Technologies,"153,617,385",,"153,617,385",-,353,0
"General
administration,
planning &
support service-
All Sectors","General administration, planning & sup-
port service-All Sectors","324,788,177","51,119,115","273,669,062",15.7,353,0
"Donor support
services",Donor support services,"96,971,223","5,891,265","91,079,958",6.1,353,0
"Preventive,
promotive Health
services and
Disease Control","Preventive, promotive Health services and
Disease Control","49,341,541","25,034,904","24,306,637",50.7,353,0
Sub- total,,"624,718,326","82,045,284","542,673,042",13.1,353,0
"Lands, Housing and Physical Planning",,,,,,353,0
Lands,"General administration, planning & sup-
port service","59,686,797","18,777,040","40,909,757",31.5,353,0
,Land development services,"59,049,142",,"59,049,142",-,353,0
Physical Planning,Physical planning services,"41,400,000",,"41,400,000",-,353,0
,"General administration, planning & sup-
port service","267,298,312","26,786,270","240,512,042",10.0,353,0
"Urban
Development","General administration, planning & sup-
port service","87,239,832","20,555,568","66,684,264",23.6,353,0
Sub -total,,"514,674,083","66,118,878","448,555,205",12.8,353,0
Public Service Management,,,,,,353,0
"Public Service
Management","Human resources management and Devel-
opment","10,700,553","2,044,980","8,655,573",19.1,353,0
,Strategy and service delivery,"2,080,916","2,000,000","80,916",96.1,353,0
,"General administration and support ser-
vices (PSM)","861,164,536","436,924,668","424,239,868",50.7,353,0
,"Enhanced Management, Coordination &
Supervision.","3,060,000","1,072,872","1,987,128",35.1,353,0
"Public Service
Board",Personnel management,"20,430,840","14,937,230","5,493,610",73.1,353,0
,"General administration and support ser-
vices (PSM)","54,765,110","19,753,961","35,011,149",36.1,353,0
"Information
Communication
Technology - ICT",ICT Infrastructure,"58,960,831","5,675,760","53,285,071",9.6,353,0
,"General Administration and Support
Services (ICT)","32,639,169","7,513,200","25,125,969",23.0,353,0
"Ferries and
Harbours",Sub County Administration Services,"19,100,000","11,705,705","7,394,295",61.3,353,0
Sub total,,"1,062,901,955","501,628,376","561,273,579",47.2,353,0
