Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 31st
March 2023",col_5,Absorption Rate %,col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",449,1
"Agriculture, Livestock and Fisheries",,,,,,,,449,1
"Agricultural Manage-
ment","Administration
and planning
services","225,992,680","334,120,139","169,588,924","228,216,159",75.0,68.3,449,1
"Livestock Production
Management","Provision of Ex-
tension Services
to Livestock
farmers","2,089,500","6,500,000","757,900","2,433,400",36.3,37.4,449,1
Crop Management,"Administra-
tive Support
Services","2,139,500",-,"784,302",,36.7,-,449,1
"Fisheries
development","Administra-
tive Support
Services","1,609,500",-,"688,530",,42.8,-,449,1
Veterinary services,"Administra-
tive Support
Services","3,009,663","9,000,000","1,770,680","3,000,000",58.8,33.3,449,1
Wambugu ATC,"Farm Develop-
ment","4,551,500","2,969,782","4,551,250","1,978,938",100.0,66.6,449,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",450,0
AMS Naromoru,"Development
of Agricultural
Land For Crop
Production","1,010,500","2,623,369","1,010,500","1,723,369",100.0,65.7,450,0
,,"240,402,843","355,213,290","179,152,086","237,351,865",74.5,66.8,450,0
"Lands, Physical Planning, Housing and Urbanization",,,,,,,,450,0
"Land Planning Ser-
vices","Administration
and personnel
services","44,460,083","234,778,175","30,934,579","71,584,276",69.6,30.5,450,0
"Land Policy &
Planning","Land Policy
Formulation","3,855,000",-,"1,410,520",-,36.6,-,450,0
"Housing Develop-
ment and Human
Settlement","Government
Building","1,637,500",-,"461,344",-,28.2,-,450,0
,,"49,952,583","234,778,175","32,806,443","71,584,276",65.7,30.5,450,0
"Transport, Public Works, Infrastructure & Energy",,,,,,,,450,0
"General adminis-
tration and policy
Development and
implementation","Administration,
planning and
support services","73,169,951",-,"46,384,296",-,63.4,-,450,0
"Roads development,
maintenance and
management","County access
and feeder roads
improvement",-,"203,245,592",-,"116,129,624",-,-,450,0
"Energy Sector Devel-
opment","Street lighting
programme","22,776,747","289,459,748","18,487,510","133,387,056",81.2,46.1,450,0
,,"95,946,698","492,705,340","64,871,806","249,516,680",67.6,50.6,450,0
"Trade, Culture, Tourism & Cooperative Development",,,,,,,,450,0
"Trade and Coopera-
tive Development","Trade Promo-
tion","45,365,025","78,500,000","29,575,579","38,409,884",65.2,48.9,450,0
"Tourism
Development","Promotion of
Tourism","1,860,000","5,400,000","563,842","4,326,780",30.3,80.1,450,0
Co-operatives,"Co-operative
Development","1,600,000","18,003,199","434,227","6,464,596",27.1,35.9,450,0
,,"48,825,025","101,903,199","30,573,648","49,201,260",62.6,48.3,450,0
Health Services,,,,,,,,450,0
"Administration,
Planning and General
Support Services","Administration,
Planning and
General Support
Services","2,229,295,902","382,098,499","1,663,704,024","157,793,004",74.6,41.3,450,0
Rural Health,"Administration,
Planning and
General Support
Services","21,394,238",-,-,-,-,-,450,0
,,"2,250,690,140","382,098,499","1,663,704,024","157,793,004",73.9,41.3,450,0
Education & Sports,,,,,,,,450,0
"General adminis-
tration and policy
Development and
implementation","Administra-
tive Support
Services","287,671,287",-,"221,983,193",-,77.2,-,450,0
ECDE Management,"ECDE Manage-
ment","4,932,496",-,"3,266,895",-,66.2,-,450,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",451,0
"Youth Training and
Development","Youth
Polytechnics",-,"9,300,000",-,"994,644",-,10.7,451,0
"County Sports
Development","Search and nur-
ture talents",-,"3,800,000",-,"2,799,400",-,73.7,451,0
,,"296,344,783","39,600,000","227,291,122","16,617,167",76.7,42.0,451,0
Office of the Governor & Deputy Governor,,,,,,,,451,0
"Management and
Co-ordination of
county affairs","Administration,
planning and
support services","123,863,962","20,000,000","87,657,970",-,70.8,-,451,0
,,"123,863,962","20,000,000","87,657,970",-,70.8,-,451,0
Office of the County Secretary,,,,,,,,451,0
"Coordination of
County Functions
and Public Service
Management","Coordination
of County
Functions and
Public Service
Management","310,551,074","45,546,256","273,129,154","33,994,869",87.9,74.6,451,0
,"Community
sensitisation,
education and
public partici-
pation","1,017,000",-,"375,090",-,36.9,-,451,0
,"ICT Develop-
ment","1,370,000",-,"869,450",-,63.5,-,451,0
,,"312,938,074","45,546,256","274,373,694","33,994,869",87.7,74.6,451,0
Finance & Economic Planning,,,,,,,,451,0
Executive services,"Administration
and personnel
services","696,908,827","250,229,574","293,620,516","40,137,185",42.1,16.0,451,0
"Economic Planning
and Policy
Formulation","Economic Plan-
ning and Policy
Formulation","9,440,400",-,"4,824,269",-,51.1,-,451,0
"Public Finance Man-
agement","Financial Ac-
counting","8,581,000",-,"6,413,702",-,74.7,-,451,0
,"Procurement
Compliance and
Reporting","7,202,000",-,"5,081,669",-,70.6,-,451,0
,Internal Audit,"5,559,800",-,"4,070,500",-,73.2,-,451,0
Revenue Mobilisation,"Revenue Mobil-
isation","24,700,000",-,"14,976,033",-,60.6,-,451,0
"Economic Planning
and Policy Formu-
lation","Monitoring and
Evaluation","2,700,000",-,"1,951,600",-,72.3,-,451,0
,,"755,092,027","250,229,574","330,938,289","40,137,185",43.8,16.0,451,0
County Assembly,,,,,,,,451,0
"County Assembly
Services","Administration
and planning
services","628,166,124",-,"413,060,826",-,65.8,-,451,0
,"Legislative &
Oversight","207,000,000",-,"127,000,000",-,61.4,-,451,0
,"Infrastructure
development",-,"52,500,000",,-,-,-,451,0
