Programme,Sub-Programme,"Approved Esti-
mates","Actual Expen-
diture as of 31st
March 2023","Variance
(Kshs.)","Absorp-
tion Rate
(%)",page_number,table_index
"Agriculture, Livestock",,"928,254,606.00","355,746,255.20","572,508,350.80",38.3,526,0
Crop Development,,"667,881,355.00","175,660,418.00","492,220,937.00",26.3,526,0
,Crop Diversification,"581,416,276.00","175,660,418.00","405,755,858.00",30.2,526,0
,"Post-harvest management
and value addition","86,465,079.00",-,"86,465,079.00",-,526,0
"Administrative And Support Ser-
vices",,"260,373,251.00","180,085,837.20","80,287,413.80",69.2,526,0
,"Administrative And Sup-
port Services","260,373,251.00","180,085,837.20","80,287,413.80",69.2,526,0
"Trade, Commerce and Industry",,"205,762,489.00","27,434,654.25","178,327,834.75",13.3,526,0
Medium and small Enterprises,,"154,000,000.00",-,"154,000,000.00",-,526,0
,"Medium and small Enter-
prises","154,000,000.00",-,"154,000,000.00",-,526,0
"Administrative And Support Ser-
vices",,"51,762,489.00","27,434,654.25","24,327,834.75",53.0,526,0
,"Administrative and Sup-
port Services","51,762,489.00","27,434,654.25","24,327,834.75",53.0,526,0
"Water, Environment and Natural
Resources",,"372,446,435.00","76,766,906.15","295,679,528.85",20.6,526,0
"Environment management and
protection",,"288,086,871.00",-,"288,086,871.00",-,526,0
,Waste Management,"288,086,871.00",,"288,086,871.00",-,526,0
"Administrative and Support Ser-
vices",,"84,359,564.00","76,766,906.15","7,592,657.85",91.0,526,0
,"Administrative and Sup-
port Services","84,359,564.00","76,766,906.15","7,592,657.85",91.0,526,0
"Public Works, Roads and Infra-
structure",,"613,406,449.00","109,249,650.25","504,156,798.75",17.8,526,0
"Road Construction and Road
Maintenance",,"439,266,580.00","7,615,948.85","431,650,631.15",1.7,526,0
,Maintenance of Roads,"439,266,580.00","7,615,948.85","431,650,631.15",1.7,526,0
"Administrative And Support Ser-
vices",,"174,139,869.00","101,633,701.40","72,506,167.60",58.4,526,0
,"Administrative and Sup-
port Services","174,139,869.00","101,633,701.40","72,506,167.60",58.4,526,0
Health Services,,"10,000,000.00",,"10,000,000.00",-,526,0
"Administrative And Support Ser-
vices",,"10,000,000.00",-,"10,000,000.00",-,526,0
,"Administrative And Sup-
port Services","10,000,000.00",-,"10,000,000.00",-,526,0
"Lands, Housing and Urban Plan-
ning",,"362,977,156.00","44,224,770.55","318,752,385.45",12.2,526,0
"Administrative And Support Ser-
vices",,"362,977,156.00","44,224,770.55","318,752,385.45",12.2,526,0
,"Administrative and Sup-
port Services","362,977,156.00","44,224,770.55","318,752,385.45",12.2,527,0
"Gender, Sports, Culture and Tour-
ism",,"257,945,327.00","121,324,006.00","136,621,321.00",47.0,527,0
"Cultural development and promo-
tion",,"205,082,445.00","72,868,024.60","132,214,420.40",35.5,527,0
,Culture development,"205,082,445.00","72,868,024.60","132,214,420.40",35.5,527,0
"Administrative And Support Ser-
vices",,"52,862,882.00","48,455,981.40","4,406,900.60",91.7,527,0
,"Administrative And Sup-
port Services","52,862,882.00","48,455,981.40","4,406,900.60",91.7,527,0
Public Service Management,,"849,701,128.00","278,100,444.85","571,600,683.15",32.7,527,0
Infrastructure Development,,"246,868,227.00","479,100.00","246,389,127.00",0.2,527,0
,"Supervision and Manage-
ment of Projects","246,868,227.00","479,100.00","246,389,127.00",0.2,527,0
"Administrative And Support Ser-
vices",,"602,832,901.00","277,621,344.85","325,211,556.15",46.1,527,0
,"Administrative And Sup-
port Services","602,832,901.00","277,621,344.85","325,211,556.15",46.1,527,0
Education and ICT,,"702,733,145.00","319,064,329.65","383,668,815.35",45.4,527,0
Vocational Training Development,,"113,900,000.00",-,"113,900,000.00",-,527,0
,"Vocational Training De-
velopment","113,900,000.00",-,"113,900,000.00",-,527,0
"Administrative And Support Ser-
vices",,"588,833,145.00","319,064,329.65","269,768,815.35",54.2,527,0
,"Administrative And Sup-
port Services","588,833,145.00","319,064,329.65","269,768,815.35",54.2,527,0
Finance,,"1,159,352,734.00","527,873,320.40","631,479,413.60",45.5,527,0
"Administrative and Support Ser-
vices",,"1,159,352,734.00","527,873,320.40","631,479,413.60",45.5,527,0
,"Supervision and Manage-
ment of Projects","635,407,192.00","28,972,636.00","606,434,556.00",4.6,527,0
,"Administrative And Sup-
port Services","523,945,542.00","498,900,684.40","25,044,857.60",95.2,527,0
Governance,,"198,758,719.00","107,605,528.95","91,153,190.05",54.1,527,0
Infrastructure Development,,"25,000,000.00",-,"25,000,000.00",-,527,0
,"Supervision and Manage-
ment of Projects","25,000,000.00",-,"25,000,000.00",-,527,0
"Administrative And Support Ser-
vices",,"173,758,719.00","107,605,528.95","66,153,190.05",61.9,527,0
,"Administrative And Sup-
port Services","173,758,719.00","107,605,528.95","66,153,190.05",61.9,527,0
County Public Service Board,,"86,615,170.00","11,627,369.10","74,987,800.90",13.4,527,0
Governance and County Values,,"13,465,000.00",-,"13,465,000.00",-,527,0
,"Infrastructure Develop-
ment","13,465,000.00",-,"13,465,000.00",-,527,0
"Administrative And Support Ser-
vices",,"73,150,170.00","11,627,369.10","61,522,800.90",15.9,527,0
