Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of
30th June 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,46,0
County Assembly,,-,-,-,-,-,-,46,0
Office of the clerk,,-,-,-,-,-,-,46,0
,General administration,"175,672,168",-,"175,111,649",-,99.7%,-,46,0
,"General Administra-
tion Support Services","412,288,830",-,"387,704,640",-,94.0%,-,46,0
,"Cabro works at County
Assembly Parking",-,"6,285,468",-,"4,250,287",-,67.6%,46,0
,"Construction of Coun-
ty Assembly Speaker's
Residence",-,"24,571,833",-,"11,554,162",-,47.0%,46,0
,"Construction of Speak-
ers Residence",-,"10,000,000",-,"2,422,577",-,24.2%,46,0
,"Infrastructure devel-
opment",-,"93,126,628",-,"28,906,097",-,31.0%,46,0
"Office of the
Speaker",,,,-,-,,,46,0
,"General Administra-
tion and Legislation
services","11,004,000",-,"9,238,323",-,84.0%,-,46,0
,"General Administra-
tion and oversight
Services","352,264,062",-,"363,402,705",-,103.2%,-,46,0
"Office of the Gov-
ernor and Deputy
Governor","General Administra-
tion","3,145,414,417",-,"3,145,414,417",-,100.0%,-,46,0
,"P3 Governors Office
and Deputy Governor","71,053,600",-,"93,093,405",-,131.0%,-,46,0
,"Office of The Deputy
Governor","29,956,339",-,"22,854,396",-,76.3%,-,46,0
,"P4 Acquisition of
Assets","10,170,292",-,"10,350,159",-,101.8%,-,46,0
,"Furniture and other
Accessories",,"1,306,745",-,"38,988,300",,2983.6%,46,0
"Public Services, Administration, Devolution, and ICT
General Administration",,,,,,,,46,0
,"Tiaty West sub-county
(Administration)","4,176,158",-,"5,702,828",-,136.6%,-,46,0
,"Tiaty East sub-county
(Administration)","1,361,250",-,"17,500",-,1.3%,-,46,0
,,Rec,Dev,Rec,Dev,Rec,Dev,47,0
,"Baringo North
sub-county","6,366,222",-,"6,733,451",-,105.8%,-,47,0
,"Baringo Central
sub-county","4,258,027",-,"4,363,529",-,102.5%,-,47,0
,"Baringo South
sub-county","4,644,000",-,"3,961,533",-,85.3%,-,47,0
,Mogotio sub-county,"4,462,377",-,"5,736,166",-,128.5%,-,47,0
,"Eldama Ravine
sub-county","6,102,412",-,"4,680,721",-,76.7%,-,47,0
"Finance and Eco-
nomic Planning","Finance Administra-
tion","88,938,824",,"147,337,327",-,165.7%,,47,0
,Emergency Relief,"23,500,000",,"25,940,157",-,110.4%,,47,0
,Economic Planning,"43,033,618",,"36,288,202",-,84.3%,,47,0
,"Infrastructural Devel-
opment",-,"3,963,263",-,"3,963,263",-,100.0%,47,0
,"Infrastructural Devel-
opment",-,"13,885,015",-,"10,460,281",-,75.3%,47,0
,KDS Programme,"26,606,371",-,"19,925,651",-,74.9%,-,47,0
,"Revenue Services De-
velopment Services","460,000",-,"345,600",-,75.1%,-,47,0
,Treasury Accounts,"18,335,687",-,"16,946,991",-,92.4%,-,47,0
,"Purchase of Utility
Project Vehicles",-,"18,200,000",-,"16,269,999",-,89.4%,47,0
"Revenue Depart-
ment","KDSP programme
project (Level II
grant)",-,"252,017,253",-,"66,370,151",-,26.3%,47,0
,"Eldama Ravine
sub-county",-,,-,-,-,-,47,0
"Monitoring and
Evaluation","Economic Planning,
Budget, Monitor-
ing and Evaluation
Services","57,339,989",-,"34,405,643",-,60.0%,-,47,0
"Transport and
Infrustructure","Urban Infrastructure
Development",-,-,-,-,-,-,47,0
,"Rural Infrastructure
Development",-,"755,140,000",-,"627,487,143",-,83.1%,47,0
,General administration,"13,700,173",,"12,738,362",-,93.0%,,47,0
"Industrial Devel-
opment Services",,,,-,-,,,47,0
,"Co-operative services
Development",-,"72,133,733",-,"68,458,948",-,94.9%,47,0
"Trade Develop-
ment and manage-
ment Services",General administration,"14,485,092",-,"16,938,345",-,116.9%,-,47,0
Education,"General Administra-
tion, Planning and
support services","62,340,000",-,"62,340,000",-,100.0%,-,47,0
,,Rec,Dev,Rec,Dev,Rec,Dev,48,0
,"Early Childhood De-
velopment Education",-,"341,900,006",-,"176,726,926",-,51.7%,48,0
,"General administration
services",-,-,-,-,-,-,48,0
"Youth Polytech-
nics",Vocational Training,"62,340,000",-,"60,158,594",-,96.5%,-,48,0
"County Health
Services","General Administra-
tion","349,679,443",-,"431,338,606",-,123.4%,-,48,0
,"Curative and Rehabili-
tative Services",-,-,-,-,-,-,48,0
,"Preventive and Promo-
tive Health Services",-,"440,391,064",-,"92,240,545",-,20.9%,48,0
,"Health/preventive
services",-,-,-,-,-,-,48,0
,Medical Drugs,"176,085,998",-,"142,515,851",-,80.9%,-,48,0
"Promotion of pri-
mary healthcare",General administration,-,-,-,-,-,-,48,0
"Lands and Urban
Development","General administra-
tion","21,903,832",-,"27,930,277",-,127.5%,-,48,0
,Land Use Planning,-,"32,626,000",,"67,602,366",,207.2%,48,0
,Land Administration,,"8,933,300",-,"2,999,700",,33.6%,48,0
,"Eldamaravine Town-
Urban Development",-,-,-,-,-,-,48,0
,"Urban Develop-
ment-Kabarnet",-,-,-,-,-,-,48,0
,Housing,-,-,-,-,-,-,48,0
,"Inter and intra -gov-
ernmental Relations
services","75,172,884",-,-,-,-,-,48,0
,"Urban Infrastructure
development and man-
agement",-,"64,355,076",-,"29,239,345",45.4%,45.4%,48,0
"Agricultural
Services","General Administra-
tion and Planning","30,669,781",-,"32,241,994",-,105.1%,-,48,0
,"Livestock Develop-
ment and management",-,-,-,-,-,-,48,0
,"Livestock value
addition",-,"104,601,836",-,"104,601,836",-,100.0%,48,0
,"Agricultural mechani-
sation services",-,"10,500,000",-,"10,500,000",-,100.0%,48,0
,"Livestock extension
support",-,"24,500,000",-,"42,267,755",-,172.5%,48,0
KCSAP,Loans and Grants,-,"373,116,011",-,"158,723,022",-,42.5%,48,0
,"Agricultural Develop-
ment",-,"18,844,323",-,-,-,-,48,0
,Emergency Locust,-,-,-,"67,531,814",-,-,48,0
,"Crop Production and
management",-,"13,491,600",-,-,-,-,48,0
,,Rec,Dev,Rec,Dev,Rec,Dev,49,0
Culture Services,"General Administra-
tion",-,,-,-,-,-,49,0
,"Youth and gender
development",-,"174,800,145",-,"81,327,904",-,46.5%,49,0
,Sports Development,-,"600,000",-,-,-,0.0%,49,0
