Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
June 2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,58,0
Administration and Public Service,,,,,,,,58,0
"Administra-
tion and Public
Service",County Executive,"216,673,227",-,"215,521,028",-,99.5,-,58,0
,County PSB,"44,645,188",-,"44,406,354",-,99.5,-,58,0
,Administration/Governance,"121,015,962","34,000,000","120,811,368","9,037,011",99.8,26.6,58,0
,Public Service,"1,790,419,357",-,"1,762,314,256",-,98.4,-,58,0
,Subtotal,"2,172,753,734","34,000,000","2,143,053,006","9,037,011",98.6,26.6,58,0
,,,,,,,,58,0
"Finance, Economic Planning and ICT",,,,,,,,58,0
Finance,"Financial Management
Services","249,066,000","59,934,000","174,924,913","59,540,839",70.2,99.3,58,0
,Subtotal,"249,066,000","59,934,000","174,924,913","59,540,839",70.2,99.3,58,0
"Economic Plan-
ning",Administration,"68,903,419","158,263,103","66,971,366","124,794,527",97.2,78.9,58,0
,"Budget Preparation & Man-
agement","11,400,528",-,"11,228,420",-,98.5,-,58,0
,M & E Services,"21,345,766",-,"14,094,554",-,66.0,-,58,0
,Planning & Statistics,"29,290,555",-,"28,408,419",-,97.0,-,58,0
,Subtotal,"130,940,268","158,263,103","120,702,759","124,794,527",92.2,78.9,58,0
ICT,Administration,"22,478,654","15,000,000","22,478,654","8,466,364",100.0,56.4,58,0
,Subtotal,"22,478,654","15,000,000","22,478,654","8,466,364",100.0,56.4,58,0
,,,,,,,,58,0
"Lands, Housing and Urban Planning",,,,,,,,58,0
"Lands, Hous-
ing and Urban
Planning",Lands,"12,065,000","140,000,000","6,305,410","60,443,693",52.3,43.2,58,0
,Urban Management,"32,365,218","20,000,000","13,490,400","19,000,000",41.7,95.0,58,0
,Housing Development,"5,823,810",-,"3,694,200",-,63.4,0.0,58,0
,Municipality,"51,087,808","60,576,266","44,658,210",-,87.4,0.0,58,0
,Subtotal,"101,341,836","220,576,266","68,148,220","79,443,693",67.2,36.0,58,0
,,,,,,,,58,0
"Youth, Sports, Gender and Culture",,,,,,,,58,0
"Youth, Sports,
Gender and
Culture","Policy Development and
administrative Services","5,575,700",-,"4,746,910",-,85.1,-,58,0
,"Gender, Children Services
and Social Protection","18,000,000",-,"15,652,955",-,87.0,-,58,0
,"Youth and Sports Develop-
ment","27,000,000","19,500,000","26,521,310","13,000,000",98.2,66.7,58,0
,Subtotal,"50,575,700","19,500,000","46,921,175","13,000,000",92.8,66.7,58,0
,,,,,,,,58,0
Medical Services and Public Health,,,,,,,,58,0
"Medical Services
and Public
Health","Administration, Planning
and Support Services","1,181,011,077",-,"1,165,045,603",-,98.6,-,58,0
,Policy Development,"3,000,000",-,"3,000,000",-,100.0,-,58,0
,"Healthcare financing – trans-
fers to health facilities","233,687,921",-,"231,982,500",-,99.3,-,58,0
,Curative Services,"249,629,649",-,"247,433,944",-,99.1,-,58,0
,,Rec,Dev,Rec,Dev,Rec,Dev,59,0
,"Preventive and Promotive
Services","75,605,950",-,"68,707,704",-,90.9,-,59,0
,"Reproductive Health Ser-
vices","15,000,000",-,"14,694,404",-,98.0,-,59,0
,"Health Infrastructure Devel-
opment",,"201,737,868",-,"15,171,877",-,7.5,59,0
,Subtotal,"1,757,934,597","201,737,868","1,730,864,155","15,171,877",98.5,7.5,59,0
,,,,,,,,59,0
"Agriculture, Livestock and Cooperatives",,,,,,,,59,0
Agriculture,Administration,"27,437,309",-,"25,721,837",-,93.7,-,59,0
,Crop Management,-,"159,580,679",-,"120,609,714",-,75.6,59,0
,Food & Nutrition Security,-,"118,000,000",-,"5,214,154",-,4.4,59,0
,Subtotal,"27,437,309","277,580,679","25,721,837","125,823,868",93.7,45.3,59,0
"Livestock, Fish-
eries & Veteri-
nary Services",Livestock Development,-,"10,500,000",-,"7,950,319",-,75.7,59,0
,Fisheries Development,-,-,-,-,-,-,59,0
,Veterinary Services,-,"69,300,000",-,"41,643,791",-,60.1,59,0
,Subtotal,-,"79,800,000",-,"49,594,110",-,62.1,59,0
"Cooperative
& Enterprise
Development",Administration,"22,020,000",-,"15,722,166",-,71.4,-,59,0
,Policy Formulation & Admin,-,"3,500,000",-,-,-,0.0,59,0
,Cooperative Development,-,"54,989,000",-,"53,651,574",-,97.6,59,0
,Value Addition & Marketing,-,"11,002,633",-,"8,798,702",-,80.0,59,0
,Enterprise Development,-,-,-,-,-,-,59,0
,Subtotal,"22,020,000","69,491,633","15,722,166","62,450,276",71.4,89.9,59,0
,,,,,,,,59,0
Water Sanitation and Environment,,,,,,,,59,0
"Water and Irri-
gation",Administration,"119,571,220","6,000,000","104,644,235","4,355,250",87.5,72.6,59,0
,"Development of Water
Supply for Domestic and
Commercial purposes",-,"163,107,100",-,"145,565,482",-,89.2,59,0
,Irrigation Development,-,"3,000,000",,-,-,-,59,0
,Subtotal,"119,571,220","172,107,100","104,644,235","149,920,732",87.5,87.1,59,0
"Waste Water
management",Waste Water management,-,-,-,-,-,-,59,0
,Subtotal,-,-,-,-,-,-,59,0
"Environment
& Natural
resources",Administration,"32,372,900","600,000","29,446,050","355,250",91.0,59.2,59,0
,"Environmental and Natural
resources protection and
conservation",-,"187,800,000",-,"54,992,830",-,29.3,59,0
,Subtotal,"32,372,900","188,400,000","29,446,050","55,348,080",91.0,29.4,59,0
,,,,,,,,59,0
Education and Vocational Training,,,,,,,,59,0
,,Rec,Dev,Rec,Dev,Rec,Dev,60,0
"Education and
Vocational
Training","Policy Planning & General
Administration","241,510,870",-,"140,126,566",-,58.0,-,60,0
,"Early Childhood Develop-
ment and Education",-,"115,398,400",-,"80,991,722",-,70.2,60,0
,"Technical Vocational Educa-
tional and Training",-,"30,544,433",-,"30,500,000",-,99.9,60,0
,Subtotal,"241,510,870","145,942,833","140,126,566","111,491,722",58.0,76.4,60,0
,,,,,,,,60,0
"Roads, Public Works and Transport",,,,,,,,60,0
"Roads, Public
Works and
Transport","Policy planning and admin-
istrative services","58,712,200",-,"51,295,655",-,87.4,-,60,0
,"Roads Construction & Main-
tenance",-,"180,000,000",-,"170,931,180",-,95.0,60,0
,"Development and Mainte-
nance of other Public works",-,"53,000,000",-,-,-,-,60,0
,"County Transport Infra-
structure",-,"258,350,000",-,"237,210,225",-,91.8,60,0
