Programme,Sub-Programme,"Approved Estimates (FY
2022/2023 First Supplemen-
tary Budget)",col_3,"Actual Expenditure as of 31st
March 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,112,0
Office of Governor,,,,,,,,112,0
"P1: General
Administration
Planning and Sup-
port Services","SP1.1: Manage-
ment of County
Affairs (Office of
Governor)","169,072,876",-,"152,087,990",-,90.0,-,112,0
"P2: County Lead-
ership andCoordi-
nation","SP2.1: Sub-Coun-
ty Administration
andField Services","56,357,625",-,"50,695,997",,90.0,-,112,0
,"SP2.2: Manage-
ment of Coun-
ty Executive
Services (Office of
County Secre-
tary)","33,814,575",-,"30,417,598",-,90.0,-,112,0
"P3: County Lead-
ership andCoordi-
nation","SP3.1: Public
Sector Advisory
Services (Legal,
Political, and Eco-
nomic Advisors)","22,543,050",-,"20,278,399",-,90.0,-,112,0
Sub Total,,"281,788,127",-,"253,479,984",-,90.0,-,112,0
County Public Service Board,,,,,,,,112,0
"P1: Administra-
tion of Human
Resources in
Public Service","SP1.1: Perfor-
mance Manage-
ment & Disci-
pline","5,214,729",-,"4,847,335",-,93.0,-,112,0
,"SP1.2: Adminis-
tration of board
programmes","7,668,720",-,"7,128,435",-,93.0,-,112,0
,"SP1.3: Recruit-
ment andSe-
lection, Career
Management, HR
Policy & Audit","10,736,208",-,"9,979,809",-,93.0,-,112,0
,"SP1.4 Quality
service delivery
in the County
Public Service
that is effective
and efficient","7,055,222",-,"6,558,160",,93.0,-,112,0
Sub Total,,"30,674,879.00",-,"28,513,740.00",-,93.0,-,112,0
Public Service and Administration,,,,,,,,112,0
"P1: General
Administration
Planning and Sup-
port Services","SP1.1: Service
Delivery and
management of
County Affairs","292,597,652","16,290,622","302,591,911","12,441,749",103.4,76.4,112,0
,,Rec,Dev,Rec,Dev,Rec,Dev,113,0
P2: Public Service,"SP2.1: Human
Resource De-
velopment and
Culture Change
Management","232,575,436","12,948,834","240,519,515","9,889,502",103.4,76.4,113,0
"P3: ICT
Infrastructure
Expansion","SP3: ICT
Infrastructure
Expansion","152,627,274","8,497,653","157,840,564","6,489,971",103.4,76.4,113,0
Sub Total,,"677,800,362","37,737,109","700,951,991","28,821,222",103.4,76.4,113,0
"Gender, Children, Culture & Social Services",,,,,,,,113,0
"P1: Policy and-
General Adminis-
trative Services","SP1.1: General
Administrative
Unit","3,041,690","7,584,439","2,758,271","5,287,568",90.7,69.7,113,0
"P2: Gender
and Social
Development","SP2.1: Com-
munication
Mobilisation and
Development","4,055,586","10,112,585","3,677,694","7,050,091",90.7,69.7,113,0
,"SP2.2: Social Wel-
fare Services","3,041,690","7,584,439","2,758,271","5,287,568",90.7,69.7,113,0
,"SP2.3: Vocational
Rehabilitation
and Training","2,027,793","5,056,292","1,838,847","3,525,045",90.7,69.7,113,0
,"SP2.4: Gender
Mainstreaming
and Development","3,041,690","7,584,439","2,758,271","5,287,568",90.7,69.7,113,0
"P3: Children
Services","SP3.1: Child
Rehabilitation
andCustody","3,041,690","7,584,439","2,758,271","5,287,568",90.7,69.7,113,0
"P4: Culture
and Cultural
Preservation","SP 4.1 Cultural
Preservation","2,027,793","5,056,292","1,838,847","3,525,045",90.7,69.7,113,0
Sub Total,,"20,277,930","50,562,924","18,388,470","35,250,453",90.7,69.7,113,0
Finance and Economic Planning,,,,,,,,113,0
"P1: General
Administration
Planning and Sup-
port Services","SP1.1: Adminis-
tration, Planning
and Support
Services","34,132,325","1,972,219","33,303,954","1,972,190",97.6,-,113,0
"P2: Economic
Policy and County
Planning","SP 2.1: Economic
Development
Planning andCo-
ordination","47,785,255","2,761,107","46,625,536","2,761,065",97.6,-,113,0
"P3: Financial
Management
Services","SP3.1: Revenue
Management
Services","54,607,199","3,155,289","53,281,916","3,155,242",97.6,-,113,0
,,Rec,Dev,Rec,Dev,Rec,Dev,114,0
"P4: Monitoring
and Evaluation","SP3.2: Control
and manage-
ment of Public
Finances","17,066,162","986,109","16,651,977","986,095",97.6,-,114,0
,"SP 4.1: Monitor-
ing and Evalua-
tion of Projects","20,479,395","1,183,331","19,982,373","1,183,314",97.6,-,114,0
"P5: Research
andStatistics","SP5.1: County da-
tabase andprofile","17,066,162","986,109","16,651,977","986,095",97.6,-,114,0
Sub Total,,"191,136,499","11,044,165","186,497,733","11,044,000",97.6,-,114,0
"Trade, Tourism, Investment Andindustrialisation",,,,,,,,114,0
"P1: Administrative
Support Services","P1.1: Adminis-
trative Support
Services","4,526,305","20,485,785","4,418,446","15,849,414",97.6,77.4,114,0
"P2: Trade
Development
andPromotion","P2.1: Trade
Development
andPromotion","18,329,585","82,958,604","17,892,801","64,183,298",97.6,77.4,114,0
"P3: Industrial
Development
and Investment","P3.1: Industrial
Development and
Investment","8,380,493","37,929,609","8,180,790","29,345,328",97.6,77.4,114,0
"P4: Tourism
Development","P4.1: Tourism
Development","6,856,767","31,033,316","6,693,374","24,009,813",97.6,77.4,114,0
Sub Total,,"38,093,150","172,407,314","37,185,410","133,387,853",97.6,77.4,114,0
"Agriculture, Livestock, Fisheries and Co-Operative Development",,,,,,,,114,0
"P1: Administrative
Support Services","P1.1: Adminis-
trative Support
Services","33,402,874","82,084,831","31,547,632","36,452,172",94.4,44.4,114,0
"P2: Crop
Development and
management","P2.1: Crop
Development and
management","119,343,336","293,276,487","112,714,841","130,238,008",94.4,44.4,114,0
"P3: Agribusiness
andInformation
Management","P3.1: Agribusi-
ness andInforma-
tion Management","33,270,270","81,758,967","31,422,393","36,307,462",94.4,44.4,114,0
"P4: Livestock
Resources
Management and
Development","P4.1: Livestock
Resources
Management and
Development","44,316,159","108,903,335","41,854,777","48,361,713",94.4,44.4,114,0
"P5: Aquaculture
Development and
management","P5.1: Fisheries
Development","25,592,516","62,891,514","24,171,072","27,928,817",94.4,44.4,114,0
Sub Total,,"255,925,154","628,915,133","241,710,715","279,288,173",94.4,44.4,114,0
,,Rec,Dev,Rec,Dev,Rec,Dev,115,0
"Water, Irrigation, Environment and Natural Resources",,,,,,,,115,0
"P1: General
Administration,
Planning and Sup-
port Services","SP1: General
Administration,
Planning and
Support Services","18,358,899","26,974,770","17,895,181","17,783,178",97.5,65.9,115,0
"P2: Environment
Management and
Natural Resources
Conservation","SP1: Environment
Management and
Natural Resourc-
es Conservation","5,449,434","8,006,865","5,311,790","5,278,544",97.5,65.9,115,0
"P3: Water Supply
andSewerage
Services","SP1: Water Sup-
ply andSewerage
Services","7,661,112","11,256,489","7,467,604","7,420,865",97.5,65.9,115,0
"P4: Irrigation
andcivil works","SP1: Irrigation
andcivil works","4,178,011","6,138,761","4,072,481","4,046,992",97.5,65.9,115,0
Sub Total,,"35,647,456","52,376,886","34,747,056","34,529,579",97.5,65.9,115,0
Health,,,,,,,,115,0
"P1: Curative
Health Services","SP1.1: Primary
Health Care","1,063,103,178","110,644,983","1,047,397,861","20,221,229",98.5,18.3,115,0
"P2: Preventive
and Promotive
Health Services","SP2.1: Health
Promotion &
Disease Control","417,818,995","43,485,502","411,646,518","7,947,313",98.5,18.3,115,0
"P3: General
Administration
Planning and
Support Services","SP3.1: General
Administration
services","327,402,749","34,075,217","322,565,999","6,227,510",98.5,18.3,115,0
Sub Total,,"1,808,324,923","188,205,702","1,781,610,379","34,396,052",98.5,18.3,115,0
Embu Level 5 Hospital,,,,,,,,115,0
"P1: Curative
Health Services","SP1.1: Primary
Health Care","207,786,589","38,785,007","140,185,000","6,001,391",67.5,15.5,115,0
"P2: Preventive
and Promotive
Health Services","SP2.1: Health
Promotion &
Disease Control","58,222,040","10,867,603","39,279,997","1,681,597",67.5,15.5,115,0
