Sub-Programme,Approved Estimates,col_2,"Actual Expenditure as of 30th
June 2023",col_4,Absorption Rate (%),col_6,page_number,table_index
,Rec,Dev,Rec,Dev,Rec,Dev,159,0
County Assembly,,,,,,,159,0
Legislative service,"448,252,680.00",-,"444,536,657",-,99.0,-,159,0
Infrastructure support,-,"149,000,000",-,"149,000,000",_-,100.0,159,0
Sub Total,"448,252,680","149,000,000","444,536,657","149,000,000",99.2,100.0,159,0
"County Executive Sector Governor’s Office, deputy governor’s office, County Secretary, CPSB delivery unit",,,,,,,159,0
Office of Governors,"345,042,083",-,"350,482,758",-,101.6,-,159,0
"County Public Service
Board","59,282,755",-,"56,977,787",-,96.1,-,159,0
County Secretary,"46,322,234",-,"43,367,588",-,93.6,-,159,0
Delivery Unit,"16,900,583",-,"16,501,586",-,97.6,-,159,0
Deputy Governor,"24,700,000",-,"19,711,339",-,79.8,-,159,0
Sub Total,"492,247,655",-,"487,041,058",-,98.9,-,159,0
County Treasury and Economic Planning and Special Programmes and ICT economic planning andcohesion,,,,,,,159,0
Finance,"541,848,597","392,618,179","385,009,543","153,874,350",71.1,39.2,159,0
Special program,"372,237,996","110,000,000","344,228,799","89,200,000",92.5,81.1,159,0
Economic planning,"69,429,453","2,748,300","64,582,992","2,748,300",93.0,100.0,159,0
Cohesion,"32,904,640",-,"30,579,776",-,92.9,0.0,159,0
Sub Total,"1,016,420,686","505,366,479","824,401,110","245,822,650",81.1,48.6,159,0
"Lands, Urban Planning, Roads, Housing and Public Works",,,,,,,159,0
"lands and physical
planning","20,235,000","9,000,000","19,082,491","8,971,369",94.3,99.7,159,0
"Roads, Housing and
Public Works","13,952,120","111,011,424","11,488,794","101,323,199",82.3,91.3,159,0
Public Works,"19,805,068",-,"17,905,986",-,90.4,0.0,159,0
Sub Total,"53,992,188","120,011,424","48,477,271",110294568,89.8,91.9,159,0
"Agriculture, Livestock, Veterinary and Fisheries",,,,,,,159,0
Agriculture,"54,009,377","869,936,385","52,686,387","590,170,830",97.6,67.8,159,0
,Rec,Dev,Rec,Dev,Rec,Dev,160,0
"Livestock, Veterinary
a nd Fisheries
Development","136,112,775","15,060,151","127,129,281","14,817,000",93.4,98.4,160,0
Sub Total,"190,122,152","884,996,536","179,815,668","604,987,830",94.6,68.4,160,0
"Education, Youth, Sports, and gender, Culture and Social Services",,,,,,,160,0
"Education and Voca-
tional Training","242,791,884","17,365,185","224,058,058","6,500,000",92.3,37.4,160,0
"Youth, Sports and
gender","22,256,827","18,644,759","14,643,881","17,438,629",65.8,93.5,160,0
"Culture and Social
Services","17,958,319","7,996,047","6,728,615","7,996,047",37.5,100.0,160,0
Sub Total,"283,007,030","44,005,991","245,430,554",31934676,86.7,72.6,160,0
Tourism and Trade and Public Service Management,,,,,,,160,0
Tourism,"143,076,830","12,000,000","141,910,594","12,993,960",99.2,108.3,160,0
Trade andEnterprise,"24,666,387",-,"24,053,335",-,97.5,0.0,160,0
"Public Service
Management","191,893,778","3,000,000","159,804,826","2,999,850",83.3,100.0,160,0
Sub Total,"359,636,995","15,000,000","325,768,755",15993810,90.6,106.6,160,0
"Water, Energy, Environment and Natural Resources Management",,,,,,,160,0
Water and Irrigation,"59,719,387","116,491,804","42,959,500","115,367,423",71.9,99.0,160,0
"Environment and
Natural Resource
Management","23,457,030","29,806,983","22,143,601","19,974,000",94.4,67.0,160,0
Sub Total,"83,176,417","146,298,787","65,103,101","135,341,423",78.3,92.5,160,0
Health services,,,,,,,160,0
Medical Services,"1,371,432,068","80,618,990","1,346,023,439","64,962,932",98.1,80.6,160,0
"Public Health
Headquarters","13,550,000",-,"13,548,240",-,100.0,-,160,0
Sub Total,"1,384,982,068","80,618,990","1,359,571,679","64,962,932",98.2,80.6,160,0
Municipal Administration,,,,,,,160,0
"Municipal Administra-
tion","65,678,869","137,890,180","47,233,389","104,068,538",71.9,75.5,160,0
Sub Total,"65,678,869","137,890,180","47,233,389","104,068,538",71.9,75.5,160,0
Grand Total,"4,377,516,740","2,083,188,387","4,027,379,242","1,462,406,427",92.0,70.2,160,0
