Program,Sub Program,Description,"Final Budget
(Kshs.)","Actual Expenditure
(Kshs.)","Absorption rate
(%)",page_number,table_index
710004810,,County Assembly Services,"1,279,653,117","1,095,810,557",85.6,180,0
,710014810,Oversight services,"1,279,653,117","1,095,810,557",85.6,180,0
101004810,,Livestock development,"46,099,159","35,816,675",77.7,180,0
,101014810,Dairy Development,"37,917,024","32,117,397",84.7,180,0
,101034810,"Livestock disease andpest preven-
tion","8,182,135","3,699,278",45.2,180,0
103004810,,"Crop Production and management
Services","27,506,466","22,910,076",83.3,180,0
,103024810,Food crop production,"27,506,466","22,910,076",83.3,180,0
105004810,,"Agricultural Extension andRe-
search","4,651,646","626,766",13.5,180,0
,105014810,Training anddemonstration,"4,651,646","626,766",13.5,180,0
106004810,,Cooperative Development,"5,082,809","2,758,351",54.3,180,0
,106014810,Marketing and value addition,"5,082,809","2,758,351",54.3,180,0
107004810,,Land management Services,"85,358,632","63,295,854",74.2,180,0
,107014810,Land Use policy and Planning,"11,514,536","6,921,135",60.1,180,0
,107024810,Land Administration and Planning,"66,810,177","52,004,345",77.8,180,0
,107034810,Survey Services,"7,033,919","4,370,374",62.1,180,0
108004810,,Housing Management Services,"7,169,039","4,267,169",59.5,180,0
,108014810,"Housing Infrastructure develop-
ment","7,169,039","4,267,169",59.5,180,0
110004810,,Urban Development Service,"148,525,294","114,549,595",77.1,180,0
,110024810,"Social Amenities andSanitary
Services","148,525,294","111,541,340",75.1,180,0
,110034810,Urban Waste Management Services,-,"3,008,255",,180,0
120004810,,"Irrigation andDrainage Develop-
ment","4,628,114","2,592,218",56.0,180,0
,120014810,"Small Holder Irrigation andDrain-
age","4,628,114","2,592,218",56.0,180,0
201004810,,Road Infrastructure Development,"159,743,215","159,348,950",99.8,180,0
,201034810,Road construction,"159,743,215","159,348,950",99.8,180,0
204004810,,Public works Management,"3,292,035","1,645,580",50.0,180,0
,204014810,Public works Management,"3,292,035","1,645,580",50.0,180,0
304004810,,"Promotion of tourism and mar-
keting","12,843,415","10,827,739",84.3,180,0
,304014810,"Promotion of tourism and market-
ing","12,843,415","10,827,739",84.3,180,0
306004810,,"Administration, Planning and
support services","11,671,251","10,039,359",86.0,180,0
,306014810,Administration Support Services,"11,671,251","10,039,359",86.0,180,0
307004810,,"Trade Development and Invest-
ment","14,443,548","13,397,755",92.8,180,0
,307014810,"Modern Market infrastructure
development","6,202,062","5,156,269",83.1,181,0
,307024810,"Micro andsmall enterprises devel-
opment","8,241,486","8,241,486",100.0,181,0
