Programme,Sub-Programme,"Approved Supplementary 2
Estimates FY 2022/23 (Kshs.)",col_3,"Actual Expenditure 22nd July -
23rd June (Kshs.)",col_5,"Absorption Rate
%",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,194,1
"County
Coordination
Services","County Coordina-
tion Services","166,179,145",-,"169,717,64",3 -,10,2 -,194,1
"Public sector
advisory services","Economic and Social
Advisory Service",,,,-,,-,194,1
,,Rec,Dev,Rec,Dev,Rec,Dev,195,0
,,"166,179,145",-,"169,717,643",-,102,-,195,0
,,,,,,,,195,0
DEPARTMENT: FINANCE and Economic PLANNING,,,,,,,,195,0
"Administration,
Planning and Sup-
port Services.","Administration
Services.","389,808,359","531,007,953","372,366,744","453,233,260",96,85,195,0
"Administration,
Planning and
Support Services.","Monitoring Budget
Implementation
andReporting","39,367,385",-,"39,344,031",-,100,-,195,0
"Public Finance
Management","Budget Formulation
co-donation and
management","14,443,300","53,577,631","14,021,990","35,874,870",97,67,195,0
Audit Services,County Audit,"7,625,639",-,"7,625,639",-,100,,195,0
,,"451,244,683","584,585,584","433,358,404","489,108,129",96,84,195,0
,,,,,,,,195,0
"Department: Agriculture, Livestock and Fisheries",,,,,,,,195,0
"Policy, Strategy
and management
of Agriculture","Development of
Agricultural Policy,
Legal & Regulatory
framework.","47,661,253","2,000,000","43,058,607","1,999,950",90,-,195,0
"Crop
Development and
management","Agriculture Exten-
sion Services","63,045,165","350,241,329","57,848,456","300,077,894",92,86,195,0
"Livestock
Resource
Management and
Development","Livestock Disease
Management and-
Control.","3,653,808","12,334,483","2,898,545","25,388,420",79,206,195,0
"Livestock
Resource
Management and
Development","Livestock Produc-
tion andExtension
Services","55,326,343",-,"39,190,767",-,71,-,195,0
"Fisheries
development","Management and
Development of Cap-
ture Fisheries","7,354,173","1,000,000","1,135,711","1,000,000",15,100,195,0
,,"177,040,742","365,575,812","144,132,085","328,466,264",81,90,195,0
,,,,,,,,195,0
"Department: Water, Energy, Natural Resources and Environment",,,,,,,,195,0
"Environment pol-
icy development
andcoordination","Planning Coordina-
tion Policy and ad-
ministrative Services","140,960,355","25,618,837","142,407,831","23,866,110",101,93,195,0
"Water supply
services",Rural Water Supply,"13,973,838","337,873,416","13,992,280","294,715,590",100,87,195,0
,,"154,934,193","363,492,253","156,400,110","318,581,700",101,88,195,0
,,,,,,,,195,0
,,Rec,Dev,Rec,Dev,Rec,Dev,196,0
"Department: Education, Youth Affairs, Culture and Social Services",,,,,,,,196,0
"General Adminis-
tration & Planning
Services.","Policy Development
and Administration","342,468,689",-,"335,182,580",-,98,-,196,0
Basic Education,"Early Childhood De-
velopment Education","181,293,396","93,574,311","175,595,508","25,918,831",97,28,196,0
"Gender and Social
Development","Social Welfare
Services/Social
Infrastructure Devel-
opment","9,000,000","8,095,969","4,579,712","8,000,000",51,99,196,0
"Youth
development and
Empowerment
services","Youth Development
(YP) Training",-,"39,000,000",-,"32,189,533",-,83%,196,0
,,"532,762,085","140,670,280","515,357,800","66,108,364",97,47,196,0
,,,,,,,,196,0
Department: Health Services,,,,,,,,196,0
Curative Health,"Administration and
Planning","1,527,229,294","188,774,449","1,361,862,890","141,490,179",89,75,196,0
Curative Health,"Hospital(curative)
Services",-,-,-,-,-,-,196,0
"Preventive and
Promotive Health","Preventive Medi-
cine and Promotive
Health","1,100,839,902","232,777,403","1,060,173,459","190,736,189",96,82,196,0
,,"2,628,069,196","421,551,852","2,422,036,349","332,226,368",92,79,196,0
,,,,,,,,196,0
"Department: Lands, Housing and Physical Planning",,,,,,,,196,0
"Administration
and support
services","General Administra-
tion and Planning","48,241,424","26,500,000","51,293,341","26,500,000",106,100,196,0
"Housing
Development
andHuman
Resource","Housing Develop-
ment","10,628,496","66,037,768","10,595,882","63,407,368",100,96,196,0
"Landpolicy
and Planning","Development Plan-
ning and LandRe-
forms","34,150,276",-,"34,088,225",-,100,-,196,0
"Landpolicy
and Planning",Land Use Planning,"6,102,443","3,896,545","5,858,348",-,96,-,196,0
,,"99,122,639","96,434,313","101,835,795","89,907,368",103,93,196,0
,,,,,,,,196,0
"Department: Public Works, Roads and Transport",,,,,,,,196,0
"Transport Man-
agement andSafety","General Adminis-
tration Planning and
Support Services","71,809,287",-,"59,445,502",-,83,-,196,0
,,Rec,Dev,Rec,Dev,Rec,Dev,197,0
"Infrastructure,
Roads and
Transport","Rehabilitation of
Road","3,900,000","564,869,856","3,900,000","510,187,463",100,90,197,0
"Infrastructure,
Roads and
Transport","Maintenance of
Roads and Bridges/
Periodic Mainte-
nance","7,206,317",-,"7,206,317",-,100,-,197,0
,,"82,915,604","564,869,856","70,551,819","510,187,463",85,90,197,0
,,,,,,,,197,0
"Department: Trade, Industrialisation, Tourism, Wildlife and Cooperative Management",,,,,,,,197,0
"Trade develop-
ment and Invest-
ment","Fairtrade Practic-
es and Consumer
Protection (weight &
measures)","42,484,763","3,120,186","35,928,645","3,176,858",85,102,197,0
"Trade
development
and Investment","Administrative and
Support Services.","16,348,095",-,"14,524,907",-,89,-,197,0
"Cooperative
development and
management","Cooperative Advi-
sory & Extension
Services.","2,196,502",-,"2,196,502",-,100,-,197,0
"Tourism
development
and marketing","Local Tourism De-
velopment.",-,-,-,-,,-,197,0
