Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual expenditure as of 30th
June 2023(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",249,0
"County As-
sembly",Office of the Speaker,-,-,"3,597,700",-,60.6,-,249,0
,"Representation, legislative
and oversight services",-,-,"191,634,340",-,99.3,-,249,0
,"County Assembly Service
Board","219,350,465","219,350,465","1,071,727,683","45,629,148",98.2,20.80,249,0
,Sub Total,"219,350,465","219,350,465","1,266,959,723","45,629,148",98.2,20.80,249,0
"Executive
(Office of the
Governor,
Deputy Gov-
ernor, County
Secretary and
Public Ser-
vice Board","Administration, Planning
and Support Services","343,631,282","23,000,000","304,227,502",-,88.5,-,249,0
,"Office of the County
Secretary","5,620,000",-,"3,991,292",-,71.0,-,249,0
,Legal Services,"11,120,000",-,"9,386,799",-,84.4,-,249,0
,Communication Services,"6,120,000",-,"2,000,218",-,32.7,-,249,0
,Public Private Partnership,"10,508,800",-,"6,240,956",-,59.4,-,249,0
,"County Public Service
Board","17,035,105",-,"11,935,315",-,70.1,-,249,0
,Sub Total,"394,035,187","23,000,000","337,782,082",-,85.7,-,249,0
"Adminis-
tration and
Stakeholder
Management","Administration, Planning
and Support Services","396,189,227",-,"394,230,251",-,99.5,-,249,0
,Devolved Units Services,"4,100,000","46,107,570","3,150,900",-,76.9,-,249,0
,"Human Resource Devel-
opment","9,150,000",-,"8,698,700",-,95.1,-,249,0
,Enforcement Services,"4,000,000",-,"1,802,350",-,45.1,-,249,0
,Stakeholder Management,"37,324,764",-,"36,182,244",-,96.9,-,249,0
,"Public Participation and
Civic Education","1,250,000",-,"1,059,750",-,84.8,-,249,0
,Disaster Management,"8,359,750","450,000","2,340,900","450,000",28.0,100,249,0
,Fleet Management,"3,000,000",-,"2,474,054",-,82.5,-,249,0
,Sub Total,"396,189,227","46,557,570","449,939,149","450,000",97.1,1.0,249,0
"Finance and
Economic
Planning","Administration, Coor-
dination and Support
Services","876,071,387",-,"842,849,563",-,96.2,-,249,0
,"Public Financial Manage-
ment Services","55,405,500",-,"47,006,030",-,84.8,-,249,0
,County Planning Services,"87,608,763","77,482,391","72,931,845","14,989,864",83.2,19.3,249,0
,Sub Total,"1,019,085,650","77,482,391","962,787,438","14,989,864",94.5,19.3,249,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",250,0
"Agriculture,
Livestock,
Fisheries and
Cooperative
Development","Administrative and Sup-
port Services","9,432,158","171,890,010","1,732,000","72,857,130",18.4,42.4,250,0
,"Crop Development and
value Addition","262,871,493","56,320,635","254,805,348","11,818,904",96.9,21.0,250,0
,Livestock Development,"2,600,000","5,000,000","1,940,050","597,410",74.6,11.9,250,0
,Veterinary Services,"19,080,000","137,058,835","16,996,834","40,444,820",89.1,29.5,250,0
,"Cooperative Development
and management","1,050,000","75,000,000","915,000",-,87.1,-,250,0
,Fisheries Development,"400,000","17,500,000","375,000",-,93.8,-,250,0
,"Kisii Agricultural Train-
ing Centre","4,500,000","41,169,000","1,707,315",-,37.9,-,250,0
,Sub Total,"299,933,651","503,938,480","278,471,547","125,718,264",92.8,24.9,250,0
"Energy,
Water, En-
vironment
and Natural
Resources","Administration and Plan-
ning Services","41,650,000",-,"38,300,738",-,92.0,-,250,0
,"Water and Sanitation
Services","63,636,800","117,611,818","58,703,327","20,609,287",92.2,17.5,250,0
,"Environment Manage-
ment",-,"59,302,000",-,"1,757,178",-,3.0,250,0
,Energy Services,"500,000","7,903,759","500,000",-,100,-,250,0
,Sub Total,"105,786,800","184,817,577","97,504,065","22,366,465",92.2,12.1,250,0
"Education,
Youth Affairs
and Social
Development","General Administration
and Planning Services","575,291,157",-,"572,062,855",-,99.4,-,250,0
,"Early Childhood Devel-
opment Education",-,"87,129,499",-,"1,930,461",-,2.2,250,0
,Vocational Training,-,"61,106,119",-,"15,775,638",-,25.8,250,0
,Sub Total,"575,291,157","148,235,618","572,062,855","17,706,099",99.4,11.9,250,0
"County
Health Ser-
vices",Medical Services,"3,016,079,738","715,439,060","2,956,556,700","83,424,488",98.0,11.7,250,0
,Public Health,"29,750,000",-,"27,068,900",-,91.0,-,250,0
,Sub Total,"3,045,829,738","715,439,060","2,983,625,600","83,424,488",98.0,11.7,250,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",251,0
"Lands, Phys-
ical Planning
and Urban
Development","Administration, Planning
and Support Services",-,-,-,-,-,-,251,0
,Land Use Services,-,"3,545,569",-,-,-,-,251,0
,Urban Development,-,"101,546,913",-,"22,968,445",-,22.6,251,0
,Sub Total,"130,655,500","105,092,482","119,289,154","22,968,445",91.3,21.9,251,0
"Roads, Public
Works, and
Transport","General Administration
and Planning Services","75,423,717",-,"73,821,567",-,97.9,-,251,0
,Roads Development,-,"731,129,210",-,"103,624,038",-,14.2,251,0
,Public Works,"92,758,838","47,991,474","80,366,291","2,999,936",86.6,6.3,251,0
,Housing Services,"3,750,000",-,"635,000",-,16.9,-,251,0
,Sub Total,"171,932,555","779,120,684","154,822,858","106,623,974",90.0,13.7,251,0
"Trade, De-
velopment,
Industry and
Tourism","Administration and Plan-
ning Services","71,941,698","131,780,748","68,587,060","4,719,565",95.3,3.6,251,0
,Tourism Development,"1,288,950",-,"750,000",-,58.2,-,251,0
,Weights andMeasures,"1,250,000",-,"750,000",-,60.0,-,251,0
,Liquor Licensing,"45,800",-,"45,800",-,100.0,-,251,0
,Betting andGaming,"1,000,000.00",-,"919,672",-,92.0,-,251,0
,Sub Total,"75,526,448","131,780,748","71,052,532","4,719,565",94.1,3.6,251,0
"Culture and
Social Ser-
vices","Administration and Plan-
ning Services","65,696,684",-,"65,471,723",-,99.7,-,251,0
,Sports Development,"7,400,000","85,034,264","7,328,000","1,669,600",99.0,2.0,251,0
,Cultural Services,"1,811,694","19,193,571","1,080,000","2,408,360",59.6,12.5,251,0
,Social Development,"2,137,400",-,"1,900,000",-,88.9,-,251,0
,Sub Total,"77,045,778","104,227,835","75,779,723","4,077,960",98.4,3.9,251,0
"Kisii Munici-
pality","General Administration,
Planning and Support
Services","158,770,271",-,"148,130,896","9,141,576",93.3,-,251,0
,"Infrastructure Develop-
ment",-,"221,416,127",-,-,-,-,251,0
,Sub Total,"158,770,271","221,416,127","148,130,896","9,141,576",93.3,4.1,251,0
"Ogembo Mu-
nicipality","General Administration,
Planning and Support
Services","2,200,000",-,"2,000,000",-,90.9,-,251,0
,"infrastructure develop-
ment",-,"43,300,000",-,-,-,-,251,0
,Sub Total,"2,200,000","43,300,000","2,000,000",-,90.9,-,251,0
TOTAL,,"7,810,096,458","3,303,759,037","7,520,207,622","457,815,848",96.3,13.9,251,0
