Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual expenditure as of 30th June
2023",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,282,0
Office of the Governor,,,,,,,,282,0
"Decentralised Units
Service Delivery
Coordination",705013710,"51,306,747.00","71,685,813.00","42,904,578.00","3,511,905.00",84%,5%,282,0
,706013710,"5,276,527.00",-,"5,786,224.00",-,110%,-,282,0
"General Adminis-
tration And Plan-
ning",701013710,"774,544,694.00","756,440,348.00","732,640,123.00","421,334,808.00",95%,56%,282,0
,702013710,"103,367,262.00","30,000,000.00","101,294,411.00","4,815,527.00",98%,16%,282,0
"Governor's Service
Delivery Unit &
Public Communi-
cation",707013710,"17,402,164.00",-,"14,470,136.00",-,83%,-,282,0
"Office of Chief of
Staff",717023710,"42,526,692.00",-,"33,771,445.00",-,79%,-,282,0
"Office of County
Attorney",717033710,"71,520,999.00",-,"45,269,051.00",-,63%,-,282,0
"Office of the Coun-
ty Secretary",703013710,"22,711,873.00",-,"41,186,096.00",-,181%,-,282,0
Procurement,704023710,"55,304,650.00",-,"57,318,616.00",-,104%,-,282,0
,Sub Total,"1,143,961,608.00","858,126,161.00","1,074,640,680.00","429,662,240.00",94%,50%,282,0
Administration and Coordination of County Affairs,,,,,,,,282,0
"Coordination An-
dAdministrative
Services",705013710,"58,399,621.00",-,"57,734,483.00",-,99%,-,282,0
,706013710,"66,273,184.00",-,"65,943,184.00",-,100%,-,282,0
,707013710,"4,428,600.00",-,"4,378,600.00",-,99%,-,282,0
,701013710,"63,192,967.00",-,"59,233,795.00",-,94%,-,282,0
,Sub Total,"192,294,372.00",-,"187,290,062.00",-,97%,-,282,0
3713-Kitui - Agriculture Water and Livestock Development,,,,,,,,282,0
Agriculture,102013710,"185,255.00","108,043,843.00","80,226.00","107,999,727.00",43%,100%,282,0
,103013710,"7,880,402.00",,"7,730,402.00",,98%,,282,0
,103023710,"5,612,562.00","5,500,000.00","4,565,047.00","5,500,000.00",81%,100%,282,0
,104013710,"6,018,501.00","127,000,000.00","4,566,716.00","500,000.00",76%,0%,282,0
,101013710,"112,441,381.00",-,"112,487,349.00",-,100%,-,282,0
Water,101013710,"81,035,259.00",-,"79,800,879.00",-,98%,-,282,0
,111013710,"7,850,658.00","147,052,719.00","6,172,455.00","86,650,211.00",79%,59%,282,0
,111023710,"22,186,210.00","139,129,904.00","15,418,990.00","98,852,160.00",69%,71%,282,0
,Sub Total,"243,210,228.00","526,726,466.00","230,822,064.00","299,502,098.00",95%,57%,282,0
"3714-Kitui - Basic Education, ICT, and Youth Development",,,,,,,,282,0
Basic Education,501013710,-,-,"(80,970.00)",-,,-,282,0
,502013710,"304,225,684.00","84,303,985.00","302,743,134.00","68,343,492.00",100%,81%,283,0
"General Adminis-
tration and Plan-
ning",501013710,"235,499,000.00",-,"230,972,035.00",-,98%,-,283,0
"Training and Skills
Development",503013710,"16,819,500.00","12,242,594.00","12,381,354.00","12,205,786.00",74%,100%,283,0
,505013710,"1,388,290.00",-,"828,717.00",-,60%,-,283,0
,506013710,"8,144,339.00",--,"11,356,239.00",-,139%,-,283,0
Grand Total,,"566,076,813.00","96,546,579.00","558,200,509.00","80,549,278.00",99%,83%,283,0
"3715-Kitui - Lands, Infrastructure, Housing and Urban Development",,,,,,,,283,0
"General Adminis-
tration and Plan-
ning",101013710,"206,757,547.00",-,"200,752,318.00",-,97%,-,283,0
Housing,107013710,"2,577,000.00",-,"2,352,850.00",-,91%,-,283,0
,109013710,"10,946,508.00","10,118,944.00","9,219,097.00","3,602,948.00",84%,36%,283,0
"Roads, Transport
andMechanical Ser-
vices",110013710,"15,638,098.00","613,107,132.00","13,159,627.00","505,459,221.00",84%,82%,283,0
,203013710,"17,168,426.00","2,000,000.00","16,096,434.00","1,985,000.00",94%,99%,283,0
,Sub Total,"253,087,579.00","625,226,076.00","241,580,326.00","511,047,169.00",95%,82%,283,0
