Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 30th
June 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,311,1
County Administration,,,,,,,,311,1
,,Rec,Dev,Rec,Dev,Rec,Dev,312,0
"General Ad-
ministration
and Planning
Services
Information
Commu-
nication &
Technology","Headquarter
Administration
Services","26,451,187",-,"25,765,032",-,97.4,-,312,0
,"County
Administra-
tion-Laikipia
East","4,400,000",-,"4,300,000",-,97.7,-,312,0
,"County
Administra-
tion-Laikipia
North","1,000,000",-,"798,057",-,79.8,-,312,0
,"County
Administra-
tion-Laikipia
West","1,000,000",-,"650,000",-,65.0,-,312,0
,"Compensation
to Employees","3,685,252,619",-,"3,658,126,506",-,99.3,-,312,0
,"ICT Infra-
structure &
Connectivity","1,300,000","3,000,000","1,300,000","2,914,112",100.0,97.1,312,0
"Intergov-
ernmental
Relations","Grants
andTransfers
To County
Entities","3,043","286,323",-,-,-,-,312,0
"County Exec-
utive Commit-
tee Support
Service","Executive Sup-
port Service","61,952,500",-,"61,615,794",-,99.5,-,312,0
,"Intergovern-
mental &
Donor Liaison","4,000,000",-,"4,000,000",-,100.0,-,312,0
,Legal Services,"3,646,622",-,"3,619,230",-,99.2,-,312,0
"County Ad-
ministration","Public Partici-
pation","1,500,000",-,"1,500,000",-,100.0,-,312,0
,"County Ser-
vices Delivery
And Result
Reporting","1,000,000",-,"1,000,000",-,100.0,-,312,0
,"Decentralised
Services",-,"10,200,000",-,"10,115,350",-,99.2,312,0
"Security And-
Policing Sup-
port Services","Urban Facil-
ities Manage-
ment Services","10,000,000",-,"10,000,000",-,100.0,-,312,0
,,Rec,Dev,Rec,Dev,Rec,Dev,313,0
"Human Capital
Management
And Develop-
ment","County Public
Service Board","14,600,000",-,"13,597,926",-,93.1,-,313,0
,"Information
And Records
Management","1,300,000",-,"1,300,000",-,100.0,-,313,0
"County Ad-
ministration",Fleet,"1,000,000",-,"1,000,000",-,100.0,-,313,0
"Public Safety,
Enforce
andDisaster
Management","Disaster
Reduction
Management","500,000","1,000,000","500,000","992,898",100.0,99.3,313,0
,Fire Services,"1,500,000","5,800,000","1,497,450","5,534,970",99.8,95.4,313,0
,"Enforcement
andDisaster
Management","1,180,500",-,"1,180,500.0",-,100.0,-,313,0
,"Alcohol Con-
trol Committee","3,000,000",-,"3,000,000.0",-,100.0,-,313,0
"Administration
AndCounty
Management
Program",Legal Services,"2,053,378","2,053,378","2,053,378.0","2,053,378",100.0,100.0,313,0
,Sub Total,"3,826,639,849","22,339,701","3,796,803,873","21,610,708",99.2,96.7,313,0
Finance,,,,,,,,313,0
"Administra-
tion, Planning
And support
Services","Research And
Development",-,"2,000,000",-,"2,000,000",-,100.0,313,0
"Industrialisa-
tion Develop-
ment","Market
Infrastructure
Development","500,000","3,097,838","500,000","2,250,000",100.0,72.6,313,0
,"Enterprise
Development
Fund","3,958,120",-,"3,958,120",-,100.0,-,313,0
,"Industrial
Development
AndInvestment
Promotion","475,000","400,000","475,000","400,000",100.0,100.0,313,0
