Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of
30th June 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",344,0
OFFICE OF THE GOVERNOR,,,,,,,,344,0
"Sub-pro-
gramme 1",Office of the Governor,"329,293,561","19,334,385","283,594,592","13,638,038",86.1,70.54,344,0
"Sub-pro-
gramme 2",Transport Services,"28,651,209",-,"27,496,393",-,96.0,-,344,0
"Sub-pro-
gramme 3","Human Resource and
administration Section","37,903,820",-,"23,417,224",-,61.8,-,344,0
"Sub-pro-
gramme 4",ICT Section,"16,995,994",-,"13,125,963",-,77.2,-,344,0
"Sub-pro-
gramme 5","Hospitality Services
Section","38,973,355",-,"19,998,666",-,51.3,-,344,0
"Sub-pro-
gramme 6",Cabinet Office,"6,493,175",-,"6,279,676",-,96.7,-,344,0
"Sub-pro-
gramme 7","Office of the Deputy
Governor","68,988,765",-,"59,384,350",-,86.1,-,344,0
"Sub-pro-
gramme 8","Directorate of Projects
Delivery, Monitoring
and Evaluation","21,078,510",-,"11,764,249",-,55.8,-,344,0
"Sub-pro-
gramme 9","Office of the County
Secretary","31,786,195",-,"21,047,594",-,66.2,-,344,0
"Sub-pro-
gramme 10","Office of the County
Advisors","11,980,064",,"5,589,209",-,46.7,-,344,0
TOTAL,,"592,144,648","19,334,385","471,697,916","13,638,038",79.7,-,344,0
County Public Service Board,,,,,,,,344,0
"Sub-pro-
gramme 1","Human Resource and
administration","58,718,706","20,112,750","38,280,302",-,65.2,-,344,0
TOTAL,,"58,718,706","20,112,750","38,280,302",-,65.2,-,344,0
"Roads, Transport and Public Works",,,,,,,,344,0
"Sub-pro-
gramme 1","Head quarter Admin-
istrative services","181,786,712","67,583,407","178,816,472","66,984,129",98.4,99.11,344,0
"Sub-pro-
gramme 2","Road Development
and Management","833,214","364,156,664","833,215","347,904,074",100.0,95.54,344,0
"Sub-pro-
gramme 3","County Government
Buildings","113,399","135,000,000","99,850","117,044,724",88.1,86.70,344,0
"Sub-pro-
gramme 4","County Fleet Manage-
ment","72,551,765","67,750,000","39,391,805","67,328,270",54.3,99.38,344,0
TOTAL,,"255,285,090","634,490,071","219,141,342","599,261,197",85.8,-,344,0
Health and Emergency Services,,,,,,,,344,0
"Sub-pro-
gramme 1","General Administra-
tion and support ser-
vices","3,370,652,742","372,486,166","3,300,504,593","64,143,344",97.9,17.22,344,0
"Sub-pro-
gramme 2",Machakos Level 5,"357,738,106","156,200,000","345,120,857","87,123,390",96.5,55.78,344,0
"Sub-pro-
gramme 3",Kangundo Level 4,"47,712,125","11,500,000","39,256,958","4,243,668",82.3,36.90,344,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",345,0
"Sub-pro-
gramme 4",Matuu Level 4,"31,423,785","21,120,000","24,532,508","5,604,904",78.1,26.54,345,0
"Sub-pro-
gramme 5",Kathiani Level 4,"26,327,763","6,675,130","15,434,341",-,58.6,-,345,0
"Sub-pro-
gramme 6",Mwala Level 4,"12,024,971","7,230,000","8,106,031",-,67.4,-,345,0
"Sub-pro-
gramme 7",Kimiti Level 4,"4,305,321",-,"2,911,663",-,67.6,-,345,0
"Sub-pro-
gramme 8",Masinga Level 4,"4,465,150",-,"2,983,911",-,66.8,-,345,0
"Sub-pro-
gramme 9",Athi River Level 4,"4,428,399","25,000,000","3,046,911",-,68.8,-,345,0
"Sub-pro-
gramme 10",Mutituni Level 4,"6,428,399",-,"5,046,911",-,78.5,-,345,0
"Sub-pro-
gramme 11",Ndithini Level 4,"6,330,071",-,"3,860,275",-,61.0,-,345,0
"Sub-pro-
gramme 12",Kalama Level 4,"5,758,494",-,"3,861,665",-,67.1,-,345,0
"Sub-pro-
gramme 13","Public Health and
Community Outreach","38,742,655","109,744,985","37,772,583","20,445,249",97.5,18.63,345,0
"Sub-pro-
gramme 14",Emergency Services,"5,000,000","15,145,000","5,000,000",-,100.0,-,345,0
TOTAL,,"3,921,337,981","725,101,281","3,797,439,207","181,560,555",96.8,-,345,0
"Water, Irrigation, Environment, Climate Change and Natural Resources",,,,,,,,345,0
"Sub-pro-
gramme 1","Water Supply andSew-
erage","4,412,665","170,619,199","3,011,226","150,890,703",68.2,88.44,345,0
"Sub-pro-
gramme 2","Irrigation Schemes,
Development and Pro-
motion",-,"10,000,000",-,"56,576,486",-,565.76,345,0
"Sub-pro-
gramme 3","General administrative
and Support Services","102,121,324","53,103,092","101,604,522","15,248,249",99.5,28.71,345,0
"Sub-pro-
gramme 4","Environment and Nat-
ural Resources","3,233,170","249,505,644","2,961,000",-,91.6,-,345,0
TOTAL,,"109,767,159","483,227,935","107,576,748","222,715,438",98.0,-,345,0
"Agriculture, Food Security and Co-Operative Development",,,,,,,,345,0
"Sub-pro-
gramme 1","General Administra-
tion and support ser-
vices","264,539,142","264,739,312","205,759,924","133,562,618",77.8,50.45,345,0
"Sub-pro-
gramme 2","Crop Development
and Management","4,070,000","50,010,000","3,457,100","33,664,340",84.9,67.32,345,0
"Sub-pro-
gramme 3","Livestock Resources
Management and De-
velopment","2,510,000","13,444,000","1,739,740","11,138,997",69.3,82.85,345,0
"Sub-pro-
gramme 4",Fisheries Development,"2,300,000","4,200,000","1,591,100","1,799,940",69.2,42.86,345,0
"Sub-pro-
gramme 5",Veterinary Services,"2,097,580","36,250,227","1,534,045","1,473,312",73.1,4.06,345,0
"Sub-pro-
gramme 6","Agriculture Training
Centre","4,540,000","5,300,000","1,350,000","3,296,728",29.7,62.20,345,0
"Sub-pro-
gramme 7","Co-operative Develop-
ment and Marketing","26,183,646","1,214,200","1,485,150",-,5.7,-,345,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",346,0
"Sub-pro-
gramme 8","Capacity Building to
Co-operative Societies",-,"44,413,851",-,-,-,-,346,0
"Sub-pro-
gramme 7","Promotion of Co-op-
erative Marketing and
Value Chain","1,650,000","1,104,276","1,612,000","14,041,918",97.7,1271.59,346,0
"Sub-pro-
gramme 8","Co-operative Financial
Services","1,400,000",-,"1,400,000",-,100.0,-,346,0
"Sub-pro-
gramme 9","Promotion andGrowth
of Co-operative Soci-
eties","1,162,000",-,"730,224",-,62.8,-,346,0
"Sub-pro-
gramme 10","Co-operative Audit
Support Services","2,116,000",-,"896,210",-,42.4,-,346,0
TOTAL,,"312,568,368","420,675,866","221,555,493","198,977,853",70.9,-,346,0
Finance and Economic Planning,,,,,,,,346,0
"Sub-pro-
gramme 1",Revenue Management,"268,835,562","90,089,300","250,223,575","17,221,067",93.1,19.12,346,0
