Programme,Sub Programme,"Approved Estimates
(Kshs.)
Rec Dev",col_3,"Actual Expenditure as of 30th
June 2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index,"Approved Estimates
(Kshs.)"
,,,Dev,Rec,Dev,Rec,Dev,359,1,
"Agriculture, Livestock & Fisheries",,,,,,,,359,1,
"Programme 1:
General ad-
ministration &
planning","SP1. 1 General
administration &
planning","262,316,072","309,903,648","252,317,060","290,236,514",96,94,359,1,
"Programme
2: Land, Crop
development &
productivity","SP2. 1 Land, Crop
development &
productivity","2,815,540","276,257,513","2,702,579","259,790,843",96,94,359,1,
"Programme 3:
Agribusiness
and information
management","SP3. 1 Agribusi-
ness and informa-
tion management","6,219,041","108,896,145","5,969,530","85,236,900",96,78,359,1,
,,,Dev,Rec,Dev,Rec,Dev,360,0,Rec
"Programme 4:
Livestock Produc-
tion, Management
and Development","SP4. 1 Livestock
Production,
Management and
Development",,"50,180,102","17,9 92,442","39,835,511",96,79,360,0,"18,744,480"
"Programme 5:
Co-operative
development And
Management","SP5. 1 Co-opera-
tive development
And Management",,"10,985,128",-,"9,866,085",-,90,360,0,-
Total Budget,,,"756,222,536","278,981,611","684,965,852",96,91,360,0,"290,095,132"
Transport & Infrastructure,,,,,,,,360,0,
"Programme 1:
General ad-
ministration &
planning","SP1. 1 General
administration &
planning",,-,"105,211,969",-,97,-,360,0,"108,939,813"
"Programme 2:
Road transport","SP2. 1 Road
transport",,"443,442,119","25,958,794","374,167,171",97,84,360,0,"26,878,560"
"Programme 3:
Infrastructure
development","SP3. 1 Infrastruc-
ture development",,"14,412,573","6,064,137","12,161,027",97,84,360,0,"6,279,000"
"Programme 2:
Energy Infra-
structure &
Development","SP4. 1 Energy
Infrastructure &
development",,"85,923,876","21,899,751","72,500,767",97,84,360,0,"22,675,697"
Total Budget,,,"543,778,568","159,134,651","458,828,965",97,84,360,0,"164,773,071"
"Trade, Industry & Co-operatives",,,,,,,,360,0,
"Programme 1:
General ad-
ministration &
planning","SP1. 1 General
administration &
planning",,-,"73,052,537","1,471,733",99,-,360,0,"73,947,348"
"Programme 2:
Trade develop-
ment & promo-
tion","SP2.4; Trade
marketing &
promotion",,"12,531,836","3,082,634","9,225,076",47,74,360,0,"6,505,670"
"Programme
3: Industrial
development and
Promotion","SP3. 1 Industrial
development and
Promotion",,-,"300,000","349,500",86,-,360,0,"350,000"
"Programme 4:
Tourism develop-
ment & promo-
tion","SP4. 1 Tourism
development &
promotion",,"3,940,000","332,000","3,102,807",95,79,360,0,"350,000"
"Programme 5:
Co-operative
development And
Management","SP4. 1 Co-opera-
tive development
And Management",,"2,031,500","6,680,000",-,85,-,360,0,"7,822,737"
Total Budget,,,"18,503,336","83,447,171","14,149,116",94,76,360,0,"88,975,755"
"Land, Physical Planning & Mining",,,,,,,,360,0,
"Programme 1:
General ad-
ministration &
planning","SP1. 1 General
administration &
planning",,-,"71,566,714",-,99,-,360,0,"72,377,867"
,,,Dev,Rec,Dev,Rec,Dev,361,0,Rec
"Programme 2:
LandSurvey &
Mapping","SP2. 1: LandSur-
vey & Mapping",,"27,082,523","2,571,919","14,041,751",70,52,361,0,"3,670,000"
