Programme,Sub-Programme,Budget Estimates,"Actual Expenditure
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,400,0
ASSEMBLY,"Legislation and Repre-
sentation","426,971,753.00","426,971,753.00",-,100,400,0
,Legislative Oversight,"255,545,918.00","255,545,918.00",-,100,400,0
,"General Admin, Plan-
ning & Support","706,134,004.00","633,565,417.00","72,568,587.00",89.7,400,0
Total,,"1,388,651,675.00","1,316,083,088.00","72,568,587.00",94.8,400,0
Department: Office Of The Governor,,,,,,400,0
General Administration,"General Administra-
tion","90,870,257.50","90,864,510.45","5,747.05",100,400,0
"Governor Press/Com-
munication andEvents","Governor Press/Com-
munication andEvents","23,108,890.00","23,076,210.00","32,680.00",99.9,400,0
Efficiency Monitoring,Efficiency Monitoring,"14,866,180.00","14,753,058.60","113,121.40",99.2,400,0
Research andStrategy,Research andStrategy,"9,950,000.00","9,884,220.45","65,779.55",99.3,400,0
"Disaster Management,
Rescue & Emergency
Services","Disaster Management,
Rescue & Emergency
Services","25,016,780.00","24,687,098.00","329,682.00",98.7,400,0
"External Linkages &
Partnership","External Linkages &
Partnership","7,200,000.00","7,173,500.00","26,500.00",99.6,400,0
'County Secretary,County Secretary,"7,548,766.00","7,200,000.00","348,766.00",95.4,400,0
Total,,"178,560,873.50","177,638,597.50","922,276.00",99.5,400,0
Department: Finance Economic Planning & ICT,,,,,,400,0
General Administration,Administration,"267,874,640.77","201,258,064.63","66,616,576.14",75.1,400,0
Admin,Office Affairs,"22,014,064.00","22,012,957.00","1,107.00",99.9,400,0
Procurement,Procurement,"8,001,480.00","7,982,365.00","19,115.00",99.8,400,0
Internal Audit,Internal Audit,"9,473,899.00","9,473,660.00",239.00,100,400,0
Budget andPolicy,Budget andPolicy,"27,707,825.00","27,707,208.40",616.60,100,400,0
Accounts,Accounts,"5,941,200.00","5,870,600.00","70,600.00",98.8,400,0
"Semi-Autonomous
Agencies: Investment
Corporation","Meru Investment Cor-
poration","50,340,051.44","50,000,000.00","340,051.44",99.3,400,0
"Microfinance Corpora-
tion","Meru Microfinance
Corporation","80,155,481.28","80,155,481.00",0.28,100,400,0
Revenue Board,Revenue Board,"338,539,303.28","338,539,302.65",0.63,100,400,0
ICT Development,ICT Development,"84,201,396.00","44,816,810.80","39,384,585.20",53.2,400,0
,,A,B,C=A-B,D=B/A*100,401,0
"Economic Planning and
Coordination Services","Economic Planning
and Coordination Ser-
vices","19,557,188.00","19,554,388.00","2,800.00",99.9,401,0
Fleet Management,Fleet Management,"164,892,816.00","164,027,477.77","865,338.23",99.5,401,0
Total,,"1,078,699,344.77","971,398,315.25","107,301,029.52",90,401,0
"Department: Agriculture, Livestock Development and fishieries",,,,,,401,0
General Administration,"General Administra-
tion","706,048,278.63","517,677,405.30","188,370,873.33",73.3,401,0
Livestock,Livestock,"57,743,250.00","20,649,158.50","37,094,091.50",35.8,401,0
Fisheries,Fisheries,"3,199,600.00","3,198,600.00","1,000.00",100,401,0
Agricultural Services,Agricultural Services,"10,059,600.00","9,901,440.00","158,160.00",98.4,401,0
"Animal Disease Man-
agement","Animal Disease Man-
agement","2,191,500.00","2,139,555.15","51,944.85",97.6,401,0
"Agricultural Training
Centre (ATC) & AMS","Agricultural Training
Centre (ATC)","21,600,000.00","21,229,347.05","370,652.95",98.3,401,0
