Programme,Sub Programme,"Approved Estimates
(Kshs.)",col_3,"Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Rec,Dev,469,0
"Department of Agriculture, Livestock Andfisheries",,,,,,,,469,0
"Programme 1;
Administration,
planning and sup-
port services","SP 1.1: Administra-
tion planning and
support services","54,131,550","170,437,487","36,601,885","56,654,419",67.6,33.2,469,0
,"SP 1.2: Human
Resource","386,963,309",-,"270,080,875",-,69.8,-,469,0
"Programme 2:
Livestock resource
management and
development","SP 2.1: Livestock
production And
Management","9,717,879",-,"8,250,000",-,84.9,-,469,0
,"SP 2.2: Promotion
of value addition of
livestock and Live-
stock products",-,"9,000,000",-,-,-,-,469,0
,"SP 2.3: Livestock
extension service
delivery","3,121,854",-,"1,994,400",-,63.9,-,469,0
,"SP 2.4: Food safety
and Livestock prod-
ucts development","13,902,317",-,"10,866,000",-,78.2,-,469,0
,"SP 2.5: livestock
diseases manage-
ment And Control","10,974,018",-,"10,866,000",-,99.0,-,469,0
"Programme 3; Fish-
eries development","SP 3.1: Aquaculture
development","1,361,364","5,000,000","1,242,720",-,91.3,-,469,0
,"SP 3.2: Develop-
ment of capture
fisheries resources","2,829,790","1,000,000",-,-,-,-,469,0
,"SP 3.3 Fish quality
assurance value
addition and Mar-
keting","1,286,269",-,"1,058,300",-,82.3,-,469,0
,"SP 4.1 Agriculture
extension research
and Training","4,339,557","11,113,590","3,634,508",-,83.8,-,469,0
,"SP 4.2 crop pro-
duction andfood
security","4,069,093","388,675",-,"189,736,508",-,"48,816.2",469,0
,"SP 4.3 farmlandu-
tilisation, conserva-
tion andmechani-
sation","3,257,429",-,"2,967,900",-,91.1,-,469,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,470,0
,"SP 4.4 Agribusiness
development and
Marketing","22,196,040",-,"1,893,152",-,8.5,-,470,0
,"SP 4.5 Agri-Nu-
trition","611,345",-,"400,000",-,65.4,-,470,0
,Sub Total,"498,761,814","585,226,114","349,867,805","246,390,927",70.1,42.1,470,0
DEPARTMENT COUNTY PUBLIC SERVICE BOARD,,,,,,,,470,0
"Programme 1:
Administration and-
Human Resource
Planning","SP 1.1: Administra-
tion services","58,771,301","5,998,700","49,512,795","5,974,053",84.2,99.6,470,0
,"SP 1.2: Financial
services","2,000,000",-,"1,370,000",-,68.5,-,470,0
,"SP 1.3: Human
resources planning","4,000,000",-,"3,200,000",-,80.0,-,470,0
,"SP 1.4; Provision of
human resource","3,000,000",-,"2,450,000",-,81.7,-,470,0
,Sub Total,"67,771,301","5,998,700","56,532,795","5,974,053",83.4,99.6,470,0
DEPARTMENT NAIVASHA MUNICIPALITY,,,,,,,,470,0
"Programme 1:
Administration
and Planning and
support services","SP 1.1 Administra-
tion and Planning","21,831,780",-,"10,740,124",-,49.2,-,470,0
,"SP 1.2; personnel
services","9,388,787",-,"7,183,488",-,76.5,-,470,0
,"SP 1.3 financial
services","900,000",-,"397,498",-,44.2,-,470,0
"Programme 2;
Naivasha municipal
services","SP 2.1 planning
and Infrastructure",-,"306,533,272",-,"206,234,833",-,67.3,470,0
,"SP 2.2 environ-
mental manage-
ment and sanitation","970,000",-,"550,000",-,56.7,-,470,0
,"SP 2.3 Naivasha
Social Services","1,100,000",-,"720,000",-,65.5,-,470,0
,"SP 2.4 tourism in-
vestment andtrade","800,000",-,-,-,-,-,470,0
,Sub Total,"34,990,567","306,533,272","19,591,110","206,234,833",56.0,67.3,470,0
"Department Public Service, Training And devolution",,,,,,,,470,0
,"SP 1.1 administra-
tion service","197,622,936",-,"196,150,574",-,99.3,-,470,0
,"SP 1.2 personal
service","605,465,659",-,"535,531,339",-,88.4,-,470,0
,"SP 1.3 FINAN-
CIAL SERVICE",-,-,-,-,-,-,470,0
,"SP 1.4 Co-ordina-
tion of public and-
special community","8,500,000",-,"7,773,878",-,91.5,-,470,0
,"SP 1.5 Mainstream
workplace HIV/
aids, alcohol and-
drug abuse control","2,000,000",-,"1,551,122",-,77.6,-,470,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,471,0
,"SP 1.6 Construc-
tion of county
offices",-,"37,301,546",-,"11,076,451",-,29.7,471,0
,"SP 1.7; Co-ordi-
nation of county
compliance anden-
forcement agents","5,625,000",-,"5,621,802",-,99.9,-,471,0
"Programme 2;
human resource
management and
development","SP 2.1; perfor-
mance contracting","2,500,000",-,"2,471,433",-,98.9,-,471,0
,"SP 2.2 Performance
Appraisal system","2,500,000",-,"2,420,300",-,96.8,-,471,0
,"SP 2.3 Staff devel-
opment through
capacity building
and Training","6,350,000",-,"6,325,693",-,99.6,-,471,0
"Programme 3: di-
saster management
andhumanitarian
assistance","SP 3.1 Performance
contracting","4,750,000",-,"1,500,000",-,31.6,-,471,0
,Subtotals,"835,313,595","37,301,546","759,346,142","11,076,451",90.9,29.7,471,0
"Department of Education, Vocational Training, Ict Ande-Government",,,,,,,,471,0
"Programme 1:
Administration,
planning and sup-
port service","SP 1.1 administra-
tion and support
service","33,461,164","504,665,306","14,883,669","131,287,346",44.5,26.0,471,0
,"SP 1.2 Personnel
service","402,130,479",-,"369,371,372",-,91.9,-,471,0
,"SP 1.3 financial
services",-,-,-,-,-,-,471,0
"Programme 2:
Promotion of early
childhood education
and development","SP 2.1 Promotion
of Early Childhood","142,924,182",-,"690,270",-,0.5,-,471,0
,SP 2.2 Bursaries,"178,430,274",-,"177,250,852",-,99.3,-,471,0
,"SP 2.3Education
development",-,"31,457,589",-,-,-,-,471,0
"Programme 3: Vo-
cational training","SP 3.1 Vocational
training","69,272,396",-,"66,242,200",-,95.6,-,471,0
,"SP 3.2 Revitaliza-
tion of the youth
programme",-,"90,843,757",-,"71,185",-,0.1,471,0
"Programme 4
Information and
Communication","SP 4.1 Public
communication
andmedia services","15,232,263",-,"7,541,833",-,49.5,-,471,0
"Programme 5
ICT Infrastruc-
ture Development
ande- government
Services","SP 5.1 Network
Infrastructure",-,-,-,-,-,-,471,0
,"5.2 Hardware and-
software platforms",-,-,-,-,-,-,471,0
,"5.3 E-government
services",-,"6,945,739",-,-,-,-,471,0
,Sub Total,"841,450,758","633,912,391","704,267,287","202,472,491",83.7,31.9,471,0
Department of Finance,,,,,,,,471,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,472,0
"Programme 1:
Administration,
planning and sup-
port services","SP 1.1 Administra-
tion services","162,731,279","339,893,300","82,679,419","218,913,265",50.8,64.4,472,0
,"SP 1.2 Personnel
services","542,219,961",-,"509,853,490",-,94.0,-,472,0
,"SP 1.3 financial
services","100,000",-,-,-,-,-,472,0
"Programme 2;
Public Finance
Management","SP 2.1 Budget
formulation
co-ordination And
Management","143,136,327",-,"132,859,611",-,92.8,-,472,0
,"SP 2.2Resources
mobilization","74,135,615",-,"53,263,693",-,71.8,-,472,0
,"SP 2.3 internal
audit","31,541,286","10,000,000","26,298,787",-,83.4,-,472,0
,"SP 2.4 procure-
ment","16,496,467",-,"8,986,182",-,54.5,-,472,0
,"SP 2.5 public
finance and ac-
counting","25,991,207",-,"16,237,288",-,62.5,-,472,0
,"SP 2.6 Debt man-
agement","6,740,093","430,194,476","4,894,358","372,838,076",72.6,86.7,472,0
,"SP 2.7 external
resources mobili-
sation","11,226,488",-,"7,018,453",-,62.5,-,472,0
"Programme 3: Eco-
nomic andfinancial
policy formulation
And Management","SP 3.1 Fiscal
planning","47,087,851",-,"35,268,286",-,74.9,-,472,0
,"SP 3.2 monitoring
and Evaluation /
statistical data
management","9,712,617",-,"5,586,569",-,57.5,-,472,0
,"SP 3.3 KDSP pro-
gramme","16,502,008","122,172,729","16,502,008","17,572,368",100.0,14.4,472,0
,Sub Total,"1,087,621,199","902,260,505","899,448,144","609,323,709",82.7,67.5,472,0
Department of Nakuru City Board,,,,,,,,472,0
Programme 1,"SP 1.1 Administra-
tion and Planning","21,014,897",-,"12,049,384",-,57.3,-,472,0
,"SP 1.2 personnel
services","13,392,333",-,"11,523,132",-,86.0,-,472,0
,"SP 1.3 financial
services","600,000",-,"556,700",-,92.8,-,472,0
Programme 2,"SP 2.1 Infrastruc-
ture development
and Urban",-,"92,259,202",-,"23,320,737",-,25.3,472,0
