"Pro-
gramme",Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of
30th June 2023(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",558,0
4212-Samburu - County Executive,,,,,,,,558,0
"Manage-
ment of
County
Affairs",,"437,288,250.00","33,929,036","428,188,846","29,701,739",98,88,558,0
,"County Execu-
tive Services",-,-,-,-,,,558,0
,"Administration
andCoordination
of County Affairs","226,020,315.00","33,929,036","221,601,970","29,701,739",98,88,558,0
,"Sub County
Administration","167,220,791.00",-,"162,621,442",-,97,-,558,0
,"Coordination,
Supervision
andHuman
Resource Services","44,047,144.00",-,"43,965,434",-,100,-,558,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",559,0
"Sub County
Adminis-
tration",,-,-,-,-,,-,559,0
,"The organisa-
tion of County
Business",-,-,-,-,,-,559,0
"Office of
the County
Attorney",,"31,475,600.00",-,"29,848,878",-,95,-,559,0
,"Economic, Social
& Political Ad-
visory Service","7,310,000.00",-,"8,025,948",-,110,-,559,0
,County Policing,"24,165,600.00",-,"21,822,930",-,90,-,559,0
"Adminis-
tration of
Human
Resources
in County
Public
Service",,"63,026,580.00",-,"63,806,930",-,101,-,559,0
,"Administration of
Human Resourc-
es in County
Public Service","63,026,580.00",-,"63,806,930",-,101,-,559,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,-,-,-,-,-,-,559,0
,"Administra-
tion Services",-,-,-,-,-,-,559,0
"Special
Programs",,-,-,-,-,-,-,559,0
,Special Programs,-,-,-,-,-,-,559,0
,Sub Total,"531,790,430.00","33,929,036","521,844,654","29,701,739",98,88,559,0
4213-Samburu - Finance and Economic Planning,,,,,,,,559,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",560,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,"491,602,468.00",-,"451,888,974",-,92,-,560,0
,"Administra-
tion Services","469,872,398.00",-,"432,669,858",-,92,-,560,0
,System Security,"21,730,070.00",-,"19,219,116",-,88,-,560,0
"Public Fi-
nance Man-
agement",,"209,255,479.00","66,521,681","186,280,456","29,621,400",89,45,560,0
,Fiscal Planning,"36,156,088.00","36,521,681","31,797,930","23,624,200",88,65,560,0
,"Resource
Mobilisation","68,300,561.00","30,000,000","66,297,090","5,997,200",97,20,560,0
,"Budget Formula-
tion Coordination
andmanagement","13,820,976.00",-,"11,719,894",-,85,-,560,0
,"Public finance
and accounting","40,269,310.00",-,"38,743,691",-,96,-,560,0
,Internal Audit,"25,909,518.00",-,"17,012,436",-,66,-,560,0
,Procurement,"24,799,026.00",-,"20,709,416",-,84,-,560,0
"Special
Programs",,"176,586,860.00",-,"175,497,981",-,99,-,560,0
,Special Programs,"176,586,860.00",-,"175,497,981",-,99,-,560,0
"General
Admin-
istration
Plan-
ning and
Support
Service",,"9,183,880.00",-,"7,978,372",-,87,-,560,0
,"General Admin-
istration (Eco-
nomic Planning
and ICT)","9,183,880.00",-,"7,978,372",-,87,-,560,0
,Sub Total,"886,628,687.00","66,521,681","821,645,783","29,621,400",93,45,560,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",561,0
"4214-Samburu - Agriculture, Livestock andFisheries",,,,,,,,561,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,"214,891,787.00",-,"206,570,017",-,96,-,561,0
,"Administration,
Planning and
Support Services","214,891,787.00",-,"206,570,017",-,96,-,561,0
"Livestock
Resource
Man-
agement
andDevel-
opment",,"53,187,824.00","75,929,306","49,026,567","59,407,965",92,78,561,0
,"Promotion of
Value Addition
of Livestock
and Livestock
Products","18,458,772.00","53,929,306","17,555,300","42,812,315",95,79,561,0
,"Promotion of
Dairy Production,
Breeding and-
Disease Control","18,530,768.00",-,"16,761,151",-,90,-,561,0
,"Livestock mar-
keting andrange-
landmanagement","10,092,387.00",-,"9,777,792",-,97,-,561,0
,"Livestock Diseas-
es Management
andControl","6,105,897.00","22,000,000","4,932,324","16,595,650",81,75,561,0
"Fisheries
Develop-
ment and
Manage-
ment",,"3,867,082.00","4,068,000","3,071,617","4,067,985",79,100,561,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",562,0
,"Development of
capture fisher-
ies resources","3,867,082.00","4,068,000","3,071,617","4,067,985",79,100,562,0
