Programme,Sub-Programme,Approved Estimates,"Actual Expenditure as
of 30th June 2023","Absorption
Rate (%)",page_number,table_index
"Agriculture, Livestock",,"884,127,374.00","666,018,442.45",75.3,655,0
P1 Crop Development,,"625,654,123.00","420,832,965.45",67.3,655,0
,"Sp1.1 Crop
Diversification","545,189,044.00","382,586,914.60",70.2,655,0
,"Sp1.2 Post-harvest
management
andvalue addition","80,465,079.00","38,246,050.85",47.5,655,0
"P2 Administrative and
Support Services",,"258,473,251.00","245,185,477.00",94.9,655,0
,"Sp2.1 Administrative
and Support Services","258,473,251.00","245,185,477.00",94.9,655,0
"Trade, Commerce
and Industry",,"189,370,068.00","142,502,281.25",75.3,655,0
"P1 Medium andSmall
Enterprises",,"132,000,000.00","86,633,153.65",65.6,655,0
,"Sp1.1 Medium
andsmall Enterprises","132,000,000.00","86,633,153.65",65.6,655,0
"P2 Administrative and
Support Services",,"57,370,068.00","55,869,127.60",97.4,655,0
,"Sp2.1 Administrative
and Support Services","57,370,068.00","55,869,127.60",97.4,655,0
"Water, Environment
and Natural Resources",,"353,252,388.00","232,064,470.05",65.7,655,0
"P1 Environment
management
andprotection",,"272,086,871.00","161,162,532.95",59.2,655,0
,Sp1.1 Waste Management,"272,086,871.00","161,162,532.95",59.2,655,0
"P2 Administrative and
Support Services",,"81,165,517.00","70,901,937.10",87.4,655,0
,"Sp2.1 Administrative
and Support Services","81,165,517.00","70,901,937.10",87.4,655,0
"Public Works, Roads
and Infrastructure",,"582,538,943.00","419,873,976.40",72.1,655,0
"P1 Road Construction
and Road Maintenance",,"428,757,955.00","267,291,345.80",62.3,655,0
,"Sp1.1 Maintenance
of Roads","428,757,955.00","267,291,345.80",62.3,656,0
"P2 Administrative and
Support Services",,"153,780,988.00","152,582,630.60",99.2,656,0
,"Sp2.1 Administrative
and Support Services","153,780,988.00","152,582,630.60",99.2,656,0
"Lands, Housing and
Urban Planning",,"270,185,556.00","73,899,504.00",27.4,656,0
"P1 Administrative and
Support Services",,"270,185,556.00","73,899,504.00",27.4,656,0
,"Sp1.1 Administrative
and Support Services","270,185,556.00","73,899,504.00",27.4,656,0
"Gender, Sports,
Culture and Tourism",,"305,629,002.00","295,170,665.60",98.8,656,0
"P1 Culture development
andpromotion",,"255,582,445.00","253,012,006.85",99.0,656,0
,"Sp1.1 Culture
development","255,582,445.00","253,012,006.85",99.0,656,0
"P2 Administrative and
Support Services",,"50,046,557.00","42,158,658.75",97.5,656,0
,"Sp2.1 Administrative
AndSupport Services","50,046,557.00","42,158,658.75",84.2,656,0
"Public Service
Management",,"841,701,885.00","754,658,136.30",89.7,656,0
"P1 Infrastructure
Development",,"238,668,227.00","164,323,740.45",68.9,656,0
,"Sp1.1 Supervision and
Management of Projects","238,668,227.00","164,323,740.45",68.9,656,0
"P2 Administrative and
Support Services",,"603,033,658.00","590,334,395.85",97.9,656,0
,"Sp2.1 Administrative
AndSupport Services","603,033,658.00","590,334,395.85",97.9,656,0
Education and ICT,,"699,043,835.00","566,375,009.80",81.0,656,0
"P1 Vocational Training
Development",,"98,400,000.00","65,940,019.75",67.0,656,0
,"Sp1.1 Vocational
Training Development","98,400,000.00","65,940,019.75",67.0,656,0
"P2 Administrative and
Support Services",,"600,643,835.00","500,434,990.05",83.3,656,0
,"Sp2.1 Administrative
AndSupport Services","600,643,835.00","500,434,990.05",83.3,656,0
Finance,,"1,151,827,509.00","1,123,401,533.00",97.5,657,0
"P1 Administrative and
Support Services",,"1,151,827,509.00","1,123,401,533.00",97.5,657,0
,"Sp1.1 Supervision and
Management of Projects","415,114,306.00","413,920,008.00",99.7,657,0
,"Sp1.2 Administrative
AndSupport Services","736,713,203.00","709,481,525.00",96.3,657,0
Governance,,"209,709,647.00","194,116,941.55",92.6,657,0
"P1 Infrastructure
Development",,"25,000,000.00","16,161,152.15",64.6,657,0
,"Sp1.1 Supervision and
Management of Projects","25,000,000.00","16,161,152.15",64.6,657,0
"P2 Administrative and
Support Services",,"184,709,647.00","177,955,789.40",96.3,657,0
,"Sp2.1 Administrative
AndSupport Services","184,709,647.00","177,955,789.40",96.3,657,0
"County Public
Service Board",,"77,567,287.00","36,603,780.35",47.2,657,0
"P1 Governance and
County Values",,"8,465,000.00","3,178,942.70",37.6,657,0
,"Sp1.1 Infrastructure
Development","8,465,000.00","3,178,942.70",37.6,657,0
"P2 Administrative and
Support Services",,"69,102,287.00","33,424,837.65",48.4,657,0
,"Sp2.1 Administrative
AndSupport Services","69,102,287.00","33,424,837.65",48.4,657,0
Health Corporate,,"2,416,032,616.00","2,113,316,719.30",87.5,657,0
"P1 Administrative and
Support Services",,"2,416,032,616.00","2,113,316,719.30",87.5,657,0
,"Sp1.1 Preventive
Health Services","385,617,890.00","99,520,770.75",25.8,657,0
,"Sp1.2 Administrative
AndSupport Services","2,030,414,726.00","2,013,795,948.55",99.2,657,0
Economic Planning,,"72,612,482.00","16,676,869.10",23.0,657,0
"P1 County Research and
Development Planning",,"16,300,000.00","4,382,117.25",26.9,657,0
,"Sp1.1 County
Development
Planning Services","16,300,000.00","4,382,117.25",26.9,657,0
"P2 Administrative and
Support Services",,"56,312,482.00","12,294,751.85",21.8,657,0
