Program,Sub Program,"Final Budget
(Kshs.)","Actual
(Kshs.)","Budget utilisa-
tion difference
(Kshs.)","Absorption
Rate (%)",page_number,table_index
"Administration, Planning
and Support Service",,"855,692,219.00","815,438,636.45","40,253,582.55",95,715,0
,Administrative Service,"823,004,087.00","815,438,636.45","7,565,450.55",99,715,0
,"Research andDevelop-
ment","28,153,959.00",-,"28,153,959.00",-,715,0
,"Formulation of Poli-
cies, Regulations and-
Legal Framework","4,534,173.00",-,"4,534,173.00",-,715,0
"Livestock Development and
Management",,"17,200,000.00","7,166,302.00","10,033,698.00",42,715,0
,"Veterinary Services an-
dExtension","16,950,000.00","7,166,302.00","9,783,698.00",42,715,0
,Livestock Extension,"250,000.00",-,"250,000.00",-,715,0
"Fisheries Development and
Management",,"12,020,000.00","2,890,793.00","9,129,207.00",24,715,0
,"Promotion of Fish
Farming","12,020,000.00","2,890,793.00","9,129,207.00",24,715,0
"Crop Development and
Management",,"17,622,914.00","4,643,020.00","12,979,894.00",26,715,0
,Crop Extension,"4,300,000.00","999,720.00","3,300,280.00",23,715,0
,Farm Input Subsidy,"13,322,914.00","3,643,300.00","9,679,614.00",27,715,0
Cooperatives Development,,"12,327,896.00","7,141,816.00","5,186,080.00",58,715,0
,"Cooperative Develop-
ment Services","12,327,896.00","7,141,816.00","5,186,080.00",58,715,0
"LandSurvey and Mapping
Services",,"4,250,000.00","3,238,816.00","1,011,184.00",76,715,0
,"LandSurvey and Map-
ping","4,250,000.00","3,238,816.00","1,011,184.00",76,715,0
"1 Urban andPhysical Plan-
ning andHousing Services",,"28,479,708.00","22,891,168.90","5,588,539.10",80,715,0
,"Urban andPhysical
Planning","2,000,000.00","1,007,250.00","992,750.00",50,715,0
,"Vihiga Municipality
{KUSP}","26,479,708.00","21,883,918.90","4,595,789.10",83,715,0
"Administration, Planning
and Support Service",,"869,971,660.00","869,472,801.10","498,858.90",100,715,0
,Administrative Service,"869,971,660.00","869,472,801.10","498,858.90",100,715,0
Transport Management,,"18,422,400.00","8,206,688.60","10,215,711.40",45,715,0
,"Transport System
Management","18,422,400.00","8,206,688.60","10,215,711.40",45,715,0
Infrastructure Development,,"145,000.00",-,"145,000.00",-,715,0
,Roads Maintenance,"145,000.00",-,"145,000.00",-,715,0
"Administration, Planning
and Support Service",,"86,297,083.00","68,796,818.00","17,500,265.00",80,715,0
,Administrative Service,"86,297,083.00","68,796,818.00","17,500,265.00",80,715,0
Public Finance Management,,"51,328,751.00","40,517,608.50","10,811,142.50",79,715,0
,ICT Printing press,"51,328,751.00","40,517,608.50","10,811,142.50",79,715,0
"Trade Development andIn-
vestment",,"28,944,003.00","26,028,624.00","2,915,379.00",90,716,0
,"Market Development
and Management","27,894,003.00","25,028,624.00","2,865,379.00",90,716,0
,"Business Support and-
Consumer Protection","1,050,000.00","1,000,000.00","50,000.00",95,716,0
Tourism Development,,-,-,-,-,716,0
,"Tourism Promotion
andBranding",-,-,-,-,716,0
"Administration, Planning
and Support Service",,"1,876,036,117.00","1,795,080,384.95","80,955,732.05",96,716,0
,Administrative Service,"751,788,285.00","657,894,080.80","93,894,204.20",88,716,0
,"Human Resource
Management andDe-
velopment","1,107,254,432.00","1,127,863,958.80","-20,609,526.80",102,716,0
,Healthcare Financing,"16,993,400.00","9,322,345.35","7,671,054.65",55,716,0
"Promotive andPreventive
Healthcare Services",,"7,040,000.00","3,929,100.00","3,110,900.00",56,716,0
,Public Health Services,"2,520,000.00","1,200,100.00","1,319,900.00",48,716,0
,"Community Health
Strategy","2,000,000.00","976,500.00","1,023,500.00",49,716,0
,Health Promotion,"500,000.00","408,000.00","92,000.00",82,716,0
,"Reproductive Health-
care","2,000,000.00","1,344,500.00","655,500.00",67,716,0
,"Disease Surveillance
andEmergency","20,000.00",-,"20,000.00",-,716,0
"Curative AndRehabilitative
Health Services",,"91,381,800.00","74,871,159.00","16,510,641.00",82,716,0
,Medical services,"90,881,800.00","74,387,859.00","16,493,941.00",82,716,0
,"County referral ser-
vices","500,000.00","483,300.00","16,700.00",97,716,0
"Child andMaternal Health
Care",,"51,712,028.00","19,221,565.70","32,490,462.30",37,716,0
,"Antenatal andPost-Na-
tal healthcare","2,217,200.00","473,600.00","1,743,600.00",21,716,0
,"Antenatal andPost Na-
tal Healthcare","10,520,000.00","80,400.00","10,439,600.00",1,716,0
,"Newborn, Child an-
dAdolescent Health","500,000.00","221,500.00","278,500.00",44,716,0
,Nutrition Services,"38,474,828.00","18,446,065.70","20,028,762.30",48,716,0
"Administration, Planning
and Support Service",,"224,773,629.00","196,757,133.55","28,016,495.45",88,716,0
,Administrative Service,"224,773,629.00","196,757,133.55","28,016,495.45",88,716,0
"Vocational Education and
Training",,"140,253,952.00","115,816,625.85","24,437,326.15",83,716,0
,"Youth Polytechnic De-
velopment","140,253,952.00","115,816,625.85","24,437,326.15",83,716,0
"Early Childhood Develop-
ment",,"226,257,985.00","178,225,302.70","48,032,682.30",79,716,0
,ECD Development,"226,257,985.00","178,225,302.70","48,032,682.30",79,716,0
"Administration, Planning
and Support Service",,"1,401,841,481.00","1,344,596,812.45","57,244,668.55",96,717,0
,Administrative Service,"1,372,294,268.00","1,328,457,677.45","43,836,590.55",97,717,0
,"County Administra-
tion","9,840,073.00","6,237,335.00","3,602,738.00",63,717,0
,"County Radio Infor-
mation Services","19,707,140.00","9,901,800.00","9,805,340.00",50,717,0
"Coordination of Policy For-
mulation Implementation of
Vision 2030",,"2,066,000.00","2,355,000.00","-289,000.00",114,717,0
,"Emergency & Disaster
Fund","2,066,000.00","2,355,000.00","-289,000.00",114,717,0
Public Finance Management,,"138,964,475.00","121,484,698.00","17,479,777.00",87,717,0
,"Public Finance Man-
agement","87,952,520.00","75,220,893.00","12,731,627.00",86,717,0
,Accounting Services,"2,600,000.00","2,127,685.00","472,315.00",82,717,0
,Audit Services,"6,414,440.00","5,502,620.00","911,820.00",86,717,0
,"Budget Formulation
Coordination","8,777,515.00","7,013,680.00","1,763,835.00",80,717,0
,Resource Mobilisation,"23,110,000.00","22,051,400.00","1,058,600.00",95,717,0
,"Budget Expenditure
Management","10,110,000.00","9,568,420.00","541,580.00",95,717,0
County Planning Services,,"7,866,845.00","4,769,700.00","3,097,145.00",61,717,0
,"Monitoring and Eval-
uation","2,666,845.00","499,700.00","2,167,145.00",19,717,0
,"Coordination of Policy
Formulation andPlans","5,200,000.00","4,270,000.00","930,000.00",82,717,0
"Management and Adminis-
tration of County Services",,"53,987,730.00","35,355,965.40","18,631,764.60",65,717,0
,County Executive,"29,343,999.00","19,435,853.40","9,908,145.60",66,717,0
,County Secretary,"11,643,731.00","7,553,291.00","4,090,440.00",65,717,0
,Legal Services,"13,000,000.00","8,366,821.00","4,633,179.00",64,717,0
"Administration, Planning
and Support Service",,"50,884,842.00","42,554,035.50","8,330,806.50",84,717,0
,Administrative Service,"50,884,842.00","42,554,035.50","8,330,806.50",84,717,0
903004860,,"40,450,000.00","19,673,240.00","20,776,760.00",49,717,0
,Promotion of Sports,"27,000,000.00","9,806,100.00","17,193,900.00",36,717,0
,"Promotion of Culture
andHeritage","13,450,000.00","9,867,140.00","3,582,860.00",73,717,0
904004860,,"7,800,000.00","2,295,720.00","5,504,280.00",29,717,0
,Social Protection,"5,500,000.00","497,000.00","5,003,000.00",9,717,0
,"Gender, Children,
Youth andPeople with
Disability","2,300,000.00","1,798,720.00","501,280.00",78,717,0
"Administration, Planning
and Support Service",,"56,864,985.00","74,666,285.50","-17,801,300.50",131,717,0
,Administrative Service,"56,864,985.00","74,666,285.50","-17,801,300.50",131,717,0
1003004860,,"80,496,201.00","40,081,228.85","40,414,972.15",50,717,0
,"Water Supply Manage-
ment","42,686,201.00","31,340,828.85","11,345,372.15",73,717,0
