Programme,"APPROVED
Budget estimates
(Kshs.)","Actual Expen-
diture
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
Programme 1-COUNTY EXECUTIVE,,,,,738,1
"SP 1 - (General Administration, Planning and Support
Services)","363,243,710","354,406,774","8,836,936",97.6,738,1
SP 2 - (County Public service Board,"18,597,120","13,682,748","4,914,372",73.6,738,1
SP 3 - (County Executive Affairs),"50,537,415","47,829,129","2,708,286",94.6,739,0
SP 4- (Liaison andIntergovernmental service),"14,482,615","13,713,790","768,825",94.7,739,0
Development,"152,500,000","120,698,295","31,801,705",79.1,739,0
TOTAL,"599,360,860","550,330,736","49,030,124",91.8,739,0
Programme 2 - FINANCE &ECONOMIC PLANNING,,,,,739,0
"SP 1(General Administration, Planning and Support Services","224,450,295","196,945,870","27,504,425",87.7,739,0
SP 2- (Treasury Accounting Services),"6,759,823","6,572,392","187,431",97.2,739,0
SP 3- (Supply Chain Management services),"8,368,000","6,942,780","1,425,220",83.0,739,0
SP 4-(Resource Mobilization),"11,860,000","11,626,310","233,690",98.0,739,0
SP 5- (Internal Audit services),"6,043,600","5,614,150","429,450",92.9,739,0
SP 6- (Budget Formulation services),"15,446,000","14,469,980","976,020",93.7,739,0
SP 7- (Economic Planning),"29,321,264","24,116,479","5,204,785",82.2,739,0
SP 8-(Monitoring and Evaluation),"32,609,470","32,607,000","2,470",100.0,739,0
Development,"220,767,279","190,714,499","30,052,780",86.4,739,0
TOTAL,"555,625,731","489,609,460","66,016,271",88.1,739,0
"Programme 3 - ROADS, PUBLIC WORKS, TRANSPORT And Infrastructure",,,,,739,0
SP 2(Road Transport),"86,090,881","85,404,008","686,873",99.2,739,0
SP 3(Construction of Bridges),"2,080,000","2,028,974","51,026",97.5,739,0
SP 5- (Ward Specific Projects),"9,584,640","8,893,617","691,023",92.8,739,0
Development,"553,858,239","548,365,653","5,492,586",99.0,739,0
TOTAL,"651,613,760","644,692,252","6,921,508",98.9,739,0
Programme 4 - HEALTH ANDSANITATION,,,,,739,0
"SP 1(General Administration, Planning and Support Services","1,352,117,257","1,348,546,674","3,570,583",99.7,739,0
SP 2- (Preventive Health Services),"86,420,000","85,166,410","1,253,590",98.5,739,0
SP 3- (Curative Health Services),"131,829,284","122,555,421","9,273,863",93.0,739,0
SP 4- (Kacheliba Sub-county hospital),"13,860,000","12,672,154","1,187,846",91.4,739,0
SP 5- (Sigor Sub-county hospital),"13,860,000","13,771,745","88,255",99.4,739,0
SP 6- (Chepareria Sub-county hospital),"13,940,000","12,792,943","1,147,057",91.8,740,0
SP 8(Ward Specific),"73,800,000","69,283,936","4,516,064",93.9,740,0
Development,"276,717,732","205,109,060","71,608,672",74.1,740,0
TOTAL,"1,962,544,273","1,869,898,343","92,645,930",95.3,740,0
Programme 5 - EDUCATION ANDTECHNICAL TRAINING,,,,,740,0
"SP 1(General Administration, Planning and Support Services","355,852,706","355,217,428","635,278",99.8,740,0
SP 2 - (ECD Services),"39,459,648","38,304,409","1,155,239",97.1,740,0
SP 3- (Youth Vocational training),"22,305,408","21,979,149","326,259",98.5,740,0
SP 4- (Bursary Fund),"440,500,000","440,500,000",-,100.0,740,0
Development,"235,904,571","175,223,991","60,680,580",74.3,740,0
TOTAL,"1,094,022,333","1,031,224,977","62,797,356",94.3,740,0
Programme 6 - AGRICULTURE ANDIRRIGATION,,,,,740,0
"SP 1 - (General Administration, Planning and Support
Services)","90,886,450","89,862,314","1,024,136",98.9,740,0
SP 2- (Crop Development and Management),"5,146,000","5,145,014",986,100.0,740,0
SP 3- (Cash Crop Production (Special Programs),"1,142,000","1,135,023","6,977",99.4,740,0
Development,"334,866,293","322,735,798","12,130,495",96.4,740,0
