Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,79,1
"Department of Agriculture, Livestock, Fisheries, Climate Change, Blue Economy and Agribusiness",,,,,,,,79,1
"CP 1: General Adminis-
tration and support services","CSP 1.1: Administrative
support service","262,893,875",-,"6,520,18",6 -,2.5,-,79,1
"CP 2: Land use and man-
agement","CSP 2.1: Agricultural
mechanisation",-,"12,000,000",,- -,-,-,79,1
"CP 3: Crop Production
and Management","CSP 3.1 Input support
services",-,"67,600,000",,- -,-,-,79,1
,"CSP 3.2: Crop develop-
ment",-,"5,000,000",,- -,-,-,79,1
,"CSP 3.3: Multi-Sectoral
Nutrition Improvement",-,"2,000,000",,- -,-,-,79,1
"CP 4: Agricultural Training
and Extension Services","CSP 4.2: Agricultural
Training Services",-,"31,498,206",-,-,-,-,80,0
"CP 6: Agribusiness and
agricultural Value Chain
Development",CSP 6.1: Value addition,-,"255,000,000",-,"77,252,678",-,30.3,80,0
"CP 8: Fisheries and
Aquaculture Resource
Development","CSP 8.1: Aquaculture
development",-,"33,000,000",-,-,-,-,80,0
,"CSP 8.2: Fisheries
Training Infrastructure
Development",-,"7,000,000",-,-,-,-,80,0
"CP 9: Livestock Produc-
tion Development","CSP 9.1: Livestock Pro-
duction Improvement",-,"34,000,000",-,-,-,-,80,0
"CP 10: Veterinary health
services","CSP 10.1: Veterinary
Disease Control",-,"6,850,000",-,-,-,-,80,0
,CSP 10.2: AI services,-,"2,000,000",-,-,-,-,80,0
,"CSP 10.3: Meat inspection
services",-,"7,000,000",-,-,-,-,80,0
,"CSP 10.4: Veterinary
Extension",-,"4,000,000",-,-,-,-,80,0
,Sub Total,"262,893,875","466,948,206","6,520,186","77,252,678",2.5,16.5,80,0
"Department of Trade, Investment, Cooperatives and Industry",,,,,,,,80,0
"CP 12: General Adminis-
tration and support services","CSP 12.1: Administrative
support service","85,836,520",-,"5,145,457",-,6.0,-,80,0
CP 13: Trade Development,"CSP 13.2: Market mod-
ernisation and develop-
ment Establishment of
Industrial park",-,"351,300,000",-,-,-,-,80,0
CP 14: Fair Trade practices,"CSP 14.1: Weights and
measures.",-,"4,000,000",-,-,-,-,80,0
"CP 15: Cooperative devel-
opment","CSP 15.1: Busia county
cooperative enterprise
development fund (equip-
ping of vocational training
centres)",-,"6,000,000",-,-,-,-,80,0
,Sub-Total,"85,836,520","361,300,000","5,145,457",-,6.0,-,80,0
Department of Education and Vocational Training,,,,,,,,80,0
"CP 17: General Adminis-
tration and support services","CSP 17.1: Administrative
support service","513,388,021",-,"4,321,834",-,0.8,-,80,0
